geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
2500926150,"Gloucester city, Essex County, Massachusetts",570.0,426.0,123.0,20.0,1.0,0.0,009,26150,25
2500927900,"Hamilton town, Essex County, Massachusetts",85.0,75.0,0.0,0.0,1.0,9.0,009,27900,25
250115560,"Bernardston town, Franklin County, Massachusetts",41.0,31.0,3.0,7.0,0.0,0.0,011,5560,25
2501125730,"Gill town, Franklin County, Massachusetts",6.0,4.0,1.0,1.0,0.0,0.0,011,25730,25
2501129475,"Hawley town, Franklin County, Massachusetts",19.0,19.0,0.0,0.0,0.0,0.0,011,29475,25
2501161135,"Shelburne town, Franklin County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,011,61135,25
2501135180,"Leverett town, Franklin County, Massachusetts",24.0,18.0,0.0,6.0,0.0,0.0,011,35180,25
2501129650,"Heath town, Franklin County, Massachusetts",17.0,17.0,0.0,0.0,0.0,0.0,011,29650,25
2501135285,"Leyden town, Franklin County, Massachusetts",1.0,1.0,0.0,0.0,0.0,0.0,011,35285,25
2501147835,"Northfield town, Franklin County, Massachusetts",43.0,30.0,0.0,13.0,0.0,0.0,011,47835,25
2501572880,"Ware town, Hampshire County, Massachusetts",626.0,574.0,0.0,52.0,0.0,0.0,015,72880,25
2501546330,"Northampton city, Hampshire County, Massachusetts",2469.0,1802.0,386.0,118.0,119.0,44.0,015,46330,25
2501554030,"Plainfield town, Hampshire County, Massachusetts",20.0,15.0,0.0,5.0,0.0,0.0,015,54030,25
2501576380,"Westhampton town, Hampshire County, Massachusetts",15.0,6.0,0.0,9.0,0.0,0.0,015,76380,25
2501582175,"Worthington town, Hampshire County, Massachusetts",10.0,10.0,0.0,0.0,0.0,0.0,015,82175,25
250151325,"Amherst town, Hampshire County, Massachusetts",2421.0,1276.0,619.0,297.0,153.0,76.0,015,1325,25
2501526535,"Granby town, Hampshire County, Massachusetts",352.0,329.0,0.0,23.0,0.0,0.0,015,26535,25
2501526290,"Goshen town, Hampshire County, Massachusetts",35.0,35.0,0.0,0.0,0.0,0.0,015,26290,25
2501513590,"Chesterfield town, Hampshire County, Massachusetts",27.0,27.0,0.0,0.0,0.0,0.0,015,13590,25
2501527690,"Hadley town, Hampshire County, Massachusetts",271.0,236.0,0.0,0.0,18.0,17.0,015,27690,25
2501531785,"Huntington town, Hampshire County, Massachusetts",20.0,20.0,0.0,0.0,0.0,0.0,015,31785,25
2501552560,"Pelham town, Hampshire County, Massachusetts",59.0,49.0,10.0,0.0,0.0,0.0,015,52560,25
2501564145,"South Hadley town, Hampshire County, Massachusetts",1000.0,720.0,173.0,35.0,72.0,0.0,015,64145,25
250154825,"Belchertown town, Hampshire County, Massachusetts",193.0,102.0,0.0,33.0,58.0,0.0,015,4825,25
2501540990,"Middlefield town, Hampshire County, Massachusetts",0.0,0.0,0.0,0.0,0.0,0.0,015,40990,25
