geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
4000193250,"Stilwell East CCD, Adair County, Oklahoma",818.0,653.0,113.0,52.0,0.0,0.0,001,93250,40
4000193796,"Westville CCD, Adair County, Oklahoma",256.0,242.0,5.0,9.0,0.0,0.0,001,93796,40
4000193588,"Watts CCD, Adair County, Oklahoma",116.0,85.0,2.0,5.0,24.0,0.0,001,93588,40
4000193263,"Stilwell West CCD, Adair County, Oklahoma",183.0,183.0,0.0,0.0,0.0,0.0,001,93263,40
4013391612,"Konawa CCD, Seminole County, Oklahoma",68.0,55.0,3.0,4.0,6.0,0.0,133,91612,40
4013392795,"Seminole South CCD, Seminole County, Oklahoma",59.0,49.0,0.0,10.0,0.0,0.0,133,92795,40
4013393835,"Wewoka CCD, Seminole County, Oklahoma",295.0,240.0,12.0,17.0,26.0,0.0,133,93835,40
4013392782,"Seminole North CCD, Seminole County, Oklahoma",729.0,630.0,55.0,44.0,0.0,0.0,133,92782,40
4013793432,"Velma-Alma CCD, Stephens County, Oklahoma",53.0,44.0,0.0,9.0,0.0,0.0,137,93432,40
4013791781,"Marlow CCD, Stephens County, Oklahoma",294.0,251.0,13.0,20.0,10.0,0.0,137,91781,40
4013790650,"Comanche CCD, Stephens County, Oklahoma",396.0,208.0,4.0,184.0,0.0,0.0,137,90650,40
4013790780,"Duncan CCD, Stephens County, Oklahoma",2450.0,1883.0,326.0,123.0,118.0,0.0,137,90780,40
4002591560,"Keyes CCD, Cimarron County, Oklahoma",75.0,62.0,12.0,0.0,0.0,1.0,025,91560,40
4002590286,"Boise City CCD, Cimarron County, Oklahoma",381.0,333.0,0.0,23.0,25.0,0.0,025,90286,40
4001193575,"Watonga CCD, Blaine County, Oklahoma",738.0,491.0,13.0,21.0,189.0,24.0,011,93575,40
4001190416,"Canton CCD, Blaine County, Oklahoma",45.0,31.0,0.0,14.0,0.0,0.0,011,90416,40
4001191170,"Geary CCD, Blaine County, Oklahoma",31.0,15.0,16.0,0.0,0.0,0.0,011,91170,40
4001192392,"Okeene CCD, Blaine County, Oklahoma",121.0,104.0,17.0,0.0,0.0,0.0,011,92392,40
4001990156,"Ardmore CCD, Carter County, Oklahoma",2819.0,2362.0,273.0,49.0,135.0,0.0,019,90156,40
4001993861,"Wilson CCD, Carter County, Oklahoma",51.0,41.0,6.0,0.0,4.0,0.0,019,93861,40
4001990169,"Ardmore North CCD, Carter County, Oklahoma",171.0,151.0,13.0,0.0,7.0,0.0,019,90169,40
4001991287,"Healdton North CCD, Carter County, Oklahoma",41.0,41.0,0.0,0.0,0.0,0.0,019,91287,40
4001991274,"Healdton Central CCD, Carter County, Oklahoma",161.0,155.0,6.0,0.0,0.0,0.0,019,91274,40
4002993705,"West Coal CCD, Coal County, Oklahoma",95.0,79.0,8.0,0.0,8.0,0.0,029,93705,40
4002990871,"East Coal CCD, Coal County, Oklahoma",155.0,104.0,10.0,3.0,38.0,0.0,029,90871,40
4005391625,"Lamont CCD, Grant County, Oklahoma",33.0,33.0,0.0,0.0,0.0,0.0,053,91625,40
4005391820,"Medford CCD, Grant County, Oklahoma",104.0,104.0,0.0,0.0,0.0,0.0,053,91820,40
4005393510,"Wakita CCD, Grant County, Oklahoma",13.0,13.0,0.0,0.0,0.0,0.0,053,93510,40
4005393159,"Southwest Grant CCD, Grant County, Oklahoma",57.0,52.0,5.0,0.0,0.0,0.0,053,93159,40
4005592275,"Northwest Greer CCD, Greer County, Oklahoma",14.0,13.0,0.0,0.0,1.0,0.0,055,92275,40
4005591768,"Mangum CCD, Greer County, Oklahoma",495.0,476.0,0.0,19.0,0.0,0.0,055,91768,40
4005591196,"Granite CCD, Greer County, Oklahoma",152.0,71.0,23.0,34.0,24.0,0.0,055,91196,40
4007391586,"Kingfisher CCD, Kingfisher County, Oklahoma",836.0,802.0,15.0,0.0,19.0,0.0,073,91586,40
4007391326,"Hennessey CCD, Kingfisher County, Oklahoma",1412.0,1343.0,29.0,0.0,28.0,12.0,073,91326,40
4007392379,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",37.0,23.0,7.0,7.0,0.0,0.0,073,92379,40
4008792626,"Purcell CCD, McClain County, Oklahoma",1948.0,1676.0,187.0,66.0,4.0,15.0,087,92626,40
4008790929,"East McClain CCD, McClain County, Oklahoma",28.0,28.0,0.0,0.0,0.0,0.0,087,90929,40
4009190520,"Checotah CCD, McIntosh County, Oklahoma",351.0,318.0,27.0,0.0,6.0,0.0,091,90520,40
4009191352,"Hitchita-Pierce CCD, McIntosh County, Oklahoma",13.0,13.0,0.0,0.0,0.0,0.0,091,91352,40
4009191079,"Eufaula CCD, McIntosh County, Oklahoma",135.0,124.0,0.0,0.0,11.0,0.0,091,91079,40
4009191248,"Hanna CCD, McIntosh County, Oklahoma",18.0,18.0,0.0,0.0,0.0,0.0,091,91248,40
4009593081,"South Marshall CCD, Marshall County, Oklahoma",306.0,254.0,32.0,14.0,6.0,0.0,095,93081,40
4009592210,"North Marshall CCD, Marshall County, Oklahoma",2403.0,2180.0,60.0,68.0,91.0,4.0,095,92210,40
4009993770,"West Murray CCD, Murray County, Oklahoma",319.0,296.0,0.0,0.0,23.0,0.0,099,93770,40
4009990962,"East Murray CCD, Murray County, Oklahoma",472.0,405.0,60.0,5.0,0.0,2.0,099,90962,40
4010390234,"Billings CCD, Noble County, Oklahoma",0.0,0.0,0.0,0.0,0.0,0.0,103,90234,40
4010392522,"Perry CCD, Noble County, Oklahoma",184.0,57.0,0.0,48.0,79.0,0.0,103,92522,40
4010390975,"East Noble CCD, Noble County, Oklahoma",211.0,148.0,0.0,63.0,0.0,0.0,103,90975,40
4010592353,"Nowata CCD, Nowata County, Oklahoma",120.0,52.0,68.0,0.0,0.0,0.0,105,92353,40
4010592912,"South Coffeyville-Wann CCD, Nowata County, Oklahoma",64.0,64.0,0.0,0.0,0.0,0.0,105,92912,40
4010591664,"Lenapah-Delaware CCD, Nowata County, Oklahoma",68.0,34.0,16.0,0.0,18.0,0.0,105,91664,40
4011593913,"Wyandotte CCD, Ottawa County, Oklahoma",141.0,131.0,9.0,0.0,1.0,0.0,115,93913,40
4011591846,"Miami CCD, Ottawa County, Oklahoma",1333.0,1038.0,165.0,71.0,56.0,3.0,115,91846,40
4011590039,"Afton-Fairland CCD, Ottawa County, Oklahoma",76.0,38.0,3.0,29.0,6.0,0.0,115,90039,40
4013190533,"Chelsea CCD, Rogers County, Oklahoma",94.0,34.0,34.0,0.0,26.0,0.0,131,90533,40
