geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",42330.0,35548.0,4298.0,1051.0,1356.0,77.0,122,38460,02
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",5788.0,4715.0,334.0,138.0,601.0,0.0,261,14420,02
0206818765,"Denali census subarea, Denali Borough, Alaska",1890.0,1219.0,70.0,87.0,368.0,146.0,068,18765,02
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",817.0,619.0,76.0,102.0,20.0,0.0,261,17350,02
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",4229.0,3601.0,245.0,92.0,259.0,32.0,122,68610,02
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",167.0,145.0,18.0,2.0,2.0,0.0,290,46060,02
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",280.0,226.0,18.0,20.0,14.0,2.0,164,42780,02
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",5100.0,4263.0,421.0,247.0,145.0,24.0,240,72030,02
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",828.0,659.0,47.0,26.0,64.0,32.0,290,42080,02
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",157.0,122.0,5.0,7.0,15.0,8.0,290,86690,02
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",174494.0,142970.0,19052.0,2936.0,8440.0,1096.0,020,3050,02
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",516.0,363.0,24.0,46.0,39.0,44.0,013,1598,02
0219864310,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",2704.0,2320.0,165.0,61.0,158.0,0.0,198,64310,02
0223070810,"Skagway census subarea, Skagway Municipality, Alaska",807.0,599.0,70.0,49.0,87.0,2.0,230,70810,02
0219834575,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,0.0,198,34575,02
0219848873,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",194.0,161.0,27.0,0.0,6.0,0.0,198,48873,02
0227586420,"Wrangell census subarea, Wrangell City and Borough, Alaska",1588.0,1427.0,79.0,31.0,41.0,10.0,275,86420,02
0210533390,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",919.0,777.0,60.0,29.0,53.0,0.0,105,33390,02
0210540560,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",7.0,5.0,0.0,2.0,0.0,0.0,105,40560,02
020161615,"Aleutians West census subarea, Aleutians West Census Area, Alaska",1421.0,1081.0,106.0,61.0,156.0,17.0,016,1615,02
020609050,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",461.0,353.0,50.0,25.0,33.0,0.0,060,9050,02
0215041200,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",6779.0,5547.0,415.0,261.0,476.0,80.0,150,41200,02
0218856270,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",848.0,577.0,85.0,23.0,159.0,4.0,188,56270,02
0222070590,"Sitka census subarea, Sitka City and Borough, Alaska",5455.0,4483.0,487.0,164.0,291.0,30.0,220,70590,02
020503580,"Aniak census subarea, Bethel Census Area, Alaska",134.0,120.0,12.0,0.0,2.0,0.0,050,3580,02
0205045510,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",1680.0,1382.0,160.0,99.0,37.0,2.0,050,45510,02
0218555970,"North Slope census subarea, North Slope Borough, Alaska",3027.0,2420.0,183.0,213.0,193.0,18.0,185,55970,02
0215842185,"Kusilvak census subarea, Kusilvak Census Area, Alaska",307.0,164.0,29.0,51.0,62.0,1.0,158,42185,02
0219560360,"Petersburg census subarea, Petersburg Borough, Alaska",2175.0,1869.0,178.0,53.0,71.0,4.0,195,60360,02
0209024450,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",70032.0,55957.0,7504.0,1017.0,5126.0,428.0,090,24450,02
0213039010,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",8761.0,7243.0,790.0,168.0,521.0,39.0,130,39010,02
0217047440,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",79836.0,67979.0,6684.0,2445.0,2495.0,233.0,170,47440,02
0218054970,"Nome census subarea, Nome Census Area, Alaska",1425.0,1029.0,106.0,90.0,190.0,10.0,180,54970,02
0207019000,"Dillingham census subarea, Dillingham Census Area, Alaska",803.0,619.0,90.0,37.0,52.0,5.0,070,19000,02
0210031160,"Haines census subarea, Haines Borough, Alaska",1997.0,1741.0,124.0,78.0,35.0,19.0,100,31160,02
0228286498,"Yakutat census subarea, Yakutat City and Borough, Alaska",297.0,215.0,36.0,5.0,41.0,0.0,282,86498,02
0211036450,"Juneau census subarea, Juneau City and Borough, Alaska",21035.0,17674.0,2144.0,252.0,881.0,84.0,110,36450,02
