geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
0508393619,"Tomlinson township, Logan County, Arkansas",187.0,134.0,41.0,12.0,0.0,0.0,083,93619,05
0512191204,"East Roanoke township, Randolph County, Arkansas",314.0,280.0,0.0,17.0,0.0,17.0,121,91204,05
0508793976,"Wharton township, Madison County, Arkansas",208.0,185.0,0.0,12.0,11.0,0.0,087,93976,05
0511793654,"Tyler township, Prairie County, Arkansas",167.0,155.0,8.0,4.0,0.0,0.0,117,93654,05
0509790595,"Caddo Gap township, Montgomery County, Arkansas",758.0,636.0,57.0,65.0,0.0,0.0,097,90595,05
0506390343,"Black River-Marshell township, Independence County, Arkansas",348.0,348.0,0.0,0.0,0.0,0.0,063,90343,05
0509790013,"Alamo township, Montgomery County, Arkansas",129.0,87.0,42.0,0.0,0.0,0.0,097,90013,05
0509790346,"Black Springs township, Montgomery County, Arkansas",414.0,350.0,38.0,7.0,17.0,2.0,097,90346,05
0509791273,"Fannie township, Montgomery County, Arkansas",190.0,164.0,0.0,0.0,26.0,0.0,097,91273,05
0509791765,"Hopper township, Montgomery County, Arkansas",169.0,159.0,0.0,10.0,0.0,0.0,097,91765,05
0501393627,"Township 1, Calhoun County, Arkansas",439.0,370.0,0.0,69.0,0.0,0.0,013,93627,05
0511193973,"West Prairie township, Poinsett County, Arkansas",867.0,696.0,124.0,44.0,3.0,0.0,111,93973,05
0501393631,"Township 3, Calhoun County, Arkansas",458.0,435.0,8.0,15.0,0.0,0.0,013,93631,05
0503593655,"Tyronza township, Crittenden County, Arkansas",618.0,603.0,15.0,0.0,0.0,0.0,035,93655,05
0501393635,"Township 5, Calhoun County, Arkansas",525.0,489.0,36.0,0.0,0.0,0.0,013,93635,05
0501393629,"Township 2, Calhoun County, Arkansas",606.0,476.0,0.0,112.0,18.0,0.0,013,93629,05
0501393633,"Township 4, Calhoun County, Arkansas",235.0,189.0,30.0,5.0,11.0,0.0,013,93633,05
0501393637,"Township 6, Calhoun County, Arkansas",515.0,515.0,0.0,0.0,0.0,0.0,013,93637,05
0501393639,"Township 7, Calhoun County, Arkansas",386.0,372.0,10.0,4.0,0.0,0.0,013,93639,05
0503793652,"Twist township, Cross County, Arkansas",0.0,0.0,0.0,0.0,0.0,0.0,037,93652,05
0514393623,"Tontitown township, Washington County, Arkansas",2808.0,2508.0,225.0,60.0,15.0,0.0,143,93623,05
0504591199,"East Fork township, Faulkner County, Arkansas",1817.0,1742.0,62.0,13.0,0.0,0.0,045,91199,05
0512593648,"Traskwood township, Saline County, Arkansas",427.0,402.0,18.0,5.0,2.0,0.0,125,93648,05
0509792620,"Mount Ida township, Montgomery County, Arkansas",2074.0,1714.0,138.0,115.0,107.0,0.0,097,92620,05
0509792701,"Norman township, Montgomery County, Arkansas",941.0,844.0,39.0,31.0,25.0,2.0,097,92701,05
0509792737,"Oden township, Montgomery County, Arkansas",782.0,749.0,8.0,3.0,18.0,4.0,097,92737,05
0509793385,"Sims township, Montgomery County, Arkansas",192.0,157.0,8.0,16.0,11.0,0.0,097,93385,05
0510593653,"Tyler township, Perry County, Arkansas",247.0,228.0,0.0,19.0,0.0,0.0,105,93653,05
0501393641,"Township 8, Calhoun County, Arkansas",510.0,501.0,9.0,0.0,0.0,0.0,013,93641,05
0501393643,"Township 9, Calhoun County, Arkansas",82.0,82.0,0.0,0.0,0.0,0.0,013,93643,05
0502190232,"Bennett-Lemmons township, Clay County, Arkansas",338.0,290.0,40.0,0.0,8.0,0.0,021,90232,05
0502190448,"Bradshaw-Haywood township, Clay County, Arkansas",496.0,490.0,5.0,0.0,1.0,0.0,021,90448,05
0502190496,"Brown-Carpenter township, Clay County, Arkansas",218.0,185.0,9.0,17.0,7.0,0.0,021,90496,05
0502190589,"Cache-Wilson township, Clay County, Arkansas",334.0,314.0,14.0,3.0,3.0,0.0,021,90589,05
0502190757,"Chalk Bluff-Liddell township, Clay County, Arkansas",443.0,400.0,40.0,3.0,0.0,0.0,021,90757,05
0502190874,"Cleveland-North Kilgore township, Clay County, Arkansas",2679.0,2197.0,318.0,148.0,16.0,0.0,021,90874,05
0502191201,"East Oak Bluff-Blue Cane township, Clay County, Arkansas",1557.0,1131.0,295.0,107.0,24.0,0.0,021,91201,05
0502192836,"Payne-Swain township, Clay County, Arkansas",220.0,205.0,5.0,10.0,0.0,0.0,021,92836,05
0502191474,"Gleghorn-South Kilgore township, Clay County, Arkansas",1407.0,1106.0,232.0,60.0,9.0,0.0,021,91474,05
0510390213,"Behestian township, Ouachita County, Arkansas",35.0,35.0,0.0,0.0,0.0,0.0,103,90213,05
0502192719,"North St. Francis township, Clay County, Arkansas",2698.0,2439.0,215.0,34.0,10.0,0.0,021,92719,05
0502193439,"South St. Francis township, Clay County, Arkansas",1383.0,1139.0,143.0,51.0,50.0,0.0,021,93439,05
0502193971,"West Oak Bluff township, Clay County, Arkansas",1323.0,1144.0,140.0,15.0,24.0,0.0,021,93971,05
0512793620,"Tomlinson township, Scott County, Arkansas",263.0,263.0,0.0,0.0,0.0,0.0,127,93620,05
0513993650,"Tubal township, Union County, Arkansas",180.0,180.0,0.0,0.0,0.0,0.0,139,93650,05
0514191200,"East Griggs township, Van Buren County, Arkansas",1322.0,1050.0,138.0,104.0,30.0,0.0,141,91200,05
0514191318,"Formosa township, Van Buren County, Arkansas",761.0,723.0,0.0,38.0,0.0,0.0,141,91318,05
0514191750,"Holly Mountain township, Van Buren County, Arkansas",660.0,636.0,0.0,0.0,24.0,0.0,141,91750,05
0514193970,"West Griggs township, Van Buren County, Arkansas",1860.0,1673.0,61.0,97.0,16.0,13.0,141,93970,05
0513793651,"Turkey Creek township, Stone County, Arkansas",316.0,232.0,76.0,0.0,8.0,0.0,137,93651,05
0500392365,"Marais Saline township, Ashley County, Arkansas",82.0,82.0,0.0,0.0,0.0,0.0,003,92365,05
0500793626,"Township 1, Benton County, Arkansas",11877.0,10733.0,756.0,196.0,176.0,16.0,007,93626,05
0500793628,"Township 2, Benton County, Arkansas",10031.0,8723.0,702.0,194.0,403.0,9.0,007,93628,05
0500793630,"Township 3, Benton County, Arkansas",10605.0,9038.0,944.0,221.0,374.0,28.0,007,93630,05
0500793632,"Township 4, Benton County, Arkansas",25380.0,21691.0,1995.0,801.0,842.0,51.0,007,93632,05
0500793634,"Township 5, Benton County, Arkansas",7970.0,6704.0,912.0,81.0,209.0,64.0,007,93634,05
0500793636,"Township 6, Benton County, Arkansas",10451.0,9209.0,668.0,348.0,223.0,3.0,007,93636,05
0500793638,"Township 7, Benton County, Arkansas",19859.0,17373.0,1346.0,222.0,866.0,52.0,007,93638,05
0500793640,"Township 8, Benton County, Arkansas",10515.0,7997.0,1703.0,240.0,528.0,47.0,007,93640,05
0500793642,"Township 9, Benton County, Arkansas",30275.0,24912.0,3249.0,749.0,1276.0,89.0,007,93642,05
0500793645,"Township 11, Benton County, Arkansas",10597.0,9702.0,584.0,137.0,174.0,0.0,007,93645,05
0508992398,"Marion County township, Marion County, Arkansas",15327.0,12977.0,872.0,755.0,723.0,0.0,089,92398,05
0500793644,"Township 10, Benton County, Arkansas",16098.0,13832.0,1034.0,249.0,944.0,39.0,007,93644,05
0500793646,"Township 12, Benton County, Arkansas",10791.0,9057.0,1195.0,147.0,364.0,28.0,007,93646,05
0500793647,"Township 13, Benton County, Arkansas",10433.0,9478.0,610.0,13.0,332.0,0.0,007,93647,05
0513591205,"East Sullivan township, Sharp County, Arkansas",168.0,147.0,0.0,21.0,0.0,0.0,135,91205,05
0508593625,"Totten township, Lonoke County, Arkansas",615.0,615.0,0.0,0.0,0.0,0.0,085,93625,05
0506390250,"Big Bottom-Wycough-Logan township, Independence County, Arkansas",1692.0,1401.0,217.0,59.0,15.0,0.0,063,90250,05
0506390994,"Cushman-Union township, Independence County, Arkansas",1456.0,1227.0,138.0,35.0,40.0,16.0,063,90994,05
0505392334,"Madison township, Grant County, Arkansas",591.0,521.0,39.0,31.0,0.0,0.0,053,92334,05
0505393912,"Washington township, Grant County, Arkansas",1455.0,1406.0,19.0,18.0,12.0,0.0,053,93912,05
0505391032,"Davis township, Grant County, Arkansas",407.0,398.0,9.0,0.0,0.0,0.0,053,91032,05
0505393192,"River township, Grant County, Arkansas",927.0,923.0,4.0,0.0,0.0,0.0,053,93192,05
0505391347,"Franklin township, Grant County, Arkansas",131.0,131.0,0.0,0.0,0.0,0.0,053,91347,05
0505391287,"Fenter township, Grant County, Arkansas",877.0,818.0,41.0,18.0,0.0,0.0,053,91287,05
0503592508,"Mississippi township, Crittenden County, Arkansas",8106.0,7011.0,804.0,184.0,65.0,42.0,035,92508,05
0503592298,"Lucas township, Crittenden County, Arkansas",742.0,650.0,22.0,20.0,50.0,0.0,035,92298,05
0503591908,"Jasper township, Crittenden County, Arkansas",8485.0,7455.0,457.0,207.0,334.0,32.0,035,91908,05
0503593873,"Wappanocca township, Crittenden County, Arkansas",456.0,412.0,28.0,14.0,2.0,0.0,035,93873,05
0503590384,"Bob Ward township, Crittenden County, Arkansas",85.0,75.0,7.0,0.0,3.0,0.0,035,90384,05
0503593033,"Proctor township, Crittenden County, Arkansas",666.0,656.0,0.0,0.0,10.0,0.0,035,93033,05
0504790885,"Cobb township, Franklin County, Arkansas",0.0,0.0,0.0,0.0,0.0,0.0,047,90885,05
0504792559,"Morgan township, Franklin County, Arkansas",4.0,4.0,0.0,0.0,0.0,0.0,047,92559,05
