geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
2403390064,"District 1, Vansville; Prince George's County; Maryland",6370.0,5234.0,216.0,334.0,562.0,24.0,033,90064,24
2403390248,"District 3, Marlboro; Prince George's County; Maryland",1673.0,1423.0,19.0,36.0,189.0,6.0,033,90248,24
2403390892,"District 10, Laurel; Prince George's County; Maryland",13374.0,11721.0,511.0,512.0,524.0,106.0,033,90892,24
2403391164,"District 13, Kent; Prince George's County; Maryland",2453.0,2089.0,76.0,147.0,80.0,61.0,033,91164,24
2403390524,"District 6, Spauldings; Prince George's County; Maryland",3749.0,3261.0,318.0,36.0,89.0,45.0,033,90524,24
2403390616,"District 7, Queen Anne; Prince George's County; Maryland",13131.0,11828.0,621.0,320.0,305.0,57.0,033,90616,24
2403391440,"District 16, Hyattsville; Prince George's County; Maryland",3724.0,3371.0,104.0,35.0,205.0,9.0,033,91440,24
2403391808,"District 20, Lanham; Prince George's County; Maryland",3174.0,2974.0,96.0,56.0,42.0,6.0,033,91808,24
2403391900,"District 21, Berwyn; Prince George's County; Maryland",25621.0,18282.0,1904.0,2856.0,2331.0,248.0,033,91900,24
2403391072,"District 12, Oxon Hill; Prince George's County; Maryland",3747.0,3269.0,139.0,25.0,290.0,24.0,033,91072,24
2403390340,"District 4, Nottingham; Prince George's County; Maryland",1285.0,1273.0,0.0,11.0,1.0,0.0,033,90340,24
2403390432,"District 5, Piscataway; Prince George's County; Maryland",4461.0,4124.0,160.0,96.0,81.0,0.0,033,90432,24
2403391256,"District 14, Bowie; Prince George's County; Maryland",10970.0,10233.0,130.0,387.0,204.0,16.0,033,91256,24
2403391348,"District 15, Mellwood; Prince George's County; Maryland",2285.0,2178.0,26.0,43.0,33.0,5.0,033,91348,24
2403391624,"District 18, Seat Pleasant; Prince George's County; Maryland",632.0,433.0,103.0,30.0,66.0,0.0,033,91624,24
2403391532,"District 17, Chillum; Prince George's County; Maryland",5335.0,4434.0,201.0,246.0,381.0,73.0,033,91532,24
2403391716,"District 19, Riverdale; Prince George's County; Maryland",3767.0,3326.0,148.0,17.0,176.0,100.0,033,91716,24
