geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
2816391476,"District 2, Yazoo County, Mississippi",1975.0,1919.0,15.0,7.0,34.0,0.0,163,91476,28
2816392952,"District 4, Yazoo County, Mississippi",2553.0,2094.0,158.0,19.0,196.0,86.0,163,92952,28
2815991458,"District 2, Winston County, Mississippi",2816.0,2578.0,149.0,89.0,0.0,0.0,159,91458,28
2815990720,"District 1, Winston County, Mississippi",2143.0,1993.0,115.0,35.0,0.0,0.0,159,90720,28
2816390738,"District 1, Yazoo County, Mississippi",3956.0,3828.0,45.0,17.0,66.0,0.0,163,90738,28
2816392214,"District 3, Yazoo County, Mississippi",648.0,609.0,21.0,3.0,15.0,0.0,163,92214,28
2816393690,"District 5, Yazoo County, Mississippi",599.0,581.0,7.0,11.0,0.0,0.0,163,93690,28
2800790036,"District 1, Attala County, Mississippi",2380.0,2181.0,79.0,120.0,0.0,0.0,007,90036,28
2800790774,"District 2, Attala County, Mississippi",1407.0,1261.0,77.0,69.0,0.0,0.0,007,90774,28
2800792988,"District 5, Attala County, Mississippi",2633.0,2317.0,107.0,42.0,164.0,3.0,007,92988,28
2800792250,"District 4, Attala County, Mississippi",1081.0,969.0,67.0,35.0,10.0,0.0,007,92250,28
2800791512,"District 3, Attala County, Mississippi",2541.0,2039.0,325.0,138.0,36.0,3.0,007,91512,28
2800992259,"District 4, Benton County, Mississippi",1537.0,1498.0,27.0,8.0,4.0,0.0,009,92259,28
2800990783,"District 2, Benton County, Mississippi",496.0,311.0,68.0,26.0,91.0,0.0,009,90783,28
2800991521,"District 3, Benton County, Mississippi",884.0,731.0,74.0,62.0,17.0,0.0,009,91521,28
2800992997,"District 5, Benton County, Mississippi",1478.0,1213.0,61.0,191.0,13.0,0.0,009,92997,28
2803793123,"District 5, Franklin County, Mississippi",1498.0,1439.0,0.0,11.0,30.0,18.0,037,93123,28
2800990045,"District 1, Benton County, Mississippi",558.0,474.0,56.0,28.0,0.0,0.0,009,90045,28
2803790171,"District 1, Franklin County, Mississippi",578.0,566.0,12.0,0.0,0.0,0.0,037,90171,28
2803790909,"District 2, Franklin County, Mississippi",897.0,839.0,19.0,34.0,5.0,0.0,037,90909,28
