geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
3718792968,"Skinnersville township, Washington County, North Carolina",671.0,587.0,0.0,19.0,65.0,0.0,187,92968,37
3718792540,"Plymouth township, Washington County, North Carolina",2795.0,2591.0,77.0,40.0,87.0,0.0,187,92540,37
3718792876,"Scuppernong township, Washington County, North Carolina",1168.0,1125.0,2.0,39.0,2.0,0.0,187,92876,37
3718791768,"Lees Mill township, Washington County, North Carolina",798.0,763.0,24.0,11.0,0.0,0.0,187,91768,37
3702990784,"Courthouse township, Camden County, North Carolina",3128.0,2610.0,171.0,245.0,102.0,0.0,029,90784,37
3702992920,"Shiloh township, Camden County, North Carolina",1973.0,1819.0,57.0,73.0,24.0,0.0,029,92920,37
3702993044,"South Mills township, Camden County, North Carolina",3131.0,2943.0,39.0,104.0,45.0,0.0,029,93044,37
3704393192,"Sweetwater township, Clay County, North Carolina",909.0,909.0,0.0,0.0,0.0,0.0,043,93192,37
3704392944,"Shooting Creek township, Clay County, North Carolina",1291.0,1081.0,34.0,0.0,176.0,0.0,043,92944,37
3704393792,"Tusquittee township, Clay County, North Carolina",586.0,542.0,0.0,0.0,44.0,0.0,043,93792,37
3704390360,"Brasstown township, Clay County, North Carolina",2151.0,1984.0,0.0,54.0,113.0,0.0,043,90360,37
3704391436,"Hayesville township, Clay County, North Carolina",3460.0,3077.0,146.0,52.0,185.0,0.0,043,91436,37
3705190288,"Black River township, Cumberland County, North Carolina",1315.0,1159.0,55.0,90.0,11.0,0.0,051,90288,37
3705190968,"Eastover township, Cumberland County, North Carolina",8493.0,7824.0,337.0,81.0,250.0,1.0,051,90968,37
3705190832,"Cross Creek township, Cumberland County, North Carolina",28379.0,23277.0,2737.0,590.0,1598.0,177.0,051,90832,37
3705192724,"Rockfish township, Cumberland County, North Carolina",29071.0,24163.0,2362.0,1024.0,1443.0,79.0,051,92724,37
3705192892,"Seventy-First township, Cumberland County, North Carolina",33267.0,24683.0,3336.0,651.0,4035.0,562.0,051,92892,37
3705191296,"Grays Creek township, Cumberland County, North Carolina",6481.0,5578.0,618.0,0.0,285.0,0.0,051,91296,37
3705190192,"Beaver Dam township, Cumberland County, North Carolina",953.0,738.0,178.0,37.0,0.0,0.0,051,90192,37
3705192460,"Pearces Mill township, Cumberland County, North Carolina",7374.0,6007.0,873.0,147.0,321.0,26.0,051,92460,37
3705190532,"Carvers Creek township, Cumberland County, North Carolina",10367.0,8448.0,806.0,288.0,708.0,117.0,051,90532,37
3705191964,"Manchester township, Cumberland County, North Carolina",12990.0,6753.0,1916.0,369.0,3327.0,625.0,051,91964,37
3705190572,"Cedar Creek township, Cumberland County, North Carolina",7825.0,7446.0,192.0,42.0,142.0,3.0,051,90572,37
3707193048,"South Point township, Gaston County, North Carolina",36007.0,31824.0,2573.0,769.0,827.0,14.0,071,93048,37
3707190844,"Crowders Mountain township, Gaston County, North Carolina",12421.0,11113.0,905.0,207.0,191.0,5.0,071,90844,37
3707191216,"Gastonia township, Gaston County, North Carolina",52082.0,44982.0,4542.0,1395.0,1073.0,90.0,071,91216,37
3701192090,"Minneapolis township, Avery County, North Carolina",368.0,341.0,27.0,0.0,0.0,0.0,011,92090,37
3701190148,"Banner Elk township, Avery County, North Carolina",3405.0,2870.0,112.0,273.0,147.0,3.0,011,90148,37
3701190510,"Carey's Flat township, Avery County, North Carolina",70.0,70.0,0.0,0.0,0.0,0.0,011,90510,37
3701192708,"Roaring Creek township, Avery County, North Carolina",588.0,588.0,0.0,0.0,0.0,0.0,011,92708,37
3701192586,"Pyatte township, Avery County, North Carolina",432.0,374.0,10.0,48.0,0.0,0.0,011,92586,37
3701191826,"Linville township, Avery County, North Carolina",414.0,386.0,0.0,26.0,2.0,0.0,011,91826,37
