geoid,name,total,same_house,moved_within_county,moved_from_different_county_in_same_state,moved_from_different_state,moved_from_abroad,county,county subdivision,state
5305790272,"Bow CCD, Skagit County, Washington",4710.0,4357.0,121.0,169.0,11.0,52.0,057,90272,53
5305793360,"Swinomish Reservation CCD, Skagit County, Washington",2142.0,1866.0,121.0,84.0,65.0,6.0,057,93360,53
5305792096,"Mount Vernon CCD, Skagit County, Washington",21600.0,17868.0,2199.0,1117.0,390.0,26.0,057,92096,53
5305790384,"Burlington CCD, Skagit County, Washington",8819.0,7017.0,882.0,667.0,253.0,0.0,057,90384,53
5305790768,"Conway CCD, Skagit County, Washington",2969.0,2662.0,127.0,151.0,29.0,0.0,057,90768,53
5305791536,"La Conner CCD, Skagit County, Washington",2902.0,2675.0,120.0,2.0,50.0,55.0,057,91536,53
5305791776,"Lyman-Hamilton CCD, Skagit County, Washington",2482.0,2193.0,186.0,14.0,89.0,0.0,057,91776,53
5305792944,"Sedro-Woolley CCD, Skagit County, Washington",11163.0,9534.0,1184.0,326.0,105.0,14.0,057,92944,53
5305790608,"Clear Lake CCD, Skagit County, Washington",1801.0,1594.0,119.0,88.0,0.0,0.0,057,90608,53
5305790064,"Anacortes CCD, Skagit County, Washington",18675.0,15705.0,1487.0,582.0,691.0,210.0,057,90064,53
5306593232,"Springdale CCD, Stevens County, Washington",4869.0,4262.0,118.0,216.0,254.0,19.0,065,93232,53
5306590560,"Chewelah CCD, Stevens County, Washington",5044.0,4336.0,471.0,117.0,110.0,10.0,065,90560,53
5306590688,"Colville CCD, Stevens County, Washington",10033.0,8531.0,1092.0,200.0,179.0,31.0,065,90688,53
5306593216,"Spokane Reservation CCD, Stevens County, Washington",329.0,265.0,28.0,26.0,10.0,0.0,065,93216,53
5306591680,"Loon Lake CCD, Stevens County, Washington",9803.0,9066.0,285.0,364.0,46.0,42.0,065,91680,53
5306591472,"Kettle Falls CCD, Stevens County, Washington",6219.0,5583.0,249.0,254.0,85.0,48.0,065,91472,53
5306393200,"Spokane CCD, Spokane County, Washington",304991.0,249796.0,37169.0,7327.0,9794.0,905.0,063,93200,53
5306390880,"Deer Park CCD, Spokane County, Washington",28406.0,24641.0,2122.0,896.0,747.0,0.0,063,90880,53
5306392816,"Rockford CCD, Spokane County, Washington",2535.0,2288.0,184.0,24.0,39.0,0.0,063,92816,53
5306393584,"Valleyford CCD, Spokane County, Washington",2882.0,2574.0,213.0,39.0,45.0,11.0,063,93584,53
5306390048,"Airway Heights CCD, Spokane County, Washington",11035.0,9058.0,992.0,733.0,245.0,7.0,063,90048,53
5306390640,"Colbert CCD, Spokane County, Washington",10377.0,8901.0,892.0,510.0,74.0,0.0,063,90640,53
5306391616,"Liberty Lake CCD, Spokane County, Washington",15937.0,13156.0,1567.0,520.0,642.0,52.0,063,91616,53
5306392080,"Mount Spokane CCD, Spokane County, Washington",5546.0,5089.0,435.0,1.0,21.0,0.0,063,92080,53
5304392304,"Odessa CCD, Lincoln County, Washington",2738.0,2373.0,91.0,230.0,35.0,9.0,043,92304,53
5304393760,"Wilbur CCD, Lincoln County, Washington",2422.0,2227.0,115.0,30.0,40.0,10.0,043,93760,53
5304390848,"Davenport CCD, Lincoln County, Washington",4273.0,3924.0,198.0,95.0,53.0,3.0,043,90848,53
5300793712,"Wenatchee CCD, Chelan County, Washington",26844.0,23248.0,1411.0,1800.0,345.0,40.0,007,93712,53
5300790448,"Cashmere CCD, Chelan County, Washington",8223.0,7406.0,478.0,205.0,80.0,54.0,007,90448,53
5300791600,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",5848.0,5474.0,171.0,139.0,56.0,8.0,007,91600,53
5300793280,"Stehekin CCD, Chelan County, Washington",35.0,25.0,4.0,0.0,0.0,6.0,007,93280,53
5300992592,"Port Angeles CCD, Clallam County, Washington",25981.0,22337.0,2328.0,473.0,821.0,22.0,009,92592,53
5300991168,"Forks CCD, Clallam County, Washington",4634.0,4128.0,353.0,63.0,90.0,0.0,009,91168,53
5300990032,"Agnew-Carlsborg CCD, Clallam County, Washington",9933.0,9106.0,314.0,273.0,195.0,45.0,009,90032,53
5300990816,"Crescent CCD, Clallam County, Washington",2937.0,2568.0,171.0,55.0,116.0,27.0,009,90816,53
5301591664,"Longview-Kelso CCD, Cowlitz County, Washington",51205.0,40278.0,7676.0,1467.0,1722.0,62.0,015,91664,53
5301591440,"Kalama CCD, Cowlitz County, Washington",5918.0,5384.0,367.0,93.0,74.0,0.0,015,91440,53
5301592864,"Rose Valley CCD, Cowlitz County, Washington",4583.0,4210.0,305.0,43.0,25.0,0.0,015,92864,53
5301593856,"Woodland CCD, Cowlitz County, Washington",9260.0,7971.0,844.0,268.0,177.0,0.0,015,93856,53
5301590464,"Castle Rock CCD, Cowlitz County, Washington",13794.0,11546.0,1791.0,269.0,137.0,51.0,015,90464,53
5301990832,"Curlew CCD, Ferry County, Washington",1091.0,921.0,32.0,65.0,73.0,0.0,019,90832,53
5301990704,"Colville Reservation CCD, Ferry County, Washington",515.0,464.0,8.0,43.0,0.0,0.0,019,90704,53
5301992752,"Republic CCD, Ferry County, Washington",2659.0,2349.0,76.0,101.0,133.0,0.0,019,92752,53
5300791040,"Entiat CCD, Chelan County, Washington",1582.0,1501.0,35.0,29.0,12.0,5.0,007,91040,53
5300791840,"Malaga CCD, Chelan County, Washington",3078.0,2616.0,259.0,155.0,13.0,35.0,007,91840,53
5300791904,"Manson CCD, Chelan County, Washington",1579.0,1500.0,45.0,21.0,13.0,0.0,007,91904,53
5300790544,"Chelan CCD, Chelan County, Washington",3886.0,3626.0,118.0,98.0,26.0,18.0,007,90544,53
5303193728,"West End CCD, Jefferson County, Washington",426.0,243.0,11.0,161.0,11.0,0.0,031,93728,53
5303590288,"Bremerton CCD, Kitsap County, Washington",78565.0,63052.0,9121.0,2254.0,3904.0,234.0,035,90288,53
5303591488,"Kingston CCD, Kitsap County, Washington",10591.0,9608.0,390.0,186.0,352.0,55.0,035,91488,53
5303592624,"Poulsbo CCD, Kitsap County, Washington",35525.0,29168.0,3224.0,664.0,2315.0,154.0,035,92624,53
5303590120,"Bainbridge Island CCD, Kitsap County, Washington",20544.0,16722.0,1565.0,897.0,984.0,376.0,035,90120,53
5303592608,"Port Orchard CCD, Kitsap County, Washington",53186.0,45190.0,4630.0,1829.0,1434.0,103.0,035,92608,53
5303391056,"Enumclaw Plateau CCD, King County, Washington",50419.0,44927.0,3729.0,1038.0,525.0,200.0,033,91056,53
5303393392,"Tahoma-Maple Valley CCD, King County, Washington",51150.0,44671.0,4666.0,618.0,1001.0,194.0,033,93392,53
5303392928,"Seattle CCD, King County, Washington",629772.0,503395.0,78541.0,14163.0,28034.0,5639.0,033,92928,53
5303393616,"Vashon Island CCD, King County, Washington",8803.0,7661.0,853.0,23.0,266.0,0.0,033,93616,53
5303391392,"Issaquah Plateau CCD, King County, Washington",52375.0,45418.0,4582.0,447.0,1605.0,323.0,033,91392,53
5303393078,"Snoqualmie Valley CCD, King County, Washington",44119.0,39134.0,3880.0,547.0,482.0,76.0,033,93078,53
5304992128,"Naselle CCD, Pacific County, Washington",1512.0,1330.0,71.0,24.0,87.0,0.0,049,92128,53
5304993776,"Willapa Valley CCD, Pacific County, Washington",1510.0,1429.0,53.0,17.0,5.0,6.0,049,93776,53
5304992736,"Raymond CCD, Pacific County, Washington",6027.0,5291.0,298.0,274.0,157.0,7.0,049,92736,53
5305192160,"Newport CCD, Pend Oreille County, Washington",9474.0,8117.0,546.0,400.0,396.0,15.0,051,92160,53
5305191376,"Ione-Metaline Falls CCD, Pend Oreille County, Washington",2036.0,1835.0,43.0,101.0,57.0,0.0,051,91376,53
5305592432,"Orcas CCD, San Juan County, Washington",4891.0,4159.0,426.0,124.0,177.0,5.0,055,92432,53
5305591696,"Lopez CCD, San Juan County, Washington",2618.0,2281.0,127.0,103.0,83.0,24.0,055,91696,53
5305993312,"Stevenson CCD, Skamania County, Washington",1685.0,1477.0,83.0,52.0,70.0,3.0,059,93312,53
5307592848,"Rosalia CCD, Whitman County, Washington",962.0,764.0,101.0,44.0,53.0,0.0,075,92848,53
5307593536,"Uniontown CCD, Whitman County, Washington",1145.0,1017.0,65.0,20.0,39.0,4.0,075,93536,53
5307590656,"Colfax-Palouse CCD, Whitman County, Washington",4797.0,3879.0,575.0,257.0,75.0,11.0,075,90656,53
5307592656,"Pullman CCD, Whitman County, Washington",25471.0,13728.0,4830.0,4636.0,2000.0,277.0,075,92656,53
5307592832,"Rock Lake CCD, Whitman County, Washington",1625.0,1349.0,95.0,128.0,51.0,2.0,075,92832,53
5307593424,"Tekoa CCD, Whitman County, Washington",926.0,735.0,64.0,66.0,59.0,2.0,075,93424,53
5307793904,"Yakima CCD, Yakima County, Washington",80195.0,67340.0,9126.0,1770.0,1745.0,214.0,077,93904,53
5307791808,"Mabton CCD, Yakima County, Washington",334.0,329.0,5.0,0.0,0.0,0.0,077,91808,53
5307793344,"Sunnyside CCD, Yakima County, Washington",12819.0,11792.0,690.0,237.0,82.0,18.0,077,93344,53
5307792192,"Northeast Yakima CCD, Yakima County, Washington",4851.0,4361.0,432.0,45.0,13.0,0.0,077,92192,53
5307793184,"South Yakima CCD, Yakima County, Washington",918.0,785.0,104.0,0.0,22.0,7.0,077,93184,53
5307793472,"Toppenish-Wapato CCD, Yakima County, Washington",3740.0,3249.0,342.0,78.0,65.0,6.0,077,93472,53
5307792240,"Northwest Yakima CCD, Yakima County, Washington",6075.0,5351.0,401.0,95.0,228.0,0.0,077,92240,53
5300990576,"Clallam Bay-Neah Bay CCD, Clallam County, Washington",891.0,735.0,74.0,79.0,0.0,3.0,009,90576,53
5300992960,"Sequim CCD, Clallam County, Washington",16307.0,13902.0,1370.0,193.0,798.0,44.0,009,92960,53
5303993744,"White Salmon CCD, Klickitat County, Washington",6048.0,5660.0,167.0,83.0,118.0,20.0,039,93744,53
5303991264,"Goldendale CCD, Klickitat County, Washington",6299.0,5390.0,445.0,318.0,146.0,0.0,039,91264,53
5304191088,"Ethel CCD, Lewis County, Washington",2641.0,2314.0,233.0,74.0,20.0,0.0,041,91088,53
5304191984,"Mineral CCD, Lewis County, Washington",4367.0,3793.0,361.0,48.0,159.0,6.0,041,91984,53
5304191648,"Logan Hill CCD, Lewis County, Washington",3711.0,3210.0,251.0,111.0,139.0,0.0,041,91648,53
5304192048,"Mossyrock CCD, Lewis County, Washington",3504.0,3060.0,270.0,113.0,61.0,0.0,041,92048,53
5304192016,"Morton CCD, Lewis County, Washington",2425.0,1966.0,214.0,54.0,191.0,0.0,041,92016,53
5304190352,"Bunker CCD, Lewis County, Washington",3302.0,3041.0,111.0,150.0,0.0,0.0,041,90352,53
5304190208,"Big Bottom CCD, Lewis County, Washington",2259.0,1986.0,128.0,99.0,46.0,0.0,041,90208,53
5304190512,"Centralia-Chehalis CCD, Lewis County, Washington",24737.0,19753.0,3096.0,1513.0,368.0,7.0,041,90512,53
5301790320,"Bridgeport CCD, Douglas County, Washington",2384.0,2105.0,29.0,229.0,21.0,0.0,017,90320,53
5301790944,"East Wenatchee CCD, Douglas County, Washington",21023.0,18509.0,1222.0,934.0,331.0,27.0,017,90944,53
5301793696,"Waterville CCD, Douglas County, Washington",2681.0,2280.0,178.0,205.0,18.0,0.0,017,93696,53
5302791360,"Humptulips CCD, Grays Harbor County, Washington",1087.0,945.0,40.0,0.0,98.0,4.0,027,91360,53
5302792704,"Quinault Reservation CCD, Grays Harbor County, Washington",116.0,107.0,2.0,1.0,6.0,0.0,027,92704,53
5302791856,"Malone-Porter CCD, Grays Harbor County, Washington",1704.0,1582.0,34.0,43.0,45.0,0.0,027,91856,53
5302792288,"Oakville CCD, Grays Harbor County, Washington",1491.0,1412.0,18.0,57.0,4.0,0.0,027,92288,53
5302790016,"Aberdeen-Hoquiam CCD, Grays Harbor County, Washington",24138.0,20138.0,2739.0,808.0,437.0,16.0,027,90016,53
5302791024,"Elma CCD, Grays Harbor County, Washington",5341.0,4914.0,191.0,133.0,103.0,0.0,027,91024,53
5302792208,"North River CCD, Grays Harbor County, Washington",543.0,482.0,52.0,9.0,0.0,0.0,027,92208,53
5302793840,"Wishkah CCD, Grays Harbor County, Washington",1168.0,1056.0,73.0,37.0,2.0,0.0,027,93840,53
5302791824,"McCleary CCD, Grays Harbor County, Washington",3260.0,2798.0,242.0,169.0,51.0,0.0,027,91824,53
5305391184,"Fort Lewis-DuPont CCD, Pierce County, Washington",18320.0,12095.0,1389.0,265.0,3755.0,816.0,053,91184,53
5305392064,"Mount Rainier CCD, Pierce County, Washington",3110.0,2684.0,164.0,122.0,131.0,9.0,053,92064,53
5305390336,"Buckley CCD, Pierce County, Washington",19679.0,16751.0,1741.0,845.0,307.0,35.0,053,90336,53
5305392672,"Puyallup CCD, Pierce County, Washington",126746.0,105838.0,12016.0,5655.0,3026.0,211.0,053,92672,53
5305392880,"Roy CCD, Pierce County, Washington",13243.0,11406.0,1182.0,248.0,355.0,52.0,053,92880,53
5305390976,"Eatonville CCD, Pierce County, Washington",4999.0,4695.0,186.0,67.0,51.0,0.0,053,90976,53
5305391232,"Gig Harbor Peninsula CCD, Pierce County, Washington",43440.0,37430.0,2691.0,1564.0,1702.0,53.0,053,91232,53
