geoid,name,total,county,county subdivision,state
0900163480,"Redding town, Fairfield County, Connecticut",9274.0,001,63480,09
0900174190,"Stratford town, Fairfield County, Connecticut",52529.0,001,74190,09
0900173070,"Stamford town, Fairfield County, Connecticut",128851.0,001,73070,09
0900150580,"New Canaan town, Fairfield County, Connecticut",20357.0,001,50580,09
0900150860,"New Fairfield town, Fairfield County, Connecticut",14091.0,001,50860,09
0900152980,"Newtown town, Fairfield County, Connecticut",28030.0,001,52980,09
0900183430,"Weston town, Fairfield County, Connecticut",10369.0,001,83430,09
090010,"County subdivisions not defined, Fairfield County, Connecticut",0.0,001,0,09
0900123890,"Easton town, Fairfield County, Connecticut",7607.0,001,23890,09
0900186370,"Wilton town, Fairfield County, Connecticut",18659.0,001,86370,09
090018070,"Bridgeport town, Fairfield County, Connecticut",147586.0,001,8070,09
0900118850,"Darien town, Fairfield County, Connecticut",21742.0,001,18850,09
0900126620,"Fairfield town, Fairfield County, Connecticut",61611.0,001,26620,09
090014720,"Bethel town, Fairfield County, Connecticut",19526.0,001,4720,09
0900163970,"Ridgefield town, Fairfield County, Connecticut",25206.0,001,63970,09
0900168170,"Shelton town, Fairfield County, Connecticut",41282.0,001,68170,09
0900183500,"Westport town, Fairfield County, Connecticut",27777.0,001,83500,09
0900118500,"Danbury town, Fairfield County, Connecticut",84573.0,001,18500,09
090093250,"Beacon Falls town, New Haven County, Connecticut",6108.0,009,3250,09
0900982870,"West Haven town, New Haven County, Connecticut",55044.0,009,82870,09
090094580,"Bethany town, New Haven County, Connecticut",5526.0,009,4580,09
0900922910,"East Haven town, New Haven County, Connecticut",29006.0,009,22910,09
0900934950,"Guilford town, New Haven County, Connecticut",22377.0,009,34950,09
0900944560,"Madison town, New Haven County, Connecticut",18247.0,009,44560,09
0900946940,"Middlebury town, New Haven County, Connecticut",7658.0,009,46940,09
0900987560,"Wolcott town, New Haven County, Connecticut",16696.0,009,87560,09
0900978740,"Wallingford town, New Haven County, Connecticut",44991.0,009,78740,09
0900987700,"Woodbridge town, New Haven County, Connecticut",8907.0,009,87700,09
090091220,"Ansonia town, New Haven County, Connecticut",18953.0,009,1220,09
0900949950,"Naugatuck town, New Haven County, Connecticut",31649.0,009,49950,09
0900957600,"Orange town, New Haven County, Connecticut",13981.0,009,57600,09
0900958300,"Oxford town, New Haven County, Connecticut",12972.0,009,58300,09
0900962290,"Prospect town, New Haven County, Connecticut",9748.0,009,62290,09
090090,"County subdivisions not defined, New Haven County, Connecticut",0.0,009,0,09
090097310,"Branford town, New Haven County, Connecticut",28149.0,009,7310,09
0900919550,"Derby town, New Haven County, Connecticut",12700.0,009,19550,09
0900946520,"Meriden town, New Haven County, Connecticut",60241.0,009,46520,09
0900952070,"New Haven town, New Haven County, Connecticut",130884.0,009,52070,09
0900969640,"Southbury town, New Haven County, Connecticut",19675.0,009,69640,09
0900914160,"Cheshire town, New Haven County, Connecticut",29274.0,009,14160,09
0900953890,"North Branford town, New Haven County, Connecticut",14275.0,009,53890,09
