geoid,name,total,county,county subdivision,state
2911522438,"Enterprise township, Linn County, Missouri",164.0,115,22438,29
2911528612,"Grantsville township, Linn County, Missouri",179.0,115,28612,29
2911553300,"North Salem township, Linn County, Missouri",94.0,115,53300,29
291154726,"Benton township, Linn County, Missouri",422.0,115,4726,29
2911535864,"Jackson township, Linn County, Missouri",155.0,115,35864,29
2911556378,"Parson Creek township, Linn County, Missouri",803.0,115,56378,29
2911581304,"Yellow Creek township, Linn County, Missouri",399.0,115,81304,29
2909180116,"Willow Springs township, Howell County, Missouri",5289.0,091,80116,29
290914690,"Benton township, Howell County, Missouri",1750.0,091,4690,29
2909168780,"South Fork township, Howell County, Missouri",1305.0,091,68780,29
2909120188,"Dry Creek township, Howell County, Missouri",1680.0,091,20188,29
2909133382,"Howell township, Howell County, Missouri",19601.0,091,33382,29
2909168078,"Sisson township, Howell County, Missouri",1659.0,091,68078,29
2909150960,"Myatt township, Howell County, Missouri",619.0,091,50960,29
2909127748,"Goldsberry township, Howell County, Missouri",3994.0,091,27748,29
2910138936,"Kingsville township, Johnson County, Missouri",1271.0,101,38936,29
2910163146,"Rose Hill township, Johnson County, Missouri",674.0,101,63146,29
2910177110,"Warrensburg township, Johnson County, Missouri",24040.0,101,77110,29
2910177524,"Washington township, Johnson County, Missouri",8617.0,101,77524,29
2910135846,"Jackson township, Johnson County, Missouri",5416.0,101,35846,29
2910136836,"Jefferson township, Johnson County, Missouri",634.0,101,36836,29
2910113672,"Chilhowee township, Johnson County, Missouri",1296.0,101,13672,29
2910168006,"Simpson township, Johnson County, Missouri",513.0,101,68006,29
2910115724,"Columbus township, Johnson County, Missouri",721.0,101,15724,29
2910129620,"Grover township, Johnson County, Missouri",537.0,101,29620,29
2910159312,"Post Oak township, Johnson County, Missouri",2169.0,101,59312,29
2910145434,"Madison township, Johnson County, Missouri",3222.0,101,45434,29
291052494,"Auglaize township, Laclede County, Missouri",2217.0,105,2494,29
2910541186,"Lebanon township, Laclede County, Missouri",19063.0,105,41186,29
2910521556,"Eldridge township, Laclede County, Missouri",686.0,105,21556,29
2910526596,"Gasconade township, Laclede County, Missouri",740.0,105,26596,29
2910577542,"Washington township, Laclede County, Missouri",1712.0,105,77542,29
2910525660,"Franklin township, Laclede County, Missouri",834.0,105,25660,29
2909113168,"Chapel township, Howell County, Missouri",416.0,091,13168,29
2909134120,"Hutton Valley township, Howell County, Missouri",1013.0,091,34120,29
2909167844,"Siloam Springs township, Howell County, Missouri",596.0,091,67844,29
2909169644,"Spring Creek township, Howell County, Missouri",2217.0,091,69644,29
2910131240,"Hazel Hill township, Johnson County, Missouri",1428.0,101,31240,29
2910112700,"Centerview township, Johnson County, Missouri",1809.0,101,12700,29
2910149700,"Montserrat township, Johnson County, Missouri",1594.0,101,49700,29
2910574734,"Union township, Laclede County, Missouri",1863.0,105,74734,29
2910570072,"Spring Hollow township, Laclede County, Missouri",4255.0,105,70072,29
2908959546,"Prairie township, Howard County, Missouri",717.0,089,59546,29
