geoid,name,total,county,county subdivision,state
3718792968,"Skinnersville township, Washington County, North Carolina",1003.0,187,92968,37
3718792540,"Plymouth township, Washington County, North Carolina",6844.0,187,92540,37
3718792876,"Scuppernong township, Washington County, North Carolina",1687.0,187,92876,37
3718791768,"Lees Mill township, Washington County, North Carolina",2797.0,187,91768,37
3702990784,"Courthouse township, Camden County, North Carolina",4041.0,029,90784,37
3702992920,"Shiloh township, Camden County, North Carolina",2435.0,029,92920,37
3702993044,"South Mills township, Camden County, North Carolina",3860.0,029,93044,37
3704393192,"Sweetwater township, Clay County, North Carolina",909.0,043,93192,37
3704392944,"Shooting Creek township, Clay County, North Carolina",1320.0,043,92944,37
3704393792,"Tusquittee township, Clay County, North Carolina",586.0,043,93792,37
3704390360,"Brasstown township, Clay County, North Carolina",2324.0,043,90360,37
3704391436,"Hayesville township, Clay County, North Carolina",3798.0,043,91436,37
3705190288,"Black River township, Cumberland County, North Carolina",1928.0,051,90288,37
3705190968,"Eastover township, Cumberland County, North Carolina",13626.0,051,90968,37
3705190832,"Cross Creek township, Cumberland County, North Carolina",67779.0,051,90832,37
3705192724,"Rockfish township, Cumberland County, North Carolina",58329.0,051,92724,37
3705192892,"Seventy-First township, Cumberland County, North Carolina",96425.0,051,92892,37
3705191296,"Grays Creek township, Cumberland County, North Carolina",9826.0,051,91296,37
3705190192,"Beaver Dam township, Cumberland County, North Carolina",1224.0,051,90192,37
3705192460,"Pearces Mill township, Cumberland County, North Carolina",18065.0,051,92460,37
3705190532,"Carvers Creek township, Cumberland County, North Carolina",23884.0,051,90532,37
3705191964,"Manchester township, Cumberland County, North Carolina",28678.0,051,91964,37
3705190572,"Cedar Creek township, Cumberland County, North Carolina",13002.0,051,90572,37
3707193048,"South Point township, Gaston County, North Carolina",44721.0,071,93048,37
3707190844,"Crowders Mountain township, Gaston County, North Carolina",16146.0,071,90844,37
3707191216,"Gastonia township, Gaston County, North Carolina",86477.0,071,91216,37
3701192090,"Minneapolis township, Avery County, North Carolina",402.0,011,92090,37
3701190148,"Banner Elk township, Avery County, North Carolina",3768.0,011,90148,37
3701190510,"Carey's Flat township, Avery County, North Carolina",70.0,011,90510,37
3701192708,"Roaring Creek township, Avery County, North Carolina",594.0,011,92708,37
3701192586,"Pyatte township, Avery County, North Carolina",465.0,011,92586,37
3701191826,"Linville township, Avery County, North Carolina",417.0,011,91826,37
3701192502,"Pineola township, Avery County, North Carolina",1105.0,011,92502,37
3701190052,"Altamont township, Avery County, North Carolina",1524.0,011,90052,37
3701191558,"Hughes township, Avery County, North Carolina",315.0,011,91558,37
3701191154,"Frank township, Avery County, North Carolina",285.0,011,91154,37
3701190812,"Cranberry township, Avery County, North Carolina",534.0,011,90812,37
3701190212,"Beech Mountain township, Avery County, North Carolina",461.0,011,90212,37
3701191442,"Heaton township, Avery County, North Carolina",137.0,011,91442,37
3702191932,"Lower Hominy township, Buncombe County, North Carolina",10008.0,021,91932,37
3702192648,"Reems Creek township, Buncombe County, North Carolina",12879.0,021,92648,37
3702191776,"Leicester township, Buncombe County, North Carolina",20468.0,021,91776,37
3702191176,"French Broad township, Buncombe County, North Carolina",7386.0,021,91176,37
3702191604,"Ivy township, Buncombe County, North Carolina",3545.0,021,91604,37
3702191816,"Limestone township, Buncombe County, North Carolina",15060.0,021,91816,37
3702193840,"Upper Hominy township, Buncombe County, North Carolina",17642.0,021,93840,37
3702190108,"Avery Creek township, Buncombe County, North Carolina",7422.0,021,90108,37
3702190380,"Broad River township, Buncombe County, North Carolina",1418.0,021,90380,37
3702191056,"Fairview township, Buncombe County, North Carolina",11779.0,021,91056,37
3702192832,"Sandy Mush township, Buncombe County, North Carolina",1690.0,021,92832,37
