geoid,name,total,county,county subdivision,state
5403392352,"Northern district, Harrison County, West Virginia",10196.0,033,92352,54
5403392952,"Southwest district, Harrison County, West Virginia",11345.0,033,92952,54
5403392932,"South Urban district, Harrison County, West Virginia",11647.0,033,92932,54
5403392923,"Southern district, Harrison County, West Virginia",12467.0,033,92923,54
5403392368,"North Urban district, Harrison County, West Virginia",9642.0,033,92368,54
5403390975,"Eastern district, Harrison County, West Virginia",13141.0,033,90975,54
5406990824,"District 2, Ohio County, West Virginia",11958.0,069,90824,54
5406990862,"District 3, Ohio County, West Virginia",15174.0,069,90862,54
5406990788,"District 1, Ohio County, West Virginia",15774.0,069,90788,54
5408591380,"Grant district, Ritchie County, West Virginia",1821.0,085,91380,54
5408592244,"Murphy district, Ritchie County, West Virginia",1286.0,085,92244,54
5408593336,"Union district, Ritchie County, West Virginia",3434.0,085,93336,54
5408590552,"Clay district, Ritchie County, West Virginia",3464.0,085,90552,54
5401390873,"District 4, Calhoun County, West Virginia",1816.0,013,90873,54
5401390766,"District 1, Calhoun County, West Virginia",1276.0,013,90766,54
5401390885,"District 5, Calhoun County, West Virginia",1963.0,013,90885,54
5401390836,"District 3, Calhoun County, West Virginia",1496.0,013,90836,54
5401390800,"District 2, Calhoun County, West Virginia",899.0,013,90800,54
5406590822,"District 2, Morgan County, West Virginia",6010.0,065,90822,54
5406590786,"District 1, Morgan County, West Virginia",5361.0,065,90786,54
5406590858,"District 3, Morgan County, West Virginia",6139.0,065,90858,54
5408190828,"District 2, Raleigh County, West Virginia",25145.0,081,90828,54
5408190792,"District 1, Raleigh County, West Virginia",22493.0,081,90792,54
5408190864,"District 3, Raleigh County, West Virginia",29459.0,081,90864,54
5400793597,"Western district, Braxton County, West Virginia",3324.0,007,93597,54
5400792346,"Northern district, Braxton County, West Virginia",3847.0,007,92346,54
5400792922,"Southern district, Braxton County, West Virginia",3930.0,007,92922,54
5400790968,"Eastern district, Braxton County, West Virginia",3244.0,007,90968,54
5407990720,"Curry district, Putnam County, West Virginia",10089.0,079,90720,54
5407990292,"Buffalo-Union district, Putnam County, West Virginia",10742.0,079,90292,54
5407992508,"Pocatalico district, Putnam County, West Virginia",8647.0,079,92508,54
5407993090,"Teays district, Putnam County, West Virginia",15110.0,079,93090,54
5407992736,"Scott district, Putnam County, West Virginia",12056.0,079,92736,54
5400193588,"West district, Barbour County, West Virginia",3793.0,001,93588,54
5400192892,"South district, Barbour County, West Virginia",5803.0,001,92892,54
5400192328,"North district, Barbour County, West Virginia",7194.0,001,92328,54
5400590762,"District 1, Boone County, West Virginia",7446.0,005,90762,54
5400590796,"District 2, Boone County, West Virginia",7160.0,005,90796,54
5400590832,"District 3, Boone County, West Virginia",8630.0,005,90832,54
5404790168,"Big Creek district, McDowell County, West Virginia",5411.0,047,90168,54
5404790240,"Browns Creek district, McDowell County, West Virginia",6185.0,047,90240,54
5404792345,"North Elkin district, McDowell County, West Virginia",3204.0,047,92345,54
5404792712,"Sandy River district, McDowell County, West Virginia",4907.0,047,92712,54
5409990324,"Butler district, Wayne County, West Virginia",9745.0,099,90324,54
5409990492,"Ceredo district, Wayne County, West Virginia",6466.0,099,90492,54
5409993624,"Westmoreland district, Wayne County, West Virginia",8936.0,099,93624,54
5409993036,"Stonewall district, Wayne County, West Virginia",7796.0,099,93036,54
5409993372,"Union district, Wayne County, West Virginia",8120.0,099,93372,54
5410990868,"District 3, Wyoming County, West Virginia",7318.0,109,90868,54
5410990795,"District 1, Wyoming County, West Virginia",6979.0,109,90795,54
5410990831,"District 2, Wyoming County, West Virginia",7833.0,109,90831,54
5403590976,"Eastern district, Jackson County, West Virginia",9632.0,035,90976,54
5403592353,"Northern district, Jackson County, West Virginia",8478.0,035,92353,54
5403593605,"Western district, Jackson County, West Virginia",11013.0,035,93605,54
5405590900,"District I, Mercer County, West Virginia",17251.0,055,90900,54
5405590924,"District III, Mercer County, West Virginia",20824.0,055,90924,54
5405590912,"District II, Mercer County, West Virginia",22888.0,055,90912,54
5409793105,"Third district, Upshur County, West Virginia",8064.0,097,93105,54
5409792745,"Second district, Upshur County, West Virginia",8329.0,097,92745,54
5409791102,"First district, Upshur County, West Virginia",8211.0,097,91102,54
5410190471,"Central district, Webster County, West Virginia",2967.0,101,90471,54
5410192360,"Northern district, Webster County, West Virginia",2922.0,101,92360,54
5410192925,"Southern district, Webster County, West Virginia",2748.0,101,92925,54
5400392526,"Potomac district, Berkeley County, West Virginia",18504.0,003,92526,54
5400390006,"Adam Stephens district, Berkeley County, West Virginia",14425.0,003,90006,54
5400392322,"Norborne district, Berkeley County, West Virginia",11862.0,003,92322,54
5400393388,"Valley district, Berkeley County, West Virginia",20172.0,003,93388,54
5400393171,"Tuscarora district, Berkeley County, West Virginia",23546.0,003,93171,54
5400392754,"Shenandoah district, Berkeley County, West Virginia",23101.0,003,92754,54
