geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
0212238460,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",52326.0,42714.0,249.0,3459.0,614.0,171.0,91.0,2925.0,2103.0,122,38460,02,785.0,6475.0
0226114420,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",7712.0,5792.0,13.0,577.0,257.0,58.0,0.0,612.0,403.0,261,14420,02,315.0,1189.0
0206818765,"Denali census subarea, Denali Borough, Alaska",2303.0,1905.0,4.0,50.0,109.0,0.0,5.0,213.0,17.0,068,18765,02,109.0,268.0
0226117350,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",1727.0,836.0,0.0,676.0,10.0,0.0,3.0,152.0,50.0,261,17350,02,10.0,831.0
0212268610,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",5635.0,4229.0,51.0,668.0,249.0,20.0,0.0,228.0,190.0,122,68610,02,269.0,896.0
0229046060,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",1028.0,174.0,4.0,718.0,12.0,0.0,0.0,89.0,31.0,290,46060,02,12.0,807.0
0216442780,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",1301.0,283.0,9.0,868.0,28.0,3.0,2.0,88.0,20.0,164,42780,02,31.0,958.0
0224072030,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",6889.0,5162.0,99.0,794.0,132.0,3.0,0.0,343.0,356.0,240,72030,02,135.0,1137.0
0229042080,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",3201.0,833.0,1.0,2131.0,21.0,0.0,0.0,160.0,55.0,290,42080,02,21.0,2291.0
0229086690,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",1224.0,157.0,0.0,992.0,7.0,0.0,0.0,37.0,31.0,290,86690,02,7.0,1029.0
020203050,"Anchorage census subarea, Anchorage Municipality, Alaska",298225.0,176518.0,15649.0,20345.0,27383.0,6941.0,698.0,24276.0,26415.0,020,3050,02,34324.0,45319.0
020131598,"Aleutians East census subarea, Aleutians East Borough, Alaska",3338.0,516.0,160.0,1249.0,871.0,46.0,0.0,172.0,324.0,013,1598,02,917.0,1421.0
