geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
0803991190,"Elizabeth CCD, Elbert County, Colorado",22434.0,19955.0,157.0,101.0,153.0,0.0,34.0,516.0,1518.0,039,91190,08,153.0,651.0
0803990019,"Agate CCD, Elbert County, Colorado",620.0,557.0,0.0,22.0,0.0,0.0,0.0,4.0,37.0,039,90019,08,0.0,26.0
0807191976,"Kim CCD, Las Animas County, Colorado",340.0,309.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,071,91976,08,2.0,0.0
0803993325,"Simla CCD, Elbert County, Colorado",1499.0,1433.0,0.0,4.0,0.0,0.0,0.0,13.0,49.0,039,93325,08,0.0,17.0
0807192508,"Model CCD, Las Animas County, Colorado",548.0,349.0,93.0,35.0,0.0,0.0,0.0,0.0,71.0,071,92508,08,0.0,35.0
0807190361,"Branson CCD, Las Animas County, Colorado",188.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,071,90361,08,0.0,0.0
0807190038,"Aguilar CCD, Las Animas County, Colorado",1019.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,071,90038,08,0.0,0.0
0807193838,"Weston CCD, Las Animas County, Colorado",1237.0,841.0,0.0,0.0,17.0,0.0,0.0,19.0,360.0,071,93838,08,17.0,19.0
0807193648,"Trinidad CCD, Las Animas County, Colorado",10819.0,5124.0,19.0,257.0,97.0,0.0,3.0,146.0,5173.0,071,93648,08,97.0,406.0
0812593952,"Yuma CCD, Yuma County, Colorado",5101.0,3630.0,46.0,0.0,0.0,0.0,0.0,81.0,1344.0,125,93952,08,0.0,81.0
0812593914,"Wray CCD, Yuma County, Colorado",4005.0,3240.0,0.0,24.0,0.0,0.0,0.0,12.0,729.0,125,93914,08,0.0,36.0
0807391824,"Hugo CCD, Lincoln County, Colorado",981.0,883.0,10.0,15.0,4.0,0.0,0.0,7.0,62.0,073,91824,08,4.0,22.0
0810793933,"Yampa CCD, Routt County, Colorado",851.0,777.0,2.0,0.0,11.0,3.0,0.0,0.0,58.0,107,93933,08,14.0,0.0
0810791729,"Hayden CCD, Routt County, Colorado",2570.0,2185.0,9.0,71.0,3.0,0.0,0.0,54.0,248.0,107,91729,08,3.0,125.0
0810793496,"Steamboat Springs CCD, Routt County, Colorado",17678.0,15875.0,169.0,26.0,243.0,0.0,11.0,104.0,1250.0,107,93496,08,243.0,141.0
0810792717,"Oak Creek CCD, Routt County, Colorado",3260.0,3028.0,12.0,18.0,5.0,0.0,53.0,18.0,126.0,107,92717,08,5.0,89.0
0811793287,"Silverthorne CCD, Summit County, Colorado",12263.0,8218.0,225.0,6.0,22.0,46.0,17.0,123.0,3606.0,117,93287,08,68.0,146.0
0811790380,"Breckenridge CCD, Summit County, Colorado",17459.0,16139.0,29.0,72.0,107.0,0.0,203.0,357.0,552.0,117,90380,08,107.0,632.0
0807390133,"Arriba CCD, Lincoln County, Colorado",334.0,313.0,2.0,1.0,1.0,0.0,0.0,3.0,14.0,073,90133,08,1.0,4.0
0807391919,"Karval CCD, Lincoln County, Colorado",505.0,436.0,0.0,0.0,2.0,0.0,1.0,9.0,57.0,073,91919,08,2.0,10.0
0807392261,"Limon CCD, Lincoln County, Colorado",3700.0,2033.0,485.0,40.0,2.0,14.0,0.0,6.0,1120.0,073,92261,08,16.0,46.0
0801991843,"Idaho Springs CCD, Clear Creek County, Colorado",6754.0,6178.0,68.0,2.0,66.0,19.0,0.0,115.0,306.0,019,91843,08,85.0,117.0
0801991463,"Georgetown CCD, Clear Creek County, Colorado",2503.0,2142.0,13.0,8.0,14.0,0.0,0.0,65.0,261.0,019,91463,08,14.0,73.0
0800392584,"Mosca-Hooper CCD, Alamosa County, Colorado",1090.0,740.0,0.0,22.0,9.0,0.0,38.0,28.0,253.0,003,92584,08,9.0,88.0
0800390076,"Alamosa CCD, Alamosa County, Colorado",15255.0,7208.0,264.0,184.0,159.0,26.0,0.0,179.0,7235.0,003,90076,08,185.0,363.0
0802990988,"Delta CCD, Delta County, Colorado",13999.0,10457.0,168.0,65.0,182.0,0.0,0.0,86.0,3041.0,029,90988,08,182.0,151.0
0802992831,"Paonia CCD, Delta County, Colorado",3567.0,2999.0,0.0,126.0,5.0,0.0,5.0,106.0,326.0,029,92831,08,5.0,237.0
0802990532,"Cedaredge CCD, Delta County, Colorado",7869.0,6878.0,27.0,53.0,55.0,0.0,0.0,80.0,776.0,029,90532,08,55.0,133.0
0802991786,"Hotchkiss CCD, Delta County, Colorado",4782.0,4328.0,0.0,35.0,2.0,0.0,0.0,35.0,382.0,029,91786,08,2.0,70.0
0804390836,"Cotopaxi CCD, Fremont County, Colorado",3471.0,3176.0,4.0,0.0,75.0,0.0,0.0,59.0,157.0,043,90836,08,75.0,59.0
