geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
3300519140,"Dublin town, Cheshire County, New Hampshire",1487.0,1437.0,0.0,0.0,7.0,0.0,0.0,6.0,37.0,005,19140,33,7.0,6.0
3300564420,"Richmond town, Cheshire County, New Hampshire",1243.0,1213.0,0.0,1.0,7.0,0.0,0.0,0.0,22.0,005,64420,33,7.0,1.0
3300512260,"Chesterfield town, Cheshire County, New Hampshire",3566.0,3501.0,0.0,0.0,0.0,20.0,0.0,8.0,37.0,005,12260,33,20.0,8.0
3300578420,"Walpole town, Cheshire County, New Hampshire",3809.0,3747.0,0.0,22.0,12.0,0.0,0.0,19.0,9.0,005,78420,33,12.0,41.0
3300585540,"Winchester town, Cheshire County, New Hampshire",4221.0,4093.0,17.0,18.0,23.0,0.0,0.0,26.0,44.0,005,85540,33,23.0,44.0
3300575300,"Surry town, Cheshire County, New Hampshire",884.0,867.0,1.0,9.0,3.0,0.0,0.0,4.0,0.0,005,75300,33,3.0,13.0
3300564580,"Rindge town, Cheshire County, New Hampshire",6005.0,5591.0,67.0,0.0,120.0,0.0,0.0,116.0,111.0,005,64580,33,120.0,116.0
3300565700,"Roxbury town, Cheshire County, New Hampshire",216.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005,65700,33,0.0,0.0
3300574900,"Sullivan town, Cheshire County, New Hampshire",725.0,717.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,005,74900,33,2.0,0.0
3300526500,"Fitzwilliam town, Cheshire County, New Hampshire",2294.0,2246.0,0.0,3.0,8.0,0.0,0.0,37.0,0.0,005,26500,33,8.0,40.0
33005820,"Alstead town, Cheshire County, New Hampshire",1847.0,1798.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,005,820,33,0.0,32.0
3300529220,"Gilsum town, Cheshire County, New Hampshire",702.0,663.0,8.0,0.0,3.0,0.0,7.0,13.0,8.0,005,29220,33,3.0,20.0
3300534420,"Harrisville town, Cheshire County, New Hampshire",913.0,867.0,2.0,3.0,4.0,0.0,0.0,18.0,19.0,005,34420,33,4.0,21.0
3300538500,"Jaffrey town, Cheshire County, New Hampshire",5314.0,5146.0,0.0,8.0,104.0,0.0,0.0,18.0,38.0,005,38500,33,104.0,26.0
3300539300,"Keene city, Cheshire County, New Hampshire",23204.0,21170.0,316.0,25.0,410.0,0.0,44.0,657.0,582.0,005,39300,33,410.0,726.0
3300573700,"Stoddard town, Cheshire County, New Hampshire",1193.0,1148.0,21.0,0.0,4.0,0.0,5.0,6.0,9.0,005,73700,33,4.0,11.0
3300577380,"Troy town, Cheshire County, New Hampshire",2182.0,1997.0,38.0,10.0,42.0,5.0,0.0,76.0,14.0,005,77380,33,47.0,86.0
3300550580,"Nelson town, Cheshire County, New Hampshire",575.0,514.0,0.0,0.0,3.0,0.0,0.0,14.0,44.0,005,50580,33,3.0,14.0
3300575700,"Swanzey town, Cheshire County, New Hampshire",7169.0,6711.0,0.0,22.0,161.0,0.0,0.0,96.0,179.0,005,75700,33,161.0,118.0
3300545700,"Marlow town, Cheshire County, New Hampshire",708.0,680.0,0.0,0.0,6.0,0.0,0.0,2.0,20.0,005,45700,33,6.0,2.0
3300536660,"Hinsdale town, Cheshire County, New Hampshire",3925.0,3813.0,30.0,0.0,0.0,0.0,0.0,13.0,69.0,005,36660,33,0.0,13.0
330139860,"Canterbury town, Merrimack County, New Hampshire",2248.0,2161.0,21.0,0.0,22.0,0.0,5.0,1.0,38.0,013,9860,33,22.0,6.0
3301319460,"Dunbarton town, Merrimack County, New Hampshire",2788.0,2637.0,15.0,7.0,22.0,0.0,0.0,24.0,83.0,013,19460,33,22.0,31.0
3301343380,"Loudon town, Merrimack County, New Hampshire",5403.0,5295.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,013,43380,33,0.0,108.0
3301352100,"New London town, Merrimack County, New Hampshire",4525.0,4105.0,81.0,0.0,110.0,0.0,0.0,52.0,177.0,013,52100,33,110.0,52.0
3301375460,"Sutton town, Merrimack County, New Hampshire",1932.0,1840.0,15.0,8.0,16.0,0.0,0.0,31.0,22.0,013,75460,33,16.0,39.0
