geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
4106991938,"Mitchell CCD, Wheeler County, Oregon",741.0,691.0,0.0,15.0,5.0,0.0,0.0,14.0,16.0,069,91938,41,5.0,29.0
4104991411,"Ione-Lexington CCD, Morrow County, Oregon",1039.0,924.0,0.0,0.0,0.0,0.0,0.0,24.0,91.0,049,91411,41,0.0,24.0
4104990323,"Boardman CCD, Morrow County, Oregon",8308.0,4218.0,29.0,81.0,45.0,30.0,0.0,163.0,3742.0,049,90323,41,75.0,244.0
4104991309,"Heppner CCD, Morrow County, Oregon",1806.0,1626.0,0.0,0.0,22.0,0.0,0.0,79.0,79.0,049,91309,41,22.0,79.0
4100792839,"Seaside CCD, Clatsop County, Oregon",8902.0,7460.0,88.0,14.0,111.0,0.0,0.0,358.0,871.0,007,92839,41,111.0,372.0
4100790153,"Astoria CCD, Clatsop County, Oregon",25973.0,22280.0,182.0,98.0,220.0,125.0,0.0,855.0,2213.0,007,90153,41,345.0,953.0
4100791598,"Knappa-Brownsmead CCD, Clatsop County, Oregon",2142.0,2034.0,12.0,9.0,18.0,0.0,0.0,34.0,35.0,007,91598,41,18.0,43.0
4100791445,"Jewell CCD, Clatsop County, Oregon",1004.0,936.0,0.0,11.0,7.0,0.0,0.0,10.0,40.0,007,91445,41,7.0,21.0
4101192567,"Powers CCD, Coos County, Oregon",1059.0,895.0,0.0,45.0,0.0,0.0,0.0,104.0,15.0,011,92567,41,0.0,149.0
4101190221,"Bandon CCD, Coos County, Oregon",6627.0,5868.0,11.0,67.0,126.0,0.0,0.0,116.0,439.0,011,90221,41,126.0,183.0
4101192074,"Myrtle Point CCD, Coos County, Oregon",4700.0,4202.0,0.0,124.0,10.0,0.0,0.0,245.0,119.0,011,92074,41,10.0,369.0
4101190629,"Coos Bay CCD, Coos County, Oregon",30860.0,24680.0,249.0,835.0,480.0,41.0,0.0,1758.0,2817.0,011,90629,41,521.0,2593.0
4101191003,"Eastside CCD, Coos County, Oregon",6055.0,5493.0,26.0,26.0,47.0,15.0,49.0,148.0,251.0,011,91003,41,62.0,223.0
4101190646,"Coquille CCD, Coos County, Oregon",7979.0,7486.0,7.0,67.0,12.0,46.0,0.0,179.0,182.0,011,90646,41,58.0,246.0
4101192159,"North Bayside CCD, Coos County, Oregon",5641.0,5205.0,67.0,98.0,3.0,0.0,12.0,125.0,131.0,011,92159,41,3.0,235.0
4101592533,"Port Orford CCD, Curry County, Oregon",2958.0,2763.0,0.0,23.0,0.0,0.0,0.0,21.0,151.0,015,92533,41,0.0,44.0
4101590051,"Agness CCD, Curry County, Oregon",7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,015,90051,41,0.0,7.0
4101590357,"Brookings CCD, Curry County, Oregon",9007.0,7917.0,56.0,130.0,75.0,5.0,29.0,204.0,591.0,015,90357,41,80.0,363.0
4101591207,"Gold Beach CCD, Curry County, Oregon",5440.0,4855.0,16.0,59.0,46.0,0.0,0.0,274.0,190.0,015,91207,41,46.0,333.0
4101591275,"Harbor CCD, Curry County, Oregon",4965.0,3888.0,2.0,238.0,0.0,0.0,0.0,254.0,583.0,015,91275,41,0.0,492.0
4102190612,"Condon CCD, Gilliam County, Oregon",998.0,906.0,0.0,7.0,0.0,0.0,0.0,0.0,85.0,021,90612,41,0.0,7.0
4102190102,"Arlington CCD, Gilliam County, Oregon",912.0,737.0,0.0,92.0,0.0,14.0,0.0,0.0,69.0,021,90102,41,14.0,92.0
4102792431,"Parkdale CCD, Hood River County, Oregon",1855.0,1069.0,0.0,0.0,50.0,0.0,0.0,19.0,717.0,027,92431,41,50.0,19.0
4102792380,"Odell CCD, Hood River County, Oregon",6044.0,2796.0,13.0,104.0,36.0,7.0,0.0,170.0,2918.0,027,92380,41,43.0,274.0
4102790850,"Dee CCD, Hood River County, Oregon",1009.0,685.0,0.0,0.0,31.0,0.0,0.0,57.0,236.0,027,90850,41,31.0,57.0
4102790476,"Cascade Locks CCD, Hood River County, Oregon",1327.0,1169.0,0.0,18.0,53.0,0.0,0.0,3.0,84.0,027,90476,41,53.0,21.0
4102791343,"Hood River CCD, Hood River County, Oregon",12703.0,9017.0,14.0,11.0,259.0,0.0,0.0,221.0,3181.0,027,91343,41,259.0,232.0
4103792924,"Silver Lake-Fort Rock CCD, Lake County, Oregon",1764.0,1565.0,0.0,7.0,9.0,0.0,0.0,0.0,183.0,037,92924,41,9.0,7.0
4103793417,"Warner Valley CCD, Lake County, Oregon",285.0,275.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,037,93417,41,0.0,7.0
4103793145,"Summer Lake CCD, Lake County, Oregon",545.0,508.0,0.0,19.0,2.0,0.0,0.0,9.0,7.0,037,93145,41,2.0,28.0
4103791632,"Lakeview CCD, Lake County, Oregon",5213.0,4305.0,20.0,119.0,53.0,0.0,9.0,286.0,421.0,037,91632,41,53.0,414.0
4105190663,"Corbett CCD, Multnomah County, Oregon",3912.0,3205.0,85.0,56.0,32.0,0.0,0.0,220.0,314.0,051,90663,41,32.0,276.0
4105192975,"Skyline CCD, Multnomah County, Oregon",2669.0,2494.0,0.0,7.0,68.0,0.0,0.0,75.0,25.0,051,92975,41,68.0,82.0
4106190714,"Cove CCD, Union County, Oregon",2489.0,2414.0,4.0,27.0,0.0,0.0,7.0,18.0,19.0,061,90714,41,0.0,52.0
4106193111,"Starkey CCD, Union County, Oregon",171.0,144.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,061,93111,41,0.0,7.0
4106191037,"Elgin CCD, Union County, Oregon",2944.0,2781.0,10.0,14.0,9.0,1.0,0.0,42.0,87.0,061,91037,41,10.0,56.0
4106191615,"La Grande CCD, Union County, Oregon",16873.0,14643.0,167.0,145.0,219.0,287.0,2.0,477.0,933.0,061,91615,41,506.0,624.0
4106193281,"Union CCD, Union County, Oregon",3333.0,3076.0,17.0,24.0,18.0,23.0,0.0,52.0,123.0,061,93281,41,41.0,76.0
4103593594,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",1641.0,1297.0,6.0,156.0,0.0,3.0,0.0,67.0,112.0,035,93594,41,3.0,223.0
4104790994,"East Marion CCD, Marion County, Oregon",2202.0,1996.0,0.0,8.0,0.0,0.0,0.0,172.0,26.0,047,90994,41,0.0,180.0
4100590272,"Beavercreek CCD, Clackamas County, Oregon",7499.0,6567.0,0.0,0.0,37.0,2.0,0.0,272.0,621.0,005,90272,41,39.0,272.0
4106790510,"Chehalem Mountains CCD, Washington County, Oregon",5765.0,4429.0,0.0,7.0,118.0,8.0,0.0,243.0,960.0,067,90510,41,126.0,250.0
4103591651,"Langell Valley CCD, Klamath County, Oregon",1435.0,1266.0,0.0,30.0,0.0,0.0,6.0,64.0,69.0,035,91651,41,0.0,100.0
4106792678,"Rockcreek CCD, Washington County, Oregon",77031.0,43547.0,2004.0,252.0,18930.0,163.0,32.0,3592.0,8511.0,067,92678,41,19093.0,3876.0
4100193555,"Wingville-Haines CCD, Baker County, Oregon",2036.0,1752.0,23.0,21.0,8.0,4.0,21.0,13.0,194.0,001,93555,41,12.0,55.0
4103991719,"McKenzie River CCD, Lane County, Oregon",5337.0,4711.0,18.0,106.0,60.0,0.0,0.0,216.0,226.0,039,91719,41,60.0,322.0
4103991889,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",1958.0,1780.0,0.0,31.0,0.0,0.0,5.0,21.0,121.0,039,91889,41,0.0,57.0
4103991147,"Florence CCD, Lane County, Oregon",12003.0,10966.0,43.0,140.0,147.0,34.0,17.0,390.0,266.0,039,91147,41,181.0,547.0
4103990943,"Dunes City CCD, Lane County, Oregon",2714.0,2443.0,3.0,38.0,32.0,12.0,0.0,106.0,80.0,039,90943,41,44.0,144.0
4105991334,"Hermiston-Umatilla CCD, Umatilla County, Oregon",37929.0,22569.0,227.0,243.0,124.0,21.0,0.0,768.0,13977.0,059,91334,41,145.0,1011.0
4103993300,"Upper Siuslaw River CCD, Lane County, Oregon",1534.0,1412.0,8.0,12.0,4.0,0.0,8.0,31.0,59.0,039,93300,41,4.0,51.0
4101392592,"Prineville CCD, Crook County, Oregon",15462.0,13112.0,35.0,155.0,54.0,87.0,0.0,403.0,1616.0,013,92592,41,141.0,558.0
4104192133,"Newport CCD, Lincoln County, Oregon",13030.0,10230.0,127.0,101.0,120.0,58.0,0.0,520.0,1874.0,041,92133,41,178.0,621.0
4104191674,"Lincoln City CCD, Lincoln County, Oregon",12454.0,9989.0,44.0,400.0,301.0,0.0,0.0,328.0,1392.0,041,91674,41,301.0,728.0
4105991929,"Milton-Freewater CCD, Umatilla County, Oregon",10452.0,6391.0,12.0,94.0,111.0,0.0,0.0,94.0,3750.0,059,91929,41,111.0,188.0
4105993270,"Umatilla Reservation CCD, Umatilla County, Oregon",2909.0,1419.0,9.0,974.0,81.0,32.0,0.0,196.0,198.0,059,93270,41,113.0,1170.0
4105192518,"Portland East CCD, Multnomah County, Oregon",499503.0,343739.0,31082.0,3131.0,40693.0,3653.0,1605.0,22167.0,53433.0,051,92518,41,44346.0,26903.0
4105192520,"Portland West CCD, Multnomah County, Oregon",135208.0,108780.0,3764.0,294.0,8049.0,160.0,384.0,6507.0,7270.0,051,92520,41,8209.0,7185.0
4105191249,"Gresham CCD, Multnomah County, Oregon",147167.0,97989.0,7048.0,1179.0,6254.0,750.0,166.0,5857.0,27924.0,051,91249,41,7004.0,7202.0
4104593442,"West Bench CCD, Malheur County, Oregon",277.0,273.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,045,93442,41,0.0,4.0
4101993153,"Sutherlin CCD, Douglas County, Oregon",16362.0,14816.0,74.0,71.0,150.0,15.0,0.0,393.0,843.0,019,93153,41,165.0,464.0
4105793213,"Tillamook CCD, Tillamook County, Oregon",12490.0,9730.0,40.0,29.0,70.0,81.0,0.0,415.0,2125.0,057,93213,41,151.0,444.0
4105792108,"Neskowin CCD, Tillamook County, Oregon",2589.0,2114.0,8.0,0.0,53.0,7.0,0.0,128.0,279.0,057,92108,41,60.0,128.0
4105792091,"Nehalem CCD, Tillamook County, Oregon",3111.0,2985.0,7.0,15.0,7.0,15.0,0.0,33.0,49.0,057,92091,41,22.0,48.0
4107190459,"Carlton CCD, Yamhill County, Oregon",7954.0,7265.0,0.0,13.0,23.0,0.0,11.0,216.0,426.0,071,90459,41,23.0,240.0
4107190816,"Dayton-Amity CCD, Yamhill County, Oregon",8860.0,6638.0,5.0,78.0,81.0,0.0,9.0,381.0,1668.0,071,90816,41,81.0,468.0
4107191734,"McMinnville CCD, Yamhill County, Oregon",35533.0,25711.0,402.0,149.0,589.0,106.0,36.0,1050.0,7490.0,071,91734,41,695.0,1235.0
4107192890,"Sheridan CCD, Yamhill County, Oregon",11528.0,9029.0,401.0,424.0,125.0,86.0,0.0,417.0,1046.0,071,92890,41,211.0,841.0
4107192125,"Newberg CCD, Yamhill County, Oregon",38491.0,30834.0,70.0,192.0,595.0,60.0,19.0,1254.0,5467.0,071,92125,41,655.0,1465.0
4100191326,"Hereford CCD, Baker County, Oregon",950.0,897.0,25.0,7.0,5.0,4.0,0.0,5.0,7.0,001,91326,41,9.0,12.0
4100191258,"Halfway CCD, Baker County, Oregon",1008.0,938.0,2.0,10.0,4.0,3.0,0.0,22.0,29.0,001,91258,41,7.0,32.0
4100190969,"Eagle Valley CCD, Baker County, Oregon",866.0,832.0,2.0,17.0,0.0,0.0,0.0,4.0,11.0,001,90969,41,0.0,21.0
