geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
4203167384,"St. Petersburg borough, Clarion County, Pennsylvania",292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,031,67384,42,0.0,0.0
4203174728,"Strattanville borough, Clarion County, Pennsylvania",626.0,606.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,031,74728,42,0.0,1.0
4203162144,"Porter township, Clarion County, Pennsylvania",1109.0,1102.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,031,62144,42,0.0,4.0
4209119672,"Douglass township, Montgomery County, Pennsylvania",10469.0,10069.0,76.0,0.0,142.0,18.0,0.0,39.0,125.0,091,19672,42,160.0,39.0
4209121600,"East Norriton township, Montgomery County, Pennsylvania",14046.0,10956.0,1551.0,0.0,790.0,0.0,0.0,206.0,543.0,091,21600,42,790.0,206.0
4209144912,"Lower Frederick township, Montgomery County, Pennsylvania",4885.0,4362.0,82.0,11.0,114.0,0.0,0.0,23.0,293.0,091,44912,42,114.0,34.0
4209145096,"Lower Salford township, Montgomery County, Pennsylvania",15295.0,13265.0,356.0,0.0,1105.0,0.0,0.0,99.0,470.0,091,45096,42,1105.0,99.0
4209165568,"Rockledge borough, Montgomery County, Pennsylvania",2544.0,2287.0,0.0,0.0,108.0,0.0,0.0,68.0,81.0,091,65568,42,108.0,68.0
4209173088,"Springfield township, Montgomery County, Pennsylvania",19605.0,15611.0,1893.0,10.0,579.0,0.0,100.0,289.0,1123.0,091,73088,42,579.0,399.0
4209177152,"Towamencin township, Montgomery County, Pennsylvania",18215.0,14544.0,969.0,16.0,1804.0,0.0,44.0,148.0,690.0,091,77152,42,1804.0,208.0
4212746856,"Manchester township, Wayne County, Pennsylvania",760.0,739.0,0.0,0.0,3.0,0.0,0.0,8.0,10.0,127,46856,42,3.0,8.0
4212720576,"Dyberry township, Wayne County, Pennsylvania",1447.0,1365.0,2.0,0.0,5.0,0.0,0.0,9.0,66.0,127,20576,42,5.0,9.0
4212758480,"Paupack township, Wayne County, Pennsylvania",3748.0,3579.0,0.0,0.0,66.0,0.0,0.0,25.0,78.0,127,58480,42,66.0,25.0
4212762744,"Prompton borough, Wayne County, Pennsylvania",280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,62744,42,0.0,0.0
4212772024,"South Canaan township, Wayne County, Pennsylvania",1544.0,1469.0,1.0,0.0,0.0,0.0,0.0,1.0,73.0,127,72024,42,0.0,1.0
421279824,"Buckingham township, Wayne County, Pennsylvania",481.0,458.0,0.0,0.0,2.0,0.0,0.0,5.0,16.0,127,9824,42,2.0,5.0
4212733200,"Hawley borough, Wayne County, Pennsylvania",1341.0,1185.0,25.0,0.0,0.0,0.0,0.0,4.0,127.0,127,33200,42,0.0,4.0
4212751872,"Mount Pleasant township, Wayne County, Pennsylvania",1512.0,1380.0,0.0,0.0,25.0,0.0,0.0,36.0,71.0,127,51872,42,25.0,36.0
4212773784,"Starrucca borough, Wayne County, Pennsylvania",224.0,210.0,2.0,0.0,0.0,0.0,0.0,7.0,5.0,127,73784,42,0.0,7.0
4212781712,"Waymart borough, Wayne County, Pennsylvania",1287.0,1246.0,2.0,0.0,0.0,0.0,0.0,7.0,32.0,127,81712,42,0.0,7.0
4212713096,"Cherry Ridge township, Wayne County, Pennsylvania",1655.0,1605.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,127,13096,42,0.0,19.0
4212742176,"Lebanon township, Wayne County, Pennsylvania",562.0,541.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,127,42176,42,0.0,4.0
4212757000,"Oregon township, Wayne County, Pennsylvania",721.0,716.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,127,57000,42,3.0,2.0
4212762600,"Preston township, Wayne County, Pennsylvania",736.0,679.0,4.0,7.0,0.0,0.0,0.0,15.0,31.0,127,62600,42,0.0,22.0
4212767488,"Salem township, Wayne County, Pennsylvania",4152.0,3765.0,10.0,0.0,14.0,0.0,0.0,18.0,345.0,127,67488,42,14.0,18.0
