geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
4506592262,"Mount Carmel CCD, McCormick County, South Carolina",2176.0,1505.0,661.0,10.0,0.0,0.0,0.0,0.0,0.0,065,92262,45,0.0,10.0
4505990663,"Clinton CCD, Laurens County, South Carolina",15119.0,9486.0,4782.0,0.0,95.0,0.0,0.0,123.0,633.0,059,90663,45,95.0,123.0
4505991924,"Laurens CCD, Laurens County, South Carolina",20776.0,11949.0,6915.0,30.0,65.0,0.0,0.0,406.0,1411.0,059,91924,45,65.0,436.0
4505991690,"Joanna CCD, Laurens County, South Carolina",2239.0,1979.0,234.0,0.0,7.0,14.0,0.0,5.0,0.0,059,91690,45,21.0,5.0
4506592561,"Parksville CCD, McCormick County, South Carolina",2122.0,1232.0,815.0,6.0,0.0,0.0,0.0,35.0,34.0,065,92561,45,0.0,41.0
4506592119,"McCormick CCD, McCormick County, South Carolina",5396.0,2034.0,3129.0,0.0,35.0,0.0,17.0,130.0,51.0,065,92119,45,35.0,147.0
4507790533,"Central CCD, Pickens County, South Carolina",11766.0,8806.0,1219.0,13.0,414.0,0.0,17.0,332.0,965.0,077,90533,45,414.0,362.0
4507790936,"Easley CCD, Pickens County, South Carolina",37449.0,31210.0,3846.0,50.0,463.0,99.0,82.0,587.0,1112.0,077,90936,45,562.0,719.0
4507792639,"Pickens CCD, Pickens County, South Carolina",15199.0,14155.0,492.0,17.0,0.0,0.0,0.0,166.0,369.0,077,92639,45,0.0,183.0
4507790949,"Easley East CCD, Pickens County, South Carolina",10236.0,9517.0,117.0,60.0,55.0,13.0,0.0,0.0,474.0,077,90949,45,68.0,60.0
4507793146,"Six Mile CCD, Pickens County, South Carolina",10554.0,9956.0,186.0,26.0,19.0,0.0,0.0,66.0,301.0,077,93146,45,19.0,92.0
4507790650,"Clemson CCD, Pickens County, South Carolina",19991.0,16312.0,1371.0,124.0,1131.0,0.0,26.0,459.0,568.0,077,90650,45,1131.0,609.0
4507791950,"Liberty CCD, Pickens County, South Carolina",13033.0,11651.0,591.0,0.0,35.0,0.0,72.0,250.0,434.0,077,91950,45,35.0,322.0
4508791742,"Jonesville CCD, Union County, South Carolina",3824.0,2868.0,873.0,10.0,0.0,0.0,0.0,25.0,48.0,087,91742,45,0.0,35.0
4508790507,"Carlisle CCD, Union County, South Carolina",1659.0,546.0,1064.0,0.0,0.0,0.0,0.0,34.0,15.0,087,90507,45,0.0,34.0
4508790832,"Cross Keys CCD, Union County, South Carolina",969.0,578.0,367.0,0.0,0.0,0.0,0.0,24.0,0.0,087,90832,45,0.0,24.0
4508793679,"West Springs CCD, Union County, South Carolina",2206.0,1725.0,414.0,0.0,0.0,0.0,8.0,33.0,26.0,087,93679,45,0.0,41.0
4508791989,"Lockhart CCD, Union County, South Carolina",2564.0,2143.0,338.0,23.0,0.0,0.0,0.0,60.0,0.0,087,91989,45,0.0,83.0
4508793497,"Union CCD, Union County, South Carolina",16550.0,10228.0,5529.0,0.0,0.0,0.0,9.0,497.0,287.0,087,93497,45,0.0,506.0
4508991495,"Hemingway CCD, Williamsburg County, South Carolina",4700.0,1864.0,2834.0,0.0,0.0,0.0,0.0,2.0,0.0,089,91495,45,0.0,2.0
4508993458,"Trio CCD, Williamsburg County, South Carolina",2555.0,1210.0,1317.0,0.0,0.0,0.0,0.0,28.0,0.0,089,93458,45,0.0,28.0
4508991339,"Greeleyville CCD, Williamsburg County, South Carolina",2513.0,589.0,1811.0,72.0,0.0,0.0,0.0,20.0,21.0,089,91339,45,0.0,92.0
4508991768,"Kingstree CCD, Williamsburg County, South Carolina",12518.0,3098.0,8925.0,0.0,111.0,0.0,0.0,110.0,274.0,089,91768,45,111.0,110.0
4508992353,"Nesmith CCD, Williamsburg County, South Carolina",2424.0,1043.0,1340.0,0.0,29.0,0.0,0.0,12.0,0.0,089,92353,45,29.0,12.0
4508991898,"Lane CCD, Williamsburg County, South Carolina",4090.0,618.0,2953.0,0.0,0.0,0.0,0.0,86.0,433.0,089,91898,45,0.0,86.0
4500390026,"Aiken CCD, Aiken County, South Carolina",63942.0,41326.0,17435.0,68.0,1093.0,74.0,45.0,1174.0,2727.0,003,90026,45,1167.0,1287.0
4500391651,"Jackson CCD, Aiken County, South Carolina",3433.0,2232.0,925.0,0.0,8.0,0.0,0.0,168.0,100.0,003,91651,45,8.0,168.0
4500390208,"Beech Island CCD, Aiken County, South Carolina",8233.0,5613.0,1863.0,30.0,14.0,0.0,0.0,201.0,512.0,003,90208,45,14.0,231.0
4500392379,"New Ellenton CCD, Aiken County, South Carolina",11595.0,8394.0,2257.0,0.0,0.0,0.0,0.0,184.0,760.0,003,92379,45,0.0,184.0
4500392418,"North Augusta CCD, Aiken County, South Carolina",55757.0,38073.0,11656.0,98.0,496.0,2.0,103.0,1303.0,4026.0,003,92418,45,498.0,1504.0
4500392977,"Salley CCD, Aiken County, South Carolina",2551.0,1484.0,946.0,9.0,22.0,0.0,0.0,66.0,24.0,003,92977,45,22.0,75.0
4500393562,"Wagener CCD, Aiken County, South Carolina",4669.0,2654.0,1699.0,74.0,8.0,0.0,0.0,148.0,86.0,003,93562,45,8.0,222.0
4500392223,"Monetta CCD, Aiken County, South Carolina",4709.0,3051.0,1166.0,26.0,24.0,0.0,0.0,50.0,392.0,003,92223,45,24.0,76.0
4500393744,"Windsor CCD, Aiken County, South Carolina",5326.0,3929.0,981.0,75.0,23.0,0.0,0.0,31.0,287.0,003,93744,45,23.0,106.0
4500591092,"Fairfax CCD, Allendale County, South Carolina",3671.0,954.0,2637.0,0.0,0.0,0.0,0.0,0.0,80.0,005,91092,45,0.0,0.0
4500592197,"Millett CCD, Allendale County, South Carolina",452.0,66.0,317.0,0.0,0.0,0.0,0.0,16.0,53.0,005,92197,45,0.0,16.0
4500590052,"Allendale CCD, Allendale County, South Carolina",4241.0,737.0,3390.0,45.0,0.0,0.0,0.0,17.0,52.0,005,90052,45,0.0,62.0
4500593367,"Sycamore CCD, Allendale County, South Carolina",1038.0,358.0,568.0,0.0,0.0,3.0,0.0,6.0,103.0,005,93367,45,3.0,6.0
4507193705,"Whitmire CCD, Newberry County, South Carolina",3355.0,2593.0,713.0,0.0,17.0,11.0,0.0,0.0,21.0,071,93705,45,28.0,0.0
4507192366,"Newberry CCD, Newberry County, South Carolina",18506.0,8027.0,7869.0,46.0,34.0,0.0,65.0,142.0,2323.0,071,92366,45,34.0,253.0
4507192704,"Pomaria CCD, Newberry County, South Carolina",3682.0,2564.0,1016.0,0.0,0.0,0.0,0.0,23.0,79.0,071,92704,45,0.0,23.0
4501190143,"Barnwell CCD, Barnwell County, South Carolina",8848.0,5603.0,2919.0,2.0,32.0,0.0,0.0,59.0,233.0,011,90143,45,32.0,61.0
4507392249,"Mountain Rest CCD, Oconee County, South Carolina",2014.0,1972.0,6.0,0.0,0.0,0.0,0.0,8.0,28.0,073,92249,45,0.0,8.0
4507393575,"Walhalla CCD, Oconee County, South Carolina",20085.0,16443.0,625.0,113.0,109.0,0.0,0.0,662.0,2133.0,073,93575,45,109.0,775.0
4507392964,"Salem CCD, Oconee County, South Carolina",5814.0,5617.0,63.0,0.0,38.0,0.0,17.0,32.0,47.0,073,92964,45,38.0,49.0
4507392457,"Oakway CCD, Oconee County, South Carolina",10042.0,9613.0,166.0,0.0,81.0,0.0,14.0,57.0,111.0,073,92457,45,81.0,71.0
4508990442,"Cades CCD, Williamsburg County, South Carolina",2164.0,1372.0,756.0,0.0,0.0,0.0,0.0,13.0,23.0,089,90442,45,0.0,13.0
4501190286,"Blackville CCD, Barnwell County, South Carolina",3374.0,750.0,2450.0,0.0,12.0,0.0,0.0,0.0,162.0,011,90286,45,12.0,0.0
4501193731,"Williston CCD, Barnwell County, South Carolina",5688.0,2998.0,2464.0,26.0,53.0,0.0,0.0,120.0,27.0,011,93731,45,53.0,146.0
4501191794,"Kline-Snelling CCD, Barnwell County, South Carolina",3878.0,1795.0,1993.0,0.0,0.0,0.0,0.0,10.0,80.0,011,91794,45,0.0,10.0
4501591274,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",133101.0,85442.0,26584.0,647.0,4236.0,131.0,223.0,4656.0,11182.0,015,91274,45,4367.0,5526.0
4501990988,"Edisto Island CCD, Charleston County, South Carolina",1490.0,700.0,756.0,0.0,0.0,0.0,0.0,9.0,25.0,019,90988,45,0.0,9.0
4501991664,"James Island CCD, Charleston County, South Carolina",42029.0,33726.0,5985.0,105.0,747.0,0.0,44.0,426.0,996.0,019,91664,45,747.0,575.0
4501991703,"Johns Island CCD, Charleston County, South Carolina",17097.0,12080.0,3357.0,0.0,23.0,0.0,0.0,69.0,1568.0,019,91703,45,23.0,69.0
4501992301,"Mount Pleasant CCD, Charleston County, South Carolina",93950.0,80812.0,7266.0,140.0,1286.0,49.0,59.0,1968.0,2370.0,019,92301,45,1335.0,2167.0
4501992080,"McClellanville CCD, Charleston County, South Carolina",5154.0,2088.0,2950.0,0.0,38.0,0.0,0.0,12.0,66.0,019,92080,45,38.0,12.0
4501993549,"Wadmalaw Island CCD, Charleston County, South Carolina",3133.0,1170.0,1915.0,0.0,0.0,0.0,0.0,6.0,42.0,019,93549,45,0.0,6.0
4503191820,"Lake Swamp CCD, Darlington County, South Carolina",4384.0,2373.0,1911.0,0.0,0.0,0.0,0.0,52.0,48.0,031,91820,45,0.0,52.0
4503190858,"Darlington CCD, Darlington County, South Carolina",25699.0,12731.0,11789.0,10.0,110.0,0.0,0.0,459.0,600.0,031,90858,45,110.0,469.0
4503191846,"Lamar CCD, Darlington County, South Carolina",3640.0,2036.0,1409.0,27.0,76.0,0.0,0.0,60.0,32.0,031,91846,45,76.0,87.0
