geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,county subdivision,state,asian_all,other_all
4902591591,"Kanab CCD, Kane County, Utah",5862.0,5325.0,9.0,88.0,31.0,11.0,0.0,120.0,278.0,025,91591,49,42.0,208.0
4905390817,"Enterprise CCD, Washington County, Utah",2164.0,2065.0,0.0,0.0,21.0,0.0,0.0,16.0,62.0,053,90817,49,21.0,16.0
4905392924,"St. George CCD, Washington County, Utah",125444.0,105197.0,890.0,1125.0,862.0,1174.0,227.0,2351.0,13618.0,053,92924,49,2036.0,3703.0
4902592494,"Orderville CCD, Kane County, Utah",1384.0,1323.0,0.0,7.0,0.0,0.0,0.0,5.0,49.0,025,92494,49,0.0,12.0
4904392580,"Park City CCD, Summit County, Utah",26954.0,22669.0,212.0,74.0,649.0,10.0,28.0,418.0,2894.0,043,92580,49,659.0,520.0
4904391548,"Kamas CCD, Summit County, Utah",6784.0,5791.0,31.0,18.0,1.0,0.0,0.0,5.0,938.0,043,91548,49,1.0,23.0
4904390430,"Coalville CCD, Summit County, Utah",5993.0,5240.0,22.0,2.0,4.0,0.0,7.0,28.0,690.0,043,90430,49,4.0,37.0
4901993526,"Uintah and Ouray CCD, Grand County, Utah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,019,93526,49,0.0,0.0
4901991935,"Moab CCD, Grand County, Utah",9239.0,8102.0,23.0,109.0,37.0,0.0,0.0,13.0,955.0,019,91935,49,37.0,122.0
4903190387,"Circleville CCD, Piute County, Utah",1244.0,1173.0,2.0,2.0,0.0,0.0,0.0,6.0,61.0,031,90387,49,0.0,8.0
4903191849,"Marysvale CCD, Piute County, Utah",616.0,608.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,031,91849,49,0.0,1.0
4903392752,"Randolph-Woodruff CCD, Rich County, Utah",1199.0,1169.0,2.0,0.0,0.0,0.0,0.0,3.0,25.0,033,92752,49,0.0,3.0
4903391032,"Garden City-Laketown CCD, Rich County, Utah",1108.0,881.0,0.0,0.0,0.0,0.0,46.0,0.0,181.0,033,91032,49,0.0,46.0
4905193612,"Uintah and Ouray CCD, Wasatch County, Utah",21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,051,93612,49,0.0,0.0
4905193139,"Soldier Summit CCD, Wasatch County, Utah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,051,93139,49,0.0,0.0
4900190086,"Beaver CCD, Beaver County, Utah",3658.0,3362.0,0.0,6.0,0.0,0.0,0.0,0.0,290.0,001,90086,49,0.0,6.0
4900191892,"Milford-Minersville CCD, Beaver County, Utah",2756.0,2325.0,0.0,0.0,16.0,0.0,0.0,5.0,410.0,001,91892,49,16.0,5.0
4900390258,"Brigham City CCD, Box Elder County, Utah",28139.0,24739.0,89.0,261.0,98.0,29.0,0.0,503.0,2420.0,003,90258,49,127.0,764.0
4900393440,"Tremonton CCD, Box Elder County, Utah",21124.0,18030.0,154.0,274.0,275.0,18.0,3.0,136.0,2234.0,003,93440,49,293.0,413.0
4900393827,"West Box Elder CCD, Box Elder County, Utah",181.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,003,93827,49,0.0,0.0
4900391419,"Howell-Snowville CCD, Box Elder County, Utah",2738.0,2610.0,12.0,7.0,20.0,0.0,0.0,0.0,89.0,003,91419,49,20.0,7.0
4902192623,"Parowan CCD, Iron County, Utah",4010.0,3681.0,2.0,40.0,34.0,0.0,2.0,65.0,186.0,021,92623,49,34.0,107.0
4902190129,"Beryl-Newcastle CCD, Iron County, Utah",662.0,601.0,0.0,11.0,17.0,0.0,0.0,1.0,32.0,021,90129,49,17.0,12.0
4902190344,"Cedar City CCD, Iron County, Utah",43832.0,37581.0,242.0,1145.0,220.0,23.0,28.0,709.0,3884.0,021,90344,49,243.0,1882.0
4903992150,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",11720.0,10471.0,32.0,107.0,31.0,15.0,3.0,130.0,931.0,039,92150,49,46.0,240.0
4903991204,"Gunnison CCD, Sanpete County, Utah",5735.0,3981.0,175.0,100.0,40.0,34.0,0.0,150.0,1255.0,039,91204,49,74.0,250.0
4903990860,"Ephraim-Manti CCD, Sanpete County, Utah",11437.0,10411.0,61.0,85.0,48.0,99.0,11.0,151.0,571.0,039,90860,49,147.0,247.0
4904192838,"Richfield CCD, Sevier County, Utah",11511.0,10567.0,72.0,221.0,19.0,0.0,0.0,64.0,568.0,041,92838,49,19.0,285.0
4904191978,"Monroe CCD, Sevier County, Utah",5076.0,4663.0,5.0,97.0,20.0,0.0,0.0,13.0,278.0,041,91978,49,20.0,110.0
4904192967,"Salina CCD, Sevier County, Utah",4374.0,4068.0,6.0,0.0,6.0,39.0,0.0,62.0,193.0,041,92967,49,45.0,62.0
4904991118,"Goshen CCD, Utah County, Utah",4354.0,3703.0,19.0,5.0,6.0,47.0,0.0,28.0,546.0,049,91118,49,53.0,33.0
4904990043,"American Fork-Pleasant Grove CCD, Utah County, Utah",136498.0,121735.0,536.0,319.0,1734.0,806.0,390.0,2866.0,8112.0,049,90043,49,2540.0,3575.0
4904992709,"Provo-Orem CCD, Utah County, Utah",213598.0,161665.0,1532.0,983.0,5156.0,2469.0,315.0,6313.0,35165.0,049,92709,49,7625.0,7611.0
4904991634,"Lehi CCD, Utah County, Utah",95160.0,83434.0,490.0,381.0,973.0,630.0,142.0,1941.0,7169.0,049,91634,49,1603.0,2464.0
4904993268,"Spanish Fork-Payson CCD, Utah County, Utah",77854.0,67452.0,217.0,231.0,283.0,121.0,9.0,1270.0,8271.0,049,93268,49,404.0,1510.0
4904993311,"Springville-Mapleton CCD, Utah County, Utah",49032.0,40525.0,201.0,416.0,248.0,341.0,37.0,988.0,6276.0,049,93311,49,589.0,1441.0
4905792322,"Ogden CCD, Weber County, Utah",218501.0,163826.0,2260.0,1324.0,2731.0,521.0,145.0,5366.0,42328.0,057,92322,49,3252.0,6835.0
4905792365,"Ogden Valley CCD, Weber County, Utah",6817.0,6371.0,117.0,0.0,0.0,0.0,24.0,39.0,266.0,057,92365,49,0.0,63.0
4902790516,"Delta CCD, Millard County, Utah",8114.0,6765.0,0.0,6.0,49.0,6.0,18.0,101.0,1169.0,027,90516,49,55.0,125.0
4902791075,"Garrison-Sevier Lake CCD, Millard County, Utah",27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,027,91075,49,0.0,0.0
4902790989,"Fillmore CCD, Millard County, Utah",4510.0,3742.0,39.0,123.0,54.0,3.0,0.0,75.0,474.0,027,90989,49,57.0,198.0
4904593397,"Tooele-Grantsville CCD, Tooele County, Utah",60487.0,51305.0,285.0,443.0,458.0,311.0,122.0,1081.0,6482.0,045,93397,49,769.0,1646.0
4904590602,"Dugway-Wendover CCD, Tooele County, Utah",1866.0,649.0,25.0,51.0,24.0,18.0,0.0,31.0,1068.0,045,90602,49,42.0,82.0
4905391462,"Hurricane CCD, Washington County, Utah",27969.0,24827.0,89.0,433.0,174.0,93.0,43.0,335.0,1975.0,053,91462,49,267.0,811.0
4901392279,"North Duchesne CCD, Duchesne County, Utah",7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,013,92279,49,1.0,0.0
4901393225,"South Duchesne CCD, Duchesne County, Utah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,013,93225,49,0.0,0.0
4901390559,"Duchesne CCD, Duchesne County, Utah",4471.0,4153.0,0.0,23.0,11.0,16.0,0.0,17.0,251.0,013,90559,49,27.0,40.0
4901392881,"Roosevelt CCD, Duchesne County, Utah",15781.0,13133.0,28.0,790.0,83.0,64.0,0.0,290.0,1393.0,013,92881,49,147.0,1080.0
4903792408,"Oljato CCD, San Juan County, Utah",3082.0,119.0,0.0,2914.0,4.0,0.0,0.0,18.0,27.0,037,92408,49,4.0,2932.0
4903790215,"Blanding CCD, San Juan County, Utah",4536.0,3265.0,11.0,940.0,8.0,11.0,19.0,59.0,223.0,037,90215,49,19.0,1018.0
4903792021,"Monticello CCD, San Juan County, Utah",4013.0,3265.0,15.0,142.0,0.0,15.0,0.0,107.0,469.0,037,92021,49,15.0,249.0
4903590473,"Cottonwood CCD, Salt Lake County, Utah",4300.0,3940.0,40.0,79.0,54.0,0.0,0.0,45.0,142.0,035,90473,49,54.0,124.0
4903593010,"Salt Lake City CCD, Salt Lake County, Utah",994291.0,709823.0,17017.0,6419.0,40557.0,15504.0,2179.0,21998.0,180794.0,035,93010,49,56061.0,30596.0
4903590774,"Emigration CCD, Salt Lake County, Utah",9172.0,8059.0,39.0,0.0,340.0,0.0,16.0,159.0,559.0,035,90774,49,340.0,175.0
4903591806,"Magna CCD, Salt Lake County, Utah",30880.0,20302.0,66.0,87.0,371.0,181.0,0.0,850.0,9023.0,035,91806,49,552.0,937.0
4903590172,"Bingham CCD, Salt Lake County, Utah",68057.0,55390.0,1181.0,249.0,1291.0,877.0,109.0,1256.0,7704.0,035,90172,49,2168.0,1614.0
4904793655,"Vernal CCD, Uintah County, Utah",30560.0,26690.0,153.0,371.0,119.0,29.0,0.0,433.0,2765.0,047,93655,49,148.0,804.0
4904793569,"Uintah and Ouray CCD, Uintah County, Utah",5783.0,3078.0,12.0,2307.0,63.0,15.0,0.0,75.0,233.0,047,93569,49,78.0,2382.0
4900993870,"West Daggett CCD, Daggett County, Utah",571.0,535.0,1.0,6.0,0.0,0.0,0.0,6.0,23.0,009,93870,49,0.0,12.0
4900990688,"East Daggett CCD, Daggett County, Utah",131.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,009,90688,49,0.0,0.0
