geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
3010193402,"Sunburst CCD, Toole County, Montana",454.0,322.0,132.0,101,93402,30
3003591460,"Glacier National Park CCD, Glacier County, Montana",3.0,3.0,0.0,035,91460,30
3001991218,"Fort Peck Reservation CCD, Daniels County, Montana",15.0,4.0,11.0,019,91218,30
3003792016,"Lavina CCD, Golden Valley County, Montana",184.0,134.0,50.0,037,92016,30
3003590777,"Cut Bank CCD, Glacier County, Montana",1293.0,757.0,536.0,035,90777,30
3002590168,"Baker CCD, Fallon County, Montana",1026.0,678.0,348.0,025,90168,30
3002592730,"Plevna CCD, Fallon County, Montana",215.0,162.0,53.0,025,92730,30
3003792940,"Ryegate CCD, Golden Valley County, Montana",141.0,100.0,41.0,037,92940,30
3004593318,"Stanford CCD, Judith Basin County, Montana",391.0,256.0,135.0,045,93318,30
3004591407,"Geyser CCD, Judith Basin County, Montana",207.0,145.0,62.0,045,91407,30
3004591785,"Hobson CCD, Judith Basin County, Montana",327.0,261.0,66.0,045,91785,30
3009390483,"Butte CCD, Silver Bow County, Montana",14791.0,9717.0,5074.0,093,90483,30
3009592604,"Park City CCD, Stillwater County, Montana",844.0,664.0,180.0,095,92604,30
3009590693,"Columbus CCD, Stillwater County, Montana",1613.0,1289.0,324.0,095,90693,30
3009590021,"Absarokee CCD, Stillwater County, Montana",1006.0,763.0,243.0,095,90021,30
3009592510,"North Stillwater CCD, Stillwater County, Montana",334.0,237.0,97.0,095,92510,30
3002390063,"Anaconda CCD, Deer Lodge County, Montana",3516.0,2390.0,1126.0,023,90063,30
3004390399,"Boulder CCD, Jefferson County, Montana",2949.0,2576.0,373.0,043,90399,30
3004393822,"Whitehall CCD, Jefferson County, Montana",1563.0,1264.0,299.0,043,93822,30
3003990945,"Drummond CCD, Granite County, Montana",582.0,419.0,163.0,039,90945,30
3003992625,"Philipsburg CCD, Granite County, Montana",727.0,529.0,198.0,039,92625,30
3005590630,"Circle CCD, McCone County, Montana",472.0,373.0,99.0,055,90630,30
3005592487,"North McCone CCD, McCone County, Montana",248.0,208.0,40.0,055,92487,30
3010791659,"Harlowton CCD, Wheatland County, Montana",625.0,362.0,263.0,107,91659,30
3010791869,"Judith Gap-Shawmut CCD, Wheatland County, Montana",195.0,167.0,28.0,107,91869,30
3005793633,"Twin Bridges CCD, Madison County, Montana",675.0,492.0,183.0,057,93633,30
3005793717,"Virginia City CCD, Madison County, Montana",126.0,98.0,28.0,057,93717,30
3005791680,"Harrison CCD, Madison County, Montana",450.0,349.0,101.0,057,91680,30
3005793045,"Sheridan CCD, Madison County, Montana",759.0,618.0,141.0,057,93045,30
3005792184,"Madison Valley CCD, Madison County, Montana",1477.0,1126.0,351.0,057,92184,30
3008792856,"Rosebud CCD, Rosebud County, Montana",1040.0,942.0,98.0,087,92856,30
3008790084,"Ashland CCD, Rosebud County, Montana",170.0,85.0,85.0,087,90084,30
3008791155,"Forsyth CCD, Rosebud County, Montana",936.0,659.0,277.0,087,91155,30
3008792491,"North of the Yellowstone CCD, Rosebud County, Montana",228.0,200.0,28.0,087,92491,30
3009191260,"Fort Peck Reservation CCD, Sheridan County, Montana",57.0,33.0,24.0,091,91260,30
3009192709,"Plentywood CCD, Sheridan County, Montana",1161.0,908.0,253.0,091,92709,30
3009193738,"Westby CCD, Sheridan County, Montana",140.0,88.0,52.0,091,93738,30
3009192268,"Medicine Lake CCD, Sheridan County, Montana",303.0,232.0,71.0,091,92268,30
3001191050,"Ekalaka CCD, Carter County, Montana",373.0,317.0,56.0,011,91050,30
