geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
551258950,"Boulder Junction town, Vilas County, Wisconsin",486.0,403.0,83.0,125,8950,55
5512563625,"Plum Lake town, Vilas County, Wisconsin",293.0,259.0,34.0,125,63625,55
5512544525,"Lincoln town, Vilas County, Wisconsin",1184.0,934.0,250.0,125,44525,55
5512570725,"St. Germain town, Vilas County, Wisconsin",960.0,751.0,209.0,125,70725,55
551252450,"Arbor Vitae town, Vilas County, Wisconsin",1589.0,1137.0,452.0,125,2450,55
5502365050,"Prairie du Chien city, Crawford County, Wisconsin",2417.0,1540.0,877.0,023,65050,55
5502346675,"Lynxville village, Crawford County, Wisconsin",78.0,68.0,10.0,023,46675,55
5502349275,"Marietta town, Crawford County, Wisconsin",184.0,144.0,40.0,023,49275,55
5502321900,"Eastman village, Crawford County, Wisconsin",171.0,132.0,39.0,023,21900,55
5502377175,"Steuben village, Crawford County, Wisconsin",34.0,30.0,4.0,023,77175,55
5502384725,"Wauzeka village, Crawford County, Wisconsin",279.0,201.0,78.0,023,84725,55
550239550,"Bridgeport town, Crawford County, Wisconsin",375.0,357.0,18.0,023,9550,55
5502354900,"Mount Sterling village, Crawford County, Wisconsin",80.0,69.0,11.0,023,54900,55
5502319850,"De Soto village, Crawford County, Wisconsin",39.0,39.0,0.0,023,19850,55
5502315075,"Clayton town, Crawford County, Wisconsin",360.0,303.0,57.0,023,15075,55
5502321925,"Eastman town, Crawford County, Wisconsin",276.0,234.0,42.0,023,21925,55
5502332500,"Haney town, Crawford County, Wisconsin",107.0,89.0,18.0,023,32500,55
5502372275,"Scott town, Crawford County, Wisconsin",209.0,185.0,24.0,023,72275,55
5502374550,"Soldiers Grove village, Crawford County, Wisconsin",232.0,139.0,93.0,023,74550,55
5502384750,"Wauzeka town, Crawford County, Wisconsin",129.0,111.0,18.0,023,84750,55
5502327700,"Freeman town, Crawford County, Wisconsin",292.0,246.0,46.0,023,27700,55
550236225,"Bell Center village, Crawford County, Wisconsin",60.0,57.0,3.0,023,6225,55
5505712350,"Camp Douglas village, Juneau County, Wisconsin",227.0,174.0,53.0,057,12350,55
5505725850,"Finley town, Juneau County, Wisconsin",42.0,32.0,10.0,057,25850,55
5505755725,"Necedah town, Juneau County, Wisconsin",964.0,856.0,108.0,057,55725,55
5505728850,"Germantown town, Juneau County, Wisconsin",651.0,537.0,114.0,057,28850,55
5505736675,"Hustler village, Juneau County, Wisconsin",97.0,66.0,31.0,057,36675,55
5505739800,"Kingston town, Juneau County, Wisconsin",27.0,21.0,6.0,057,39800,55
5505718225,"Cutler town, Juneau County, Wisconsin",123.0,102.0,21.0,057,18225,55
5505746600,"Lyndon Station village, Juneau County, Wisconsin",209.0,120.0,89.0,057,46600,55
5505772625,"Seven Mile Creek town, Juneau County, Wisconsin",138.0,97.0,41.0,057,72625,55
5505781725,"Union Center village, Juneau County, Wisconsin",79.0,48.0,31.0,057,81725,55
5505726825,"Fountain town, Juneau County, Wisconsin",244.0,199.0,45.0,057,26825,55
5505743300,"Lemonweir town, Juneau County, Wisconsin",641.0,569.0,72.0,057,43300,55
5505788525,"Wonewoc town, Juneau County, Wisconsin",293.0,233.0,60.0,057,88525,55
5505715225,"Clearfield town, Juneau County, Wisconsin",284.0,258.0,26.0,057,15225,55
5505739575,"Kildare town, Juneau County, Wisconsin",235.0,218.0,17.0,057,39575,55
5505750025,"Mauston city, Juneau County, Wisconsin",1667.0,1054.0,613.0,057,50025,55
5505744825,"Lisbon town, Juneau County, Wisconsin",361.0,318.0,43.0,057,44825,55
5505788500,"Wonewoc village, Juneau County, Wisconsin",362.0,277.0,85.0,057,88500,55
5505756900,"New Lisbon city, Juneau County, Wisconsin",640.0,378.0,262.0,057,56900,55
5505760150,"Orange town, Juneau County, Wisconsin",179.0,172.0,7.0,057,60150,55
5505723800,"Elroy city, Juneau County, Wisconsin",551.0,367.0,184.0,057,23800,55
5505749375,"Marion town, Juneau County, Wisconsin",201.0,161.0,40.0,057,49375,55
5505746525,"Lyndon town, Juneau County, Wisconsin",492.0,411.0,81.0,057,46525,55
5507113750,"Centerville town, Manitowoc County, Wisconsin",253.0,225.0,28.0,071,13750,55
5507128975,"Gibson town, Manitowoc County, Wisconsin",521.0,467.0,54.0,071,28975,55
5507143850,"Liberty town, Manitowoc County, Wisconsin",461.0,437.0,24.0,071,43850,55
5507116950,"Cooperstown town, Manitowoc County, Wisconsin",490.0,431.0,59.0,071,16950,55
5507148525,"Manitowoc town, Manitowoc County, Wisconsin",418.0,396.0,22.0,071,48525,55
