geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
5601593465,"Torrington CCD, Goshen County, Wyoming",4685.0,3546.0,1139.0,015,93465,56
5601591430,"Goshen Hole CCD, Goshen County, Wyoming",472.0,355.0,117.0,015,91430,56
5601592585,"Rawhide Creek CCD, Goshen County, Wyoming",171.0,149.0,22.0,015,92585,56
5604191155,"Evanston CCD, Uinta County, Wyoming",5443.0,3767.0,1676.0,041,91155,56
5604190440,"Bridger Valley CCD, Uinta County, Wyoming",2262.0,1789.0,473.0,041,90440,56
5604393300,"Ten Sleep CCD, Washakie County, Wyoming",351.0,249.0,102.0,043,93300,56
5604393795,"Worland CCD, Washakie County, Wyoming",3139.0,2408.0,731.0,043,93795,56
5601793410,"Thermopolis West CCD, Hot Springs County, Wyoming",1921.0,1537.0,384.0,017,93410,56
5601793355,"Thermopolis East CCD, Hot Springs County, Wyoming",232.0,138.0,94.0,017,93355,56
5601391045,"Dubois CCD, Fremont County, Wyoming",822.0,601.0,221.0,013,91045,56
5601392035,"Lander CCD, Fremont County, Wyoming",4623.0,3315.0,1308.0,013,92035,56
5601393080,"Shoshoni CCD, Fremont County, Wyoming",339.0,223.0,116.0,013,93080,56
5603592475,"Pinedale CCD, Sublette County, Wyoming",2348.0,1793.0,555.0,035,92475,56
5603590385,"Boulder CCD, Sublette County, Wyoming",73.0,60.0,13.0,035,90385,56
5603590330,"Big Piney CCD, Sublette County, Wyoming",776.0,566.0,210.0,035,90330,56
5604593520,"Upton CCD, Weston County, Wyoming",658.0,461.0,197.0,045,93520,56
5604592255,"Newcastle CCD, Weston County, Wyoming",2524.0,1976.0,548.0,045,92255,56
5600390688,"Central Big Horn CCD, Big Horn County, Wyoming",1368.0,997.0,371.0,003,90688,56
5600392393,"North Big Horn CCD, Big Horn County, Wyoming",2046.0,1475.0,571.0,003,92393,56
5601393742,"Wind River Reservation CCD, Fremont County, Wyoming",9338.0,6529.0,2809.0,013,93742,56
5601793744,"Wind River Reservation CCD, Hot Springs County, Wyoming",93.0,52.0,41.0,017,93744,56
5600393142,"South Big Horn CCD, Big Horn County, Wyoming",1067.0,783.0,284.0,003,93142,56
