geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
0610993080,"Sonora CCD, Tuolumne County, California",66.0,44.0,22.0,109,93080,06
0610990835,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",26.0,26.0,0.0,109,90835,06
0607790900,"Escalon CCD, San Joaquin County, California",9.0,9.0,0.0,077,90900,06
0607793340,"Thornton CCD, San Joaquin County, California",968.0,636.0,332.0,077,93340,06
0607791630,"Linden-Farmington CCD, San Joaquin County, California",23.0,23.0,0.0,077,91630,06
0607791690,"Lockeford CCD, San Joaquin County, California",76.0,52.0,24.0,077,91690,06
0607791700,"Lodi CCD, San Joaquin County, California",2372.0,1682.0,690.0,077,91700,06
0607793240,"Stockton CCD, San Joaquin County, California",16804.0,8720.0,8084.0,077,93240,06
0607791870,"Manteca CCD, San Joaquin County, California",2971.0,2249.0,722.0,077,91870,06
0607792620,"Ripon CCD, San Joaquin County, California",145.0,108.0,37.0,077,92620,06
0607793400,"Tracy CCD, San Joaquin County, California",5393.0,4313.0,1080.0,077,93400,06
0600593300,"Sutter Creek-Plymouth CCD, Amador County, California",50.0,50.0,0.0,005,93300,06
0600591430,"Jackson CCD, Amador County, California",44.0,15.0,29.0,005,91430,06
0600592470,"Pine Grove-Silver Lake CCD, Amador County, California",23.0,15.0,8.0,005,92470,06
0600591410,"Ione CCD, Amador County, California",14.0,7.0,7.0,005,91410,06
0604790720,"Dos Palos CCD, Merced County, California",11.0,0.0,11.0,047,90720,06
0604792500,"Planada-Le Grand CCD, Merced County, California",44.0,43.0,1.0,047,92500,06
0604791760,"Los Banos CCD, Merced County, California",404.0,266.0,138.0,047,91760,06
0604791960,"Merced CCD, Merced County, California",2902.0,1192.0,1710.0,047,91960,06
0604793050,"Snelling CCD, Merced County, California",0.0,0.0,0.0,047,93050,06
0604791290,"Hilmar-Irwin CCD, Merced County, California",0.0,0.0,0.0,047,91290,06
0604791210,"Gustine CCD, Merced County, California",0.0,0.0,0.0,047,91210,06
0603391540,"Lakeport CCD, Lake County, California",113.0,29.0,84.0,033,91540,06
0604391880,"Mariposa CCD, Mariposa County, California",15.0,15.0,0.0,043,91880,06
0604390600,"Coulterville CCD, Mariposa County, California",0.0,0.0,0.0,043,90600,06
0604993270,"Surprise Valley CCD, Modoc County, California",7.0,0.0,7.0,049,93270,06
