geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
3802329420,"Garnet township, Divide County, North Dakota",0.0,0.0,0.0,023,29420,38
3802319500,"De Witt township, Divide County, North Dakota",0.0,0.0,0.0,023,19500,38
3802323140,"Elkhorn township, Divide County, North Dakota",0.0,0.0,0.0,023,23140,38
3802328220,"Frazier township, Divide County, North Dakota",0.0,0.0,0.0,023,28220,38
3802380900,"Upland township, Divide County, North Dakota",0.0,0.0,0.0,023,80900,38
3802346740,"Lincoln Valley township, Divide County, North Dakota",0.0,0.0,0.0,023,46740,38
3802363340,"Plumer township, Divide County, North Dakota",0.0,0.0,0.0,023,63340,38
3802373420,"Sioux Trail township, Divide County, North Dakota",0.0,0.0,0.0,023,73420,38
3802373700,"Smoky Butte township, Divide County, North Dakota",0.0,0.0,0.0,023,73700,38
3802310780,"Burg township, Divide County, North Dakota",0.0,0.0,0.0,023,10780,38
3802314900,"Clinton township, Divide County, North Dakota",0.0,0.0,0.0,023,14900,38
3802326340,"Fillmore township, Divide County, North Dakota",0.0,0.0,0.0,023,26340,38
3802360700,"Palmer township, Divide County, North Dakota",0.0,0.0,0.0,023,60700,38
3802336500,"Hayland township, Divide County, North Dakota",0.0,0.0,0.0,023,36500,38
3802352260,"Mentor township, Divide County, North Dakota",0.0,0.0,0.0,023,52260,38
380231900,"Ambrose township, Divide County, North Dakota",0.0,0.0,0.0,023,1900,38
380237940,"Blooming Valley township, Divide County, North Dakota",0.0,0.0,0.0,023,7940,38
3802315020,"Coalfield township, Divide County, North Dakota",0.0,0.0,0.0,023,15020,38
3802376300,"Stoneview township, Divide County, North Dakota",0.0,0.0,0.0,023,76300,38
3802331580,"Gooseneck township, Divide County, North Dakota",0.0,0.0,0.0,023,31580,38
3802336300,"Hawkeye township, Divide County, North Dakota",0.0,0.0,0.0,023,36300,38
3802380260,"Twin Butte township, Divide County, North Dakota",0.0,0.0,0.0,023,80260,38
3802316940,"Crosby city, Divide County, North Dakota",0.0,0.0,0.0,023,16940,38
3802317940,"Daneville township, Divide County, North Dakota",0.0,0.0,0.0,023,17940,38
3804943820,"Lake George township, McHenry County, North Dakota",0.0,0.0,0.0,049,43820,38
3804919020,"Denbigh township, McHenry County, North Dakota",0.0,0.0,0.0,049,19020,38
3804932660,"Granville city, McHenry County, North Dakota",0.0,0.0,0.0,049,32660,38
3804941420,"Karlsruhe township, McHenry County, North Dakota",0.0,0.0,0.0,049,41420,38
3804943860,"Lake Hester township, McHenry County, North Dakota",0.0,0.0,0.0,049,43860,38
3804947260,"Little Deep township, McHenry County, North Dakota",0.0,0.0,0.0,049,47260,38
3804959180,"Odin township, McHenry County, North Dakota",0.0,0.0,0.0,049,59180,38
3804968310,"Rose Hill township, McHenry County, North Dakota",0.0,0.0,0.0,049,68310,38
3804975020,"Spring Grove township, McHenry County, North Dakota",0.0,0.0,0.0,049,75020,38
380497300,"Bjornson township, McHenry County, North Dakota",0.0,0.0,0.0,049,7300,38
3804925620,"Falsen township, McHenry County, North Dakota",0.0,0.0,0.0,049,25620,38
3804937260,"Hendrickson township, McHenry County, North Dakota",0.0,0.0,0.0,049,37260,38
3804957727,"Northeast McHenry UT, McHenry County, North Dakota",0.0,0.0,0.0,049,57727,38
3804971180,"Schiller township, McHenry County, North Dakota",0.0,0.0,0.0,049,71180,38
3804982580,"Wagar township, McHenry County, North Dakota",0.0,0.0,0.0,049,82580,38
3804930300,"Gilmore township, McHenry County, North Dakota",0.0,0.0,0.0,049,30300,38
3804981620,"Velva city, McHenry County, North Dakota",0.0,0.0,0.0,049,81620,38
380492220,"Anamoose city, McHenry County, North Dakota",0.0,0.0,0.0,049,2220,38
380494460,"Balfour city, McHenry County, North Dakota",0.0,0.0,0.0,049,4460,38
380496180,"Bergen city, McHenry County, North Dakota",0.0,0.0,0.0,049,6180,38
3804918660,"Deering township, McHenry County, North Dakota",0.0,0.0,0.0,049,18660,38
3804922580,"Egg Creek township, McHenry County, North Dakota",0.0,0.0,0.0,049,22580,38
3804932700,"Granville township, McHenry County, North Dakota",0.0,0.0,0.0,049,32700,38
3804944660,"Land township, McHenry County, North Dakota",0.0,0.0,0.0,049,44660,38
3804945500,"Lebanon township, McHenry County, North Dakota",0.0,0.0,0.0,049,45500,38
3804951660,"Meadow township, McHenry County, North Dakota",0.0,0.0,0.0,049,51660,38
3804958660,"Norwich township, McHenry County, North Dakota",0.0,0.0,0.0,049,58660,38
3804964420,"Pratt township, McHenry County, North Dakota",0.0,0.0,0.0,049,64420,38
3804979420,"Towner city, McHenry County, North Dakota",0.0,0.0,0.0,049,79420,38
3804981660,"Velva township, McHenry County, North Dakota",0.0,0.0,0.0,049,81660,38
3804986420,"Willow Creek township, McHenry County, North Dakota",0.0,0.0,0.0,049,86420,38
3804941380,"Karlsruhe city, McHenry County, North Dakota",0.0,0.0,0.0,049,41380,38
3804942660,"Kief city, McHenry County, North Dakota",0.0,0.0,0.0,049,42660,38
3804957500,"Normal township, McHenry County, North Dakota",0.0,0.0,0.0,049,57500,38
380499860,"Brown township, McHenry County, North Dakota",0.0,0.0,0.0,049,9860,38
