geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
4506592262,"Mount Carmel CCD, McCormick County, South Carolina",258.0,224.0,34.0,065,92262,45
4505990663,"Clinton CCD, Laurens County, South Carolina",1748.0,940.0,808.0,059,90663,45
4505991924,"Laurens CCD, Laurens County, South Carolina",2655.0,1416.0,1239.0,059,91924,45
4505991690,"Joanna CCD, Laurens County, South Carolina",104.0,58.0,46.0,059,91690,45
4506592561,"Parksville CCD, McCormick County, South Carolina",358.0,222.0,136.0,065,92561,45
4506592119,"McCormick CCD, McCormick County, South Carolina",1101.0,595.0,506.0,065,92119,45
4507790533,"Central CCD, Pickens County, South Carolina",561.0,218.0,343.0,077,90533,45
4507790936,"Easley CCD, Pickens County, South Carolina",1315.0,705.0,610.0,077,90936,45
4507792639,"Pickens CCD, Pickens County, South Carolina",229.0,138.0,91.0,077,92639,45
4507790949,"Easley East CCD, Pickens County, South Carolina",39.0,39.0,0.0,077,90949,45
4507793146,"Six Mile CCD, Pickens County, South Carolina",28.0,8.0,20.0,077,93146,45
4507790650,"Clemson CCD, Pickens County, South Carolina",400.0,173.0,227.0,077,90650,45
4507791950,"Liberty CCD, Pickens County, South Carolina",257.0,118.0,139.0,077,91950,45
4508791742,"Jonesville CCD, Union County, South Carolina",355.0,271.0,84.0,087,91742,45
4508790507,"Carlisle CCD, Union County, South Carolina",501.0,443.0,58.0,087,90507,45
4508790832,"Cross Keys CCD, Union County, South Carolina",206.0,201.0,5.0,087,90832,45
4508793679,"West Springs CCD, Union County, South Carolina",151.0,112.0,39.0,087,93679,45
4508791989,"Lockhart CCD, Union County, South Carolina",164.0,103.0,61.0,087,91989,45
4508793497,"Union CCD, Union County, South Carolina",2326.0,1038.0,1288.0,087,93497,45
4508991495,"Hemingway CCD, Williamsburg County, South Carolina",1042.0,730.0,312.0,089,91495,45
4508993458,"Trio CCD, Williamsburg County, South Carolina",433.0,350.0,83.0,089,93458,45
4508991339,"Greeleyville CCD, Williamsburg County, South Carolina",640.0,507.0,133.0,089,91339,45
4508991768,"Kingstree CCD, Williamsburg County, South Carolina",3686.0,2245.0,1441.0,089,91768,45
4508992353,"Nesmith CCD, Williamsburg County, South Carolina",570.0,487.0,83.0,089,92353,45
4508991898,"Lane CCD, Williamsburg County, South Carolina",747.0,532.0,215.0,089,91898,45
4500390026,"Aiken CCD, Aiken County, South Carolina",6207.0,2862.0,3345.0,003,90026,45
4500391651,"Jackson CCD, Aiken County, South Carolina",327.0,263.0,64.0,003,91651,45
4500390208,"Beech Island CCD, Aiken County, South Carolina",804.0,586.0,218.0,003,90208,45
4500392379,"New Ellenton CCD, Aiken County, South Carolina",920.0,593.0,327.0,003,92379,45
4500392418,"North Augusta CCD, Aiken County, South Carolina",4469.0,2287.0,2182.0,003,92418,45
4500392977,"Salley CCD, Aiken County, South Carolina",271.0,223.0,48.0,003,92977,45
4500393562,"Wagener CCD, Aiken County, South Carolina",617.0,330.0,287.0,003,93562,45
4500392223,"Monetta CCD, Aiken County, South Carolina",469.0,272.0,197.0,003,92223,45
4500393744,"Windsor CCD, Aiken County, South Carolina",310.0,280.0,30.0,003,93744,45
4500591092,"Fairfax CCD, Allendale County, South Carolina",704.0,335.0,369.0,005,91092,45
4500592197,"Millett CCD, Allendale County, South Carolina",115.0,105.0,10.0,005,92197,45
4500590052,"Allendale CCD, Allendale County, South Carolina",1401.0,765.0,636.0,005,90052,45
4500593367,"Sycamore CCD, Allendale County, South Carolina",173.0,138.0,35.0,005,93367,45
4507193705,"Whitmire CCD, Newberry County, South Carolina",354.0,206.0,148.0,071,93705,45
4507192366,"Newberry CCD, Newberry County, South Carolina",2817.0,1478.0,1339.0,071,92366,45
4507192704,"Pomaria CCD, Newberry County, South Carolina",340.0,281.0,59.0,071,92704,45
4501190143,"Barnwell CCD, Barnwell County, South Carolina",1019.0,432.0,587.0,011,90143,45
4507392249,"Mountain Rest CCD, Oconee County, South Carolina",0.0,0.0,0.0,073,92249,45
4507393575,"Walhalla CCD, Oconee County, South Carolina",213.0,175.0,38.0,073,93575,45
4507392964,"Salem CCD, Oconee County, South Carolina",10.0,10.0,0.0,073,92964,45
4507392457,"Oakway CCD, Oconee County, South Carolina",139.0,54.0,85.0,073,92457,45
4508990442,"Cades CCD, Williamsburg County, South Carolina",269.0,217.0,52.0,089,90442,45
4501190286,"Blackville CCD, Barnwell County, South Carolina",1016.0,709.0,307.0,011,90286,45
4501193731,"Williston CCD, Barnwell County, South Carolina",972.0,472.0,500.0,011,93731,45
4501191794,"Kline-Snelling CCD, Barnwell County, South Carolina",680.0,472.0,208.0,011,91794,45
4501591274,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",9532.0,5000.0,4532.0,015,91274,45
4501990988,"Edisto Island CCD, Charleston County, South Carolina",289.0,281.0,8.0,019,90988,45
4501991664,"James Island CCD, Charleston County, South Carolina",2091.0,1294.0,797.0,019,91664,45
4501991703,"Johns Island CCD, Charleston County, South Carolina",1180.0,722.0,458.0,019,91703,45
4501992301,"Mount Pleasant CCD, Charleston County, South Carolina",2249.0,1868.0,381.0,019,92301,45
4501992080,"McClellanville CCD, Charleston County, South Carolina",1049.0,858.0,191.0,019,92080,45
4501993549,"Wadmalaw Island CCD, Charleston County, South Carolina",572.0,444.0,128.0,019,93549,45
4503191820,"Lake Swamp CCD, Darlington County, South Carolina",703.0,538.0,165.0,031,91820,45
4503190858,"Darlington CCD, Darlington County, South Carolina",4805.0,2712.0,2093.0,031,90858,45
4503191846,"Lamar CCD, Darlington County, South Carolina",604.0,392.0,212.0,031,91846,45
4503192431,"North Hartsville CCD, Darlington County, South Carolina",720.0,376.0,344.0,031,92431,45
4503193185,"Society Hill CCD, Darlington County, South Carolina",797.0,545.0,252.0,031,93185,45
4503191469,"Hartsville CCD, Darlington County, South Carolina",3031.0,1383.0,1648.0,031,91469,45
4504390078,"Andrews CCD, Georgetown County, South Carolina",985.0,549.0,436.0,043,90078,45
4504392665,"Plantersville CCD, Georgetown County, South Carolina",633.0,527.0,106.0,043,92665,45
4504392678,"Pleasant Hill-Folly Grove CCD, Georgetown County, South Carolina",388.0,360.0,28.0,043,92678,45
4506990234,"Bennettsville CCD, Marlboro County, South Carolina",3080.0,1669.0,1411.0,069,90234,45
4506993588,"Wallace CCD, Marlboro County, South Carolina",454.0,282.0,172.0,069,93588,45
4504391248,"Georgetown CCD, Georgetown County, South Carolina",3223.0,1876.0,1347.0,043,91248,45
4506992093,"McColl CCD, Marlboro County, South Carolina",543.0,363.0,180.0,069,92093,45
4506990676,"Clio CCD, Marlboro County, South Carolina",556.0,273.0,283.0,069,90676,45
4506990299,"Blenheim CCD, Marlboro County, South Carolina",275.0,190.0,85.0,069,90299,45
4509191183,"Fort Mill CCD, York County, South Carolina",1996.0,1087.0,909.0,091,91183,45
4509192106,"McConnells CCD, York County, South Carolina",203.0,168.0,35.0,091,92106,45
4509193822,"York CCD, York County, South Carolina",1505.0,786.0,719.0,091,93822,45
4509190689,"Clover CCD, York County, South Carolina",1291.0,824.0,467.0,091,90689,45
4509191521,"Hickory Grove CCD, York County, South Carolina",179.0,141.0,38.0,091,91521,45
4509192886,"Rock Hill CCD, York County, South Carolina",12765.0,5386.0,7379.0,091,92886,45
4500791638,"Iva CCD, Anderson County, South Carolina",231.0,129.0,102.0,007,91638,45
4500793718,"Williamston-Pelzer CCD, Anderson County, South Carolina",759.0,314.0,445.0,007,93718,45
4500791560,"Honea Path CCD, Anderson County, South Carolina",289.0,168.0,121.0,007,91560,45
4500790065,"Anderson CCD, Anderson County, South Carolina",8238.0,3349.0,4889.0,007,90065,45
4500790221,"Belton CCD, Anderson County, South Carolina",948.0,374.0,574.0,007,90221,45
4500793224,"Starr CCD, Anderson County, South Carolina",250.0,213.0,37.0,007,93224,45
4500792626,"Pendleton CCD, Anderson County, South Carolina",952.0,490.0,462.0,007,92626,45
4507192756,"Prosperity CCD, Newberry County, South Carolina",776.0,552.0,224.0,071,92756,45
4507190559,"Chappells CCD, Newberry County, South Carolina",156.0,111.0,45.0,071,90559,45
4503793445,"Trenton CCD, Edgefield County, South Carolina",537.0,395.0,142.0,037,93445,45
4503792691,"Pleasant Lane CCD, Edgefield County, South Carolina",241.0,195.0,46.0,037,92691,45
4503790975,"Edgefield CCD, Edgefield County, South Carolina",889.0,408.0,481.0,037,90975,45
4503791729,"Johnston CCD, Edgefield County, South Carolina",1029.0,484.0,545.0,037,91729,45
4502390637,"Chester West CCD, Chester County, South Carolina",355.0,281.0,74.0,023,90637,45
4502391326,"Great Falls CCD, Chester County, South Carolina",453.0,352.0,101.0,023,91326,45
4502392821,"Richburg CCD, Chester County, South Carolina",160.0,136.0,24.0,023,92821,45
4502390611,"Chester CCD, Chester County, South Carolina",3096.0,1644.0,1452.0,023,90611,45
4502793263,"Summerton CCD, Clarendon County, South Carolina",1621.0,964.0,657.0,027,93263,45
4502790039,"Alcolu CCD, Clarendon County, South Carolina",490.0,358.0,132.0,027,90039,45
4502793055,"Sardinia CCD, Clarendon County, South Carolina",274.0,240.0,34.0,027,93055,45
4502792158,"Manning East CCD, Clarendon County, South Carolina",653.0,445.0,208.0,027,92158,45
4502793484,"Turbeville CCD, Clarendon County, South Carolina",375.0,142.0,233.0,027,93484,45
4502792600,"Paxville CCD, Clarendon County, South Carolina",560.0,430.0,130.0,027,92600,45
4502792145,"Manning CCD, Clarendon County, South Carolina",2365.0,1401.0,964.0,027,92145,45
4502991352,"Green Pond CCD, Colleton County, South Carolina",251.0,224.0,27.0,029,91352,45
4502991508,"Hendersonville CCD, Colleton County, South Carolina",1190.0,831.0,359.0,029,91508,45
4502993172,"Smoaks CCD, Colleton County, South Carolina",351.0,280.0,71.0,029,93172,45
4502990767,"Cottageville CCD, Colleton County, South Carolina",625.0,548.0,77.0,029,90767,45
4502992002,"Lodge CCD, Colleton County, South Carolina",209.0,180.0,29.0,029,92002,45
4502993601,"Walterboro CCD, Colleton County, South Carolina",2918.0,1665.0,1253.0,029,93601,45
4506792171,"Marion CCD, Marion County, South Carolina",3615.0,1862.0,1753.0,067,92171,45
4506792314,"Mullins CCD, Marion County, South Carolina",2414.0,1555.0,859.0,067,92314,45
