geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",87.0,49.0,38.0,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",20.0,20.0,0.0,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",362.0,184.0,178.0,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",117.0,99.0,18.0,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",0.0,0.0,0.0,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",43.0,43.0,0.0,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",3.0,0.0,3.0,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",41.0,15.0,26.0,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",542.0,539.0,3.0,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",0.0,0.0,0.0,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",0.0,0.0,0.0,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",202.0,27.0,175.0,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",78.0,47.0,31.0,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",10.0,10.0,0.0,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",0.0,0.0,0.0,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",0.0,0.0,0.0,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",0.0,0.0,0.0,269,90557,13
1308590284,"Blacks Mill CCD, Dawson County, Georgia",149.0,16.0,133.0,085,90284,13
1328992215,"North Twiggs CCD, Twiggs County, Georgia",10.0,10.0,0.0,289,92215,13
1328992821,"South Twiggs CCD, Twiggs County, Georgia",0.0,0.0,0.0,289,92821,13
1308792104,"Mount Pleasant CCD, Decatur County, Georgia",0.0,0.0,0.0,087,92104,13
1318793024,"Three Sisters Mountain CCD, Lumpkin County, Georgia",151.0,112.0,39.0,187,93024,13
1316592019,"Millen CCD, Jenkins County, Georgia",110.0,32.0,78.0,165,92019,13
1316592806,"South Jenkins CCD, Jenkins County, Georgia",69.0,12.0,57.0,165,92806,13
1329392671,"Salem CCD, Upson County, Georgia",11.0,11.0,0.0,293,92671,13
1327990591,"Cedar Crossing CCD, Toombs County, Georgia",32.0,32.0,0.0,279,90591,13
1318192807,"South Lincoln CCD, Lincoln County, Georgia",16.0,16.0,0.0,181,92807,13
1322190814,"Crawford CCD, Oglethorpe County, Georgia",147.0,78.0,69.0,221,90814,13
1302191891,"Macon East CCD, Bibb County, Georgia",66.0,17.0,49.0,021,91891,13
1325593180,"Vaughn CCD, Spalding County, Georgia",60.0,38.0,22.0,255,93180,13
1302191892,"Macon West CCD, Bibb County, Georgia",841.0,233.0,608.0,021,91892,13
1325593071,"Towalaga CCD, Spalding County, Georgia",44.0,44.0,0.0,255,93071,13
1325590942,"Digbey CCD, Spalding County, Georgia",11.0,11.0,0.0,255,90942,13
1316991351,"Gray-Macon East CCD, Jones County, Georgia",223.0,223.0,0.0,169,91351,13
1303593438,"Worthville CCD, Butts County, Georgia",73.0,73.0,0.0,035,93438,13
1303592822,"Southwest Butts CCD, Butts County, Georgia",85.0,85.0,0.0,035,92822,13
1327791052,"Eldorado CCD, Tift County, Georgia",38.0,38.0,0.0,277,91052,13
1300992015,"Milledgeville CCD, Baldwin County, Georgia",220.0,77.0,143.0,009,92015,13
1325791934,"Martin-Avalon CCD, Stephens County, Georgia",8.0,1.0,7.0,257,91934,13
1308393084,"Trenton CCD, Dade County, Georgia",22.0,22.0,0.0,083,93084,13
1307391383,"Grovetown-Harlem CCD, Columbia County, Georgia",964.0,646.0,318.0,073,91383,13
1300990992,"East Baldwin CCD, Baldwin County, Georgia",24.0,0.0,24.0,009,90992,13
1329591810,"Lookout Mountain CCD, Walker County, Georgia",8.0,8.0,0.0,295,91810,13
1312392805,"South Gilmer CCD, Gilmer County, Georgia",54.0,54.0,0.0,123,92805,13
1312392206,"North Gilmer CCD, Gilmer County, Georgia",42.0,13.0,29.0,123,92206,13
1321792810,"South Newton CCD, Newton County, Georgia",77.0,77.0,0.0,217,92810,13
1313590469,"Buford-Sugar Hill CCD, Gwinnett County, Georgia",2621.0,1598.0,1023.0,135,90469,13
