geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
3718792968,"Skinnersville township, Washington County, North Carolina",0.0,0.0,0.0,187,92968,37
3718792540,"Plymouth township, Washington County, North Carolina",133.0,0.0,133.0,187,92540,37
3718792876,"Scuppernong township, Washington County, North Carolina",4.0,0.0,4.0,187,92876,37
3718791768,"Lees Mill township, Washington County, North Carolina",15.0,10.0,5.0,187,91768,37
3702990784,"Courthouse township, Camden County, North Carolina",9.0,9.0,0.0,029,90784,37
3702992920,"Shiloh township, Camden County, North Carolina",0.0,0.0,0.0,029,92920,37
3702993044,"South Mills township, Camden County, North Carolina",65.0,65.0,0.0,029,93044,37
3704393192,"Sweetwater township, Clay County, North Carolina",0.0,0.0,0.0,043,93192,37
3704392944,"Shooting Creek township, Clay County, North Carolina",0.0,0.0,0.0,043,92944,37
3704393792,"Tusquittee township, Clay County, North Carolina",0.0,0.0,0.0,043,93792,37
3704390360,"Brasstown township, Clay County, North Carolina",51.0,51.0,0.0,043,90360,37
3704391436,"Hayesville township, Clay County, North Carolina",69.0,21.0,48.0,043,91436,37
3705190288,"Black River township, Cumberland County, North Carolina",23.0,19.0,4.0,051,90288,37
3705190968,"Eastover township, Cumberland County, North Carolina",341.0,177.0,164.0,051,90968,37
3705190832,"Cross Creek township, Cumberland County, North Carolina",1902.0,617.0,1285.0,051,90832,37
3705192724,"Rockfish township, Cumberland County, North Carolina",2093.0,1189.0,904.0,051,92724,37
3705192892,"Seventy-First township, Cumberland County, North Carolina",4444.0,2027.0,2417.0,051,92892,37
3705191296,"Grays Creek township, Cumberland County, North Carolina",146.0,136.0,10.0,051,91296,37
3705190192,"Beaver Dam township, Cumberland County, North Carolina",0.0,0.0,0.0,051,90192,37
3705192460,"Pearces Mill township, Cumberland County, North Carolina",656.0,386.0,270.0,051,92460,37
3705190532,"Carvers Creek township, Cumberland County, North Carolina",566.0,231.0,335.0,051,90532,37
3705191964,"Manchester township, Cumberland County, North Carolina",1257.0,107.0,1150.0,051,91964,37
3705190572,"Cedar Creek township, Cumberland County, North Carolina",193.0,100.0,93.0,051,90572,37
3707193048,"South Point township, Gaston County, North Carolina",629.0,227.0,402.0,071,93048,37
3707190844,"Crowders Mountain township, Gaston County, North Carolina",169.0,97.0,72.0,071,90844,37
3707191216,"Gastonia township, Gaston County, North Carolina",2309.0,1031.0,1278.0,071,91216,37
3701192090,"Minneapolis township, Avery County, North Carolina",0.0,0.0,0.0,011,92090,37
3701190148,"Banner Elk township, Avery County, North Carolina",64.0,0.0,64.0,011,90148,37
3701190510,"Carey's Flat township, Avery County, North Carolina",0.0,0.0,0.0,011,90510,37
3701192708,"Roaring Creek township, Avery County, North Carolina",0.0,0.0,0.0,011,92708,37
3701192586,"Pyatte township, Avery County, North Carolina",0.0,0.0,0.0,011,92586,37
3701191826,"Linville township, Avery County, North Carolina",0.0,0.0,0.0,011,91826,37
3701192502,"Pineola township, Avery County, North Carolina",59.0,0.0,59.0,011,92502,37
3701190052,"Altamont township, Avery County, North Carolina",0.0,0.0,0.0,011,90052,37
3701191558,"Hughes township, Avery County, North Carolina",0.0,0.0,0.0,011,91558,37
