geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
3200194238,"Dixie Valley CCD, Churchill County, Nevada",10.0,0.0,10.0,001,94238,32
3200194308,"Fallon CCD, Churchill County, Nevada",921.0,448.0,473.0,001,94308,32
3200194154,"Carson Sink CCD, Churchill County, Nevada",0.0,0.0,0.0,001,94154,32
3200594378,"Genoa-Jacks Valley CCD, Douglas County, Nevada",380.0,228.0,152.0,005,94378,32
3200594658,"Pine Nut CCD, Douglas County, Nevada",0.0,0.0,0.0,005,94658,32
3200594952,"Zephyr Cove CCD, Douglas County, Nevada",303.0,68.0,235.0,005,94952,32
3200594364,"Gardnerville-Minden CCD, Douglas County, Nevada",1146.0,472.0,674.0,005,94364,32
3200594826,"Topaz Lake CCD, Douglas County, Nevada",97.0,53.0,44.0,005,94826,32
3201594070,"Battle Mountain CCD, Lander County, Nevada",492.0,451.0,41.0,015,94070,32
3201594042,"Austin CCD, Lander County, Nevada",0.0,0.0,0.0,015,94042,32
3202794518,"Lovelock CCD, Pershing County, Nevada",217.0,135.0,82.0,027,94518,32
3202794448,"Imlay CCD, Pershing County, Nevada",58.0,58.0,0.0,027,94448,32
3201394546,"McDermitt CCD, Humboldt County, Nevada",46.0,0.0,46.0,013,94546,32
3200994420,"Goldfield CCD, Esmeralda County, Nevada",0.0,0.0,0.0,009,94420,32
3201194098,"Beowawe CCD, Eureka County, Nevada",0.0,0.0,0.0,011,94098,32
3201194294,"Eureka CCD, Eureka County, Nevada",0.0,0.0,0.0,011,94294,32
3201394406,"Golconda CCD, Humboldt County, Nevada",29.0,29.0,0.0,013,94406,32
3202194588,"Mina CCD, Mineral County, Nevada",0.0,0.0,0.0,021,94588,32
3201394798,"Summit Lake CCD, Humboldt County, Nevada",4.0,0.0,4.0,013,94798,32
3201394910,"Winnemucca CCD, Humboldt County, Nevada",1151.0,809.0,342.0,013,94910,32
3202194434,"Hawthorne CCD, Mineral County, Nevada",63.0,29.0,34.0,021,94434,32
3202194868,"Walker River CCD, Mineral County, Nevada",31.0,7.0,24.0,021,94868,32
3203394168,"Cherry Creek CCD, White Pine County, Nevada",0.0,0.0,0.0,033,94168,32
3203394280,"Ely CCD, White Pine County, Nevada",277.0,172.0,105.0,033,94280,32
3203394560,"McGill CCD, White Pine County, Nevada",51.0,42.0,9.0,033,94560,32
3203394532,"Lund CCD, White Pine County, Nevada",0.0,0.0,0.0,033,94532,32
3203394742,"Ruth CCD, White Pine County, Nevada",27.0,27.0,0.0,033,94742,32
3203394056,"Baker CCD, White Pine County, Nevada",5.0,0.0,5.0,033,94056,32
3200794882,"Wells CCD, Elko County, Nevada",92.0,62.0,30.0,007,94882,32
3200794476,"Jackpot CCD, Elko County, Nevada",242.0,108.0,134.0,007,94476,32
3200794896,"West Wendover CCD, Elko County, Nevada",705.0,311.0,394.0,007,94896,32
3200794266,"Elko CCD, Elko County, Nevada",2369.0,1809.0,560.0,007,94266,32
3200794602,"Montello CCD, Elko County, Nevada",0.0,0.0,0.0,007,94602,32
3200794126,"Carlin CCD, Elko County, Nevada",13.0,13.0,0.0,007,94126,32
3200794490,"Jarbidge CCD, Elko County, Nevada",0.0,0.0,0.0,007,94490,32
3200794616,"Mountain City CCD, Elko County, Nevada",10.0,0.0,10.0,007,94616,32
3201794014,"Alamo CCD, Lincoln County, Nevada",38.0,0.0,38.0,017,94014,32
3201794112,"Caliente CCD, Lincoln County, Nevada",0.0,0.0,0.0,017,94112,32
3201794672,"Pioche CCD, Lincoln County, Nevada",47.0,0.0,47.0,017,94672,32
3202394028,"Amargosa Valley CCD, Nye County, Nevada",230.0,64.0,166.0,023,94028,32
3202394728,"Round Mountain CCD, Nye County, Nevada",96.0,78.0,18.0,023,94728,32
3202394644,"Pahrump CCD, Nye County, Nevada",1262.0,858.0,404.0,023,94644,32
3202394938,"Yucca Flat CCD, Nye County, Nevada",0.0,0.0,0.0,023,94938,32
3202394252,"Duckwater CCD, Nye County, Nevada",0.0,0.0,0.0,023,94252,32
3202994196,"Clark CCD, Storey County, Nevada",38.0,38.0,0.0,029,94196,32
3202394350,"Gabbs CCD, Nye County, Nevada",0.0,0.0,0.0,023,94350,32
3202394084,"Beatty CCD, Nye County, Nevada",71.0,34.0,37.0,023,94084,32
3202394812,"Tonopah CCD, Nye County, Nevada",84.0,37.0,47.0,023,94812,32
3202994854,"Virginia City CCD, Storey County, Nevada",37.0,12.0,25.0,029,94854,32
3203194440,"High Desert CCD, Washoe County, Nevada",0.0,0.0,0.0,031,94440,32
3203194804,"Sun Valley CCD, Washoe County, Nevada",2259.0,1502.0,757.0,031,94804,32
3203194709,"Reno Southeast CCD, Washoe County, Nevada",7052.0,1995.0,5057.0,031,94709,32
3203194686,"Pyramid Lake CCD, Washoe County, Nevada",25.0,22.0,3.0,031,94686,32
3203194840,"Verdi CCD, Washoe County, Nevada",169.0,164.0,5.0,031,94840,32
3203194871,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",2337.0,1769.0,568.0,031,94871,32
3203194712,"Reno Southwest CCD, Washoe County, Nevada",2023.0,589.0,1434.0,031,94712,32
3203194635,"North Valleys CCD, Washoe County, Nevada",3459.0,2241.0,1218.0,031,94635,32
3203194794,"Sparks CCD, Washoe County, Nevada",5636.0,2483.0,3153.0,031,94794,32
3203194874,"Washoe Valley CCD, Washoe County, Nevada",217.0,154.0,63.0,031,94874,32
3203194703,"Reno North CCD, Washoe County, Nevada",5511.0,1702.0,3809.0,031,94703,32
3203194462,"Incline Village CCD, Washoe County, Nevada",445.0,110.0,335.0,031,94462,32
3200394504,"Las Vegas CCD, Clark County, Nevada",163064.0,68066.0,94998.0,003,94504,32
3200394182,"Clark CCD, Clark County, Nevada",8737.0,5481.0,3256.0,003,94182,32
3251094140,"Carson City CCD, Carson City, Nevada",3838.0,1712.0,2126.0,510,94140,32
3201994224,"Dayton CCD, Lyon County, Nevada",728.0,422.0,306.0,019,94224,32
3201994777,"Silver Springs CCD, Lyon County, Nevada",33.0,33.0,0.0,019,94777,32
3201994784,"Smith Valley CCD, Lyon County, Nevada",95.0,83.0,12.0,019,94784,32
3201994322,"Fernley CCD, Lyon County, Nevada",829.0,496.0,333.0,019,94322,32
3201994924,"Yerington CCD, Lyon County, Nevada",681.0,382.0,299.0,019,94924,32
3202394701,"Ralston Valley CCD, Nye County, Nevada",0.0,0.0,0.0,023,94701,32
3200994770,"Silver Peak CCD, Esmeralda County, Nevada",38.0,0.0,38.0,009,94770,32
