geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
0401992040,"Marana CCD, Pima County, Arizona",8972.0,7491.0,1481.0,019,92040,04
0401990051,"Ajo CCD, Pima County, Arizona",829.0,635.0,194.0,019,90051,04
0401993570,"Tucson CCD, Pima County, Arizona",218065.0,143599.0,74466.0,019,93570,04
0401990153,"Arivaca CCD, Pima County, Arizona",20766.0,17331.0,3435.0,019,90153,04
0401391377,"Gila Bend CCD, Maricopa County, Arizona",4117.0,3516.0,601.0,013,91377,04
0401390561,"Chandler CCD, Maricopa County, Arizona",106924.0,79772.0,27152.0,013,90561,04
0401392601,"Phoenix CCD, Maricopa County, Arizona",734041.0,478273.0,255768.0,013,92601,04
0401390867,"Deer Valley CCD, Maricopa County, Arizona",84644.0,67933.0,16711.0,013,90867,04
0401393009,"St. Johns CCD, Maricopa County, Arizona",11.0,7.0,4.0,013,93009,04
0400993111,"San Carlos CCD, Graham County, Arizona",2.0,0.0,2.0,009,93111,04
0401393774,"Wickenburg CCD, Maricopa County, Arizona",43518.0,37813.0,5705.0,013,93774,04
0401390459,"Buckeye CCD, Maricopa County, Arizona",13556.0,10088.0,3468.0,013,90459,04
0400792570,"Payson CCD, Gila County, Arizona",9473.0,7425.0,2048.0,007,92570,04
0400793927,"Winkelman CCD, Gila County, Arizona",141.0,111.0,30.0,007,93927,04
0401393060,"Salt River CCD, Maricopa County, Arizona",947.0,825.0,122.0,013,93060,04
0400791495,"Globe-Miami CCD, Gila County, Arizona",4295.0,3122.0,1173.0,007,91495,04
0400990357,"Bonita-Klondyke CCD, Graham County, Arizona",339.0,249.0,90.0,009,90357,04
0400992652,"Pima CCD, Graham County, Arizona",1160.0,926.0,234.0,009,92652,04
0400992907,"Safford CCD, Graham County, Arizona",5353.0,3607.0,1746.0,009,92907,04
0402392295,"Nogales CCD, Santa Cruz County, Arizona",2268.0,1872.0,396.0,023,92295,04
0402392550,"Patagonia CCD, Santa Cruz County, Arizona",1205.0,1029.0,176.0,023,92550,04
0400390255,"Benson CCD, Cochise County, Arizona",4442.0,3322.0,1120.0,003,90255,04
0400393182,"Sierra Vista CCD, Cochise County, Arizona",13779.0,8623.0,5156.0,003,93182,04
0400393825,"Willcox CCD, Cochise County, Arizona",2457.0,2017.0,440.0,003,93825,04
0400390969,"Douglas CCD, Cochise County, Arizona",700.0,503.0,197.0,003,90969,04
0400390306,"Bisbee CCD, Cochise County, Arizona",9474.0,8073.0,1401.0,003,90306,04
0401292480,"Parker CCD, La Paz County, Arizona",6157.0,4929.0,1228.0,012,92480,04
0400391122,"Elfrida CCD, Cochise County, Arizona",1147.0,893.0,254.0,003,91122,04
0400390408,"Bowie CCD, Cochise County, Arizona",524.0,437.0,87.0,003,90408,04
0400191275,"Fort Apache CCD, Apache County, Arizona",7.0,4.0,3.0,001,91275,04
0400190918,"Dennehotso CCD, Apache County, Arizona",0.0,0.0,0.0,001,90918,04
0400193315,"Sweetwater CCD, Apache County, Arizona",23.0,1.0,22.0,001,93315,04
0400190612,"Chinle CCD, Apache County, Arizona",162.0,9.0,153.0,001,90612,04
0400191326,"Fort Defiance CCD, Apache County, Arizona",203.0,27.0,176.0,001,91326,04
0400191071,"Eagar-Springerville CCD, Apache County, Arizona",2314.0,1901.0,413.0,001,91071,04
0400192805,"Puerco CCD, Apache County, Arizona",112.0,73.0,39.0,001,92805,04
0400192958,"St. Johns CCD, Apache County, Arizona",2158.0,1937.0,221.0,001,92958,04
0400593519,"Tuba City CCD, Coconino County, Arizona",1381.0,845.0,536.0,005,93519,04
0400591530,"Havasupai CCD, Coconino County, Arizona",0.0,0.0,0.0,005,91530,04
0400591683,"Hualapai CCD, Coconino County, Arizona",0.0,0.0,0.0,005,91683,04
