geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
0900163480,"Redding town, Fairfield County, Connecticut",3229.0,2684.0,545.0,001,63480,09
0900174190,"Stratford town, Fairfield County, Connecticut",14236.0,11935.0,2301.0,001,74190,09
0900173070,"Stamford town, Fairfield County, Connecticut",28697.0,19420.0,9277.0,001,73070,09
0900150580,"New Canaan town, Fairfield County, Connecticut",6319.0,5050.0,1269.0,001,50580,09
0900150860,"New Fairfield town, Fairfield County, Connecticut",4455.0,4220.0,235.0,001,50860,09
0900152980,"Newtown town, Fairfield County, Connecticut",9127.0,7875.0,1252.0,001,52980,09
0900183430,"Weston town, Fairfield County, Connecticut",3137.0,3015.0,122.0,001,83430,09
090010,"County subdivisions not defined, Fairfield County, Connecticut",0.0,0.0,0.0,001,0,09
0900123890,"Easton town, Fairfield County, Connecticut",2593.0,2504.0,89.0,001,23890,09
0900186370,"Wilton town, Fairfield County, Connecticut",5372.0,4582.0,790.0,001,86370,09
090018070,"Bridgeport town, Fairfield County, Connecticut",13519.0,7828.0,5691.0,001,8070,09
0900118850,"Darien town, Fairfield County, Connecticut",6122.0,5313.0,809.0,001,18850,09
0900126620,"Fairfield town, Fairfield County, Connecticut",18282.0,15408.0,2874.0,001,26620,09
090014720,"Bethel town, Fairfield County, Connecticut",6167.0,4928.0,1239.0,001,4720,09
0900163970,"Ridgefield town, Fairfield County, Connecticut",8411.0,7171.0,1240.0,001,63970,09
0900168170,"Shelton town, Fairfield County, Connecticut",14320.0,11840.0,2480.0,001,68170,09
0900183500,"Westport town, Fairfield County, Connecticut",8709.0,7436.0,1273.0,001,83500,09
0900118500,"Danbury town, Fairfield County, Connecticut",18660.0,13325.0,5335.0,001,18500,09
090093250,"Beacon Falls town, New Haven County, Connecticut",2252.0,1947.0,305.0,009,3250,09
0900982870,"West Haven town, New Haven County, Connecticut",11536.0,7522.0,4014.0,009,82870,09
090094580,"Bethany town, New Haven County, Connecticut",1722.0,1602.0,120.0,009,4580,09
0900922910,"East Haven town, New Haven County, Connecticut",9284.0,6685.0,2599.0,009,22910,09
0900934950,"Guilford town, New Haven County, Connecticut",8026.0,6980.0,1046.0,009,34950,09
0900944560,"Madison town, New Haven County, Connecticut",6403.0,5574.0,829.0,009,44560,09
0900946940,"Middlebury town, New Haven County, Connecticut",2471.0,2213.0,258.0,009,46940,09
0900987560,"Wolcott town, New Haven County, Connecticut",5434.0,4625.0,809.0,009,87560,09
0900978740,"Wallingford town, New Haven County, Connecticut",16248.0,12283.0,3965.0,009,78740,09
0900987700,"Woodbridge town, New Haven County, Connecticut",2420.0,2140.0,280.0,009,87700,09
090091220,"Ansonia town, New Haven County, Connecticut",4823.0,3343.0,1480.0,009,1220,09
0900949950,"Naugatuck town, New Haven County, Connecticut",9355.0,6679.0,2676.0,009,49950,09
0900957600,"Orange town, New Haven County, Connecticut",4453.0,3942.0,511.0,009,57600,09
0900958300,"Oxford town, New Haven County, Connecticut",4216.0,3850.0,366.0,009,58300,09
0900962290,"Prospect town, New Haven County, Connecticut",3062.0,2767.0,295.0,009,62290,09
090090,"County subdivisions not defined, New Haven County, Connecticut",0.0,0.0,0.0,009,0,09
090097310,"Branford town, New Haven County, Connecticut",11292.0,7907.0,3385.0,009,7310,09
