geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
1210190481,"Central Pasco CCD, Pasco County, Florida",33456.0,26822.0,6634.0,101,90481,12
1204190130,"Bell CCD, Gilchrist County, Florida",2248.0,1908.0,340.0,041,90130,12
1212191950,"Live Oak CCD, Suwannee County, Florida",4441.0,3392.0,1049.0,121,91950,12
1210192860,"Port Richey CCD, Pasco County, Florida",42182.0,30622.0,11560.0,101,92860,12
1205593120,"Sebring CCD, Highlands County, Florida",14884.0,11524.0,3360.0,055,93120,12
1205591846,"Lake Placid CCD, Highlands County, Florida",7609.0,6609.0,1000.0,055,91846,12
1205590091,"Avon Park CCD, Highlands County, Florida",9088.0,7539.0,1549.0,055,90091,12
1212190299,"Branford CCD, Suwannee County, Florida",2342.0,1713.0,629.0,121,90299,12
1210190741,"Dade City CCD, Pasco County, Florida",3459.0,2279.0,1180.0,101,90741,12
1210192327,"New Port Richey CCD, Pasco County, Florida",59257.0,42454.0,16803.0,101,92327,12
1204193432,"Trenton CCD, Gilchrist County, Florida",3767.0,3098.0,669.0,041,93432,12
1212190858,"Dowling Park CCD, Suwannee County, Florida",2975.0,2229.0,746.0,121,90858,12
1212192002,"McAlpin-Wellborn CCD, Suwannee County, Florida",2748.0,2204.0,544.0,121,92002,12
1200191248,"Gainesville CCD, Alachua County, Florida",41307.0,20939.0,20368.0,001,91248,12
1200191469,"Hawthorne CCD, Alachua County, Florida",1764.0,1427.0,337.0,001,91469,12
1200192314,"Newberry-Archer CCD, Alachua County, Florida",6888.0,5851.0,1037.0,001,92314,12
1200192184,"Micanopy CCD, Alachua County, Florida",1014.0,804.0,210.0,001,92184,12
1200191495,"High Springs-Alachua CCD, Alachua County, Florida",12032.0,8955.0,3077.0,001,91495,12
1200193536,"Waldo CCD, Alachua County, Florida",2211.0,1782.0,429.0,001,93536,12
1202790078,"Arcadia West CCD, DeSoto County, Florida",3702.0,3114.0,588.0,027,90078,12
1202790065,"Arcadia East CCD, DeSoto County, Florida",3947.0,3042.0,905.0,027,90065,12
1201390026,"Altha CCD, Calhoun County, Florida",837.0,657.0,180.0,013,90026,12
1201390169,"Blountstown CCD, Calhoun County, Florida",1664.0,1310.0,354.0,013,90169,12
1202391183,"Fort White CCD, Columbia County, Florida",5275.0,4607.0,668.0,023,91183,12
1201592899,"Punta Gorda CCD, Charlotte County, Florida",16913.0,14182.0,2731.0,015,92899,12
1201591352,"Grove City-Rotonda CCD, Charlotte County, Florida",17555.0,14358.0,3197.0,015,91352,12
1201592834,"Port Charlotte CCD, Charlotte County, Florida",32393.0,24968.0,7425.0,015,92834,12
1202392366,"North Columbia CCD, Columbia County, Florida",553.0,460.0,93.0,023,92366,12
1202391820,"Lake City CCD, Columbia County, Florida",13760.0,9844.0,3916.0,023,91820,12
1202990702,"Cross City South CCD, Dixie County, Florida",1663.0,1269.0,394.0,029,90702,12
1202990689,"Cross City North CCD, Dixie County, Florida",4149.0,3434.0,715.0,029,90689,12
1208593250,"Stuart CCD, Martin County, Florida",26991.0,20919.0,6072.0,085,93250,12
1208591586,"Indiantown CCD, Martin County, Florida",4764.0,4372.0,392.0,085,91586,12
1208592873,"Port Salerno-Hobe Sound CCD, Martin County, Florida",23933.0,19458.0,4475.0,085,92873,12
1211593484,"Venice CCD, Sarasota County, Florida",32434.0,25625.0,6809.0,115,93484,12
1210791612,"Interlachen-Florahome CCD, Putnam County, Florida",8128.0,6254.0,1874.0,107,91612,12
1210790663,"Crescent City CCD, Putnam County, Florida",4812.0,4070.0,742.0,107,90663,12
1210792574,"Palatka CCD, Putnam County, Florida",5735.0,4210.0,1525.0,107,92574,12
1211591599,"Interior County CCD, Sarasota County, Florida",15922.0,13200.0,2722.0,115,91599,12
1210790923,"East Palatka CCD, Putnam County, Florida",2954.0,2423.0,531.0,107,90923,12
1211590975,"Englewood CCD, Sarasota County, Florida",5766.0,4612.0,1154.0,115,90975,12
1211591963,"Longboat Key CCD, Sarasota County, Florida",2350.0,2187.0,163.0,115,91963,12
1211592431,"North Port CCD, Sarasota County, Florida",22277.0,16882.0,5395.0,115,92431,12
1211593107,"Sarasota CCD, Sarasota County, Florida",67385.0,48793.0,18592.0,115,93107,12
1212592925,"Raiford CCD, Union County, Florida",509.0,349.0,160.0,125,92925,12
1212591807,"Lake Butler CCD, Union County, Florida",1352.0,928.0,424.0,125,91807,12
1212593731,"Worthington Springs CCD, Union County, Florida",1372.0,1072.0,300.0,125,93731,12
1205393230,"Spring Hill CCD, Hernando County, Florida",41433.0,33029.0,8404.0,053,93230,12
1212790832,"DeLand CCD, Volusia County, Florida",20356.0,14915.0,5441.0,127,90832,12
1201191417,"Hallandale Beach CCD, Broward County, Florida",9901.0,6910.0,2991.0,011,91417,12
1205191781,"LaBelle CCD, Hendry County, Florida",3211.0,2284.0,927.0,051,91781,12
1212790793,"DeBary-Orange City CCD, Volusia County, Florida",14019.0,10761.0,3258.0,127,90793,12
1211392218,"Midway CCD, Santa Rosa County, Florida",8704.0,6789.0,1915.0,113,92218,12
1211393659,"Whiting Field CCD, Santa Rosa County, Florida",0.0,0.0,0.0,113,93659,12
1211393127,"Skyline CCD, Santa Rosa County, Florida",5218.0,3996.0,1222.0,113,93127,12
1211392309,"Navarre Beach CCD, Santa Rosa County, Florida",582.0,413.0,169.0,113,92309,12
1211391500,"Holley-Navarre CCD, Santa Rosa County, Florida",11281.0,8679.0,2602.0,113,91500,12
1212990949,"East Wakulla CCD, Wakulla County, Florida",7480.0,5985.0,1495.0,129,90949,12
