geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
1300592562,"Rockingham CCD, Bacon County, Georgia",940.0,754.0,186.0,005,92562,13
1300190078,"Altamaha River CCD, Appling County, Georgia",1052.0,907.0,145.0,001,90078,13
1300190240,"Baxley CCD, Appling County, Georgia",2327.0,1652.0,675.0,001,90240,13
1300590072,"Alma CCD, Bacon County, Georgia",2269.0,1757.0,512.0,005,90072,13
1302591500,"Hoboken CCD, Brantley County, Georgia",1865.0,1224.0,641.0,025,91500,13
1302593306,"Waynesville CCD, Brantley County, Georgia",2309.0,1977.0,332.0,025,93306,13
1302592124,"Nahunta CCD, Brantley County, Georgia",2203.0,1832.0,371.0,025,92124,13
1301192803,"Southeast Banks CCD, Banks County, Georgia",1057.0,730.0,327.0,011,92803,13
1322392210,"North Paulding CCD, Paulding County, Georgia",10542.0,8979.0,1563.0,223,92210,13
1329591668,"LaFayette CCD, Walker County, Georgia",6267.0,4443.0,1824.0,295,91668,13
1301792433,"Queensland CCD, Ben Hill County, Georgia",460.0,418.0,42.0,017,92433,13
1312992460,"Redbud CCD, Gordon County, Georgia",2057.0,1590.0,467.0,129,92460,13
1331793275,"Washington CCD, Wilkes County, Georgia",1388.0,1072.0,316.0,317,93275,13
1313192804,"Southeast Grady CCD, Grady County, Georgia",185.0,166.0,19.0,131,92804,13
1313192216,"Northwest Grady CCD, Grady County, Georgia",180.0,148.0,32.0,131,92216,13
1316793332,"West Johnson CCD, Johnson County, Georgia",507.0,462.0,45.0,167,93332,13
1326990557,"Carsonville CCD, Taylor County, Georgia",426.0,337.0,89.0,269,90557,13
1308590284,"Blacks Mill CCD, Dawson County, Georgia",5038.0,4133.0,905.0,085,90284,13
1328992215,"North Twiggs CCD, Twiggs County, Georgia",1033.0,902.0,131.0,289,92215,13
1328992821,"South Twiggs CCD, Twiggs County, Georgia",707.0,541.0,166.0,289,92821,13
1308792104,"Mount Pleasant CCD, Decatur County, Georgia",455.0,442.0,13.0,087,92104,13
1318793024,"Three Sisters Mountain CCD, Lumpkin County, Georgia",4830.0,3606.0,1224.0,187,93024,13
1316592019,"Millen CCD, Jenkins County, Georgia",1353.0,984.0,369.0,165,92019,13
1316592806,"South Jenkins CCD, Jenkins County, Georgia",673.0,548.0,125.0,165,92806,13
1329392671,"Salem CCD, Upson County, Georgia",243.0,179.0,64.0,293,92671,13
1327990591,"Cedar Crossing CCD, Toombs County, Georgia",1033.0,888.0,145.0,279,90591,13
1318192807,"South Lincoln CCD, Lincoln County, Georgia",1356.0,1030.0,326.0,181,92807,13
1322190814,"Crawford CCD, Oglethorpe County, Georgia",3359.0,2691.0,668.0,221,90814,13
1302191891,"Macon East CCD, Bibb County, Georgia",1692.0,1135.0,557.0,021,91891,13
1325593180,"Vaughn CCD, Spalding County, Georgia",1088.0,878.0,210.0,255,93180,13
1302191892,"Macon West CCD, Bibb County, Georgia",15255.0,9985.0,5270.0,021,91892,13
1325593071,"Towalaga CCD, Spalding County, Georgia",2001.0,1698.0,303.0,255,93071,13
1325590942,"Digbey CCD, Spalding County, Georgia",261.0,223.0,38.0,255,90942,13
1316991351,"Gray-Macon East CCD, Jones County, Georgia",6798.0,5545.0,1253.0,169,91351,13
1303593438,"Worthville CCD, Butts County, Georgia",1955.0,1590.0,365.0,035,93438,13
1303592822,"Southwest Butts CCD, Butts County, Georgia",876.0,786.0,90.0,035,92822,13
1327791052,"Eldorado CCD, Tift County, Georgia",874.0,705.0,169.0,277,91052,13
1300992015,"Milledgeville CCD, Baldwin County, Georgia",6353.0,3401.0,2952.0,009,92015,13
1325791934,"Martin-Avalon CCD, Stephens County, Georgia",2457.0,1922.0,535.0,257,91934,13
1308393084,"Trenton CCD, Dade County, Georgia",3020.0,2211.0,809.0,083,93084,13
1307391383,"Grovetown-Harlem CCD, Columbia County, Georgia",6263.0,4539.0,1724.0,073,91383,13
