geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
2500926150,"Gloucester city, Essex County, Massachusetts",12492.0,8119.0,4373.0,009,26150,25
2500927900,"Hamilton town, Essex County, Massachusetts",2530.0,2155.0,375.0,009,27900,25
250115560,"Bernardston town, Franklin County, Massachusetts",903.0,702.0,201.0,011,5560,25
2501125730,"Gill town, Franklin County, Massachusetts",571.0,474.0,97.0,011,25730,25
2501129475,"Hawley town, Franklin County, Massachusetts",149.0,145.0,4.0,011,29475,25
2501161135,"Shelburne town, Franklin County, Massachusetts",867.0,582.0,285.0,011,61135,25
2501135180,"Leverett town, Franklin County, Massachusetts",798.0,706.0,92.0,011,35180,25
2501129650,"Heath town, Franklin County, Massachusetts",270.0,250.0,20.0,011,29650,25
2501135285,"Leyden town, Franklin County, Massachusetts",285.0,267.0,18.0,011,35285,25
2501147835,"Northfield town, Franklin County, Massachusetts",1176.0,930.0,246.0,011,47835,25
2501572880,"Ware town, Hampshire County, Massachusetts",3852.0,2922.0,930.0,015,72880,25
2501546330,"Northampton city, Hampshire County, Massachusetts",9770.0,5836.0,3934.0,015,46330,25
2501554030,"Plainfield town, Hampshire County, Massachusetts",267.0,241.0,26.0,015,54030,25
2501576380,"Westhampton town, Hampshire County, Massachusetts",654.0,611.0,43.0,015,76380,25
2501582175,"Worthington town, Hampshire County, Massachusetts",564.0,489.0,75.0,015,82175,25
250151325,"Amherst town, Hampshire County, Massachusetts",7157.0,3473.0,3684.0,015,1325,25
2501526535,"Granby town, Hampshire County, Massachusetts",2387.0,2078.0,309.0,015,26535,25
2501526290,"Goshen town, Hampshire County, Massachusetts",443.0,391.0,52.0,015,26290,25
2501513590,"Chesterfield town, Hampshire County, Massachusetts",500.0,463.0,37.0,015,13590,25
2501527690,"Hadley town, Hampshire County, Massachusetts",2059.0,1694.0,365.0,015,27690,25
2501531785,"Huntington town, Hampshire County, Massachusetts",759.0,630.0,129.0,015,31785,25
2501552560,"Pelham town, Hampshire County, Massachusetts",502.0,432.0,70.0,015,52560,25
2501564145,"South Hadley town, Hampshire County, Massachusetts",6190.0,4642.0,1548.0,015,64145,25
250154825,"Belchertown town, Hampshire County, Massachusetts",5285.0,4297.0,988.0,015,4825,25
2501540990,"Middlefield town, Hampshire County, Massachusetts",211.0,206.0,5.0,015,40990,25
2501562745,"Southampton town, Hampshire County, Massachusetts",2377.0,2195.0,182.0,015,62745,25
2501516040,"Cummington town, Hampshire County, Massachusetts",399.0,330.0,69.0,015,16040,25
2501579915,"Williamsburg town, Hampshire County, Massachusetts",1104.0,818.0,286.0,015,79915,25
2501529265,"Hatfield town, Hampshire County, Massachusetts",1505.0,1130.0,375.0,015,29265,25
250190,"County subdivisions not defined, Nantucket County, Massachusetts",0.0,0.0,0.0,019,0,25
2501943790,"Nantucket town, Nantucket County, Massachusetts",3244.0,2219.0,1025.0,019,43790,25
2502556585,"Revere city, Suffolk County, Massachusetts",13254.0,7040.0,6214.0,025,56585,25
2502513205,"Chelsea city, Suffolk County, Massachusetts",4141.0,1570.0,2571.0,025,13205,25
250257000,"Boston city, Suffolk County, Massachusetts",135746.0,60720.0,75026.0,025,7000,25
250250,"County subdivisions not defined, Suffolk County, Massachusetts",0.0,0.0,0.0,025,0,25
2500112995,"Chatham town, Barnstable County, Massachusetts",2672.0,2165.0,507.0,001,12995,25
2500119295,"Eastham town, Barnstable County, Massachusetts",2311.0,1938.0,373.0,001,19295,25
2500123105,"Falmouth town, Barnstable County, Massachusetts",12819.0,10071.0,2748.0,001,23105,25
250017175,"Bourne town, Barnstable County, Massachusetts",7841.0,5999.0,1842.0,001,7175,25
2500116775,"Dennis town, Barnstable County, Massachusetts",6652.0,5235.0,1417.0,001,16775,25
2500139100,"Mashpee town, Barnstable County, Massachusetts",5656.0,5021.0,635.0,001,39100,25
2500170605,"Truro town, Barnstable County, Massachusetts",772.0,637.0,135.0,001,70605,25
250010,"County subdivisions not defined, Barnstable County, Massachusetts",0.0,0.0,0.0,001,0,25
2500174385,"Wellfleet town, Barnstable County, Massachusetts",1449.0,1201.0,248.0,001,74385,25
2500151440,"Orleans town, Barnstable County, Massachusetts",2714.0,2170.0,544.0,001,51440,25
250017980,"Brewster town, Barnstable County, Massachusetts",4233.0,3649.0,584.0,001,7980,25
2500159735,"Sandwich town, Barnstable County, Massachusetts",7511.0,6560.0,951.0,001,59735,25
2500155500,"Provincetown town, Barnstable County, Massachusetts",1614.0,1118.0,496.0,001,55500,25
2500129020,"Harwich town, Barnstable County, Massachusetts",5246.0,4483.0,763.0,001,29020,25
2500182525,"Yarmouth town, Barnstable County, Massachusetts",10191.0,8099.0,2092.0,001,82525,25
2500726325,"Gosnold town, Dukes County, Massachusetts",18.0,14.0,4.0,007,26325,25
