geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
2816391476,"District 2, Yazoo County, Mississippi",864.0,742.0,122.0,163,91476,28
2816392952,"District 4, Yazoo County, Mississippi",737.0,613.0,124.0,163,92952,28
2815991458,"District 2, Winston County, Mississippi",1263.0,952.0,311.0,159,91458,28
2815990720,"District 1, Winston County, Mississippi",830.0,657.0,173.0,159,90720,28
2816390738,"District 1, Yazoo County, Mississippi",1544.0,1354.0,190.0,163,90738,28
2816392214,"District 3, Yazoo County, Mississippi",262.0,185.0,77.0,163,92214,28
2816393690,"District 5, Yazoo County, Mississippi",163.0,145.0,18.0,163,93690,28
2800790036,"District 1, Attala County, Mississippi",986.0,838.0,148.0,007,90036,28
2800790774,"District 2, Attala County, Mississippi",493.0,449.0,44.0,007,90774,28
2800792988,"District 5, Attala County, Mississippi",986.0,757.0,229.0,007,92988,28
2800792250,"District 4, Attala County, Mississippi",473.0,357.0,116.0,007,92250,28
2800791512,"District 3, Attala County, Mississippi",1013.0,758.0,255.0,007,91512,28
2800992259,"District 4, Benton County, Mississippi",557.0,475.0,82.0,009,92259,28
2800990783,"District 2, Benton County, Mississippi",145.0,97.0,48.0,009,90783,28
2800991521,"District 3, Benton County, Mississippi",394.0,293.0,101.0,009,91521,28
2800992997,"District 5, Benton County, Mississippi",474.0,378.0,96.0,009,92997,28
2803793123,"District 5, Franklin County, Mississippi",571.0,492.0,79.0,037,93123,28
2800990045,"District 1, Benton County, Mississippi",279.0,279.0,0.0,009,90045,28
2803790171,"District 1, Franklin County, Mississippi",231.0,194.0,37.0,037,90171,28
2803790909,"District 2, Franklin County, Mississippi",401.0,275.0,126.0,037,90909,28
2803791647,"District 3, Franklin County, Mississippi",243.0,159.0,84.0,037,91647,28
2803792385,"District 4, Franklin County, Mississippi",540.0,452.0,88.0,037,92385,28
2802793078,"District 5, Coahoma County, Mississippi",558.0,408.0,150.0,027,93078,28
2802790126,"District 1, Coahoma County, Mississippi",838.0,651.0,187.0,027,90126,28
2802791602,"District 3, Coahoma County, Mississippi",116.0,86.0,30.0,027,91602,28
2802792340,"District 4, Coahoma County, Mississippi",160.0,52.0,108.0,027,92340,28
2802790864,"District 2, Coahoma County, Mississippi",593.0,531.0,62.0,027,90864,28
2806193231,"District 5, Jasper County, Mississippi",272.0,254.0,18.0,061,93231,28
