geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
3200194238,"Dixie Valley CCD, Churchill County, Nevada",32.0,18.0,14.0,001,94238,32
3200194308,"Fallon CCD, Churchill County, Nevada",7777.0,5256.0,2521.0,001,94308,32
3200194154,"Carson Sink CCD, Churchill County, Nevada",0.0,0.0,0.0,001,94154,32
3200594378,"Genoa-Jacks Valley CCD, Douglas County, Nevada",2913.0,2375.0,538.0,005,94378,32
3200594658,"Pine Nut CCD, Douglas County, Nevada",350.0,282.0,68.0,005,94658,32
3200594952,"Zephyr Cove CCD, Douglas County, Nevada",2129.0,1449.0,680.0,005,94952,32
3200594364,"Gardnerville-Minden CCD, Douglas County, Nevada",11161.0,7882.0,3279.0,005,94364,32
3200594826,"Topaz Lake CCD, Douglas County, Nevada",897.0,723.0,174.0,005,94826,32
3201594070,"Battle Mountain CCD, Lander County, Nevada",1315.0,1019.0,296.0,015,94070,32
3201594042,"Austin CCD, Lander County, Nevada",228.0,196.0,32.0,015,94042,32
3202794518,"Lovelock CCD, Pershing County, Nevada",1069.0,717.0,352.0,027,94518,32
3202794448,"Imlay CCD, Pershing County, Nevada",609.0,453.0,156.0,027,94448,32
3201394546,"McDermitt CCD, Humboldt County, Nevada",333.0,290.0,43.0,013,94546,32
3200994420,"Goldfield CCD, Esmeralda County, Nevada",237.0,130.0,107.0,009,94420,32
3201194098,"Beowawe CCD, Eureka County, Nevada",259.0,204.0,55.0,011,94098,32
3201194294,"Eureka CCD, Eureka County, Nevada",500.0,318.0,182.0,011,94294,32
3201394406,"Golconda CCD, Humboldt County, Nevada",554.0,496.0,58.0,013,94406,32
3202194588,"Mina CCD, Mineral County, Nevada",76.0,52.0,24.0,021,94588,32
3201394798,"Summit Lake CCD, Humboldt County, Nevada",66.0,52.0,14.0,013,94798,32
3201394910,"Winnemucca CCD, Humboldt County, Nevada",3614.0,2782.0,832.0,013,94910,32
3202194434,"Hawthorne CCD, Mineral County, Nevada",1161.0,783.0,378.0,021,94434,32
3202194868,"Walker River CCD, Mineral County, Nevada",26.0,12.0,14.0,021,94868,32
3203394168,"Cherry Creek CCD, White Pine County, Nevada",9.0,9.0,0.0,033,94168,32
3203394280,"Ely CCD, White Pine County, Nevada",1817.0,1436.0,381.0,033,94280,32
3203394560,"McGill CCD, White Pine County, Nevada",590.0,442.0,148.0,033,94560,32
3203394532,"Lund CCD, White Pine County, Nevada",152.0,152.0,0.0,033,94532,32
3203394742,"Ruth CCD, White Pine County, Nevada",158.0,144.0,14.0,033,94742,32
3203394056,"Baker CCD, White Pine County, Nevada",54.0,29.0,25.0,033,94056,32
3200794882,"Wells CCD, Elko County, Nevada",634.0,393.0,241.0,007,94882,32
3200794476,"Jackpot CCD, Elko County, Nevada",283.0,71.0,212.0,007,94476,32
3200794896,"West Wendover CCD, Elko County, Nevada",647.0,326.0,321.0,007,94896,32
3200794266,"Elko CCD, Elko County, Nevada",10564.0,7982.0,2582.0,007,94266,32
3200794602,"Montello CCD, Elko County, Nevada",82.0,39.0,43.0,007,94602,32
3200794126,"Carlin CCD, Elko County, Nevada",698.0,560.0,138.0,007,94126,32
3200794490,"Jarbidge CCD, Elko County, Nevada",39.0,25.0,14.0,007,94490,32
3200794616,"Mountain City CCD, Elko County, Nevada",111.0,60.0,51.0,007,94616,32
3201794014,"Alamo CCD, Lincoln County, Nevada",399.0,355.0,44.0,017,94014,32
3201794112,"Caliente CCD, Lincoln County, Nevada",435.0,253.0,182.0,017,94112,32
3201794672,"Pioche CCD, Lincoln County, Nevada",959.0,676.0,283.0,017,94672,32
3202394028,"Amargosa Valley CCD, Nye County, Nevada",185.0,128.0,57.0,023,94028,32
3202394728,"Round Mountain CCD, Nye County, Nevada",680.0,548.0,132.0,023,94728,32
3202394644,"Pahrump CCD, Nye County, Nevada",12549.0,9297.0,3252.0,023,94644,32
3202394938,"Yucca Flat CCD, Nye County, Nevada",0.0,0.0,0.0,023,94938,32
3202394252,"Duckwater CCD, Nye County, Nevada",22.0,10.0,12.0,023,94252,32
3202994196,"Clark CCD, Storey County, Nevada",450.0,428.0,22.0,029,94196,32
3202394350,"Gabbs CCD, Nye County, Nevada",161.0,122.0,39.0,023,94350,32
3202394084,"Beatty CCD, Nye County, Nevada",285.0,148.0,137.0,023,94084,32
3202394812,"Tonopah CCD, Nye County, Nevada",930.0,439.0,491.0,023,94812,32
3202994854,"Virginia City CCD, Storey County, Nevada",1039.0,811.0,228.0,029,94854,32
3203194440,"High Desert CCD, Washoe County, Nevada",158.0,125.0,33.0,031,94440,32
3203194804,"Sun Valley CCD, Washoe County, Nevada",4589.0,3066.0,1523.0,031,94804,32
3203194709,"Reno Southeast CCD, Washoe County, Nevada",19570.0,9704.0,9866.0,031,94709,32
3203194686,"Pyramid Lake CCD, Washoe County, Nevada",186.0,131.0,55.0,031,94686,32
3203194840,"Verdi CCD, Washoe County, Nevada",3220.0,2739.0,481.0,031,94840,32
3203194871,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",16462.0,12610.0,3852.0,031,94871,32
3203194712,"Reno Southwest CCD, Washoe County, Nevada",22551.0,15384.0,7167.0,031,94712,32
3203194635,"North Valleys CCD, Washoe County, Nevada",13573.0,9989.0,3584.0,031,94635,32
3203194794,"Sparks CCD, Washoe County, Nevada",14959.0,7937.0,7022.0,031,94794,32
