geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
4902591591,"Kanab CCD, Kane County, Utah",1942.0,1574.0,368.0,025,91591,49
4905390817,"Enterprise CCD, Washington County, Utah",645.0,545.0,100.0,053,90817,49
4905392924,"St. George CCD, Washington County, Utah",38526.0,28182.0,10344.0,053,92924,49
4902592494,"Orderville CCD, Kane County, Utah",421.0,355.0,66.0,025,92494,49
4904392580,"Park City CCD, Summit County, Utah",9189.0,7233.0,1956.0,043,92580,49
4904391548,"Kamas CCD, Summit County, Utah",2204.0,1731.0,473.0,043,91548,49
4904390430,"Coalville CCD, Summit County, Utah",1759.0,1453.0,306.0,043,90430,49
4901993526,"Uintah and Ouray CCD, Grand County, Utah",0.0,0.0,0.0,019,93526,49
4901991935,"Moab CCD, Grand County, Utah",3389.0,2573.0,816.0,019,91935,49
4903190387,"Circleville CCD, Piute County, Utah",339.0,306.0,33.0,031,90387,49
4903191849,"Marysvale CCD, Piute County, Utah",158.0,142.0,16.0,031,91849,49
4903392752,"Randolph-Woodruff CCD, Rich County, Utah",274.0,221.0,53.0,033,92752,49
4903391032,"Garden City-Laketown CCD, Rich County, Utah",292.0,235.0,57.0,033,91032,49
4905193612,"Uintah and Ouray CCD, Wasatch County, Utah",10.0,10.0,0.0,051,93612,49
4905193139,"Soldier Summit CCD, Wasatch County, Utah",0.0,0.0,0.0,051,93139,49
4900190086,"Beaver CCD, Beaver County, Utah",1273.0,877.0,396.0,001,90086,49
4900191892,"Milford-Minersville CCD, Beaver County, Utah",855.0,657.0,198.0,001,91892,49
4900390258,"Brigham City CCD, Box Elder County, Utah",8538.0,6566.0,1972.0,003,90258,49
4900393440,"Tremonton CCD, Box Elder County, Utah",5810.0,4590.0,1220.0,003,93440,49
4900393827,"West Box Elder CCD, Box Elder County, Utah",75.0,53.0,22.0,003,93827,49
4900391419,"Howell-Snowville CCD, Box Elder County, Utah",866.0,771.0,95.0,003,91419,49
4902192623,"Parowan CCD, Iron County, Utah",1371.0,1150.0,221.0,021,92623,49
4902190129,"Beryl-Newcastle CCD, Iron County, Utah",309.0,184.0,125.0,021,90129,49
4902190344,"Cedar City CCD, Iron County, Utah",12339.0,8184.0,4155.0,021,90344,49
4903992150,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",3758.0,3136.0,622.0,039,92150,49
4903991204,"Gunnison CCD, Sanpete County, Utah",924.0,816.0,108.0,039,91204,49
4903990860,"Ephraim-Manti CCD, Sanpete County, Utah",3124.0,1911.0,1213.0,039,90860,49
4904192838,"Richfield CCD, Sevier County, Utah",3568.0,2619.0,949.0,041,92838,49
4904191978,"Monroe CCD, Sevier County, Utah",1659.0,1456.0,203.0,041,91978,49
4904192967,"Salina CCD, Sevier County, Utah",1546.0,1310.0,236.0,041,92967,49
4904991118,"Goshen CCD, Utah County, Utah",1027.0,930.0,97.0,049,91118,49
4904990043,"American Fork-Pleasant Grove CCD, Utah County, Utah",32808.0,26027.0,6781.0,049,90043,49
4904992709,"Provo-Orem CCD, Utah County, Utah",49622.0,25747.0,23875.0,049,92709,49
4904991634,"Lehi CCD, Utah County, Utah",20913.0,17455.0,3458.0,049,91634,49
4904993268,"Spanish Fork-Payson CCD, Utah County, Utah",18717.0,15156.0,3561.0,049,93268,49
4904993311,"Springville-Mapleton CCD, Utah County, Utah",11521.0,8864.0,2657.0,049,93311,49
4905792322,"Ogden CCD, Weber County, Utah",59098.0,43613.0,15485.0,057,92322,49
4905792365,"Ogden Valley CCD, Weber County, Utah",2346.0,2150.0,196.0,057,92365,49
4902790516,"Delta CCD, Millard County, Utah",2302.0,1920.0,382.0,027,90516,49
4902791075,"Garrison-Sevier Lake CCD, Millard County, Utah",14.0,0.0,14.0,027,91075,49
4902790989,"Fillmore CCD, Millard County, Utah",1399.0,1135.0,264.0,027,90989,49
4904593397,"Tooele-Grantsville CCD, Tooele County, Utah",16133.0,13178.0,2955.0,045,93397,49
4904590602,"Dugway-Wendover CCD, Tooele County, Utah",294.0,59.0,235.0,045,90602,49
4905391462,"Hurricane CCD, Washington County, Utah",8046.0,6220.0,1826.0,053,91462,49
4901392279,"North Duchesne CCD, Duchesne County, Utah",3.0,3.0,0.0,013,92279,49
4901393225,"South Duchesne CCD, Duchesne County, Utah",0.0,0.0,0.0,013,93225,49
4901390559,"Duchesne CCD, Duchesne County, Utah",1490.0,1111.0,379.0,013,90559,49
4901392881,"Roosevelt CCD, Duchesne County, Utah",4370.0,3386.0,984.0,013,92881,49
4903792408,"Oljato CCD, San Juan County, Utah",20.0,8.0,12.0,037,92408,49
4903790215,"Blanding CCD, San Juan County, Utah",1044.0,844.0,200.0,037,90215,49
4903792021,"Monticello CCD, San Juan County, Utah",1058.0,798.0,260.0,037,92021,49
4903590473,"Cottonwood CCD, Salt Lake County, Utah",1441.0,1267.0,174.0,035,90473,49
