geoid,name,housing_units,owner_occupied,renter_occupied,county,county subdivision,state
5403392352,"Northern district, Harrison County, West Virginia",4039.0,3364.0,675.0,033,92352,54
5403392952,"Southwest district, Harrison County, West Virginia",4158.0,3463.0,695.0,033,92952,54
5403392932,"South Urban district, Harrison County, West Virginia",4341.0,2882.0,1459.0,033,92932,54
5403392923,"Southern district, Harrison County, West Virginia",4778.0,3764.0,1014.0,033,92923,54
5403392368,"North Urban district, Harrison County, West Virginia",3658.0,2351.0,1307.0,033,92368,54
5403390975,"Eastern district, Harrison County, West Virginia",5317.0,4000.0,1317.0,033,90975,54
5406990824,"District 2, Ohio County, West Virginia",4840.0,2698.0,2142.0,069,90824,54
5406990862,"District 3, Ohio County, West Virginia",6310.0,4528.0,1782.0,069,90862,54
5406990788,"District 1, Ohio County, West Virginia",5840.0,4783.0,1057.0,069,90788,54
5408591380,"Grant district, Ritchie County, West Virginia",638.0,569.0,69.0,085,91380,54
5408592244,"Murphy district, Ritchie County, West Virginia",464.0,373.0,91.0,085,92244,54
5408593336,"Union district, Ritchie County, West Virginia",1313.0,936.0,377.0,085,93336,54
5408590552,"Clay district, Ritchie County, West Virginia",1383.0,1102.0,281.0,085,90552,54
5401390873,"District 4, Calhoun County, West Virginia",569.0,437.0,132.0,013,90873,54
5401390766,"District 1, Calhoun County, West Virginia",465.0,421.0,44.0,013,90766,54
5401390885,"District 5, Calhoun County, West Virginia",693.0,601.0,92.0,013,90885,54
5401390836,"District 3, Calhoun County, West Virginia",550.0,398.0,152.0,013,90836,54
5401390800,"District 2, Calhoun County, West Virginia",436.0,410.0,26.0,013,90800,54
5406590822,"District 2, Morgan County, West Virginia",2460.0,1728.0,732.0,065,90822,54
5406590786,"District 1, Morgan County, West Virginia",2171.0,1891.0,280.0,065,90786,54
5406590858,"District 3, Morgan County, West Virginia",2285.0,2016.0,269.0,065,90858,54
5408190828,"District 2, Raleigh County, West Virginia",8921.0,6459.0,2462.0,081,90828,54
5408190792,"District 1, Raleigh County, West Virginia",9199.0,7373.0,1826.0,081,90792,54
5408190864,"District 3, Raleigh County, West Virginia",9638.0,7245.0,2393.0,081,90864,54
5400793597,"Western district, Braxton County, West Virginia",1450.0,1176.0,274.0,007,93597,54
5400792346,"Northern district, Braxton County, West Virginia",1407.0,1095.0,312.0,007,92346,54
5400792922,"Southern district, Braxton County, West Virginia",1433.0,1164.0,269.0,007,92922,54
5400790968,"Eastern district, Braxton County, West Virginia",1127.0,792.0,335.0,007,90968,54
5407990720,"Curry district, Putnam County, West Virginia",3881.0,3065.0,816.0,079,90720,54
5407990292,"Buffalo-Union district, Putnam County, West Virginia",4114.0,3518.0,596.0,079,90292,54
5407992508,"Pocatalico district, Putnam County, West Virginia",3256.0,2591.0,665.0,079,92508,54
5407993090,"Teays district, Putnam County, West Virginia",5127.0,4292.0,835.0,079,93090,54
5407992736,"Scott district, Putnam County, West Virginia",4443.0,3695.0,748.0,079,92736,54
5400193588,"West district, Barbour County, West Virginia",1353.0,1041.0,312.0,001,93588,54
5400192892,"South district, Barbour County, West Virginia",2007.0,1561.0,446.0,001,92892,54
5400192328,"North district, Barbour County, West Virginia",2752.0,1838.0,914.0,001,92328,54
5400590762,"District 1, Boone County, West Virginia",2926.0,2308.0,618.0,005,90762,54
5400590796,"District 2, Boone County, West Virginia",2951.0,2396.0,555.0,005,90796,54
5400590832,"District 3, Boone County, West Virginia",3247.0,2315.0,932.0,005,90832,54
5404790168,"Big Creek district, McDowell County, West Virginia",2094.0,1744.0,350.0,047,90168,54
5404790240,"Browns Creek district, McDowell County, West Virginia",1892.0,1439.0,453.0,047,90240,54
5404792345,"North Elkin district, McDowell County, West Virginia",1060.0,868.0,192.0,047,92345,54
5404792712,"Sandy River district, McDowell County, West Virginia",2174.0,1739.0,435.0,047,92712,54
5409990324,"Butler district, Wayne County, West Virginia",3697.0,2893.0,804.0,099,90324,54
5409990492,"Ceredo district, Wayne County, West Virginia",2554.0,1986.0,568.0,099,90492,54
5409993624,"Westmoreland district, Wayne County, West Virginia",3388.0,2480.0,908.0,099,93624,54
5409993036,"Stonewall district, Wayne County, West Virginia",3010.0,2251.0,759.0,099,93036,54
5409993372,"Union district, Wayne County, West Virginia",3191.0,2258.0,933.0,099,93372,54
5410990868,"District 3, Wyoming County, West Virginia",3028.0,2447.0,581.0,109,90868,54
5410990795,"District 1, Wyoming County, West Virginia",2871.0,2435.0,436.0,109,90795,54
5410990831,"District 2, Wyoming County, West Virginia",3072.0,2521.0,551.0,109,90831,54
5403590976,"Eastern district, Jackson County, West Virginia",3906.0,2906.0,1000.0,035,90976,54
5403592353,"Northern district, Jackson County, West Virginia",3102.0,2362.0,740.0,035,92353,54
5403593605,"Western district, Jackson County, West Virginia",4004.0,3305.0,699.0,035,93605,54
5405590900,"District I, Mercer County, West Virginia",5974.0,4512.0,1462.0,055,90900,54
5405590924,"District III, Mercer County, West Virginia",8058.0,6485.0,1573.0,055,90924,54
5405590912,"District II, Mercer County, West Virginia",8937.0,5952.0,2985.0,055,90912,54
5409793105,"Third district, Upshur County, West Virginia",3232.0,2781.0,451.0,097,93105,54
5409792745,"Second district, Upshur County, West Virginia",3069.0,2319.0,750.0,097,92745,54
5409791102,"First district, Upshur County, West Virginia",2887.0,1764.0,1123.0,097,91102,54
5410190471,"Central district, Webster County, West Virginia",1345.0,933.0,412.0,101,90471,54
5410192360,"Northern district, Webster County, West Virginia",1214.0,889.0,325.0,101,92360,54
5410192925,"Southern district, Webster County, West Virginia",1118.0,804.0,314.0,101,92925,54
5400392526,"Potomac district, Berkeley County, West Virginia",6389.0,4901.0,1488.0,003,92526,54
5400390006,"Adam Stephens district, Berkeley County, West Virginia",4808.0,2617.0,2191.0,003,90006,54
5400392322,"Norborne district, Berkeley County, West Virginia",3794.0,2908.0,886.0,003,92322,54
5400393388,"Valley district, Berkeley County, West Virginia",7604.0,6191.0,1413.0,003,93388,54
5400393171,"Tuscarora district, Berkeley County, West Virginia",7058.0,5604.0,1454.0,003,93171,54
5400392754,"Shenandoah district, Berkeley County, West Virginia",7686.0,6372.0,1314.0,003,92754,54
5401992472,"Plateau district, Fayette County, West Virginia",5787.0,4334.0,1453.0,019,92472,54
5401993396,"Valley district, Fayette County, West Virginia",4663.0,3597.0,1066.0,019,93396,54
5401992280,"New Haven district, Fayette County, West Virginia",6105.0,5312.0,793.0,019,92280,54
5402391296,"Grant district, Grant County, West Virginia",1657.0,1408.0,249.0,023,91296,54
5402392208,"Milroy district, Grant County, West Virginia",1476.0,984.0,492.0,023,92208,54
5402393216,"Union district, Grant County, West Virginia",1160.0,1037.0,123.0,023,93216,54
5402791248,"Gore district, Hampshire County, West Virginia",1846.0,1315.0,531.0,027,91248,54
5402792676,"Romney district, Hampshire County, West Virginia",1451.0,859.0,592.0,027,92676,54
5402790360,"Capon district, Hampshire County, West Virginia",1223.0,704.0,519.0,027,90360,54
5402790204,"Bloomery district, Hampshire County, West Virginia",1371.0,949.0,422.0,027,90204,54
5402792820,"Sherman district, Hampshire County, West Virginia",1787.0,1287.0,500.0,027,92820,54
5402792988,"Springfield district, Hampshire County, West Virginia",1350.0,796.0,554.0,027,92988,54
5402792184,"Mill Creek district, Hampshire County, West Virginia",429.0,271.0,158.0,027,92184,54
5408991440,"Greenbrier River district, Summers County, West Virginia",1956.0,1521.0,435.0,089,91440,54
5408992316,"New River district, Summers County, West Virginia",1216.0,919.0,297.0,089,92316,54
5408990216,"Bluestone River district, Summers County, West Virginia",1898.0,1439.0,459.0,089,90216,54
5400993552,"Weirton district, Brooke County, West Virginia",3232.0,2226.0,1006.0,009,93552,54
5400993564,"Wellsburg district, Brooke County, West Virginia",3121.0,2324.0,797.0,009,93564,54
5400991104,"Follansbee district, Brooke County, West Virginia",3407.0,2745.0,662.0,009,91104,54
5401790138,"Beech district, Doddridge County, West Virginia",633.0,571.0,62.0,017,90138,54
5401792094,"Maple district, Doddridge County, West Virginia",624.0,522.0,102.0,017,92094,54
5401792374,"Oak district, Doddridge County, West Virginia",692.0,612.0,80.0,017,92374,54
5401792466,"Pine district, Doddridge County, West Virginia",635.0,460.0,175.0,017,92466,54
5402590449,"Central district, Greenbrier County, West Virginia",5428.0,3891.0,1537.0,025,90449,54
5402590972,"Eastern district, Greenbrier County, West Virginia",4733.0,3377.0,1356.0,025,90972,54
5402593601,"Western district, Greenbrier County, West Virginia",4031.0,3257.0,774.0,025,93601,54
5403190372,"Capon district, Hardy County, West Virginia",1064.0,939.0,125.0,031,90372,54
5403191968,"Lost River district, Hardy County, West Virginia",900.0,764.0,136.0,031,91968,54
