B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
5862,2999.0,172.0,201.0,202.0,197.0,168.0,0.0,0.0,51.0,146.0,151.0,265.0,80.0,144.0,189.0,173.0,37.0,158.0,109.0,153.0,156.0,154.0,55.0,38.0,2863.0,129.0,184.0,156.0,60.0,100.0,19.0,0.0,119.0,99.0,175.0,215.0,104.0,182.0,190.0,226.0,119.0,136.0,70.0,168.0,197.0,92.0,40.0,83.0,"Kanab CCD, Kane County, Utah",025,91591,49
2164,1137.0,121.0,167.0,81.0,96.0,9.0,0.0,15.0,56.0,27.0,97.0,56.0,60.0,66.0,43.0,39.0,54.0,21.0,25.0,14.0,36.0,23.0,21.0,10.0,1027.0,105.0,107.0,92.0,62.0,6.0,31.0,7.0,20.0,32.0,114.0,44.0,64.0,18.0,80.0,71.0,21.0,12.0,17.0,41.0,41.0,13.0,13.0,16.0,"Enterprise CCD, Washington County, Utah",053,90817,49
125444,62138.0,4756.0,5141.0,4959.0,2709.0,1670.0,920.0,1114.0,2120.0,3764.0,4143.0,4122.0,2617.0,2818.0,2793.0,3019.0,1268.0,2015.0,1756.0,2128.0,2857.0,2365.0,1485.0,1599.0,63306.0,4397.0,5074.0,4136.0,2545.0,1578.0,1181.0,866.0,2369.0,3700.0,3928.0,3542.0,3146.0,3061.0,3051.0,3500.0,1899.0,2038.0,1721.0,2088.0,3263.0,2637.0,1720.0,1866.0,"St. George CCD, Washington County, Utah",053,92924,49
1384,657.0,67.0,32.0,35.0,47.0,14.0,0.0,0.0,2.0,19.0,94.0,18.0,33.0,16.0,17.0,45.0,63.0,22.0,8.0,21.0,38.0,32.0,14.0,20.0,727.0,48.0,42.0,74.0,53.0,12.0,11.0,3.0,19.0,96.0,19.0,2.0,18.0,24.0,46.0,87.0,20.0,14.0,7.0,36.0,37.0,21.0,17.0,21.0,"Orderville CCD, Kane County, Utah",025,92494,49
26954,13928.0,951.0,840.0,1259.0,704.0,311.0,127.0,79.0,432.0,833.0,738.0,593.0,1145.0,1137.0,1095.0,1199.0,417.0,538.0,410.0,414.0,343.0,140.0,179.0,44.0,13026.0,455.0,971.0,895.0,578.0,276.0,36.0,137.0,472.0,860.0,665.0,905.0,926.0,1275.0,1179.0,1155.0,399.0,482.0,280.0,361.0,393.0,231.0,64.0,31.0,"Park City CCD, Summit County, Utah",043,92580,49
6784,3500.0,259.0,231.0,267.0,141.0,93.0,50.0,73.0,123.0,225.0,313.0,231.0,225.0,211.0,278.0,254.0,58.0,102.0,76.0,51.0,80.0,49.0,64.0,46.0,3284.0,249.0,373.0,223.0,117.0,64.0,16.0,10.0,117.0,165.0,258.0,164.0,249.0,231.0,236.0,256.0,68.0,96.0,72.0,68.0,91.0,80.0,35.0,46.0,"Kamas CCD, Summit County, Utah",043,91548,49
5993,3071.0,197.0,241.0,262.0,123.0,159.0,84.0,59.0,152.0,138.0,197.0,219.0,224.0,143.0,217.0,188.0,64.0,114.0,48.0,63.0,79.0,54.0,16.0,30.0,2922.0,223.0,203.0,286.0,176.0,73.0,41.0,11.0,135.0,152.0,207.0,192.0,246.0,137.0,175.0,210.0,98.0,93.0,30.0,60.0,54.0,59.0,19.0,42.0,"Coalville CCD, Summit County, Utah",043,90430,49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Grand County, Utah",019,93526,49
9239,4678.0,145.0,367.0,351.0,167.0,31.0,28.0,82.0,185.0,221.0,304.0,409.0,307.0,264.0,313.0,396.0,167.0,181.0,82.0,268.0,129.0,123.0,86.0,72.0,4561.0,401.0,202.0,267.0,113.0,125.0,5.0,78.0,183.0,145.0,318.0,444.0,281.0,210.0,297.0,368.0,159.0,153.0,104.0,143.0,232.0,66.0,105.0,162.0,"Moab CCD, Grand County, Utah",019,91935,49
1244,617.0,48.0,52.0,79.0,32.0,4.0,6.0,0.0,4.0,25.0,70.0,45.0,18.0,16.0,32.0,21.0,7.0,11.0,8.0,26.0,27.0,32.0,34.0,20.0,627.0,40.0,31.0,45.0,23.0,4.0,9.0,0.0,8.0,27.0,94.0,40.0,7.0,13.0,54.0,34.0,28.0,19.0,24.0,21.0,45.0,14.0,12.0,35.0,"Circleville CCD, Piute County, Utah",031,90387,49
616,349.0,0.0,4.0,18.0,18.0,11.0,0.0,0.0,0.0,14.0,4.0,42.0,30.0,5.0,7.0,17.0,73.0,6.0,6.0,15.0,33.0,30.0,14.0,2.0,267.0,3.0,16.0,4.0,9.0,4.0,0.0,0.0,29.0,26.0,2.0,18.0,5.0,9.0,17.0,10.0,14.0,23.0,14.0,13.0,28.0,12.0,7.0,4.0,"Marysvale CCD, Piute County, Utah",031,91849,49
1199,650.0,79.0,67.0,72.0,44.0,22.0,0.0,21.0,5.0,39.0,27.0,21.0,35.0,6.0,51.0,31.0,11.0,7.0,25.0,34.0,13.0,29.0,4.0,7.0,549.0,75.0,24.0,66.0,19.0,20.0,16.0,0.0,10.0,44.0,20.0,11.0,25.0,19.0,46.0,43.0,13.0,14.0,14.0,19.0,34.0,5.0,8.0,4.0,"Randolph-Woodruff CCD, Rich County, Utah",033,92752,49
1108,464.0,24.0,45.0,44.0,24.0,46.0,0.0,0.0,11.0,0.0,11.0,19.0,12.0,70.0,9.0,15.0,13.0,18.0,22.0,17.0,28.0,18.0,3.0,15.0,644.0,3.0,67.0,68.0,28.0,13.0,2.0,0.0,0.0,0.0,120.0,51.0,63.0,41.0,5.0,67.0,5.0,19.0,12.0,8.0,22.0,22.0,1.0,27.0,"Garden City-Laketown CCD, Rich County, Utah",033,91032,49
21,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Wasatch County, Utah",051,93612,49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Soldier Summit CCD, Wasatch County, Utah",051,93139,49
