B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,name,county,county subdivision,state
11940,6152.0,277.0,317.0,418.0,208.0,172.0,143.0,77.0,179.0,465.0,378.0,274.0,440.0,357.0,434.0,436.0,169.0,203.0,137.0,214.0,337.0,211.0,149.0,157.0,5788.0,420.0,302.0,429.0,191.0,120.0,77.0,15.0,278.0,311.0,274.0,256.0,347.0,230.0,389.0,447.0,155.0,233.0,117.0,246.0,335.0,200.0,207.0,209.0,"Torrington CCD, Goshen County, Wyoming",015,93465,56
1156,595.0,20.0,8.0,34.0,13.0,59.0,9.0,11.0,18.0,10.0,23.0,11.0,29.0,51.0,52.0,91.0,37.0,28.0,10.0,9.0,32.0,8.0,30.0,2.0,561.0,12.0,24.0,12.0,44.0,51.0,5.0,10.0,21.0,38.0,20.0,6.0,42.0,43.0,40.0,69.0,12.0,12.0,8.0,25.0,15.0,38.0,10.0,4.0,"Goshen Hole CCD, Goshen County, Wyoming",015,91430,56
383,220.0,0.0,7.0,7.0,17.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,29.0,22.0,7.0,33.0,4.0,22.0,14.0,4.0,9.0,3.0,10.0,13.0,163.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,6.0,5.0,11.0,25.0,15.0,0.0,0.0,13.0,32.0,12.0,0.0,0.0,"Rawhide Creek CCD, Goshen County, Wyoming",015,92585,56
14473,7388.0,555.0,666.0,741.0,426.0,81.0,26.0,182.0,355.0,314.0,496.0,594.0,369.0,408.0,449.0,606.0,55.0,175.0,70.0,170.0,334.0,144.0,46.0,126.0,7085.0,457.0,651.0,444.0,267.0,220.0,41.0,127.0,186.0,483.0,464.0,529.0,596.0,361.0,517.0,532.0,96.0,259.0,172.0,154.0,220.0,124.0,55.0,130.0,"Evanston CCD, Uinta County, Wyoming",041,91155,56
6285,3205.0,252.0,264.0,227.0,135.0,58.0,6.0,97.0,81.0,204.0,192.0,200.0,217.0,127.0,203.0,310.0,88.0,217.0,169.0,47.0,41.0,34.0,27.0,9.0,3080.0,292.0,344.0,255.0,168.0,36.0,5.0,0.0,135.0,153.0,244.0,94.0,138.0,165.0,165.0,294.0,165.0,73.0,111.0,41.0,33.0,57.0,48.0,64.0,"Bridger Valley CCD, Uinta County, Wyoming",041,90440,56
735,367.0,9.0,7.0,3.0,29.0,5.0,4.0,0.0,0.0,4.0,27.0,28.0,15.0,15.0,25.0,36.0,21.0,28.0,6.0,18.0,41.0,23.0,21.0,2.0,368.0,22.0,26.0,24.0,5.0,2.0,0.0,3.0,2.0,29.0,14.0,9.0,14.0,28.0,26.0,35.0,6.0,36.0,10.0,13.0,38.0,15.0,9.0,2.0,"Ten Sleep CCD, Washakie County, Wyoming",043,93300,56
7518,3751.0,225.0,210.0,308.0,210.0,70.0,55.0,36.0,125.0,197.0,202.0,205.0,254.0,199.0,256.0,361.0,106.0,68.0,121.0,153.0,130.0,133.0,71.0,56.0,3767.0,198.0,298.0,232.0,224.0,42.0,70.0,17.0,87.0,147.0,231.0,196.0,244.0,196.0,317.0,189.0,115.0,173.0,102.0,136.0,190.0,140.0,119.0,104.0,"Worland CCD, Washakie County, Wyoming",043,93795,56
4062,2028.0,119.0,107.0,144.0,72.0,23.0,7.0,28.0,7.0,121.0,113.0,185.0,21.0,90.0,135.0,148.0,61.0,139.0,57.0,127.0,139.0,80.0,71.0,34.0,2034.0,78.0,121.0,115.0,53.0,33.0,0.0,13.0,24.0,100.0,102.0,88.0,137.0,147.0,102.0,190.0,68.0,130.0,69.0,68.0,162.0,140.0,58.0,36.0,"Thermopolis West CCD, Hot Springs County, Wyoming",017,93410,56
410,214.0,12.0,12.0,14.0,13.0,0.0,12.0,0.0,0.0,7.0,8.0,12.0,12.0,4.0,14.0,36.0,7.0,6.0,9.0,5.0,13.0,9.0,7.0,2.0,196.0,4.0,4.0,8.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,7.0,21.0,27.0,20.0,8.0,19.0,1.0,7.0,8.0,22.0,8.0,20.0,"Thermopolis East CCD, Hot Springs County, Wyoming",017,93355,56
1590,795.0,24.0,36.0,11.0,0.0,28.0,0.0,0.0,18.0,34.0,5.0,40.0,43.0,23.0,53.0,70.0,80.0,47.0,39.0,50.0,86.0,74.0,22.0,12.0,795.0,23.0,25.0,17.0,15.0,10.0,10.0,7.0,10.0,11.0,54.0,34.0,27.0,29.0,66.0,74.0,59.0,48.0,50.0,93.0,47.0,31.0,39.0,16.0,"Dubois CCD, Fremont County, Wyoming",013,91045,56
11203,5439.0,317.0,340.0,345.0,289.0,79.0,69.0,13.0,234.0,297.0,339.0,343.0,354.0,303.0,297.0,420.0,182.0,310.0,224.0,168.0,223.0,148.0,115.0,30.0,5764.0,334.0,237.0,368.0,156.0,96.0,0.0,71.0,231.0,294.0,354.0,394.0,333.0,265.0,346.0,476.0,271.0,316.0,171.0,220.0,297.0,223.0,200.0,111.0,"Lander CCD, Fremont County, Wyoming",013,92035,56
657,344.0,7.0,25.0,11.0,5.0,0.0,4.0,0.0,5.0,28.0,27.0,8.0,19.0,18.0,33.0,31.0,24.0,20.0,23.0,12.0,4.0,15.0,25.0,0.0,313.0,18.0,16.0,16.0,2.0,0.0,0.0,0.0,8.0,12.0,6.0,9.0,21.0,17.0,38.0,37.0,2.0,13.0,8.0,14.0,23.0,21.0,24.0,8.0,"Shoshoni CCD, Fremont County, Wyoming",013,93080,56
6988,3747.0,156.0,228.0,287.0,116.0,93.0,65.0,0.0,0.0,249.0,278.0,549.0,143.0,88.0,509.0,295.0,112.0,162.0,201.0,117.0,9.0,48.0,42.0,0.0,3241.0,247.0,338.0,268.0,0.0,108.0,0.0,0.0,75.0,237.0,86.0,346.0,170.0,197.0,285.0,200.0,154.0,140.0,63.0,57.0,55.0,41.0,90.0,84.0,"Pinedale CCD, Sublette County, Wyoming",035,92475,56
190,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,18.0,19.0,9.0,4.0,3.0,0.0,30.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,"Boulder CCD, Sublette County, Wyoming",035,90385,56
2859,1583.0,139.0,106.0,108.0,112.0,106.0,6.0,3.0,9.0,32.0,159.0,71.0,92.0,40.0,45.0,83.0,24.0,50.0,163.0,21.0,18.0,30.0,154.0,12.0,1276.0,86.0,115.0,85.0,59.0,4.0,47.0,11.0,3.0,30.0,93.0,119.0,67.0,58.0,96.0,55.0,7.0,77.0,156.0,23.0,28.0,4.0,2.0,51.0,"Big Piney CCD, Sublette County, Wyoming",035,90330,56
1355,732.0,54.0,59.0,40.0,13.0,0.0,0.0,0.0,34.0,40.0,39.0,28.0,68.0,42.0,18.0,36.0,66.0,30.0,17.0,47.0,5.0,30.0,34.0,32.0,623.0,48.0,20.0,21.0,33.0,0.0,0.0,4.0,30.0,47.0,39.0,39.0,0.0,54.0,44.0,76.0,30.0,35.0,10.0,18.0,20.0,30.0,18.0,7.0,"Upton CCD, Weston County, Wyoming",045,93520,56
5762,3024.0,145.0,250.0,139.0,93.0,48.0,38.0,56.0,157.0,201.0,204.0,202.0,169.0,160.0,240.0,181.0,142.0,151.0,65.0,158.0,60.0,50.0,33.0,82.0,2738.0,139.0,285.0,78.0,82.0,29.0,13.0,20.0,115.0,114.0,157.0,218.0,139.0,119.0,211.0,116.0,122.0,200.0,45.0,84.0,146.0,132.0,84.0,90.0,"Newcastle CCD, Weston County, Wyoming",045,92255,56
3392,1817.0,186.0,120.0,86.0,93.0,91.0,36.0,12.0,53.0,64.0,111.0,114.0,95.0,78.0,100.0,76.0,94.0,49.0,47.0,31.0,163.0,65.0,39.0,14.0,1575.0,112.0,97.0,99.0,80.0,34.0,11.0,11.0,40.0,137.0,64.0,56.0,97.0,108.0,83.0,113.0,41.0,72.0,30.0,59.0,110.0,65.0,26.0,30.0,"Central Big Horn CCD, Big Horn County, Wyoming",003,90688,56
5406,2671.0,161.0,186.0,264.0,56.0,47.0,84.0,19.0,41.0,186.0,102.0,145.0,137.0,240.0,152.0,113.0,85.0,117.0,53.0,79.0,182.0,99.0,62.0,61.0,2735.0,149.0,239.0,231.0,157.0,44.0,62.0,6.0,46.0,94.0,228.0,176.0,124.0,148.0,168.0,144.0,92.0,101.0,79.0,72.0,106.0,120.0,75.0,74.0,"North Big Horn CCD, Big Horn County, Wyoming",003,92393,56
26819,13596.0,1158.0,986.0,1171.0,541.0,417.0,188.0,178.0,532.0,867.0,921.0,750.0,722.0,712.0,910.0,857.0,379.0,441.0,289.0,339.0,489.0,395.0,159.0,195.0,13223.0,1019.0,1161.0,969.0,563.0,340.0,211.0,211.0,390.0,878.0,869.0,741.0,632.0,765.0,875.0,799.0,340.0,518.0,273.0,395.0,412.0,363.0,267.0,232.0,"Wind River Reservation CCD, Fremont County, Wyoming",013,93742,56
269,162.0,24.0,8.0,34.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0,6.0,18.0,9.0,0.0,11.0,11.0,3.0,0.0,0.0,5.0,5.0,0.0,107.0,0.0,6.0,12.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,16.0,19.0,0.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,13.0,5.0,0.0,"Wind River Reservation CCD, Hot Springs County, Wyoming",017,93744,56
3122,1527.0,58.0,65.0,122.0,126.0,22.0,5.0,21.0,59.0,43.0,109.0,53.0,95.0,73.0,107.0,194.0,37.0,57.0,12.0,51.0,109.0,38.0,27.0,44.0,1595.0,102.0,104.0,111.0,50.0,39.0,0.0,18.0,35.0,95.0,45.0,83.0,84.0,79.0,127.0,123.0,91.0,47.0,23.0,107.0,95.0,43.0,38.0,56.0,"South Big Horn CCD, Big Horn County, Wyoming",003,93142,56
902,466.0,16.0,4.0,33.0,0.0,5.0,14.0,2.0,9.0,53.0,6.0,30.0,11.0,57.0,45.0,28.0,25.0,24.0,20.0,8.0,23.0,22.0,26.0,5.0,436.0,14.0,24.0,47.0,0.0,20.0,0.0,10.0,48.0,42.0,27.0,0.0,10.0,28.0,28.0,25.0,22.0,13.0,4.0,31.0,33.0,6.0,0.0,4.0,"East Niobrara CCD, Niobrara County, Wyoming",027,91128,56
1577,632.0,41.0,5.0,56.0,60.0,18.0,32.0,0.0,15.0,14.0,69.0,26.0,27.0,36.0,40.0,26.0,11.0,20.0,17.0,25.0,8.0,39.0,32.0,15.0,945.0,60.0,11.0,25.0,84.0,13.0,6.0,13.0,28.0,67.0,111.0,69.0,64.0,28.0,78.0,96.0,5.0,34.0,9.0,21.0,32.0,44.0,16.0,31.0,"West Niobrara CCD, Niobrara County, Wyoming",027,93603,56
18042,9257.0,906.0,800.0,520.0,408.0,109.0,77.0,100.0,243.0,861.0,995.0,899.0,654.0,557.0,638.0,469.0,215.0,260.0,157.0,118.0,127.0,94.0,32.0,18.0,8785.0,909.0,1107.0,517.0,179.0,134.0,103.0,159.0,392.0,935.0,813.0,452.0,497.0,599.0,678.0,349.0,247.0,256.0,60.0,139.0,123.0,60.0,77.0,0.0,"Gillette South CCD, Campbell County, Wyoming",005,91265,56
30074,15744.0,1017.0,1181.0,1690.0,531.0,466.0,309.0,298.0,610.0,1108.0,1037.0,880.0,1163.0,858.0,1001.0,1450.0,409.0,533.0,315.0,281.0,229.0,168.0,124.0,86.0,14330.0,902.0,1203.0,870.0,759.0,319.0,103.0,80.0,650.0,904.0,1153.0,1162.0,962.0,706.0,961.0,1242.0,367.0,510.0,297.0,257.0,329.0,290.0,195.0,109.0,"Gillette North CCD, Campbell County, Wyoming",005,91210,56
13111,6762.0,465.0,591.0,516.0,301.0,185.0,26.0,114.0,116.0,300.0,421.0,491.0,433.0,365.0,432.0,505.0,289.0,250.0,228.0,247.0,184.0,165.0,56.0,82.0,6349.0,300.0,540.0,500.0,322.0,113.0,82.0,13.0,159.0,316.0,404.0,454.0,396.0,426.0,341.0,528.0,175.0,273.0,307.0,178.0,162.0,235.0,33.0,92.0,"Afton CCD, Lincoln County, Wyoming",023,90055,56
1374,698.0,24.0,76.0,87.0,21.0,11.0,27.0,2.0,0.0,9.0,10.0,50.0,51.0,53.0,59.0,32.0,32.0,18.0,17.0,5.0,15.0,48.0,26.0,25.0,676.0,76.0,93.0,59.0,16.0,15.0,7.0,0.0,0.0,28.0,42.0,25.0,25.0,47.0,75.0,40.0,12.0,21.0,5.0,4.0,41.0,13.0,31.0,1.0,"Kemmerer West CCD, Lincoln County, Wyoming",023,91980,56
4306,2170.0,150.0,180.0,164.0,79.0,24.0,43.0,0.0,94.0,110.0,136.0,124.0,80.0,158.0,143.0,178.0,75.0,88.0,49.0,98.0,96.0,52.0,45.0,4.0,2136.0,232.0,162.0,124.0,77.0,43.0,27.0,7.0,75.0,129.0,107.0,119.0,138.0,64.0,182.0,173.0,46.0,96.0,43.0,39.0,113.0,58.0,34.0,48.0,"Kemmerer East CCD, Lincoln County, Wyoming",023,91925,56
872,501.0,79.0,27.0,31.0,12.0,17.0,6.0,0.0,19.0,35.0,12.0,31.0,39.0,2.0,78.0,20.0,13.0,36.0,13.0,4.0,10.0,4.0,11.0,2.0,371.0,36.0,61.0,23.0,0.0,6.0,0.0,3.0,6.0,1.0,67.0,16.0,11.0,8.0,28.0,34.0,0.0,8.0,24.0,22.0,5.0,3.0,2.0,7.0,"Kaycee CCD, Johnson County, Wyoming",019,91870,56
7690,4047.0,209.0,252.0,310.0,196.0,43.0,37.0,37.0,178.0,83.0,206.0,206.0,331.0,265.0,227.0,352.0,123.0,118.0,83.0,220.0,228.0,143.0,88.0,112.0,3643.0,167.0,214.0,212.0,62.0,110.0,75.0,17.0,54.0,153.0,170.0,162.0,267.0,214.0,264.0,286.0,77.0,309.0,80.0,143.0,220.0,178.0,53.0,156.0,"Buffalo CCD, Johnson County, Wyoming",019,90495,56
