B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
23285.0,11373.0,140.0,15.0,101.0,382.0,279.0,273.0,297.0,175.0,3692.0,1068.0,2425.0,849.0,1071.0,436.0,97.0,73.0,11912.0,165.0,123.0,122.0,275.0,280.0,166.0,266.0,149.0,3912.0,1143.0,2407.0,847.0,1384.0,540.0,111.0,22.0,"Marana CCD, Pima County, Arizona",019,92040,04
2624.0,1241.0,23.0,5.0,12.0,58.0,0.0,36.0,64.0,31.0,318.0,57.0,404.0,106.0,82.0,45.0,0.0,0.0,1383.0,55.0,11.0,10.0,35.0,52.0,21.0,11.0,24.0,519.0,145.0,238.0,61.0,119.0,73.0,0.0,9.0,"Ajo CCD, Pima County, Arizona",019,90051,04
577303.0,279966.0,3449.0,1640.0,3553.0,4084.0,4934.0,4623.0,6153.0,5038.0,61308.0,19828.0,50034.0,22834.0,51714.0,24906.0,8183.0,7685.0,297337.0,3699.0,1717.0,4679.0,4669.0,5394.0,4094.0,5647.0,5085.0,63233.0,21383.0,52231.0,28158.0,56520.0,29971.0,5800.0,5057.0,"Tucson CCD, Pima County, Arizona",019,93570,04
59861.0,27890.0,407.0,111.0,223.0,183.0,187.0,490.0,610.0,671.0,6922.0,2071.0,5309.0,2422.0,5065.0,2010.0,609.0,600.0,31971.0,477.0,122.0,431.0,244.0,314.0,430.0,598.0,571.0,7977.0,2699.0,6806.0,2865.0,5470.0,2415.0,299.0,253.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
17489.0,11259.0,55.0,63.0,147.0,470.0,365.0,355.0,512.0,132.0,2988.0,1105.0,2720.0,673.0,1074.0,449.0,84.0,67.0,6230.0,60.0,43.0,64.0,182.0,65.0,84.0,131.0,188.0,1552.0,531.0,1128.0,598.0,997.0,516.0,32.0,59.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
277058.0,133110.0,1146.0,440.0,802.0,877.0,631.0,892.0,1210.0,1796.0,21647.0,8916.0,21784.0,12989.0,36820.0,16505.0,3445.0,3210.0,143948.0,1512.0,364.0,1029.0,1101.0,488.0,960.0,1254.0,1792.0,25220.0,11750.0,24268.0,13871.0,38866.0,16924.0,2501.0,2048.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
2101541.0,1022412.0,17485.0,10249.0,23144.0,23219.0,18385.0,17669.0,22678.0,23981.0,245159.0,66918.0,171332.0,77638.0,192665.0,73582.0,24719.0,13589.0,1079129.0,17545.0,9080.0,24524.0,22986.0,18247.0,17255.0,21931.0,21983.0,255754.0,82413.0,185905.0,94133.0,197044.0,85330.0,15464.0,9535.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
189517.0,91095.0,692.0,128.0,141.0,469.0,367.0,560.0,461.0,1090.0,15542.0,6549.0,16331.0,8537.0,25633.0,10029.0,3021.0,1545.0,98422.0,661.0,137.0,22.0,222.0,328.0,540.0,530.0,1205.0,18308.0,8183.0,16944.0,9780.0,27205.0,11479.0,1843.0,1035.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
1921.0,884.0,6.0,11.0,34.0,28.0,54.0,18.0,51.0,40.0,269.0,89.0,84.0,91.0,85.0,24.0,0.0,0.0,1037.0,0.0,0.0,28.0,79.0,68.0,51.0,49.0,27.0,209.0,78.0,204.0,122.0,66.0,51.0,5.0,0.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
2313.0,1020.0,0.0,6.0,0.0,50.0,31.0,71.0,99.0,57.0,431.0,51.0,148.0,18.0,39.0,17.0,2.0,0.0,1293.0,0.0,23.0,0.0,33.0,118.0,37.0,138.0,40.0,446.0,47.0,284.0,97.0,30.0,0.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
85392.0,39627.0,174.0,129.0,364.0,414.0,125.0,491.0,524.0,422.0,8513.0,3023.0,7194.0,3562.0,8909.0,4271.0,888.0,624.0,45765.0,166.0,56.0,325.0,426.0,213.0,508.0,697.0,658.0,11971.0,4223.0,8728.0,4177.0,8687.0,4115.0,355.0,460.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
43508.0,21379.0,534.0,190.0,580.0,399.0,224.0,750.0,506.0,674.0,5706.0,2075.0,4245.0,1852.0,2723.0,736.0,82.0,103.0,22129.0,480.0,205.0,461.0,613.0,299.0,472.0,446.0,586.0,6080.0,2029.0,4423.0,2190.0,2732.0,837.0,123.0,153.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
