B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
14146.0,7851.0,74.0,42.0,67.0,81.0,178.0,176.0,435.0,184.0,2522.0,894.0,1608.0,462.0,684.0,283.0,70.0,91.0,6295.0,83.0,8.0,19.0,40.0,95.0,98.0,28.0,89.0,1726.0,993.0,1139.0,695.0,795.0,401.0,86.0,0.0,"Sonora CCD, Tuolumne County, California",109,93080,06
10222.0,4932.0,4.0,5.0,26.0,12.0,11.0,97.0,218.0,72.0,1539.0,374.0,824.0,508.0,734.0,292.0,142.0,74.0,5290.0,24.0,0.0,0.0,50.0,24.0,23.0,111.0,158.0,1623.0,478.0,1014.0,640.0,823.0,243.0,58.0,21.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
8767.0,4280.0,108.0,102.0,127.0,59.0,0.0,32.0,52.0,112.0,1104.0,529.0,912.0,354.0,546.0,189.0,12.0,42.0,4487.0,83.0,68.0,145.0,108.0,24.0,55.0,28.0,14.0,1704.0,349.0,903.0,407.0,399.0,170.0,14.0,16.0,"Escalon CCD, San Joaquin County, California",077,90900,06
8968.0,4221.0,98.0,31.0,132.0,73.0,4.0,84.0,26.0,160.0,873.0,366.0,709.0,508.0,664.0,221.0,112.0,160.0,4747.0,143.0,38.0,96.0,76.0,7.0,16.0,34.0,143.0,1034.0,293.0,752.0,478.0,1051.0,398.0,126.0,62.0,"Thornton CCD, San Joaquin County, California",077,93340,06
3843.0,1961.0,26.0,14.0,78.0,91.0,53.0,26.0,34.0,29.0,698.0,96.0,225.0,260.0,201.0,84.0,21.0,25.0,1882.0,4.0,23.0,95.0,35.0,51.0,35.0,8.0,20.0,559.0,159.0,372.0,201.0,212.0,83.0,13.0,12.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
8121.0,4028.0,153.0,113.0,126.0,190.0,31.0,75.0,137.0,114.0,1103.0,239.0,617.0,366.0,483.0,149.0,64.0,68.0,4093.0,177.0,83.0,213.0,61.0,32.0,30.0,83.0,60.0,1079.0,335.0,751.0,469.0,489.0,181.0,50.0,0.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
54858.0,26513.0,747.0,344.0,1135.0,620.0,537.0,565.0,570.0,905.0,7416.0,1825.0,3994.0,2693.0,3230.0,1228.0,456.0,248.0,28345.0,946.0,320.0,1263.0,469.0,377.0,302.0,808.0,702.0,7495.0,2293.0,3994.0,3578.0,3792.0,1379.0,460.0,167.0,"Lodi CCD, San Joaquin County, California",077,91700,06
217476.0,104912.0,5077.0,2320.0,6702.0,2210.0,2189.0,2912.0,3695.0,4025.0,29767.0,7414.0,14472.0,8143.0,10700.0,2661.0,1674.0,951.0,112564.0,5850.0,2254.0,5676.0,2336.0,2030.0,2705.0,4333.0,3861.0,28257.0,9090.0,17158.0,10545.0,12555.0,4535.0,891.0,488.0,"Stockton CCD, San Joaquin County, California",077,93240,06
67138.0,32491.0,857.0,336.0,840.0,458.0,605.0,571.0,917.0,1430.0,10592.0,2462.0,5285.0,3354.0,3401.0,1094.0,231.0,58.0,34647.0,959.0,346.0,847.0,508.0,523.0,939.0,974.0,1042.0,10729.0,2528.0,6488.0,3217.0,4087.0,1147.0,240.0,73.0,"Manteca CCD, San Joaquin County, California",077,91870,06
11488.0,5659.0,114.0,10.0,81.0,0.0,61.0,49.0,69.0,137.0,1418.0,463.0,1160.0,595.0,941.0,439.0,89.0,33.0,5829.0,114.0,122.0,74.0,72.0,10.0,8.0,89.0,101.0,1470.0,609.0,1081.0,537.0,983.0,441.0,118.0,0.0,"Ripon CCD, San Joaquin County, California",077,92620,06
