B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
22727.0,10691.0,127.0,51.0,78.0,175.0,151.0,190.0,119.0,150.0,3301.0,482.0,1080.0,703.0,2468.0,1202.0,198.0,216.0,12036.0,109.0,57.0,55.0,170.0,104.0,137.0,217.0,176.0,2890.0,643.0,1471.0,1309.0,2905.0,1380.0,225.0,188.0,"Gloucester city, Essex County, Massachusetts",009,26150,25
5247.0,2430.0,2.0,0.0,11.0,6.0,19.0,0.0,8.0,0.0,328.0,53.0,133.0,156.0,883.0,606.0,167.0,58.0,2817.0,9.0,7.0,0.0,11.0,0.0,0.0,0.0,9.0,240.0,40.0,324.0,275.0,1106.0,660.0,89.0,47.0,"Hamilton town, Essex County, Massachusetts",009,27900,25
1650.0,795.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,386.0,66.0,64.0,77.0,100.0,59.0,17.0,5.0,855.0,0.0,4.0,0.0,8.0,0.0,4.0,9.0,31.0,271.0,47.0,117.0,100.0,118.0,116.0,10.0,20.0,"Bernardston town, Franklin County, Massachusetts",011,05560,25
1322.0,719.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,10.0,193.0,15.0,77.0,49.0,224.0,104.0,15.0,22.0,603.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,149.0,47.0,53.0,69.0,149.0,112.0,0.0,14.0,"Gill town, Franklin County, Massachusetts",011,25730,25
318.0,157.0,2.0,0.0,0.0,1.0,2.0,3.0,5.0,1.0,61.0,5.0,18.0,7.0,41.0,2.0,3.0,6.0,161.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,40.0,6.0,20.0,8.0,32.0,40.0,1.0,1.0,"Hawley town, Franklin County, Massachusetts",011,29475,25
1535.0,695.0,10.0,0.0,0.0,8.0,18.0,22.0,5.0,12.0,148.0,23.0,85.0,39.0,210.0,85.0,6.0,24.0,840.0,5.0,0.0,0.0,26.0,0.0,13.0,6.0,8.0,132.0,38.0,77.0,108.0,211.0,177.0,22.0,17.0,"Shelburne town, Franklin County, Massachusetts",011,61135,25
1505.0,748.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,12.0,126.0,22.0,57.0,29.0,185.0,156.0,42.0,103.0,757.0,0.0,0.0,0.0,3.0,2.0,0.0,9.0,0.0,93.0,20.0,83.0,56.0,206.0,197.0,22.0,66.0,"Leverett town, Franklin County, Massachusetts",011,35180,25
503.0,258.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,91.0,16.0,50.0,15.0,25.0,38.0,4.0,9.0,245.0,0.0,0.0,0.0,9.0,0.0,7.0,2.0,0.0,66.0,9.0,26.0,31.0,49.0,33.0,3.0,10.0,"Heath town, Franklin County, Massachusetts",011,29650,25
546.0,255.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,87.0,21.0,26.0,33.0,67.0,9.0,2.0,7.0,291.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,46.0,17.0,46.0,41.0,73.0,47.0,6.0,4.0,"Leyden town, Franklin County, Massachusetts",011,35285,25
2230.0,1069.0,12.0,0.0,0.0,0.0,19.0,31.0,10.0,0.0,407.0,19.0,66.0,142.0,187.0,140.0,26.0,10.0,1161.0,0.0,0.0,0.0,0.0,9.0,0.0,22.0,10.0,228.0,60.0,76.0,266.0,210.0,218.0,35.0,27.0,"Northfield town, Franklin County, Massachusetts",011,47835,25
