B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
838.0,413.0,0.0,0.0,0.0,44.0,0.0,4.0,13.0,0.0,111.0,33.0,108.0,50.0,43.0,6.0,0.0,1.0,425.0,6.0,0.0,0.0,71.0,3.0,3.0,9.0,5.0,91.0,20.0,101.0,34.0,59.0,20.0,3.0,0.0,"Sunburst CCD, Toole County, Montana",101,93402,30
22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,"Glacier National Park CCD, Glacier County, Montana",035,91460,30
33.0,17.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,"Fort Peck Reservation CCD, Daniels County, Montana",019,91218,30
318.0,150.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,76.0,23.0,7.0,6.0,25.0,5.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,63.0,12.0,29.0,15.0,37.0,5.0,0.0,0.0,"Lavina CCD, Golden Valley County, Montana",037,92016,30
2229.0,976.0,6.0,0.0,0.0,34.0,0.0,6.0,64.0,11.0,274.0,111.0,179.0,68.0,157.0,16.0,50.0,0.0,1253.0,15.0,0.0,0.0,39.0,7.0,63.0,74.0,0.0,369.0,65.0,281.0,97.0,163.0,74.0,6.0,0.0,"Cut Bank CCD, Glacier County, Montana",035,90777,30
1595.0,847.0,0.0,0.0,0.0,26.0,1.0,1.0,1.0,0.0,366.0,38.0,128.0,150.0,80.0,23.0,0.0,33.0,748.0,0.0,0.0,1.0,1.0,0.0,19.0,19.0,4.0,267.0,87.0,146.0,107.0,69.0,11.0,0.0,17.0,"Baker CCD, Fallon County, Montana",025,90168,30
366.0,175.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,36.0,10.0,43.0,35.0,33.0,5.0,0.0,4.0,191.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,12.0,64.0,29.0,30.0,3.0,4.0,0.0,"Plevna CCD, Fallon County, Montana",025,92730,30
256.0,135.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,75.0,0.0,26.0,1.0,19.0,2.0,0.0,2.0,121.0,0.0,0.0,0.0,3.0,9.0,2.0,0.0,0.0,47.0,4.0,16.0,17.0,16.0,7.0,0.0,0.0,"Ryegate CCD, Golden Valley County, Montana",037,92940,30
621.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,14.0,60.0,32.0,48.0,29.0,0.0,1.0,313.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,110.0,10.0,59.0,30.0,92.0,8.0,0.0,0.0,"Stanford CCD, Judith Basin County, Montana",045,93318,30
334.0,178.0,0.0,0.0,0.0,8.0,0.0,8.0,5.0,0.0,73.0,2.0,22.0,23.0,31.0,4.0,0.0,2.0,156.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,43.0,19.0,46.0,12.0,23.0,4.0,0.0,0.0,"Geyser CCD, Judith Basin County, Montana",045,91407,30
