B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
10925.0,5326.0,104.0,68.0,142.0,201.0,94.0,176.0,221.0,16.0,2157.0,105.0,1100.0,437.0,396.0,95.0,4.0,10.0,5599.0,226.0,86.0,90.0,212.0,159.0,167.0,262.0,19.0,1594.0,155.0,1218.0,767.0,411.0,194.0,20.0,19.0,"Shiprock-Sanostee CCD, San Juan County, New Mexico",045,92970,35
10812.0,5445.0,105.0,72.0,155.0,164.0,184.0,190.0,128.0,77.0,1969.0,401.0,835.0,676.0,276.0,193.0,20.0,0.0,5367.0,83.0,6.0,39.0,58.0,99.0,223.0,332.0,150.0,1707.0,390.0,1026.0,428.0,443.0,365.0,9.0,9.0,"Bloomfield CCD, San Juan County, New Mexico",045,90360,35
33340.0,16106.0,89.0,105.0,221.0,156.0,220.0,486.0,433.0,344.0,4982.0,1243.0,3582.0,1383.0,1615.0,814.0,291.0,142.0,17234.0,205.0,125.0,114.0,291.0,173.0,287.0,533.0,215.0,4153.0,1449.0,3632.0,2430.0,1970.0,1312.0,220.0,125.0,"Farmington CCD, San Juan County, New Mexico",045,91290,35
1287.0,659.0,5.0,14.0,21.0,22.0,7.0,15.0,18.0,3.0,224.0,38.0,176.0,66.0,33.0,17.0,0.0,0.0,628.0,28.0,21.0,23.0,27.0,15.0,10.0,11.0,11.0,174.0,4.0,131.0,83.0,67.0,17.0,6.0,0.0,"Naschitti CCD, San Juan County, New Mexico",045,92160,35
17397.0,8489.0,91.0,16.0,147.0,189.0,150.0,265.0,285.0,173.0,3091.0,609.0,1712.0,851.0,515.0,235.0,73.0,87.0,8908.0,102.0,49.0,52.0,292.0,186.0,304.0,327.0,163.0,2780.0,796.0,1617.0,894.0,774.0,479.0,47.0,46.0,"Aztec CCD, San Juan County, New Mexico",045,90180,35
337.0,137.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,57.0,27.0,22.0,1.0,9.0,13.0,0.0,0.0,200.0,0.0,3.0,0.0,0.0,1.0,3.0,14.0,0.0,40.0,15.0,26.0,6.0,46.0,46.0,0.0,0.0,"San Jon CCD, Quay County, New Mexico",037,92730,35
4398.0,1993.0,38.0,20.0,0.0,136.0,42.0,73.0,41.0,25.0,762.0,161.0,331.0,84.0,180.0,83.0,6.0,11.0,2405.0,45.0,5.0,17.0,122.0,11.0,69.0,81.0,72.0,913.0,133.0,341.0,299.0,141.0,153.0,3.0,0.0,"Tucumcari CCD, Quay County, New Mexico",037,93540,35
873.0,408.0,0.0,15.0,0.0,0.0,11.0,34.0,11.0,14.0,129.0,37.0,45.0,35.0,23.0,54.0,0.0,0.0,465.0,0.0,0.0,10.0,0.0,0.0,32.0,17.0,0.0,124.0,27.0,89.0,22.0,91.0,53.0,0.0,0.0,"Hondo CCD, Lincoln County, New Mexico",027,91500,35
817.0,414.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,254.0,31.0,36.0,17.0,28.0,14.0,0.0,10.0,403.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,5.0,201.0,14.0,54.0,15.0,45.0,55.0,0.0,0.0,"Logan-Nara Visa CCD, Quay County, New Mexico",037,91830,35
209.0,109.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,59.0,2.0,17.0,6.0,13.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,31.0,7.0,9.0,2.0,23.0,4.0,0.0,0.0,"House-Forrest CCD, Quay County, New Mexico",037,91530,35
306.0,154.0,0.0,0.0,2.0,3.0,0.0,0.0,19.0,5.0,41.0,6.0,23.0,17.0,24.0,11.0,3.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,36.0,13.0,18.0,5.0,18.0,26.0,17.0,0.0,"Corona CCD, Lincoln County, New Mexico",027,90780,35
972.0,409.0,4.0,10.0,11.0,0.0,0.0,26.0,4.0,0.0,102.0,21.0,136.0,15.0,23.0,45.0,0.0,12.0,563.0,0.0,7.0,9.0,0.0,2.0,7.0,23.0,0.0,232.0,15.0,143.0,53.0,62.0,10.0,0.0,0.0,"Carrizozo CCD, Lincoln County, New Mexico",027,90510,35
2079.0,1032.0,6.0,0.0,4.0,0.0,0.0,11.0,0.0,5.0,357.0,41.0,267.0,41.0,192.0,45.0,63.0,0.0,1047.0,5.0,0.0,1.0,0.0,4.0,0.0,36.0,10.0,302.0,66.0,263.0,99.0,209.0,52.0,0.0,0.0,"Capitan CCD, Lincoln County, New Mexico",027,90450,35
10432.0,4991.0,0.0,0.0,41.0,247.0,52.0,31.0,79.0,28.0,1392.0,180.0,826.0,415.0,1176.0,339.0,59.0,126.0,5441.0,74.0,0.0,69.0,108.0,34.0,62.0,33.0,32.0,1546.0,252.0,993.0,626.0,1089.0,415.0,29.0,79.0,"Ruidoso CCD, Lincoln County, New Mexico",027,92700,35
1591.0,775.0,40.0,5.0,49.0,59.0,49.0,0.0,30.0,11.0,244.0,26.0,135.0,38.0,77.0,12.0,0.0,0.0,816.0,18.0,27.0,34.0,58.0,35.0,13.0,25.0,9.0,262.0,39.0,136.0,45.0,71.0,44.0,0.0,0.0,"Hagerman CCD, Chaves County, New Mexico",005,91410,35
2279.0,1165.0,42.0,31.0,0.0,52.0,40.0,11.0,44.0,18.0,388.0,86.0,160.0,65.0,147.0,74.0,7.0,0.0,1114.0,54.0,0.0,23.0,0.0,17.0,62.0,0.0,32.0,323.0,76.0,146.0,32.0,146.0,169.0,0.0,34.0,"Northwest Chaves CCD, Chaves County, New Mexico",005,92280,35
3601.0,1879.0,110.0,60.0,215.0,56.0,250.0,8.0,34.0,19.0,594.0,113.0,196.0,115.0,73.0,17.0,7.0,12.0,1722.0,96.0,97.0,164.0,66.0,90.0,43.0,47.0,0.0,312.0,154.0,354.0,156.0,79.0,64.0,0.0,0.0,"Southwest Chaves CCD, Chaves County, New Mexico",005,93240,35
1977.0,1137.0,3.0,30.0,109.0,25.0,44.0,119.0,61.0,38.0,358.0,47.0,183.0,61.0,28.0,25.0,6.0,0.0,840.0,35.0,59.0,87.0,22.0,34.0,23.0,41.0,0.0,230.0,16.0,138.0,52.0,64.0,39.0,0.0,0.0,"Dexter CCD, Chaves County, New Mexico",005,90960,35
998.0,574.0,6.0,4.0,26.0,3.0,22.0,11.0,39.0,22.0,243.0,10.0,103.0,32.0,17.0,26.0,10.0,0.0,424.0,13.0,2.0,24.0,12.0,8.0,19.0,22.0,0.0,99.0,33.0,105.0,24.0,38.0,15.0,6.0,4.0,"Southeast Chaves CCD, Chaves County, New Mexico",005,93090,35
30680.0,14353.0,262.0,280.0,414.0,430.0,422.0,437.0,453.0,257.0,4048.0,1059.0,2323.0,1125.0,1911.0,605.0,200.0,127.0,16327.0,238.0,219.0,647.0,266.0,382.0,287.0,467.0,278.0,4074.0,1194.0,2678.0,1949.0,2481.0,977.0,68.0,122.0,"Roswell CCD, Chaves County, New Mexico",005,92670,35
60.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,"Northeast Chaves CCD, Chaves County, New Mexico",005,92190,35
8901.0,4437.0,100.0,188.0,290.0,110.0,130.0,188.0,225.0,119.0,1608.0,306.0,535.0,269.0,204.0,125.0,19.0,21.0,4464.0,94.0,91.0,243.0,140.0,180.0,159.0,210.0,90.0,1256.0,457.0,733.0,283.0,335.0,173.0,11.0,9.0,"Lovington CCD, Lea County, New Mexico",025,91950,35
1415.0,679.0,40.0,34.0,49.0,30.0,15.0,39.0,30.0,0.0,230.0,22.0,101.0,28.0,53.0,0.0,8.0,0.0,736.0,0.0,22.0,51.0,28.0,19.0,38.0,34.0,0.0,236.0,38.0,163.0,56.0,51.0,0.0,0.0,0.0,"Jal CCD, Lea County, New Mexico",025,91620,35
28555.0,14860.0,380.0,193.0,907.0,300.0,893.0,589.0,476.0,294.0,4941.0,987.0,2050.0,875.0,1183.0,613.0,76.0,103.0,13695.0,369.0,191.0,820.0,426.0,496.0,458.0,510.0,225.0,3887.0,1109.0,1959.0,1129.0,1235.0,783.0,82.0,16.0,"Hobbs CCD, Lea County, New Mexico",025,91470,35
1945.0,989.0,6.0,16.0,63.0,32.0,51.0,65.0,51.0,16.0,336.0,57.0,134.0,51.0,65.0,41.0,0.0,5.0,956.0,7.0,0.0,51.0,52.0,82.0,26.0,69.0,0.0,230.0,43.0,206.0,80.0,74.0,30.0,6.0,0.0,"Eunice CCD, Lea County, New Mexico",025,91230,35
801.0,378.0,0.0,20.0,44.0,0.0,7.0,10.0,3.0,6.0,130.0,11.0,79.0,18.0,31.0,10.0,0.0,9.0,423.0,0.0,15.0,0.0,21.0,12.0,9.0,18.0,7.0,153.0,7.0,48.0,40.0,61.0,32.0,0.0,0.0,"Tatum CCD, Lea County, New Mexico",025,93360,35
31788.0,15803.0,74.0,67.0,185.0,228.0,183.0,326.0,353.0,202.0,3313.0,612.0,2375.0,904.0,3409.0,2176.0,800.0,596.0,15985.0,55.0,82.0,112.0,124.0,217.0,129.0,149.0,115.0,2639.0,729.0,2787.0,1359.0,4099.0,2586.0,391.0,412.0,"Santa Fe South CCD, Santa Fe County, New Mexico",049,92880,35
64236.0,29965.0,325.0,228.0,783.0,678.0,555.0,525.0,297.0,433.0,7109.0,1052.0,4225.0,1245.0,6064.0,3659.0,1350.0,1437.0,34271.0,377.0,221.0,896.0,566.0,470.0,313.0,516.0,432.0,7277.0,1350.0,4812.0,2296.0,7520.0,5163.0,1270.0,792.0,"Santa Fe CCD, Santa Fe County, New Mexico",049,92820,35
12235.0,6225.0,47.0,13.0,133.0,245.0,148.0,223.0,127.0,90.0,1997.0,373.0,898.0,402.0,789.0,417.0,157.0,166.0,6010.0,72.0,12.0,103.0,104.0,205.0,100.0,122.0,83.0,1791.0,447.0,918.0,452.0,931.0,432.0,113.0,125.0,"Santa Fe North CCD, Santa Fe County, New Mexico",049,92850,35
432.0,266.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,4.0,122.0,32.0,17.0,14.0,51.0,7.0,3.0,5.0,166.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,2.0,51.0,7.0,36.0,9.0,13.0,35.0,5.0,0.0,"Clayton North CCD, Union County, New Mexico",059,90660,35
2557.0,1409.0,25.0,27.0,18.0,94.0,27.0,61.0,85.0,38.0,544.0,82.0,147.0,106.0,110.0,45.0,0.0,0.0,1148.0,42.0,5.0,40.0,32.0,3.0,69.0,25.0,33.0,475.0,26.0,149.0,47.0,122.0,75.0,5.0,0.0,"Clayton South CCD, Union County, New Mexico",059,90690,35
1825.0,965.0,12.0,7.0,20.0,60.0,52.0,35.0,74.0,0.0,195.0,0.0,121.0,91.0,257.0,24.0,14.0,3.0,860.0,0.0,0.0,0.0,68.0,0.0,15.0,41.0,0.0,216.0,10.0,146.0,95.0,161.0,108.0,0.0,0.0,"Truth or Consequences West CCD, Sierra County, New Mexico",051,93510,35
