B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
64.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,0.0,14.0,0.0,0.0,0.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
16276.0,8104.0,62.0,7.0,171.0,98.0,80.0,85.0,189.0,152.0,2846.0,789.0,1520.0,794.0,887.0,268.0,127.0,29.0,8172.0,24.0,10.0,95.0,225.0,110.0,150.0,162.0,101.0,2257.0,889.0,1502.0,988.0,1141.0,453.0,51.0,14.0,"Fallon CCD, Churchill County, Nevada",001,94308,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
6427.0,3129.0,14.0,39.0,46.0,48.0,14.0,39.0,70.0,55.0,579.0,254.0,657.0,335.0,526.0,295.0,100.0,58.0,3298.0,42.0,57.0,67.0,25.0,22.0,24.0,63.0,36.0,723.0,321.0,646.0,316.0,631.0,253.0,49.0,23.0,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
645.0,353.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,57.0,42.0,4.0,65.0,72.0,64.0,24.0,9.0,292.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,28.0,41.0,28.0,101.0,29.0,0.0,0.0,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
4439.0,2409.0,12.0,10.0,0.0,0.0,23.0,27.0,15.0,0.0,339.0,115.0,467.0,231.0,645.0,365.0,113.0,47.0,2030.0,11.0,13.0,17.0,14.0,23.0,12.0,40.0,0.0,382.0,147.0,369.0,252.0,455.0,261.0,23.0,11.0,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
22675.0,11063.0,82.0,1.0,121.0,22.0,23.0,73.0,60.0,91.0,3300.0,968.0,2552.0,1116.0,1619.0,683.0,293.0,59.0,11612.0,64.0,45.0,35.0,75.0,161.0,48.0,139.0,159.0,2810.0,1234.0,2671.0,1381.0,1941.0,647.0,149.0,53.0,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
1914.0,984.0,9.0,6.0,14.0,0.0,4.0,26.0,25.0,23.0,356.0,99.0,201.0,89.0,97.0,21.0,5.0,9.0,930.0,13.0,10.0,4.0,9.0,13.0,27.0,25.0,26.0,340.0,118.0,180.0,86.0,52.0,23.0,4.0,0.0,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
3558.0,1790.0,55.0,83.0,50.0,39.0,11.0,17.0,43.0,58.0,622.0,139.0,251.0,163.0,135.0,60.0,64.0,0.0,1768.0,48.0,1.0,47.0,1.0,10.0,11.0,81.0,17.0,790.0,137.0,151.0,232.0,124.0,118.0,0.0,0.0,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
339.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,21.0,56.0,14.0,82.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,33.0,0.0,0.0,16.0,0.0,0.0,0.0,"Austin CCD, Lander County, Nevada",015,94042,32
3994.0,2869.0,49.0,83.0,62.0,68.0,60.0,91.0,231.0,29.0,949.0,251.0,606.0,120.0,198.0,56.0,6.0,10.0,1125.0,15.0,7.0,54.0,64.0,7.0,29.0,14.0,21.0,457.0,86.0,130.0,63.0,109.0,69.0,0.0,0.0,"Lovelock CCD, Pershing County, Nevada",027,94518,32
1143.0,603.0,14.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,253.0,8.0,65.0,107.0,51.0,76.0,0.0,0.0,540.0,0.0,0.0,18.0,0.0,0.0,29.0,0.0,9.0,153.0,22.0,80.0,101.0,23.0,64.0,41.0,0.0,"Imlay CCD, Pershing County, Nevada",027,94448,32
928.0,520.0,0.0,0.0,0.0,6.0,26.0,0.0,31.0,89.0,175.0,73.0,117.0,0.0,3.0,0.0,0.0,0.0,408.0,0.0,3.0,0.0,0.0,4.0,41.0,51.0,0.0,159.0,28.0,20.0,24.0,65.0,8.0,5.0,0.0,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
