B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
610.0,284.0,0.0,0.0,0.0,2.0,5.0,2.0,3.0,4.0,123.0,31.0,42.0,22.0,37.0,2.0,7.0,4.0,326.0,0.0,0.0,0.0,7.0,8.0,3.0,11.0,1.0,130.0,23.0,55.0,30.0,26.0,23.0,3.0,6.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
718.0,385.0,0.0,3.0,8.0,7.0,13.0,0.0,3.0,2.0,106.0,17.0,97.0,72.0,39.0,11.0,0.0,7.0,333.0,0.0,0.0,3.0,8.0,0.0,9.0,0.0,0.0,101.0,35.0,36.0,67.0,58.0,16.0,0.0,0.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
5062.0,2606.0,68.0,54.0,50.0,70.0,232.0,113.0,134.0,23.0,902.0,235.0,402.0,201.0,66.0,49.0,0.0,7.0,2456.0,32.0,69.0,174.0,103.0,93.0,116.0,185.0,44.0,880.0,178.0,277.0,128.0,134.0,43.0,0.0,0.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
1311.0,595.0,0.0,9.0,0.0,9.0,11.0,28.0,18.0,34.0,158.0,33.0,148.0,32.0,104.0,11.0,0.0,0.0,716.0,4.0,0.0,0.0,0.0,1.0,7.0,5.0,7.0,255.0,56.0,116.0,116.0,143.0,6.0,0.0,0.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
6355.0,3021.0,0.0,0.0,49.0,25.0,7.0,48.0,7.0,83.0,806.0,451.0,514.0,178.0,472.0,305.0,7.0,69.0,3334.0,2.0,44.0,20.0,85.0,18.0,96.0,81.0,32.0,791.0,429.0,679.0,426.0,404.0,169.0,21.0,37.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
18759.0,9218.0,23.0,17.0,52.0,97.0,91.0,97.0,155.0,142.0,2408.0,1093.0,2108.0,721.0,1419.0,542.0,130.0,123.0,9541.0,59.0,28.0,32.0,95.0,73.0,144.0,206.0,127.0,2105.0,979.0,1834.0,1217.0,1578.0,866.0,147.0,51.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
1522.0,771.0,7.0,0.0,0.0,14.0,0.0,8.0,7.0,12.0,289.0,94.0,159.0,82.0,51.0,9.0,21.0,18.0,751.0,9.0,0.0,0.0,34.0,10.0,25.0,25.0,8.0,191.0,93.0,149.0,71.0,95.0,30.0,11.0,0.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
761.0,412.0,3.0,0.0,0.0,3.0,5.0,8.0,19.0,36.0,121.0,57.0,77.0,26.0,30.0,10.0,3.0,14.0,349.0,4.0,0.0,0.0,0.0,0.0,17.0,25.0,19.0,85.0,32.0,82.0,18.0,52.0,15.0,0.0,0.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
802.0,356.0,0.0,0.0,0.0,3.0,6.0,17.0,74.0,0.0,90.0,24.0,82.0,5.0,55.0,0.0,0.0,0.0,446.0,0.0,0.0,7.0,9.0,0.0,22.0,22.0,0.0,147.0,23.0,145.0,57.0,4.0,10.0,0.0,0.0,"Powers CCD, Coos County, Oregon",011,92567,41
5294.0,2665.0,58.0,0.0,0.0,8.0,22.0,36.0,111.0,148.0,582.0,229.0,646.0,136.0,286.0,211.0,124.0,68.0,2629.0,49.0,0.0,0.0,24.0,47.0,55.0,11.0,120.0,860.0,223.0,577.0,203.0,348.0,92.0,20.0,0.0,"Bandon CCD, Coos County, Oregon",011,90221,41
3663.0,1726.0,24.0,6.0,0.0,7.0,29.0,79.0,45.0,61.0,649.0,135.0,235.0,113.0,286.0,39.0,18.0,0.0,1937.0,11.0,0.0,0.0,32.0,19.0,83.0,60.0,57.0,723.0,278.0,297.0,134.0,167.0,76.0,0.0,0.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
21908.0,10191.0,105.0,18.0,16.0,148.0,115.0,293.0,206.0,127.0,3236.0,1049.0,1981.0,944.0,1016.0,573.0,219.0,145.0,11717.0,25.0,3.0,28.0,98.0,117.0,266.0,263.0,258.0,3438.0,1308.0,2380.0,1128.0,1296.0,911.0,112.0,86.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
4386.0,2264.0,6.0,20.0,28.0,58.0,0.0,122.0,62.0,0.0,739.0,148.0,369.0,205.0,371.0,111.0,14.0,11.0,2122.0,15.0,0.0,0.0,0.0,33.0,3.0,12.0,44.0,479.0,229.0,455.0,324.0,346.0,172.0,0.0,10.0,"Eastside CCD, Coos County, Oregon",011,91003,41
6145.0,3285.0,80.0,73.0,0.0,7.0,72.0,15.0,85.0,40.0,1231.0,424.0,602.0,223.0,306.0,90.0,20.0,17.0,2860.0,0.0,0.0,0.0,25.0,55.0,21.0,44.0,32.0,890.0,635.0,542.0,262.0,201.0,101.0,0.0,52.0,"Coquille CCD, Coos County, Oregon",011,90646,41
4502.0,2339.0,24.0,11.0,18.0,59.0,37.0,41.0,76.0,42.0,903.0,178.0,430.0,118.0,300.0,0.0,62.0,40.0,2163.0,0.0,0.0,0.0,0.0,73.0,31.0,53.0,27.0,567.0,250.0,604.0,251.0,216.0,48.0,25.0,18.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
2505.0,1184.0,0.0,0.0,0.0,9.0,0.0,27.0,58.0,23.0,364.0,124.0,223.0,69.0,206.0,59.0,4.0,18.0,1321.0,3.0,0.0,0.0,6.0,13.0,3.0,59.0,35.0,365.0,195.0,189.0,102.0,203.0,83.0,62.0,3.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Agness CCD, Curry County, Oregon",015,90051,41
7053.0,3294.0,65.0,0.0,0.0,76.0,0.0,1.0,91.0,56.0,1097.0,283.0,484.0,373.0,416.0,181.0,77.0,94.0,3759.0,23.0,39.0,0.0,26.0,33.0,12.0,85.0,33.0,1050.0,451.0,675.0,377.0,657.0,188.0,86.0,24.0,"Brookings CCD, Curry County, Oregon",015,90357,41
4268.0,1992.0,4.0,3.0,10.0,16.0,0.0,43.0,54.0,67.0,574.0,211.0,355.0,228.0,252.0,79.0,80.0,16.0,2276.0,6.0,0.0,0.0,17.0,31.0,36.0,69.0,6.0,520.0,249.0,504.0,292.0,265.0,181.0,37.0,63.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
4015.0,2033.0,45.0,45.0,0.0,64.0,2.0,32.0,37.0,13.0,719.0,263.0,276.0,79.0,348.0,95.0,0.0,15.0,1982.0,14.0,24.0,33.0,111.0,133.0,18.0,89.0,9.0,507.0,221.0,232.0,197.0,317.0,41.0,0.0,36.0,"Harbor CCD, Curry County, Oregon",015,91275,41
744.0,349.0,2.0,0.0,0.0,13.0,0.0,18.0,0.0,2.0,108.0,25.0,98.0,29.0,36.0,18.0,0.0,0.0,395.0,13.0,0.0,0.0,0.0,24.0,11.0,2.0,10.0,119.0,13.0,103.0,26.0,47.0,27.0,0.0,0.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
629.0,318.0,2.0,0.0,0.0,8.0,5.0,14.0,0.0,2.0,136.0,31.0,51.0,6.0,46.0,17.0,0.0,0.0,311.0,0.0,0.0,3.0,0.0,5.0,3.0,13.0,2.0,130.0,21.0,45.0,16.0,71.0,2.0,0.0,0.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
1241.0,711.0,13.0,41.0,100.0,0.0,29.0,32.0,13.0,0.0,143.0,34.0,31.0,61.0,167.0,34.0,0.0,13.0,530.0,0.0,24.0,0.0,18.0,44.0,0.0,0.0,13.0,86.0,37.0,98.0,111.0,59.0,26.0,0.0,14.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
3928.0,1943.0,147.0,213.0,124.0,96.0,55.0,20.0,0.0,42.0,417.0,137.0,211.0,102.0,265.0,88.0,17.0,9.0,1985.0,101.0,56.0,86.0,83.0,144.0,0.0,52.0,11.0,597.0,92.0,210.0,149.0,292.0,44.0,21.0,47.0,"Odell CCD, Hood River County, Oregon",027,92380,41
748.0,349.0,5.0,21.0,20.0,0.0,0.0,15.0,11.0,10.0,52.0,62.0,33.0,12.0,88.0,20.0,0.0,0.0,399.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,78.0,19.0,111.0,11.0,74.0,47.0,25.0,7.0,"Dee CCD, Hood River County, Oregon",027,90850,41
924.0,448.0,2.0,0.0,0.0,9.0,0.0,21.0,0.0,2.0,149.0,37.0,107.0,49.0,57.0,15.0,0.0,0.0,476.0,0.0,0.0,16.0,7.0,0.0,29.0,11.0,0.0,146.0,47.0,147.0,22.0,25.0,20.0,6.0,0.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
8574.0,4146.0,105.0,20.0,169.0,110.0,14.0,84.0,154.0,46.0,989.0,155.0,603.0,287.0,845.0,359.0,156.0,50.0,4428.0,56.0,164.0,45.0,56.0,92.0,159.0,38.0,63.0,815.0,215.0,805.0,148.0,992.0,631.0,89.0,60.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
1402.0,703.0,0.0,0.0,0.0,13.0,0.0,35.0,32.0,10.0,336.0,25.0,189.0,37.0,26.0,0.0,0.0,0.0,699.0,0.0,0.0,0.0,32.0,0.0,43.0,39.0,19.0,322.0,14.0,157.0,38.0,35.0,0.0,0.0,0.0,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
226.0,123.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,23.0,2.0,57.0,3.0,17.0,11.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,5.0,27.0,2.0,24.0,23.0,0.0,0.0,"Warner Valley CCD, Lake County, Oregon",037,93417,41
399.0,204.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,73.0,4.0,53.0,32.0,20.0,5.0,4.0,2.0,195.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,75.0,9.0,44.0,22.0,24.0,9.0,0.0,3.0,"Summer Lake CCD, Lake County, Oregon",037,93145,41
3798.0,2122.0,5.0,14.0,22.0,33.0,79.0,14.0,35.0,44.0,867.0,194.0,310.0,170.0,187.0,135.0,10.0,3.0,1676.0,2.0,0.0,4.0,12.0,47.0,247.0,16.0,65.0,331.0,164.0,235.0,231.0,267.0,44.0,11.0,0.0,"Lakeview CCD, Lake County, Oregon",037,91632,41
2732.0,1344.0,0.0,0.0,0.0,0.0,0.0,17.0,74.0,33.0,380.0,73.0,300.0,75.0,245.0,80.0,48.0,19.0,1388.0,10.0,0.0,13.0,0.0,0.0,32.0,22.0,9.0,389.0,77.0,155.0,158.0,306.0,139.0,63.0,15.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
2150.0,1100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,49.0,179.0,48.0,259.0,53.0,353.0,55.0,94.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,13.0,168.0,62.0,211.0,52.0,394.0,40.0,50.0,13.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
1719.0,877.0,0.0,15.0,0.0,7.0,17.0,9.0,9.0,10.0,308.0,78.0,123.0,65.0,149.0,60.0,21.0,6.0,842.0,0.0,0.0,0.0,6.0,2.0,24.0,5.0,22.0,219.0,98.0,117.0,66.0,214.0,57.0,7.0,5.0,"Cove CCD, Union County, Oregon",061,90714,41
112.0,57.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,9.0,19.0,0.0,8.0,0.0,0.0,"Starkey CCD, Union County, Oregon",061,93111,41
2237.0,1095.0,4.0,0.0,0.0,3.0,0.0,10.0,27.0,24.0,466.0,94.0,263.0,59.0,78.0,42.0,13.0,12.0,1142.0,0.0,4.0,0.0,8.0,0.0,12.0,22.0,11.0,437.0,140.0,185.0,122.0,152.0,41.0,8.0,0.0,"Elgin CCD, Union County, Oregon",061,91037,41
10803.0,5122.0,29.0,10.0,36.0,20.0,32.0,136.0,49.0,102.0,1531.0,390.0,937.0,407.0,979.0,301.0,89.0,74.0,5681.0,94.0,12.0,8.0,100.0,24.0,26.0,26.0,42.0,1947.0,486.0,954.0,539.0,927.0,294.0,143.0,59.0,"La Grande CCD, Union County, Oregon",061,91615,41
2290.0,1147.0,2.0,44.0,0.0,13.0,7.0,44.0,7.0,24.0,372.0,156.0,186.0,79.0,186.0,22.0,1.0,4.0,1143.0,6.0,0.0,23.0,0.0,0.0,42.0,17.0,8.0,435.0,90.0,245.0,124.0,94.0,38.0,21.0,0.0,"Union CCD, Union County, Oregon",061,93281,41
1114.0,597.0,6.0,5.0,12.0,44.0,0.0,19.0,15.0,13.0,188.0,27.0,110.0,8.0,134.0,15.0,0.0,1.0,517.0,6.0,0.0,4.0,6.0,2.0,17.0,9.0,2.0,183.0,47.0,90.0,50.0,79.0,16.0,6.0,0.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
1906.0,909.0,0.0,0.0,0.0,15.0,11.0,3.0,50.0,17.0,360.0,54.0,162.0,52.0,129.0,56.0,0.0,0.0,997.0,16.0,0.0,0.0,0.0,15.0,19.0,2.0,5.0,435.0,75.0,191.0,36.0,164.0,31.0,0.0,8.0,"East Marion CCD, Marion County, Oregon",047,90994,41
5068.0,2531.0,0.0,4.0,54.0,32.0,19.0,42.0,54.0,23.0,552.0,225.0,462.0,238.0,578.0,148.0,59.0,41.0,2537.0,3.0,0.0,35.0,59.0,10.0,17.0,65.0,5.0,625.0,352.0,404.0,307.0,443.0,158.0,54.0,0.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
4206.0,2227.0,112.0,1.0,13.0,19.0,88.0,24.0,22.0,81.0,680.0,171.0,434.0,120.0,325.0,81.0,26.0,30.0,1979.0,52.0,7.0,36.0,7.0,32.0,37.0,28.0,16.0,662.0,147.0,295.0,120.0,378.0,162.0,0.0,0.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
