B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
223.0,109.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,1.0,56.0,10.0,5.0,9.0,7.0,4.0,0.0,0.0,114.0,0.0,0.0,0.0,3.0,6.0,0.0,8.0,6.0,56.0,8.0,4.0,13.0,10.0,0.0,0.0,0.0,"St. Petersburg borough, Clarion County, Pennsylvania",031,67384,42
432.0,205.0,0.0,0.0,0.0,2.0,0.0,11.0,29.0,4.0,105.0,12.0,16.0,11.0,10.0,5.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,128.0,8.0,19.0,22.0,31.0,13.0,0.0,0.0,"Strattanville borough, Clarion County, Pennsylvania",031,74728,42
861.0,419.0,4.0,0.0,0.0,28.0,8.0,6.0,11.0,6.0,248.0,12.0,3.0,30.0,38.0,22.0,0.0,3.0,442.0,3.0,0.0,0.0,9.0,4.0,10.0,20.0,6.0,220.0,3.0,49.0,39.0,50.0,25.0,0.0,4.0,"Porter township, Clarion County, Pennsylvania",031,62144,42
7143.0,3391.0,5.0,4.0,0.0,20.0,21.0,60.0,60.0,46.0,1271.0,134.0,353.0,321.0,741.0,271.0,57.0,27.0,3752.0,24.0,11.0,0.0,49.0,17.0,39.0,37.0,47.0,1237.0,142.0,452.0,375.0,952.0,309.0,55.0,6.0,"Douglass township, Montgomery County, Pennsylvania",091,19672,42
11328.0,5270.0,38.0,0.0,38.0,124.0,12.0,33.0,91.0,49.0,1235.0,238.0,642.0,338.0,1523.0,641.0,164.0,104.0,6058.0,51.0,51.0,34.0,29.0,67.0,102.0,99.0,91.0,1740.0,335.0,394.0,480.0,1576.0,781.0,111.0,117.0,"East Norriton township, Montgomery County, Pennsylvania",091,21600,42
3461.0,1717.0,7.0,0.0,0.0,0.0,11.0,36.0,12.0,27.0,532.0,125.0,323.0,138.0,352.0,117.0,36.0,1.0,1744.0,0.0,0.0,0.0,0.0,15.0,35.0,0.0,16.0,542.0,109.0,225.0,153.0,383.0,194.0,26.0,46.0,"Lower Frederick township, Montgomery County, Pennsylvania",091,44912,42
10710.0,5119.0,26.0,1.0,0.0,40.0,23.0,30.0,26.0,79.0,1284.0,256.0,514.0,256.0,1676.0,700.0,131.0,77.0,5591.0,23.0,16.0,0.0,23.0,0.0,57.0,61.0,30.0,1327.0,317.0,469.0,429.0,1598.0,995.0,102.0,144.0,"Lower Salford township, Montgomery County, Pennsylvania",091,45096,42
1822.0,841.0,5.0,0.0,0.0,12.0,14.0,0.0,7.0,15.0,283.0,69.0,125.0,40.0,195.0,53.0,0.0,23.0,981.0,5.0,0.0,0.0,18.0,0.0,5.0,4.0,5.0,334.0,93.0,106.0,80.0,230.0,97.0,0.0,4.0,"Rockledge borough, Montgomery County, Pennsylvania",091,65568,42
13866.0,6295.0,36.0,13.0,28.0,64.0,15.0,85.0,19.0,62.0,1012.0,208.0,652.0,332.0,2054.0,1000.0,439.0,276.0,7571.0,26.0,15.0,0.0,92.0,27.0,74.0,38.0,83.0,1460.0,297.0,678.0,376.0,2292.0,1630.0,215.0,268.0,"Springfield township, Montgomery County, Pennsylvania",091,73088,42
13352.0,6395.0,21.0,29.0,44.0,34.0,29.0,36.0,79.0,43.0,1233.0,395.0,564.0,406.0,2105.0,1038.0,185.0,154.0,6957.0,77.0,0.0,27.0,56.0,59.0,65.0,60.0,37.0,1848.0,381.0,765.0,458.0,1870.0,964.0,154.0,136.0,"Towamencin township, Montgomery County, Pennsylvania",091,77152,42
559.0,320.0,0.0,0.0,0.0,6.0,7.0,21.0,8.0,6.0,177.0,8.0,30.0,12.0,25.0,12.0,0.0,8.0,239.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,117.0,16.0,33.0,20.0,4.0,27.0,2.0,6.0,"Manchester township, Wayne County, Pennsylvania",127,46856,42
1110.0,527.0,0.0,0.0,0.0,0.0,4.0,11.0,6.0,9.0,270.0,24.0,14.0,43.0,73.0,51.0,20.0,2.0,583.0,0.0,0.0,0.0,0.0,19.0,0.0,7.0,3.0,222.0,45.0,56.0,45.0,93.0,72.0,6.0,15.0,"Dyberry township, Wayne County, Pennsylvania",127,20576,42
2899.0,1389.0,11.0,0.0,9.0,0.0,0.0,26.0,22.0,34.0,511.0,112.0,263.0,87.0,173.0,98.0,43.0,0.0,1510.0,9.0,0.0,0.0,8.0,12.0,31.0,8.0,12.0,622.0,95.0,207.0,142.0,205.0,122.0,13.0,24.0,"Paupack township, Wayne County, Pennsylvania",127,58480,42
194.0,100.0,3.0,0.0,6.0,5.0,0.0,0.0,0.0,2.0,50.0,4.0,17.0,2.0,11.0,0.0,0.0,0.0,94.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,44.0,7.0,12.0,10.0,11.0,3.0,0.0,0.0,"Prompton borough, Wayne County, Pennsylvania",127,62744,42
1143.0,576.0,6.0,0.0,0.0,14.0,6.0,2.0,9.0,3.0,297.0,22.0,76.0,19.0,59.0,51.0,0.0,12.0,567.0,6.0,0.0,0.0,3.0,2.0,5.0,24.0,6.0,290.0,31.0,66.0,36.0,51.0,44.0,3.0,0.0,"South Canaan township, Wayne County, Pennsylvania",127,72024,42
417.0,225.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,9.0,106.0,5.0,47.0,12.0,27.0,0.0,2.0,3.0,192.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,88.0,15.0,7.0,9.0,21.0,37.0,0.0,9.0,"Buckingham township, Wayne County, Pennsylvania",127,09824,42
959.0,450.0,8.0,0.0,0.0,10.0,10.0,28.0,33.0,3.0,152.0,21.0,55.0,28.0,52.0,30.0,11.0,9.0,509.0,0.0,0.0,5.0,0.0,2.0,19.0,21.0,11.0,170.0,64.0,53.0,52.0,80.0,21.0,11.0,0.0,"Hawley borough, Wayne County, Pennsylvania",127,33200,42
1143.0,606.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,0.0,304.0,27.0,104.0,20.0,98.0,13.0,6.0,10.0,537.0,0.0,0.0,0.0,10.0,3.0,15.0,3.0,6.0,233.0,27.0,42.0,44.0,109.0,34.0,4.0,7.0,"Mount Pleasant township, Wayne County, Pennsylvania",127,51872,42
156.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,30.0,1.0,18.0,2.0,4.0,4.0,0.0,2.0,71.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,36.0,5.0,3.0,4.0,17.0,2.0,0.0,0.0,"Starrucca borough, Wayne County, Pennsylvania",127,73784,42
954.0,445.0,0.0,12.0,0.0,5.0,0.0,16.0,15.0,6.0,199.0,14.0,86.0,38.0,39.0,13.0,0.0,2.0,509.0,2.0,0.0,8.0,36.0,14.0,14.0,15.0,21.0,211.0,12.0,40.0,68.0,50.0,13.0,2.0,3.0,"Waymart borough, Wayne County, Pennsylvania",127,81712,42
1247.0,581.0,10.0,0.0,0.0,5.0,4.0,9.0,14.0,5.0,279.0,26.0,64.0,46.0,89.0,21.0,9.0,0.0,666.0,4.0,0.0,0.0,0.0,30.0,19.0,0.0,13.0,294.0,48.0,74.0,55.0,76.0,53.0,0.0,0.0,"Cherry Ridge township, Wayne County, Pennsylvania",127,13096,42
473.0,252.0,0.0,0.0,0.0,8.0,7.0,2.0,9.0,3.0,118.0,15.0,21.0,28.0,16.0,10.0,10.0,5.0,221.0,0.0,0.0,0.0,2.0,0.0,11.0,9.0,2.0,112.0,6.0,16.0,19.0,30.0,14.0,0.0,0.0,"Lebanon township, Wayne County, Pennsylvania",127,42176,42
506.0,273.0,2.0,0.0,0.0,3.0,6.0,3.0,10.0,3.0,128.0,11.0,29.0,17.0,45.0,9.0,7.0,0.0,233.0,3.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,78.0,14.0,31.0,33.0,33.0,27.0,2.0,0.0,"Oregon township, Wayne County, Pennsylvania",127,57000,42
584.0,326.0,0.0,0.0,0.0,4.0,19.0,8.0,0.0,4.0,118.0,11.0,54.0,21.0,62.0,14.0,3.0,8.0,258.0,0.0,0.0,0.0,12.0,7.0,0.0,4.0,0.0,85.0,28.0,32.0,33.0,42.0,15.0,0.0,0.0,"Preston township, Wayne County, Pennsylvania",127,62600,42
3173.0,1626.0,28.0,0.0,10.0,9.0,19.0,86.0,31.0,33.0,647.0,75.0,215.0,108.0,199.0,116.0,22.0,28.0,1547.0,15.0,0.0,0.0,20.0,38.0,0.0,91.0,0.0,588.0,143.0,169.0,104.0,132.0,238.0,0.0,9.0,"Salem township, Wayne County, Pennsylvania",127,67488,42
2757.0,1389.0,0.0,0.0,0.0,31.0,15.0,0.0,56.0,36.0,611.0,86.0,176.0,56.0,217.0,80.0,25.0,0.0,1368.0,0.0,0.0,0.0,34.0,11.0,0.0,23.0,35.0,524.0,142.0,136.0,167.0,156.0,132.0,8.0,0.0,"Damascus township, Wayne County, Pennsylvania",127,18104,42
3581.0,3243.0,129.0,12.0,15.0,56.0,168.0,166.0,111.0,130.0,1584.0,373.0,274.0,76.0,100.0,25.0,19.0,5.0,338.0,3.0,10.0,0.0,2.0,2.0,4.0,0.0,7.0,122.0,23.0,57.0,29.0,29.0,35.0,0.0,15.0,"Canaan township, Wayne County, Pennsylvania",127,11056,42
2979.0,1045.0,24.0,0.0,0.0,0.0,36.0,7.0,17.0,0.0,436.0,108.0,107.0,89.0,87.0,118.0,16.0,0.0,1934.0,16.0,0.0,58.0,19.0,0.0,58.0,43.0,35.0,817.0,103.0,255.0,97.0,317.0,72.0,26.0,18.0,"Honesdale borough, Wayne County, Pennsylvania",127,35520,42
179.0,84.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,0.0,11.0,15.0,16.0,8.0,4.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,30.0,1.0,7.0,13.0,21.0,15.0,2.0,1.0,"Bethany borough, Wayne County, Pennsylvania",127,05976,42
2126.0,1108.0,5.0,0.0,0.0,29.0,15.0,42.0,28.0,6.0,444.0,95.0,153.0,77.0,176.0,28.0,10.0,0.0,1018.0,8.0,0.0,0.0,34.0,21.0,14.0,24.0,33.0,405.0,52.0,123.0,113.0,134.0,37.0,0.0,20.0,"Texas township, Wayne County, Pennsylvania",127,76424,42
875.0,423.0,0.0,0.0,0.0,19.0,3.0,3.0,0.0,0.0,171.0,32.0,62.0,54.0,62.0,7.0,7.0,3.0,452.0,0.0,0.0,0.0,3.0,0.0,11.0,15.0,4.0,182.0,27.0,71.0,49.0,43.0,41.0,6.0,0.0,"Palmyra township, Wayne County, Pennsylvania",127,57736,42
96.0,43.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,26.0,2.0,4.0,3.0,3.0,0.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,31.0,6.0,1.0,2.0,6.0,3.0,0.0,0.0,"Pleasantville borough, Bedford County, Pennsylvania",009,61496,42
2140.0,937.0,0.0,0.0,0.0,0.0,9.0,30.0,17.0,19.0,356.0,66.0,116.0,65.0,153.0,75.0,23.0,8.0,1203.0,0.0,0.0,0.0,42.0,0.0,9.0,23.0,52.0,560.0,70.0,163.0,65.0,55.0,96.0,50.0,18.0,"Bedford borough, Bedford County, Pennsylvania",009,04944,42
266.0,135.0,2.0,0.0,0.0,6.0,1.0,2.0,6.0,7.0,79.0,7.0,7.0,7.0,6.0,1.0,2.0,2.0,131.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,79.0,6.0,20.0,5.0,6.0,3.0,0.0,2.0,"Lincoln township, Bedford County, Pennsylvania",009,43416,42
408.0,214.0,2.0,0.0,2.0,3.0,4.0,12.0,12.0,2.0,121.0,18.0,13.0,8.0,12.0,2.0,0.0,3.0,194.0,4.0,0.0,3.0,2.0,6.0,4.0,5.0,11.0,78.0,17.0,42.0,15.0,2.0,2.0,3.0,0.0,"Mann township, Bedford County, Pennsylvania",009,46928,42
1349.0,693.0,3.0,0.0,0.0,29.0,31.0,16.0,4.0,2.0,377.0,34.0,48.0,66.0,59.0,12.0,9.0,3.0,656.0,0.0,0.0,0.0,36.0,6.0,10.0,17.0,17.0,323.0,19.0,59.0,72.0,68.0,21.0,2.0,6.0,"South Woodbury township, Bedford County, Pennsylvania",009,72656,42
