B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
1851.0,922.0,17.0,0.0,0.0,39.0,0.0,29.0,0.0,13.0,164.0,13.0,111.0,96.0,302.0,82.0,9.0,47.0,929.0,6.0,0.0,0.0,0.0,0.0,24.0,0.0,15.0,296.0,52.0,155.0,110.0,197.0,74.0,0.0,0.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
9761.0,4362.0,95.0,48.0,86.0,100.0,176.0,73.0,150.0,91.0,1606.0,266.0,551.0,309.0,442.0,204.0,59.0,106.0,5399.0,66.0,0.0,78.0,183.0,252.0,257.0,241.0,67.0,1808.0,382.0,624.0,475.0,536.0,338.0,59.0,33.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
14347.0,6696.0,119.0,60.0,130.0,194.0,235.0,286.0,237.0,235.0,2387.0,424.0,985.0,487.0,637.0,244.0,27.0,9.0,7651.0,123.0,35.0,152.0,254.0,237.0,211.0,187.0,84.0,2682.0,453.0,1261.0,741.0,768.0,459.0,4.0,0.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
1638.0,886.0,17.0,26.0,15.0,38.0,59.0,0.0,83.0,29.0,262.0,14.0,144.0,91.0,103.0,0.0,5.0,0.0,752.0,16.0,0.0,34.0,39.0,50.0,68.0,8.0,15.0,262.0,52.0,83.0,31.0,48.0,46.0,0.0,0.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
1620.0,773.0,17.0,0.0,11.0,46.0,35.0,60.0,12.0,0.0,313.0,47.0,90.0,45.0,74.0,11.0,12.0,0.0,847.0,16.0,0.0,0.0,36.0,22.0,40.0,29.0,26.0,286.0,39.0,153.0,68.0,77.0,41.0,0.0,14.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
4492.0,2709.0,3.0,0.0,32.0,157.0,102.0,201.0,200.0,109.0,794.0,198.0,406.0,206.0,195.0,85.0,21.0,0.0,1783.0,8.0,3.0,60.0,3.0,23.0,144.0,50.0,11.0,649.0,44.0,329.0,161.0,228.0,67.0,0.0,3.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
5921.0,2841.0,30.0,6.0,23.0,46.0,39.0,128.0,75.0,86.0,855.0,93.0,368.0,280.0,404.0,251.0,28.0,129.0,3080.0,35.0,14.0,39.0,51.0,16.0,106.0,121.0,66.0,836.0,111.0,374.0,267.0,518.0,426.0,37.0,63.0,"Central CCD, Pickens County, South Carolina",077,90533,45
26327.0,12406.0,125.0,44.0,124.0,303.0,328.0,543.0,389.0,207.0,3834.0,945.0,1687.0,1111.0,1952.0,492.0,188.0,134.0,13921.0,88.0,116.0,138.0,354.0,293.0,563.0,384.0,268.0,4293.0,1163.0,2009.0,1761.0,1503.0,825.0,137.0,26.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
10741.0,5260.0,33.0,9.0,87.0,325.0,171.0,311.0,216.0,165.0,1709.0,309.0,864.0,534.0,381.0,115.0,12.0,19.0,5481.0,117.0,28.0,82.0,197.0,188.0,153.0,75.0,102.0,1712.0,337.0,1104.0,630.0,573.0,159.0,5.0,19.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
7164.0,3622.0,44.0,0.0,12.0,62.0,30.0,224.0,94.0,119.0,1304.0,208.0,465.0,365.0,487.0,159.0,37.0,12.0,3542.0,15.0,0.0,44.0,124.0,136.0,51.0,66.0,67.0,1329.0,287.0,464.0,426.0,349.0,144.0,24.0,16.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
7677.0,3829.0,68.0,15.0,37.0,104.0,93.0,86.0,158.0,71.0,1158.0,204.0,599.0,335.0,581.0,157.0,109.0,54.0,3848.0,57.0,2.0,41.0,71.0,121.0,140.0,43.0,102.0,1158.0,126.0,515.0,476.0,711.0,194.0,53.0,38.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
7044.0,3494.0,32.0,11.0,14.0,45.0,10.0,50.0,24.0,17.0,473.0,19.0,459.0,103.0,1008.0,596.0,94.0,539.0,3550.0,14.0,0.0,2.0,11.0,23.0,0.0,31.0,18.0,570.0,206.0,424.0,320.0,816.0,813.0,113.0,189.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
8783.0,4191.0,72.0,33.0,36.0,92.0,126.0,222.0,134.0,162.0,1493.0,283.0,405.0,446.0,469.0,118.0,34.0,66.0,4592.0,48.0,4.0,60.0,94.0,61.0,86.0,178.0,100.0,1654.0,425.0,489.0,572.0,557.0,201.0,48.0,15.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
2686.0,1364.0,35.0,5.0,14.0,65.0,8.0,99.0,117.0,2.0,594.0,60.0,48.0,164.0,104.0,39.0,0.0,10.0,1322.0,44.0,16.0,22.0,71.0,21.0,42.0,4.0,0.0,422.0,80.0,219.0,237.0,71.0,52.0,0.0,21.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
1313.0,617.0,19.0,0.0,5.0,32.0,12.0,17.0,14.0,9.0,198.0,56.0,113.0,57.0,71.0,14.0,0.0,0.0,696.0,14.0,0.0,0.0,29.0,30.0,10.0,25.0,4.0,270.0,18.0,164.0,80.0,20.0,32.0,0.0,0.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
810.0,379.0,0.0,0.0,0.0,0.0,13.0,0.0,20.0,16.0,240.0,0.0,35.0,25.0,30.0,0.0,0.0,0.0,431.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,25.0,183.0,34.0,9.0,33.0,95.0,17.0,26.0,0.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
1617.0,765.0,13.0,9.0,0.0,42.0,1.0,12.0,19.0,34.0,324.0,64.0,79.0,101.0,57.0,10.0,0.0,0.0,852.0,0.0,9.0,0.0,49.0,0.0,0.0,28.0,9.0,299.0,54.0,125.0,122.0,69.0,70.0,18.0,0.0,"West Springs CCD, Union County, South Carolina",087,93679,45
1862.0,820.0,24.0,0.0,6.0,46.0,30.0,54.0,35.0,45.0,285.0,9.0,131.0,55.0,61.0,29.0,0.0,10.0,1042.0,12.0,0.0,0.0,35.0,7.0,37.0,37.0,23.0,486.0,39.0,147.0,107.0,77.0,35.0,0.0,0.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
11398.0,5205.0,87.0,12.0,11.0,168.0,118.0,270.0,230.0,162.0,2168.0,218.0,756.0,320.0,453.0,183.0,24.0,25.0,6193.0,52.0,52.0,70.0,130.0,169.0,295.0,260.0,147.0,2306.0,356.0,975.0,639.0,458.0,223.0,22.0,39.0,"Union CCD, Union County, South Carolina",087,93497,45
3273.0,1397.0,23.0,0.0,34.0,48.0,34.0,64.0,135.0,33.0,637.0,44.0,178.0,93.0,47.0,6.0,21.0,0.0,1876.0,11.0,11.0,8.0,51.0,46.0,89.0,149.0,13.0,716.0,86.0,273.0,125.0,123.0,159.0,16.0,0.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
1661.0,789.0,7.0,0.0,28.0,20.0,39.0,19.0,20.0,18.0,285.0,68.0,114.0,83.0,72.0,0.0,16.0,0.0,872.0,11.0,0.0,32.0,9.0,0.0,27.0,63.0,9.0,349.0,63.0,136.0,43.0,100.0,27.0,0.0,3.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
1673.0,633.0,13.0,29.0,7.0,4.0,9.0,39.0,5.0,13.0,293.0,61.0,67.0,49.0,23.0,16.0,5.0,0.0,1040.0,23.0,4.0,47.0,48.0,2.0,29.0,25.0,9.0,357.0,40.0,263.0,112.0,48.0,33.0,0.0,0.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
