B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
4467.0,2328.0,17.0,0.0,90.0,16.0,12.0,32.0,10.0,2.0,546.0,121.0,553.0,263.0,534.0,60.0,51.0,21.0,2139.0,3.0,0.0,88.0,41.0,18.0,12.0,17.0,3.0,527.0,184.0,321.0,223.0,505.0,134.0,39.0,24.0,"Bow CCD, Skagit County, Washington",057,90272,53
2270.0,1065.0,5.0,2.0,0.0,1.0,14.0,14.0,21.0,6.0,183.0,82.0,176.0,78.0,285.0,142.0,30.0,26.0,1205.0,5.0,3.0,11.0,6.0,5.0,35.0,31.0,14.0,202.0,97.0,257.0,127.0,222.0,152.0,33.0,5.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
23734.0,11362.0,303.0,127.0,489.0,214.0,292.0,232.0,262.0,273.0,3161.0,803.0,1747.0,829.0,1769.0,610.0,177.0,74.0,12372.0,379.0,160.0,479.0,181.0,229.0,86.0,228.0,221.0,2603.0,924.0,2644.0,1627.0,1761.0,673.0,89.0,88.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
9081.0,4380.0,93.0,85.0,41.0,12.0,0.0,23.0,188.0,91.0,1613.0,374.0,761.0,382.0,495.0,168.0,20.0,34.0,4701.0,137.0,132.0,77.0,45.0,50.0,99.0,33.0,119.0,1425.0,482.0,815.0,554.0,498.0,191.0,34.0,10.0,"Burlington CCD, Skagit County, Washington",057,90384,53
2515.0,1302.0,8.0,5.0,3.0,11.0,12.0,17.0,19.0,15.0,342.0,94.0,257.0,106.0,273.0,107.0,29.0,4.0,1213.0,9.0,0.0,0.0,0.0,0.0,5.0,35.0,0.0,295.0,97.0,234.0,175.0,224.0,114.0,25.0,0.0,"Conway CCD, Skagit County, Washington",057,90768,53
2442.0,1206.0,8.0,0.0,39.0,0.0,30.0,29.0,27.0,17.0,273.0,50.0,177.0,221.0,259.0,41.0,11.0,24.0,1236.0,10.0,0.0,23.0,0.0,0.0,10.0,22.0,18.0,236.0,94.0,263.0,187.0,205.0,141.0,20.0,7.0,"La Conner CCD, Skagit County, Washington",057,91536,53
2121.0,1073.0,9.0,0.0,0.0,5.0,33.0,46.0,29.0,23.0,380.0,91.0,225.0,119.0,84.0,27.0,0.0,2.0,1048.0,0.0,0.0,11.0,23.0,0.0,24.0,16.0,18.0,298.0,116.0,219.0,159.0,99.0,62.0,0.0,3.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
9017.0,4527.0,10.0,19.0,54.0,23.0,8.0,189.0,151.0,109.0,1621.0,240.0,825.0,472.0,598.0,150.0,48.0,10.0,4490.0,42.0,0.0,25.0,35.0,21.0,30.0,62.0,12.0,1838.0,408.0,857.0,557.0,321.0,177.0,94.0,11.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
1382.0,695.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,290.0,53.0,173.0,81.0,28.0,12.0,15.0,6.0,687.0,0.0,0.0,0.0,0.0,18.0,5.0,21.0,4.0,220.0,52.0,144.0,109.0,80.0,26.0,0.0,8.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
16210.0,7653.0,31.0,4.0,10.0,34.0,23.0,48.0,116.0,99.0,1546.0,600.0,1231.0,608.0,2008.0,849.0,255.0,191.0,8557.0,23.0,8.0,18.0,40.0,36.0,66.0,92.0,101.0,1721.0,775.0,1586.0,830.0,1956.0,995.0,217.0,93.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
