B15002_001E,B15002_002E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B15002_010E,B15002_011E,B15002_012E,B15002_013E,B15002_014E,B15002_015E,B15002_016E,B15002_017E,B15002_018E,B15002_019E,B15002_020E,B15002_021E,B15002_022E,B15002_023E,B15002_024E,B15002_025E,B15002_026E,B15002_027E,B15002_028E,B15002_029E,B15002_030E,B15002_031E,B15002_032E,B15002_033E,B15002_034E,B15002_035E,name,county,county subdivision,state
803.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,118.0,39.0,62.0,8.0,99.0,44.0,6.0,16.0,403.0,0.0,0.0,7.0,3.0,0.0,0.0,20.0,0.0,122.0,34.0,71.0,25.0,73.0,48.0,0.0,0.0,"Boulder Junction town, Vilas County, Wisconsin",125,08950,55
477.0,269.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,72.0,18.0,70.0,37.0,43.0,17.0,2.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,31.0,40.0,35.0,41.0,20.0,17.0,0.0,"Plum Lake town, Vilas County, Wisconsin",125,63625,55
1774.0,909.0,2.0,0.0,0.0,7.0,4.0,11.0,6.0,21.0,344.0,52.0,103.0,105.0,178.0,69.0,7.0,0.0,865.0,0.0,0.0,3.0,4.0,15.0,3.0,22.0,23.0,268.0,90.0,130.0,72.0,163.0,64.0,0.0,8.0,"Lincoln town, Vilas County, Wisconsin",125,44525,55
1512.0,730.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,31.0,301.0,49.0,74.0,88.0,83.0,56.0,12.0,4.0,782.0,1.0,0.0,0.0,0.0,8.0,3.0,25.0,8.0,170.0,53.0,131.0,156.0,160.0,60.0,7.0,0.0,"St. Germain town, Vilas County, Wisconsin",125,70725,55
2250.0,1048.0,8.0,0.0,0.0,0.0,8.0,0.0,34.0,31.0,308.0,52.0,254.0,115.0,164.0,53.0,21.0,0.0,1202.0,0.0,0.0,0.0,0.0,8.0,35.0,31.0,60.0,364.0,94.0,260.0,111.0,174.0,50.0,15.0,0.0,"Arbor Vitae town, Vilas County, Wisconsin",125,02450,55
4218.0,2194.0,28.0,0.0,8.0,43.0,28.0,87.0,10.0,0.0,1014.0,178.0,260.0,208.0,201.0,121.0,8.0,0.0,2024.0,1.0,0.0,0.0,73.0,39.0,59.0,24.0,45.0,748.0,97.0,319.0,272.0,268.0,54.0,7.0,18.0,"Prairie du Chien city, Crawford County, Wisconsin",023,65050,55
129.0,64.0,2.0,0.0,0.0,1.0,7.0,0.0,1.0,3.0,21.0,6.0,7.0,15.0,1.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,23.0,5.0,9.0,6.0,18.0,0.0,0.0,0.0,"Lynxville village, Crawford County, Wisconsin",023,46675,55
309.0,160.0,0.0,0.0,0.0,8.0,9.0,5.0,0.0,9.0,78.0,15.0,11.0,12.0,11.0,0.0,0.0,2.0,149.0,0.0,4.0,0.0,0.0,2.0,5.0,2.0,6.0,59.0,10.0,26.0,14.0,13.0,5.0,0.0,3.0,"Marietta town, Crawford County, Wisconsin",023,49275,55
273.0,136.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,3.0,65.0,10.0,13.0,10.0,16.0,5.0,0.0,0.0,137.0,0.0,0.0,0.0,10.0,4.0,0.0,4.0,0.0,69.0,13.0,6.0,9.0,17.0,5.0,0.0,0.0,"Eastman village, Crawford County, Wisconsin",023,21900,55
53.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,5.0,5.0,1.0,0.0,0.0,0.0,"Steuben village, Crawford County, Wisconsin",023,77175,55
