B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
26807.0,14979.0,14933.0,13688.0,1245.0,46.0,11828.0,"Marana CCD, Pima County, Arizona",019,92040,04
2967.0,1324.0,1324.0,1000.0,324.0,0.0,1643.0,"Ajo CCD, Pima County, Arizona",019,90051,04
710921.0,426535.0,421681.0,386736.0,34945.0,4854.0,284386.0,"Tucson CCD, Pima County, Arizona",019,93570,04
68189.0,33198.0,32874.0,30226.0,2648.0,324.0,34991.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
20083.0,7941.0,7930.0,7434.0,496.0,11.0,12142.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
321457.0,220160.0,219939.0,210090.0,9849.0,221.0,101297.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
2521606.0,1617149.0,1613278.0,1510825.0,102453.0,3871.0,904457.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
216908.0,141135.0,140892.0,134666.0,6226.0,243.0,75773.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
2666.0,1407.0,1407.0,1070.0,337.0,0.0,1259.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
3089.0,1776.0,1776.0,1108.0,668.0,0.0,1313.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
89951.0,30769.0,30669.0,28782.0,1887.0,100.0,59182.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
52505.0,32735.0,32505.0,30277.0,2228.0,230.0,19770.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
19946.0,8470.0,8470.0,7879.0,591.0,0.0,11476.0,"Payson CCD, Gila County, Arizona",007,92570,04
952.0,500.0,500.0,440.0,60.0,0.0,452.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
6587.0,3157.0,3157.0,2564.0,593.0,0.0,3430.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
14297.0,7624.0,7624.0,6921.0,703.0,0.0,6673.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
2585.0,500.0,500.0,483.0,17.0,0.0,2085.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
2932.0,1573.0,1573.0,1449.0,124.0,0.0,1359.0,"Pima CCD, Graham County, Arizona",009,92652,04
19944.0,10285.0,10285.0,9372.0,913.0,0.0,9659.0,"Safford CCD, Graham County, Arizona",009,92907,04
32478.0,17938.0,17910.0,16303.0,1607.0,28.0,14540.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
2657.0,1168.0,1168.0,1118.0,50.0,0.0,1489.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
9647.0,4249.0,4232.0,3995.0,237.0,17.0,5398.0,"Benson CCD, Cochise County, Arizona",003,90255,04
38452.0,22289.0,18912.0,17499.0,1413.0,3377.0,16163.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
7426.0,3616.0,3616.0,3297.0,319.0,0.0,3810.0,"Willcox CCD, Cochise County, Arizona",003,93825,04
11475.0,5520.0,5520.0,4762.0,758.0,0.0,5955.0,"Douglas CCD, Cochise County, Arizona",003,90969,04
24331.0,13217.0,12993.0,12245.0,748.0,224.0,11114.0,"Bisbee CCD, Cochise County, Arizona",003,90306,04
17483.0,7155.0,7155.0,6474.0,681.0,0.0,10328.0,"Parker CCD, La Paz County, Arizona",012,92480,04
8709.0,1120.0,1120.0,1031.0,89.0,0.0,7589.0,"Elfrida CCD, Cochise County, Arizona",003,91122,04
1332.0,602.0,602.0,575.0,27.0,0.0,730.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
441.0,261.0,261.0,164.0,97.0,0.0,180.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
1148.0,379.0,379.0,311.0,68.0,0.0,769.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
3646.0,1335.0,1334.0,1042.0,292.0,1.0,2311.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
