B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
16112.0,6960.0,6960.0,6376.0,584.0,0.0,9152.0,"Sonora CCD, Tuolumne County, California",109,93080,06
11442.0,6250.0,6250.0,5882.0,368.0,0.0,5192.0,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
10587.0,6317.0,6317.0,6072.0,245.0,0.0,4270.0,"Escalon CCD, San Joaquin County, California",077,90900,06
10558.0,7075.0,7075.0,6502.0,573.0,0.0,3483.0,"Thornton CCD, San Joaquin County, California",077,93340,06
4635.0,2884.0,2884.0,2642.0,242.0,0.0,1751.0,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
9303.0,5306.0,5306.0,4833.0,473.0,0.0,3997.0,"Lockeford CCD, San Joaquin County, California",077,91690,06
64798.0,39913.0,39823.0,36671.0,3152.0,90.0,24885.0,"Lodi CCD, San Joaquin County, California",077,91700,06
266812.0,154421.0,154325.0,135050.0,19275.0,96.0,112391.0,"Stockton CCD, San Joaquin County, California",077,93240,06
80876.0,49228.0,49112.0,44318.0,4794.0,116.0,31648.0,"Manteca CCD, San Joaquin County, California",077,91870,06
13644.0,8554.0,8554.0,8104.0,450.0,0.0,5090.0,"Ripon CCD, San Joaquin County, California",077,92620,06
85569.0,56188.0,56139.0,52072.0,4067.0,49.0,29381.0,"Tracy CCD, San Joaquin County, California",077,93400,06
7365.0,4127.0,4127.0,3800.0,327.0,0.0,3238.0,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
6223.0,3210.0,3210.0,2936.0,274.0,0.0,3013.0,"Jackson CCD, Amador County, California",005,91430,06
8735.0,4012.0,3978.0,3543.0,435.0,34.0,4723.0,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
9957.0,3500.0,3500.0,3165.0,335.0,0.0,6457.0,"Ione CCD, Amador County, California",005,91410,06
6983.0,4078.0,4078.0,3304.0,774.0,0.0,2905.0,"Dos Palos CCD, Merced County, California",047,90720,06
5839.0,3493.0,3493.0,2881.0,612.0,0.0,2346.0,"Planada-Le Grand CCD, Merced County, California",047,92500,06
29749.0,18226.0,18218.0,15633.0,2585.0,8.0,11523.0,"Los Banos CCD, Merced County, California",047,91760,06
77465.0,44076.0,43973.0,36764.0,7209.0,103.0,33389.0,"Merced CCD, Merced County, California",047,91960,06
749.0,430.0,430.0,385.0,45.0,0.0,319.0,"Snelling CCD, Merced County, California",047,93050,06
7776.0,4673.0,4673.0,4398.0,275.0,0.0,3103.0,"Hilmar-Irwin CCD, Merced County, California",047,91290,06
6638.0,3819.0,3819.0,3311.0,508.0,0.0,2819.0,"Gustine CCD, Merced County, California",047,91210,06
8011.0,3947.0,3947.0,3648.0,299.0,0.0,4064.0,"Lakeport CCD, Lake County, California",033,91540,06
10828.0,5224.0,5224.0,4665.0,559.0,0.0,5604.0,"Mariposa CCD, Mariposa County, California",043,91880,06
2692.0,1167.0,1167.0,1045.0,122.0,0.0,1525.0,"Coulterville CCD, Mariposa County, California",043,90600,06
