B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
3402.0,2060.0,2060.0,1909.0,151.0,0.0,1342.0,"South Wheatland township, Macon County, Illinois",115,71357,17
40420.0,24493.0,24456.0,21512.0,2944.0,37.0,15927.0,"Decatur township, Macon County, Illinois",115,18836,17
1030.0,700.0,700.0,635.0,65.0,0.0,330.0,"Pleasant View township, Macon County, Illinois",115,60677,17
8575.0,5228.0,5228.0,4984.0,244.0,0.0,3347.0,"Long Creek township, Macon County, Illinois",115,44511,17
5540.0,3753.0,3739.0,3543.0,196.0,14.0,1787.0,"Mount Zion township, Macon County, Illinois",115,51219,17
146.0,132.0,132.0,132.0,0.0,0.0,14.0,"Austin township, Macon County, Illinois",115,03051,17
1346.0,936.0,936.0,858.0,78.0,0.0,410.0,"Illini township, Macon County, Illinois",115,37023,17
447.0,237.0,237.0,235.0,2.0,0.0,210.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
1495.0,973.0,973.0,890.0,83.0,0.0,522.0,"Maroa township, Macon County, Illinois",115,47085,17
719.0,510.0,510.0,467.0,43.0,0.0,209.0,"Blue Mound township, Macon County, Illinois",115,06769,17
14889.0,8611.0,8568.0,7987.0,581.0,43.0,6278.0,"Hickory Point township, Macon County, Illinois",115,34527,17
487.0,322.0,322.0,288.0,34.0,0.0,165.0,"Niantic township, Macon County, Illinois",115,52974,17
977.0,563.0,563.0,502.0,61.0,0.0,414.0,"Oakley township, Macon County, Illinois",115,54859,17
1165.0,624.0,624.0,582.0,42.0,0.0,541.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
891.0,397.0,397.0,303.0,94.0,0.0,494.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
254.0,179.0,179.0,174.0,5.0,0.0,75.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
582.0,420.0,420.0,420.0,0.0,0.0,162.0,"Markham precinct, Morgan County, Illinois",137,92034,17
604.0,398.0,398.0,367.0,31.0,0.0,206.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
967.0,717.0,717.0,659.0,58.0,0.0,250.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
374.0,186.0,186.0,165.0,21.0,0.0,188.0,"Appanoose township, Hancock County, Illinois",067,01621,17
337.0,178.0,178.0,178.0,0.0,0.0,159.0,"Harmony township, Hancock County, Illinois",067,32993,17
276.0,131.0,131.0,129.0,2.0,0.0,145.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
506.0,344.0,344.0,331.0,13.0,0.0,162.0,"Sonora township, Hancock County, Illinois",067,70499,17
290.0,198.0,198.0,190.0,8.0,0.0,92.0,"Walker township, Hancock County, Illinois",067,78422,17
383.0,259.0,259.0,241.0,18.0,0.0,124.0,"Chili township, Hancock County, Illinois",067,14104,17
29293.0,19215.0,19190.0,17483.0,1707.0,25.0,10078.0,"Collinsville township, Madison County, Illinois",119,15612,17
467.0,253.0,253.0,232.0,21.0,0.0,214.0,"St. Mary township, Hancock County, Illinois",067,67054,17
915.0,476.0,476.0,455.0,21.0,0.0,439.0,"Dallas City township, Hancock County, Illinois",067,18433,17
21438.0,12719.0,12706.0,11034.0,1672.0,13.0,8719.0,"Alton township, Madison County, Illinois",119,01127,17
82.0,34.0,34.0,34.0,0.0,0.0,48.0,"Wilcox township, Hancock County, Illinois",067,81607,17
1969.0,1432.0,1408.0,1326.0,82.0,24.0,537.0,"St. Jacob township, Madison County, Illinois",119,66872,17
24771.0,15456.0,15456.0,14464.0,992.0,0.0,9315.0,"Wood River township, Madison County, Illinois",119,83284,17
1692.0,1201.0,1201.0,1144.0,57.0,0.0,491.0,"Marine township, Madison County, Illinois",119,46877,17
