B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
43878.0,23523.0,23476.0,21069.0,2407.0,47.0,20355.0,"East Lansing city, Ingham County, Michigan",065,24120,26
1952.0,1150.0,1150.0,1081.0,69.0,0.0,802.0,"Leslie township, Ingham County, Michigan",065,47200,26
6807.0,4220.0,4203.0,4016.0,187.0,17.0,2587.0,"Mason city, Ingham County, Michigan",065,52180,26
6948.0,4942.0,4942.0,4652.0,290.0,0.0,2006.0,"Lansing charter township, Ingham County, Michigan",065,46020,26
1443.0,934.0,934.0,832.0,102.0,0.0,509.0,"Leslie city, Ingham County, Michigan",065,47180,26
1368.0,910.0,910.0,861.0,49.0,0.0,458.0,"Locke township, Ingham County, Michigan",065,49040,26
34573.0,22746.0,22746.0,21519.0,1227.0,0.0,11827.0,"Meridian charter township, Ingham County, Michigan",065,53140,26
2410.0,1396.0,1396.0,1324.0,72.0,0.0,1014.0,"Onondaga township, Ingham County, Michigan",065,60800,26
2765.0,1930.0,1930.0,1840.0,90.0,0.0,835.0,"Leroy township, Ingham County, Michigan",065,47080,26
3304.0,2198.0,2198.0,2118.0,80.0,0.0,1106.0,"Aurelius township, Ingham County, Michigan",065,04240,26
2464.0,1442.0,1442.0,1400.0,42.0,0.0,1022.0,"Alaiedon township, Ingham County, Michigan",065,00800,26
3020.0,2065.0,2065.0,1984.0,81.0,0.0,955.0,"Williamston city, Ingham County, Michigan",065,87420,26
1425.0,913.0,913.0,868.0,45.0,0.0,512.0,"Wheatfield township, Ingham County, Michigan",065,86520,26
1998.0,1241.0,1239.0,1192.0,47.0,2.0,757.0,"Ingham township, Ingham County, Michigan",065,40640,26
953.0,541.0,541.0,521.0,20.0,0.0,412.0,"White Oak township, Ingham County, Michigan",065,86900,26
1535.0,852.0,852.0,808.0,44.0,0.0,683.0,"Beaverton township, Gladwin County, Michigan",051,06680,26
700.0,388.0,388.0,375.0,13.0,0.0,312.0,"Bentley township, Gladwin County, Michigan",051,07360,26
1985.0,762.0,762.0,679.0,83.0,0.0,1223.0,"Billings township, Gladwin County, Michigan",051,08360,26
830.0,302.0,302.0,292.0,10.0,0.0,528.0,"Sherman township, Gladwin County, Michigan",051,73140,26
1620.0,357.0,357.0,338.0,19.0,0.0,1263.0,"Butman township, Gladwin County, Michigan",051,12180,26
