B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
3453.0,1908.0,1908.0,1633.0,275.0,0.0,1545.0,"District 2, Yazoo County, Mississippi",163,91476,28
7821.0,2312.0,2312.0,1915.0,397.0,0.0,5509.0,"District 4, Yazoo County, Mississippi",163,92952,28
3115.0,1679.0,1679.0,1593.0,86.0,0.0,1436.0,"District 2, Winston County, Mississippi",159,91458,28
2830.0,1526.0,1526.0,1351.0,175.0,0.0,1304.0,"District 1, Winston County, Mississippi",159,90720,28
4467.0,2293.0,2293.0,2182.0,111.0,0.0,2174.0,"District 1, Yazoo County, Mississippi",163,90738,28
3073.0,1577.0,1577.0,1243.0,334.0,0.0,1496.0,"District 3, Yazoo County, Mississippi",163,92214,28
2614.0,1155.0,1155.0,805.0,350.0,0.0,1459.0,"District 5, Yazoo County, Mississippi",163,93690,28
3199.0,1794.0,1794.0,1670.0,124.0,0.0,1405.0,"District 1, Attala County, Mississippi",007,90036,28
2950.0,1534.0,1534.0,1280.0,254.0,0.0,1416.0,"District 2, Attala County, Mississippi",007,90774,28
2549.0,1387.0,1380.0,1228.0,152.0,7.0,1162.0,"District 5, Attala County, Mississippi",007,92988,28
2472.0,1184.0,1184.0,1013.0,171.0,0.0,1288.0,"District 4, Attala County, Mississippi",007,92250,28
3289.0,1665.0,1665.0,1585.0,80.0,0.0,1624.0,"District 3, Attala County, Mississippi",007,91512,28
1436.0,679.0,679.0,629.0,50.0,0.0,757.0,"District 4, Benton County, Mississippi",009,92259,28
1192.0,535.0,535.0,479.0,56.0,0.0,657.0,"District 2, Benton County, Mississippi",009,90783,28
1251.0,575.0,575.0,532.0,43.0,0.0,676.0,"District 3, Benton County, Mississippi",009,91521,28
1470.0,692.0,692.0,630.0,62.0,0.0,778.0,"District 5, Benton County, Mississippi",009,92997,28
1296.0,591.0,591.0,558.0,33.0,0.0,705.0,"District 5, Franklin County, Mississippi",037,93123,28
1339.0,907.0,907.0,653.0,254.0,0.0,432.0,"District 1, Benton County, Mississippi",009,90045,28
1253.0,707.0,707.0,639.0,68.0,0.0,546.0,"District 1, Franklin County, Mississippi",037,90171,28
1105.0,587.0,587.0,528.0,59.0,0.0,518.0,"District 2, Franklin County, Mississippi",037,90909,28
982.0,410.0,410.0,358.0,52.0,0.0,572.0,"District 3, Franklin County, Mississippi",037,91647,28
1379.0,819.0,819.0,800.0,19.0,0.0,560.0,"District 4, Franklin County, Mississippi",037,92385,28
3721.0,2043.0,2043.0,1761.0,282.0,0.0,1678.0,"District 5, Coahoma County, Mississippi",027,93078,28
3578.0,2453.0,2453.0,2196.0,257.0,0.0,1125.0,"District 1, Coahoma County, Mississippi",027,90126,28
4202.0,2222.0,2215.0,1613.0,602.0,7.0,1980.0,"District 3, Coahoma County, Mississippi",027,91602,28
