B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
1245.0,862.0,862.0,808.0,54.0,0.0,383.0,"Dublin town, Cheshire County, New Hampshire",005,19140,33
1023.0,733.0,729.0,677.0,52.0,4.0,290.0,"Richmond town, Cheshire County, New Hampshire",005,64420,33
2754.0,1631.0,1631.0,1549.0,82.0,0.0,1123.0,"Chesterfield town, Cheshire County, New Hampshire",005,12260,33
3236.0,2194.0,2194.0,2071.0,123.0,0.0,1042.0,"Walpole town, Cheshire County, New Hampshire",005,78420,33
3425.0,2239.0,2239.0,2049.0,190.0,0.0,1186.0,"Winchester town, Cheshire County, New Hampshire",005,85540,33
735.0,532.0,532.0,526.0,6.0,0.0,203.0,"Surry town, Cheshire County, New Hampshire",005,75300,33
4868.0,2822.0,2822.0,2692.0,130.0,0.0,2046.0,"Rindge town, Cheshire County, New Hampshire",005,64580,33
182.0,149.0,149.0,135.0,14.0,0.0,33.0,"Roxbury town, Cheshire County, New Hampshire",005,65700,33
576.0,392.0,392.0,383.0,9.0,0.0,184.0,"Sullivan town, Cheshire County, New Hampshire",005,74900,33
1988.0,1308.0,1308.0,1241.0,67.0,0.0,680.0,"Fitzwilliam town, Cheshire County, New Hampshire",005,26500,33
1564.0,995.0,995.0,968.0,27.0,0.0,569.0,"Alstead town, Cheshire County, New Hampshire",005,00820,33
605.0,425.0,425.0,386.0,39.0,0.0,180.0,"Gilsum town, Cheshire County, New Hampshire",005,29220,33
837.0,557.0,557.0,540.0,17.0,0.0,280.0,"Harrisville town, Cheshire County, New Hampshire",005,34420,33
4432.0,2964.0,2964.0,2829.0,135.0,0.0,1468.0,"Jaffrey town, Cheshire County, New Hampshire",005,38500,33
20016.0,12726.0,12718.0,12179.0,539.0,8.0,7290.0,"Keene city, Cheshire County, New Hampshire",005,39300,33
1018.0,702.0,702.0,666.0,36.0,0.0,316.0,"Stoddard town, Cheshire County, New Hampshire",005,73700,33
1790.0,1293.0,1293.0,1251.0,42.0,0.0,497.0,"Troy town, Cheshire County, New Hampshire",005,77380,33
484.0,313.0,313.0,309.0,4.0,0.0,171.0,"Nelson town, Cheshire County, New Hampshire",005,50580,33
6031.0,4145.0,4145.0,4004.0,141.0,0.0,1886.0,"Swanzey town, Cheshire County, New Hampshire",005,75700,33
591.0,365.0,365.0,348.0,17.0,0.0,226.0,"Marlow town, Cheshire County, New Hampshire",005,45700,33
3278.0,2337.0,2337.0,2214.0,123.0,0.0,941.0,"Hinsdale town, Cheshire County, New Hampshire",005,36660,33
1942.0,1403.0,1403.0,1360.0,43.0,0.0,539.0,"Canterbury town, Merrimack County, New Hampshire",013,09860,33
2215.0,1640.0,1640.0,1564.0,76.0,0.0,575.0,"Dunbarton town, Merrimack County, New Hampshire",013,19460,33
4757.0,3089.0,3089.0,2819.0,270.0,0.0,1668.0,"Loudon town, Merrimack County, New Hampshire",013,43380,33
4062.0,2018.0,1999.0,1950.0,49.0,19.0,2044.0,"New London town, Merrimack County, New Hampshire",013,52100,33
1547.0,1050.0,1050.0,1037.0,13.0,0.0,497.0,"Sutton town, Merrimack County, New Hampshire",013,75460,33
2415.0,1581.0,1581.0,1560.0,21.0,0.0,834.0,"Warner town, Merrimack County, New Hampshire",013,78580,33
1297.0,825.0,825.0,787.0,38.0,0.0,472.0,"Wilmot town, Merrimack County, New Hampshire",013,84900,33
4577.0,3055.0,3055.0,2938.0,117.0,0.0,1522.0,"Hopkinton town, Merrimack County, New Hampshire",013,37540,33
1589.0,1107.0,1107.0,1076.0,31.0,0.0,482.0,"Webster town, Merrimack County, New Hampshire",013,80020,33
3605.0,2486.0,2486.0,2311.0,175.0,0.0,1119.0,"Allenstown town, Merrimack County, New Hampshire",013,00660,33
2069.0,1464.0,1464.0,1431.0,33.0,0.0,605.0,"Chichester town, Merrimack County, New Hampshire",013,12420,33
1030.0,803.0,803.0,773.0,30.0,0.0,227.0,"Danbury town, Merrimack County, New Hampshire",013,16980,33
7005.0,4307.0,4307.0,4103.0,204.0,0.0,2698.0,"Franklin city, Merrimack County, New Hampshire",013,27380,33
3258.0,1911.0,1903.0,1841.0,62.0,8.0,1347.0,"Boscawen town, Merrimack County, New Hampshire",013,06260,33
3871.0,2642.0,2642.0,2580.0,62.0,0.0,1229.0,"Henniker town, Merrimack County, New Hampshire",013,35540,33
11698.0,8404.0,8324.0,7949.0,375.0,80.0,3294.0,"Hooksett town, Merrimack County, New Hampshire",013,37300,33
1680.0,1176.0,1176.0,1154.0,22.0,0.0,504.0,"Newbury town, Merrimack County, New Hampshire",013,50900,33
5935.0,3964.0,3964.0,3875.0,89.0,0.0,1971.0,"Pembroke town, Merrimack County, New Hampshire",013,60020,33
3863.0,2760.0,2760.0,2668.0,92.0,0.0,1103.0,"Northfield town, Merrimack County, New Hampshire",013,54260,33
1055.0,698.0,693.0,674.0,19.0,5.0,357.0,"Salisbury town, Merrimack County, New Hampshire",013,66980,33
6119.0,4142.0,4142.0,4070.0,72.0,0.0,1977.0,"Bow town, Merrimack County, New Hampshire",013,06500,33
1381.0,902.0,897.0,855.0,42.0,5.0,479.0,"Bradford town, Merrimack County, New Hampshire",013,06980,33
2318.0,1653.0,1653.0,1600.0,53.0,0.0,665.0,"Andover town, Merrimack County, New Hampshire",013,01460,33
841.0,558.0,558.0,542.0,16.0,0.0,283.0,"Hill town, Merrimack County, New Hampshire",013,35860,33
35487.0,22759.0,22706.0,21678.0,1028.0,53.0,12728.0,"Concord city, Merrimack County, New Hampshire",013,14200,33
3805.0,2559.0,2559.0,2519.0,40.0,0.0,1246.0,"Epsom town, Merrimack County, New Hampshire",013,24900,33
768.0,428.0,428.0,409.0,19.0,0.0,340.0,"Bath town, Grafton County, New Hampshire",009,03940,33
2892.0,1683.0,1683.0,1640.0,43.0,0.0,1209.0,"Campton town, Grafton County, New Hampshire",009,08660,33
1846.0,1172.0,1172.0,1150.0,22.0,0.0,674.0,"Holderness town, Grafton County, New Hampshire",009,36900,33
387.0,154.0,154.0,144.0,10.0,0.0,233.0,"Benton town, Grafton County, New Hampshire",009,05060,33
2558.0,1711.0,1704.0,1617.0,87.0,7.0,847.0,"Bristol town, Grafton County, New Hampshire",009,07700,33
1345.0,901.0,901.0,854.0,47.0,0.0,444.0,"Orford town, Grafton County, New Hampshire",009,58500,33
748.0,528.0,528.0,501.0,27.0,0.0,220.0,"Piermont town, Grafton County, New Hampshire",009,61060,33
1074.0,722.0,722.0,679.0,43.0,0.0,352.0,"Lincoln town, Grafton County, New Hampshire",009,41860,33
1413.0,858.0,858.0,789.0,69.0,0.0,555.0,"Lisbon town, Grafton County, New Hampshire",009,42020,33
5017.0,3496.0,3496.0,3307.0,189.0,0.0,1521.0,"Littleton town, Grafton County, New Hampshire",009,42580,33
913.0,476.0,476.0,452.0,24.0,0.0,437.0,"Bridgewater town, Grafton County, New Hampshire",009,07540,33
263.0,166.0,166.0,159.0,7.0,0.0,97.0,"Easton town, Grafton County, New Hampshire",009,22020,33
512.0,271.0,271.0,252.0,19.0,0.0,241.0,"Hebron town, Grafton County, New Hampshire",009,35220,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Livermore town, Grafton County, New Hampshire",009,42820,33
3248.0,2299.0,2299.0,2254.0,45.0,0.0,949.0,"Canaan town, Grafton County, New Hampshire",009,08980,33
57.0,38.0,38.0,38.0,0.0,0.0,19.0,"Ellsworth town, Grafton County, New Hampshire",009,23860,33
3926.0,2536.0,2536.0,2438.0,98.0,0.0,1390.0,"Haverhill town, Grafton County, New Hampshire",009,34820,33
540.0,347.0,347.0,325.0,22.0,0.0,193.0,"Lyman town, Grafton County, New Hampshire",009,44100,33
168.0,99.0,99.0,98.0,1.0,0.0,69.0,"Waterville Valley town, Grafton County, New Hampshire",009,79380,33
3980.0,2784.0,2784.0,2706.0,78.0,0.0,1196.0,"Enfield town, Grafton County, New Hampshire",009,24340,33
175.0,106.0,106.0,103.0,3.0,0.0,69.0,"Orange town, Grafton County, New Hampshire",009,58340,33
5965.0,3498.0,3498.0,3270.0,228.0,0.0,2467.0,"Plymouth town, Grafton County, New Hampshire",009,62660,33
565.0,357.0,357.0,351.0,6.0,0.0,208.0,"Sugar Hill town, Grafton County, New Hampshire",009,74740,33
678.0,416.0,416.0,374.0,42.0,0.0,262.0,"Warren town, Grafton County, New Hampshire",009,78740,33
1795.0,1231.0,1231.0,1171.0,60.0,0.0,564.0,"Ashland town, Grafton County, New Hampshire",009,02020,33
297.0,159.0,159.0,154.0,5.0,0.0,138.0,"Dorchester town, Grafton County, New Hampshire",009,18740,33
399.0,265.0,265.0,227.0,38.0,0.0,134.0,"Landaff town, Grafton County, New Hampshire",009,40660,33
2134.0,1375.0,1369.0,1309.0,60.0,6.0,759.0,"Bethlehem town, Grafton County, New Hampshire",009,05460,33
1725.0,1030.0,1027.0,963.0,64.0,3.0,695.0,"Alexandria town, Grafton County, New Hampshire",009,00580,33
996.0,556.0,556.0,527.0,29.0,0.0,440.0,"Franconia town, Grafton County, New Hampshire",009,27300,33
