B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
7311.0,3707.0,3707.0,3459.0,248.0,0.0,3604.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
3849.0,1958.0,1939.0,1887.0,52.0,19.0,1891.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
2027.0,1031.0,1031.0,971.0,60.0,0.0,996.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
3698.0,1924.0,1924.0,1813.0,111.0,0.0,1774.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
2200.0,1042.0,1042.0,969.0,73.0,0.0,1158.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
1758.0,946.0,946.0,889.0,57.0,0.0,812.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
5830.0,2755.0,2753.0,2501.0,252.0,2.0,3075.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
9779.0,5376.0,5376.0,4951.0,425.0,0.0,4403.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
1518.0,813.0,813.0,758.0,55.0,0.0,705.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
6788.0,3678.0,3664.0,3456.0,208.0,14.0,3110.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
4702.0,2623.0,2594.0,2411.0,183.0,29.0,2079.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
22097.0,12758.0,12717.0,11823.0,894.0,41.0,9339.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
316.0,198.0,198.0,196.0,2.0,0.0,118.0,"Keyes CCD, Cimarron County, Oklahoma",025,91560,40
1431.0,853.0,853.0,831.0,22.0,0.0,578.0,"Boise City CCD, Cimarron County, Oklahoma",025,90286,40
3869.0,1398.0,1398.0,1360.0,38.0,0.0,2471.0,"Watonga CCD, Blaine County, Oklahoma",011,93575,40
1203.0,683.0,683.0,643.0,40.0,0.0,520.0,"Canton CCD, Blaine County, Oklahoma",011,90416,40
1358.0,765.0,765.0,722.0,43.0,0.0,593.0,"Geary CCD, Blaine County, Oklahoma",011,91170,40
1219.0,753.0,753.0,745.0,8.0,0.0,466.0,"Okeene CCD, Blaine County, Oklahoma",011,92392,40
29301.0,17519.0,17519.0,16282.0,1237.0,0.0,11782.0,"Ardmore CCD, Carter County, Oklahoma",019,90156,40
2561.0,1448.0,1448.0,1396.0,52.0,0.0,1113.0,"Wilson CCD, Carter County, Oklahoma",019,93861,40
2131.0,1089.0,1089.0,1055.0,34.0,0.0,1042.0,"Ardmore North CCD, Carter County, Oklahoma",019,90169,40
1067.0,572.0,572.0,557.0,15.0,0.0,495.0,"Healdton North CCD, Carter County, Oklahoma",019,91287,40
2390.0,1327.0,1327.0,1253.0,74.0,0.0,1063.0,"Healdton Central CCD, Carter County, Oklahoma",019,91274,40
1374.0,744.0,743.0,715.0,28.0,1.0,630.0,"West Coal CCD, Coal County, Oklahoma",029,93705,40
3049.0,1693.0,1693.0,1528.0,165.0,0.0,1356.0,"East Coal CCD, Coal County, Oklahoma",029,90871,40
502.0,298.0,298.0,295.0,3.0,0.0,204.0,"Lamont CCD, Grant County, Oklahoma",053,91625,40
1395.0,880.0,878.0,829.0,49.0,2.0,515.0,"Medford CCD, Grant County, Oklahoma",053,91820,40
398.0,223.0,223.0,217.0,6.0,0.0,175.0,"Wakita CCD, Grant County, Oklahoma",053,93510,40
1198.0,731.0,731.0,714.0,17.0,0.0,467.0,"Southwest Grant CCD, Grant County, Oklahoma",053,93159,40
192.0,131.0,131.0,130.0,1.0,0.0,61.0,"Northwest Greer CCD, Greer County, Oklahoma",055,92275,40
2672.0,1446.0,1446.0,1355.0,91.0,0.0,1226.0,"Mangum CCD, Greer County, Oklahoma",055,91768,40
2128.0,711.0,711.0,652.0,59.0,0.0,1417.0,"Granite CCD, Greer County, Oklahoma",055,91196,40
6329.0,3904.0,3904.0,3588.0,316.0,0.0,2425.0,"Kingfisher CCD, Kingfisher County, Oklahoma",073,91586,40
3410.0,2278.0,2278.0,2214.0,64.0,0.0,1132.0,"Hennessey CCD, Kingfisher County, Oklahoma",073,91326,40
1989.0,1253.0,1253.0,1244.0,9.0,0.0,736.0,"Okarche-Cashion CCD, Kingfisher County, Oklahoma",073,92379,40
13905.0,8490.0,8473.0,8081.0,392.0,17.0,5415.0,"Purcell CCD, McClain County, Oklahoma",087,92626,40
939.0,436.0,436.0,417.0,19.0,0.0,503.0,"East McClain CCD, McClain County, Oklahoma",087,90929,40
9790.0,4675.0,4664.0,4251.0,413.0,11.0,5115.0,"Checotah CCD, McIntosh County, Oklahoma",091,90520,40
1335.0,526.0,526.0,491.0,35.0,0.0,809.0,"Hitchita-Pierce CCD, McIntosh County, Oklahoma",091,91352,40
4362.0,2140.0,2140.0,1974.0,166.0,0.0,2222.0,"Eufaula CCD, McIntosh County, Oklahoma",091,91079,40
764.0,376.0,376.0,337.0,39.0,0.0,388.0,"Hanna CCD, McIntosh County, Oklahoma",091,91248,40
6088.0,2932.0,2932.0,2733.0,199.0,0.0,3156.0,"South Marshall CCD, Marshall County, Oklahoma",095,93081,40
6739.0,3769.0,3769.0,3614.0,155.0,0.0,2970.0,"North Marshall CCD, Marshall County, Oklahoma",095,92210,40
3910.0,2247.0,2241.0,2162.0,79.0,6.0,1663.0,"West Murray CCD, Murray County, Oklahoma",099,93770,40
7016.0,4071.0,4071.0,3902.0,169.0,0.0,2945.0,"East Murray CCD, Murray County, Oklahoma",099,90962,40
634.0,313.0,313.0,251.0,62.0,0.0,321.0,"Billings CCD, Noble County, Oklahoma",103,90234,40
6088.0,3724.0,3724.0,3567.0,157.0,0.0,2364.0,"Perry CCD, Noble County, Oklahoma",103,92522,40
2292.0,1402.0,1396.0,1351.0,45.0,6.0,890.0,"East Noble CCD, Noble County, Oklahoma",103,90975,40
4687.0,2515.0,2515.0,2298.0,217.0,0.0,2172.0,"Nowata CCD, Nowata County, Oklahoma",105,92353,40
1756.0,1108.0,1108.0,1026.0,82.0,0.0,648.0,"South Coffeyville-Wann CCD, Nowata County, Oklahoma",105,92912,40
1316.0,777.0,777.0,685.0,92.0,0.0,539.0,"Lenapah-Delaware CCD, Nowata County, Oklahoma",105,91664,40
2658.0,1390.0,1390.0,1275.0,115.0,0.0,1268.0,"Wyandotte CCD, Ottawa County, Oklahoma",115,93913,40
15589.0,8739.0,8739.0,8184.0,555.0,0.0,6850.0,"Miami CCD, Ottawa County, Oklahoma",115,91846,40
