B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,name,county,county subdivision,state
4089.0,2726.0,2724.0,2582.0,142.0,2.0,1363.0,"Castleton town, Rutland County, Vermont",021,11950,50
2518.0,1584.0,1584.0,1539.0,45.0,0.0,934.0,"Pittsford town, Rutland County, Vermont",021,55600,50
982.0,637.0,637.0,619.0,18.0,0.0,345.0,"Shrewsbury town, Rutland County, Vermont",021,65275,50
3096.0,2092.0,2092.0,2006.0,86.0,0.0,1004.0,"Brandon town, Rutland County, Vermont",021,07750,50
474.0,278.0,278.0,267.0,11.0,0.0,196.0,"Hubbardton town, Rutland County, Vermont",021,34450,50
645.0,409.0,409.0,401.0,8.0,0.0,236.0,"Killington town, Rutland County, Vermont",021,37685,50
692.0,420.0,420.0,394.0,26.0,0.0,272.0,"Middletown Springs town, Rutland County, Vermont",021,44800,50
841.0,555.0,555.0,539.0,16.0,0.0,286.0,"Mendon town, Rutland County, Vermont",021,44125,50
1097.0,780.0,780.0,755.0,25.0,0.0,317.0,"Mount Holly town, Rutland County, Vermont",021,47200,50
1976.0,1273.0,1273.0,1183.0,90.0,0.0,703.0,"West Rutland town, Rutland County, Vermont",021,82300,50
1425.0,996.0,996.0,966.0,30.0,0.0,429.0,"Proctor town, Rutland County, Vermont",021,57250,50
366.0,236.0,236.0,236.0,0.0,0.0,130.0,"Ira town, Rutland County, Vermont",021,35425,50
830.0,438.0,438.0,409.0,29.0,0.0,392.0,"Benson town, Rutland County, Vermont",021,05200,50
2145.0,1430.0,1430.0,1370.0,60.0,0.0,715.0,"Clarendon town, Rutland County, Vermont",021,14500,50
1128.0,742.0,742.0,684.0,58.0,0.0,386.0,"Danby town, Rutland County, Vermont",021,16825,50
2097.0,1171.0,1171.0,1080.0,91.0,0.0,926.0,"Fair Haven town, Rutland County, Vermont",021,25375,50
2884.0,1724.0,1724.0,1640.0,84.0,0.0,1160.0,"Poultney town, Rutland County, Vermont",021,56875,50
218.0,119.0,119.0,111.0,8.0,0.0,99.0,"Mount Tabor town, Rutland County, Vermont",021,47425,50
334.0,256.0,256.0,250.0,6.0,0.0,78.0,"Pittsfield town, Rutland County, Vermont",021,55450,50
13210.0,8049.0,8016.0,7636.0,380.0,33.0,5161.0,"Rutland city, Rutland County, Vermont",021,61225,50
