B05002_001E,B05002_002E,B05002_013E,name,county,county subdivision,state
33809.0,31371.0,2438.0,"Marana CCD, Pima County, Arizona",019,92040,04
3693.0,3449.0,244.0,"Ajo CCD, Pima County, Arizona",019,90051,04
875907.0,758532.0,117375.0,"Tucson CCD, Pima County, Arizona",019,93570,04
86490.0,77423.0,9067.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
24168.0,21662.0,2506.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
430787.0,379020.0,51767.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
3229931.0,2711836.0,518095.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
275170.0,250589.0,24581.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
3921.0,3822.0,99.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
4641.0,4641.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
101182.0,93685.0,7497.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
72597.0,63778.0,8819.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
22840.0,21997.0,843.0,"Payson CCD, Gila County, Arizona",007,92570,04
1091.0,1014.0,77.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
8228.0,7892.0,336.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
17838.0,16892.0,946.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
2813.0,2412.0,401.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
4263.0,4215.0,48.0,"Pima CCD, Graham County, Arizona",009,92652,04
25983.0,24987.0,996.0,"Safford CCD, Graham County, Arizona",009,92907,04
43301.0,28670.0,14631.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
3057.0,2837.0,220.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
11654.0,11434.0,220.0,"Benson CCD, Cochise County, Arizona",003,90255,04
49317.0,44738.0,4579.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
9582.0,8368.0,1214.0,"Willcox CCD, Cochise County, Arizona",003,93825,04
15450.0,11360.0,4090.0,"Douglas CCD, Cochise County, Arizona",003,90969,04
29903.0,27520.0,2383.0,"Bisbee CCD, Cochise County, Arizona",003,90306,04
20477.0,18344.0,2133.0,"Parker CCD, La Paz County, Arizona",012,92480,04
9073.0,7555.0,1518.0,"Elfrida CCD, Cochise County, Arizona",003,91122,04
1537.0,1347.0,190.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
664.0,664.0,0.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
1552.0,1552.0,0.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
4661.0,4651.0,10.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
21595.0,21413.0,182.0,"Chinle CCD, Apache County, Arizona",001,90612,04
23991.0,23698.0,293.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
8010.0,7766.0,244.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
2800.0,2681.0,119.0,"Puerco CCD, Apache County, Arizona",001,92805,04
8329.0,7789.0,540.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
32860.0,32452.0,408.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
13.0,13.0,0.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
0.0,0.0,0.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
49.0,49.0,0.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
9159.0,8586.0,573.0,"Williams CCD, Coconino County, Arizona",005,93876,04
125574.0,117985.0,7589.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
9046.0,8623.0,423.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
37053.0,34190.0,2863.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
141162.0,111809.0,29353.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
7377.0,5619.0,1758.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
55742.0,31424.0,24318.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
6607.0,6352.0,255.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
2761.0,2692.0,69.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
34456.0,29475.0,4981.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
46393.0,44714.0,1679.0,"Snowflake CCD, Navajo County, Arizona",017,93213,04
8641.0,8549.0,92.0,"Hopi CCD, Navajo County, Arizona",017,91632,04
