B05002_001E,B05002_002E,B05002_013E,name,county,county subdivision,state
4037.0,3972.0,65.0,"South Wheatland township, Macon County, Illinois",115,71357,17
51086.0,50011.0,1075.0,"Decatur township, Macon County, Illinois",115,18836,17
1496.0,1492.0,4.0,"Pleasant View township, Macon County, Illinois",115,60677,17
10370.0,10122.0,248.0,"Long Creek township, Macon County, Illinois",115,44511,17
7110.0,7067.0,43.0,"Mount Zion township, Macon County, Illinois",115,51219,17
197.0,197.0,0.0,"Austin township, Macon County, Illinois",115,03051,17
1752.0,1736.0,16.0,"Illini township, Macon County, Illinois",115,37023,17
532.0,502.0,30.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
1879.0,1859.0,20.0,"Maroa township, Macon County, Illinois",115,47085,17
881.0,881.0,0.0,"Blue Mound township, Macon County, Illinois",115,06769,17
18084.0,17317.0,767.0,"Hickory Point township, Macon County, Illinois",115,34527,17
619.0,619.0,0.0,"Niantic township, Macon County, Illinois",115,52974,17
1013.0,1013.0,0.0,"Oakley township, Macon County, Illinois",115,54859,17
1568.0,1521.0,47.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
1023.0,997.0,26.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
299.0,299.0,0.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
783.0,783.0,0.0,"Markham precinct, Morgan County, Illinois",137,92034,17
701.0,701.0,0.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
1143.0,1123.0,20.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
460.0,460.0,0.0,"Appanoose township, Hancock County, Illinois",067,01621,17
428.0,428.0,0.0,"Harmony township, Hancock County, Illinois",067,32993,17
322.0,322.0,0.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
645.0,642.0,3.0,"Sonora township, Hancock County, Illinois",067,70499,17
326.0,326.0,0.0,"Walker township, Hancock County, Illinois",067,78422,17
505.0,505.0,0.0,"Chili township, Hancock County, Illinois",067,14104,17
35932.0,35167.0,765.0,"Collinsville township, Madison County, Illinois",119,15612,17
521.0,521.0,0.0,"St. Mary township, Hancock County, Illinois",067,67054,17
1114.0,1095.0,19.0,"Dallas City township, Hancock County, Illinois",067,18433,17
27037.0,26642.0,395.0,"Alton township, Madison County, Illinois",119,01127,17
99.0,91.0,8.0,"Wilcox township, Hancock County, Illinois",067,81607,17
2648.0,2623.0,25.0,"St. Jacob township, Madison County, Illinois",119,66872,17
30795.0,30345.0,450.0,"Wood River township, Madison County, Illinois",119,83284,17
2138.0,2080.0,58.0,"Marine township, Madison County, Illinois",119,46877,17
2590.0,2524.0,66.0,"Omphghent township, Madison County, Illinois",119,56068,17
5641.0,5572.0,69.0,"Venice township, Madison County, Illinois",119,77486,17
8067.0,7958.0,109.0,"Chouteau township, Madison County, Illinois",119,14260,17
14346.0,14080.0,266.0,"Jarvis township, Madison County, Illinois",119,38245,17
12445.0,11970.0,475.0,"Nameoki township, Madison County, Illinois",119,51583,17
26451.0,25593.0,858.0,"Granite City township, Madison County, Illinois",119,30939,17
8566.0,8389.0,177.0,"Helvetia township, Madison County, Illinois",119,33981,17
4013.0,3944.0,69.0,"Foster township, Madison County, Illinois",119,27182,17
3513.0,3451.0,62.0,"Moro township, Madison County, Illinois",119,50465,17
3930.0,3773.0,157.0,"Pin Oak township, Madison County, Illinois",119,60014,17
2508.0,2477.0,31.0,"Hamel township, Madison County, Illinois",119,32421,17
38155.0,36589.0,1566.0,"Edwardsville township, Madison County, Illinois",119,22710,17
507.0,507.0,0.0,"New Douglas township, Madison County, Illinois",119,52428,17
6282.0,6125.0,157.0,"Saline township, Madison County, Illinois",119,67275,17
708.0,706.0,2.0,"Leef township, Madison County, Illinois",119,42652,17
1665.0,1661.0,4.0,"Olive township, Madison County, Illinois",119,55834,17
9028.0,8927.0,101.0,"Fort Russell township, Madison County, Illinois",119,27130,17
17733.0,17427.0,306.0,"Godfrey township, Madison County, Illinois",119,30107,17
4353.0,4268.0,85.0,"Felix township, Grundy County, Illinois",063,25778,17
391.0,379.0,12.0,"Goodfarm township, Grundy County, Illinois",063,30432,17
1542.0,1520.0,22.0,"Mazon township, Grundy County, Illinois",063,47800,17
1455.0,1425.0,30.0,"Alhambra township, Madison County, Illinois",119,00750,17
1330.0,1285.0,45.0,"Goose Lake township, Grundy County, Illinois",063,30549,17
702.0,678.0,24.0,"Vienna township, Grundy County, Illinois",063,77850,17
2502.0,2464.0,38.0,"Erienna township, Grundy County, Illinois",063,24400,17
1419.0,1360.0,59.0,"Garfield township, Grundy County, Illinois",063,28677,17
1210.0,1199.0,11.0,"Greenfield township, Grundy County, Illinois",063,31381,17
305.0,294.0,11.0,"Norman township, Grundy County, Illinois",063,53286,17
330.0,327.0,3.0,"Highland township, Grundy County, Illinois",063,34657,17
6326.0,6021.0,305.0,"Saratoga township, Grundy County, Illinois",063,67678,17
2264.0,2196.0,68.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
531.0,531.0,0.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
6340.0,6262.0,78.0,"Braceville township, Grundy County, Illinois",063,07653,17
13180.0,12364.0,816.0,"Aux Sable township, Grundy County, Illinois",063,03090,17
7313.0,7018.0,295.0,"Morris township, Grundy County, Illinois",063,50504,17
1208.0,1206.0,2.0,"Salina township, Kankakee County, Illinois",091,67262,17
3711.0,3513.0,198.0,"Momence township, Kankakee County, Illinois",091,49906,17
2252.0,2021.0,231.0,"St. Anne township, Kankakee County, Illinois",091,66651,17
846.0,821.0,25.0,"Rockville township, Kankakee County, Illinois",091,65195,17
4907.0,4807.0,100.0,"Limestone township, Kankakee County, Illinois",091,43497,17
2331.0,2240.0,91.0,"Otto township, Kankakee County, Illinois",091,57017,17
789.0,782.0,7.0,"Sumner township, Kankakee County, Illinois",091,73690,17
39546.0,38010.0,1536.0,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
1600.0,1600.0,0.0,"Essex township, Kankakee County, Illinois",091,24465,17
11006.0,10572.0,434.0,"Manteno township, Kankakee County, Illinois",091,46513,17
3115.0,2910.0,205.0,"Ganeer township, Kankakee County, Illinois",091,28456,17
26632.0,24193.0,2439.0,"Kankakee township, Kankakee County, Illinois",091,38947,17
1119.0,1113.0,6.0,"Norton township, Kankakee County, Illinois",091,54352,17
2114.0,2026.0,88.0,"Pembroke township, Kankakee County, Illinois",091,58538,17
5007.0,4847.0,160.0,"Aroma township, Kankakee County, Illinois",091,02245,17
394.0,383.0,11.0,"Abington township, Mercer County, Illinois",131,00126,17
408.0,404.0,4.0,"North Henderson township, Mercer County, Illinois",131,53806,17
2137.0,2124.0,13.0,"Richland Grove township, Mercer County, Illinois",131,63628,17
414.0,398.0,16.0,"Perryton township, Mercer County, Illinois",131,59182,17
1314.0,1252.0,62.0,"Greene township, Mercer County, Illinois",131,31342,17
857.0,857.0,0.0,"New Boston township, Mercer County, Illinois",131,52233,17
608.0,608.0,0.0,"Suez township, Mercer County, Illinois",131,73339,17
150.0,150.0,0.0,"Ohio Grove township, Mercer County, Illinois",131,55405,17
1861.0,1829.0,32.0,"Preemption township, Mercer County, Illinois",131,61795,17
1434.0,1434.0,0.0,"Rivoli township, Mercer County, Illinois",131,64551,17
522.0,522.0,0.0,"Eliza township, Mercer County, Illinois",131,23152,17
3939.0,3885.0,54.0,"Mercer township, Mercer County, Illinois",131,48398,17
618.0,609.0,9.0,"Keithsburg township, Mercer County, Illinois",131,39311,17
119572.0,100830.0,18742.0,"Lisle township, DuPage County, Illinois",043,43952,17
730.0,712.0,18.0,"Millersburg township, Mercer County, Illinois",131,49256,17
408.0,408.0,0.0,"Duncan township, Mercer County, Illinois",131,20968,17
295.0,289.0,6.0,"Maine township, Grundy County, Illinois",063,46175,17
2002.0,1971.0,31.0,"Pilot township, Kankakee County, Illinois",091,59819,17
2616.0,2508.0,108.0,"Yellowhead township, Kankakee County, Illinois",091,83856,17
118505.0,102287.0,16218.0,"Milton township, DuPage County, Illinois",043,49451,17
46938.0,36450.0,10488.0,"Winfield township, DuPage County, Illinois",043,82413,17
125800.0,108162.0,17638.0,"York township, DuPage County, Illinois",043,83947,17
0.0,0.0,0.0,"Chicago city, DuPage County, Illinois",043,14000,17
149100.0,125495.0,23605.0,"Downers Grove township, DuPage County, Illinois",043,20604,17
102202.0,80510.0,21692.0,"Naperville township, DuPage County, Illinois",043,51635,17
8527.0,8328.0,199.0,"Clear Lake township, Sangamon County, Illinois",167,14858,17
773.0,761.0,12.0,"Cotton Hill township, Sangamon County, Illinois",167,16574,17
316.0,316.0,0.0,"Maxwell township, Sangamon County, Illinois",167,47618,17
1452.0,1435.0,17.0,"Cartwright township, Sangamon County, Illinois",167,11579,17
7388.0,7257.0,131.0,"Chatham township, Sangamon County, Illinois",167,12697,17
600.0,600.0,0.0,"Island Grove township, Sangamon County, Illinois",167,37881,17
89700.0,64738.0,24962.0,"Addison township, DuPage County, Illinois",043,00250,17
112757.0,84832.0,27925.0,"Bloomingdale township, DuPage County, Illinois",043,06600,17
67252.0,52815.0,14437.0,"Wayne township, DuPage County, Illinois",043,79410,17
2671.0,2668.0,3.0,"Mechanicsburg township, Sangamon County, Illinois",167,48034,17
4266.0,4200.0,66.0,"Gardner township, Sangamon County, Illinois",167,28651,17
1804.0,1783.0,21.0,"New Berlin township, Sangamon County, Illinois",167,52181,17
1392.0,1379.0,13.0,"Curran township, Sangamon County, Illinois",167,18160,17
6281.0,6216.0,65.0,"Auburn township, Sangamon County, Illinois",167,02928,17
128.0,128.0,0.0,"Buffalo Hart township, Sangamon County, Illinois",167,09486,17
1317.0,1305.0,12.0,"Divernon township, Sangamon County, Illinois",167,20058,17
156.0,156.0,0.0,"Lanesville township, Sangamon County, Illinois",167,41976,17
5757.0,5746.0,11.0,"Springfield township, Sangamon County, Illinois",167,72013,17
11288.0,10976.0,312.0,"Woodside township, Sangamon County, Illinois",167,83310,17
115987.0,111181.0,4806.0,"Capital township, Sangamon County, Illinois",167,11046,17
5745.0,5697.0,48.0,"Fancy Creek township, Sangamon County, Illinois",167,25323,17
1345.0,1345.0,0.0,"Illiopolis township, Sangamon County, Illinois",167,37140,17
3533.0,3497.0,36.0,"Williams township, Sangamon County, Illinois",167,81776,17
704.0,692.0,12.0,"Cooper township, Sangamon County, Illinois",167,16223,17
1068.0,1061.0,7.0,"Loami township, Sangamon County, Illinois",167,44186,17
3025.0,3018.0,7.0,"Pawnee township, Sangamon County, Illinois",167,58187,17
7005.0,6774.0,231.0,"Ball township, Sangamon County, Illinois",167,03506,17
5406.0,5329.0,77.0,"Rochester township, Sangamon County, Illinois",167,64772,17
200.0,200.0,0.0,"Talkington township, Sangamon County, Illinois",167,74340,17
474.0,473.0,1.0,"Concord township, Iroquois County, Illinois",075,16041,17
333.0,330.0,3.0,"Ridgeland township, Iroquois County, Illinois",075,63901,17
645.0,645.0,0.0,"Iroquois township, Iroquois County, Illinois",075,37725,17
1451.0,1441.0,10.0,"Ashkum township, Iroquois County, Illinois",075,02492,17
152.0,136.0,16.0,"Stockland township, Iroquois County, Illinois",075,72773,17
159.0,159.0,0.0,"Prairie Green township, Iroquois County, Illinois",075,61665,17
4162.0,4028.0,134.0,"Middleport township, Iroquois County, Illinois",075,48814,17
1597.0,1495.0,102.0,"May township, Christian County, Illinois",021,47631,17
560.0,534.0,26.0,"Jonesboro District 3 precinct, Union County, Illinois",181,91792,17
581.0,577.0,4.0,"Dongola District 2 precinct, Union County, Illinois",181,90990,17
1178.0,1178.0,0.0,"Jonesboro District 1 precinct, Union County, Illinois",181,91764,17
1129.0,1125.0,4.0,"Jonesboro District 2 precinct, Union County, Illinois",181,91782,17
631.0,631.0,0.0,"Union precinct, Union County, Illinois",181,93484,17
996.0,996.0,0.0,"South Jacksonville No. 3 precinct, Morgan County, Illinois",137,93210,17
809.0,809.0,0.0,"South Jacksonville No. 4 precinct, Morgan County, Illinois",137,93212,17
5815.0,5769.0,46.0,"Blairsville precinct, Williamson County, Illinois",199,90432,17
9778.0,9525.0,253.0,"Carterville precinct, Williamson County, Illinois",199,90648,17
1192.0,1192.0,0.0,"Corinth precinct, Williamson County, Illinois",199,90846,17
1395.0,1395.0,0.0,"Crab Orchard precinct, Williamson County, Illinois",199,90882,17
1885.0,1885.0,0.0,"Creal Springs precinct, Williamson County, Illinois",199,90918,17
10707.0,10609.0,98.0,"East Marion precinct, Williamson County, Illinois",199,91062,17
476.0,466.0,10.0,"Grassy precinct, Williamson County, Illinois",199,91548,17
15212.0,14893.0,319.0,"Herrin precinct, Williamson County, Illinois",199,91620,17
394.0,394.0,0.0,"Prentice-Sinclair precinct, Morgan County, Illinois",137,92934,17
3683.0,3681.0,2.0,"Lake Creek precinct, Williamson County, Illinois",199,91836,17
3542.0,3474.0,68.0,"Southern precinct, Williamson County, Illinois",199,93204,17
990.0,990.0,0.0,"Stonefort precinct, Williamson County, Illinois",199,93294,17
12802.0,12453.0,349.0,"West Marion precinct, Williamson County, Illinois",199,93690,17
834.0,832.0,2.0,"Murrayville precinct, Morgan County, Illinois",137,92232,17
909.0,898.0,11.0,"South Jacksonville No. 1 precinct, Morgan County, Illinois",137,93206,17
508.0,508.0,0.0,"South Jacksonville No. 2 precinct, Morgan County, Illinois",137,93208,17
800.0,753.0,47.0,"Anna District 4 precinct, Union County, Illinois",181,90180,17
697.0,644.0,53.0,"Anna District 5 precinct, Union County, Illinois",181,90198,17
697.0,697.0,0.0,"Precinct 19, Monroe County, Illinois",133,92640,17
1232.0,1210.0,22.0,"Precinct 20, Monroe County, Illinois",133,92645,17
484.0,471.0,13.0,"Precinct 1, Monroe County, Illinois",133,92550,17
476.0,476.0,0.0,"Precinct 2, Monroe County, Illinois",133,92555,17
1037.0,1037.0,0.0,"Precinct 3, Monroe County, Illinois",133,92560,17
935.0,916.0,19.0,"Precinct 4, Monroe County, Illinois",133,92565,17
521.0,521.0,0.0,"Precinct 5, Monroe County, Illinois",133,92570,17
922.0,922.0,0.0,"Precinct 6, Monroe County, Illinois",133,92575,17
338.0,313.0,25.0,"Precinct 7, Monroe County, Illinois",133,92580,17
1244.0,1244.0,0.0,"Precinct 8, Monroe County, Illinois",133,92585,17
1012.0,1012.0,0.0,"Precinct 9, Monroe County, Illinois",133,92590,17
672.0,663.0,9.0,"Precinct 10, Monroe County, Illinois",133,92595,17
1045.0,1036.0,9.0,"Precinct 11, Monroe County, Illinois",133,92600,17
941.0,941.0,0.0,"Precinct 12, Monroe County, Illinois",133,92605,17
535.0,518.0,17.0,"Precinct 13, Monroe County, Illinois",133,92610,17
1013.0,1013.0,0.0,"Precinct 14, Monroe County, Illinois",133,92615,17
621.0,617.0,4.0,"Precinct 15, Monroe County, Illinois",133,92620,17
807.0,807.0,0.0,"Precinct 16, Monroe County, Illinois",133,92625,17
1046.0,1046.0,0.0,"Precinct 17, Monroe County, Illinois",133,92630,17
863.0,853.0,10.0,"Precinct 18, Monroe County, Illinois",133,92635,17
1260.0,1159.0,101.0,"Precinct 24, Monroe County, Illinois",133,92665,17
991.0,991.0,0.0,"Precinct 21, Monroe County, Illinois",133,92650,17
491.0,491.0,0.0,"Precinct 22, Monroe County, Illinois",133,92655,17
641.0,641.0,0.0,"Precinct 23, Monroe County, Illinois",133,92660,17
1071.0,1056.0,15.0,"Precinct 25, Monroe County, Illinois",133,92670,17
583.0,566.0,17.0,"Anna District 6 precinct, Union County, Illinois",181,90216,17
462.0,449.0,13.0,"Anna District 7 precinct, Union County, Illinois",181,90224,17
2064.0,2027.0,37.0,"Precinct 27, Monroe County, Illinois",133,92680,17
758.0,752.0,6.0,"Precinct 28, Monroe County, Illinois",133,92685,17
497.0,475.0,22.0,"Precinct 29, Monroe County, Illinois",133,92690,17
967.0,958.0,9.0,"Precinct 30, Monroe County, Illinois",133,92695,17
481.0,481.0,0.0,"Precinct 31, Monroe County, Illinois",133,92700,17
569.0,553.0,16.0,"Precinct 32, Monroe County, Illinois",133,92705,17
712.0,712.0,0.0,"Precinct 33, Monroe County, Illinois",133,92710,17
2244.0,2129.0,115.0,"Precinct 34, Monroe County, Illinois",133,92715,17
1227.0,1227.0,0.0,"Precinct 35, Monroe County, Illinois",133,92720,17
736.0,736.0,0.0,"Precinct 36, Monroe County, Illinois",133,92725,17
593.0,555.0,38.0,"Precinct 37, Monroe County, Illinois",133,92730,17
1996.0,1996.0,0.0,"Precinct 26, Monroe County, Illinois",133,92675,17
723.0,718.0,5.0,"Fall River township, LaSalle County, Illinois",099,25284,17
660.0,656.0,4.0,"Hope township, LaSalle County, Illinois",099,36100,17
1550.0,1491.0,59.0,"Adams township, LaSalle County, Illinois",099,00204,17
670.0,670.0,0.0,"Dimmick township, LaSalle County, Illinois",099,19980,17
587.0,575.0,12.0,"Freedom township, LaSalle County, Illinois",099,27845,17
340.0,340.0,0.0,"Grand Rapids township, LaSalle County, Illinois",099,30744,17
455.0,449.0,6.0,"Groveland township, LaSalle County, Illinois",099,31914,17
13023.0,12257.0,766.0,"LaSalle township, LaSalle County, Illinois",099,42197,17
6088.0,6058.0,30.0,"Manlius township, LaSalle County, Illinois",099,46448,17
7342.0,6860.0,482.0,"Mendota township, LaSalle County, Illinois",099,48346,17
533.0,510.0,23.0,"Meriden township, LaSalle County, Illinois",099,48463,17
758.0,758.0,0.0,"Miller township, LaSalle County, Illinois",099,49204,17
4521.0,4467.0,54.0,"Mission township, LaSalle County, Illinois",099,49646,17
7238.0,7053.0,185.0,"Northville township, LaSalle County, Illinois",099,54248,17
564.0,561.0,3.0,"Allen township, LaSalle County, Illinois",099,00763,17
1013.0,1013.0,0.0,"Brookfield township, LaSalle County, Illinois",099,08583,17
12694.0,12100.0,594.0,"Bruce township, LaSalle County, Illinois",099,09057,17
3594.0,3509.0,85.0,"Rutland township, LaSalle County, Illinois",099,66456,17
2887.0,2872.0,15.0,"Otter Creek township, LaSalle County, Illinois",099,56965,17
10357.0,9956.0,401.0,"Peru township, LaSalle County, Illinois",099,59247,17
223.0,211.0,12.0,"Richland township, LaSalle County, Illinois",099,63576,17
850.0,819.0,31.0,"Serena township, LaSalle County, Illinois",099,68692,17
8094.0,7857.0,237.0,"South Ottawa township, LaSalle County, Illinois",099,71110,17
1198.0,1114.0,84.0,"Troy Grove township, LaSalle County, Illinois",099,76238,17
2273.0,2214.0,59.0,"Utica township, LaSalle County, Illinois",099,77096,17
423.0,423.0,0.0,"Vermillion township, LaSalle County, Illinois",099,77623,17
455.0,455.0,0.0,"Wallace township, LaSalle County, Illinois",099,78487,17
490.0,490.0,0.0,"Waltham township, LaSalle County, Illinois",099,78682,17
551.0,497.0,54.0,"Ophir township, LaSalle County, Illinois",099,56224,17
343.0,325.0,18.0,"Osage township, LaSalle County, Illinois",099,56731,17
11448.0,11039.0,409.0,"Ottawa township, LaSalle County, Illinois",099,56939,17
2159.0,2002.0,157.0,"Dayton township, LaSalle County, Illinois",099,18784,17
597.0,589.0,8.0,"Deer Park township, LaSalle County, Illinois",099,19096,17
1798.0,1785.0,13.0,"Eagle township, LaSalle County, Illinois",099,21436,17
2375.0,2344.0,31.0,"Earl township, LaSalle County, Illinois",099,21527,17
1414.0,1377.0,37.0,"Eden township, LaSalle County, Illinois",099,22424,17
863.0,857.0,6.0,"Farm Ridge township, LaSalle County, Illinois",099,25583,17
3033.0,2887.0,146.0,"Old Town township, McLean County, Illinois",113,55782,17
1463.0,1448.0,15.0,"Franklin Grove township, Lee County, Illinois",103,27695,17
1338.0,1325.0,13.0,"Hennepin township, Putnam County, Illinois",155,34124,17
1089.0,1026.0,63.0,"Magnolia township, Putnam County, Illinois",155,46123,17
2815.0,2789.0,26.0,"Granville township, Putnam County, Illinois",155,31030,17
529.0,487.0,42.0,"Senachwine township, Putnam County, Illinois",155,68627,17
526.0,526.0,0.0,"Tunbridge township, De Witt County, Illinois",039,76342,17
7582.0,7394.0,188.0,"Clintonia township, De Witt County, Illinois",039,15014,17
574.0,574.0,0.0,"Nixon township, De Witt County, Illinois",039,53117,17
2270.0,2213.0,57.0,"Santa Anna township, De Witt County, Illinois",039,67639,17
1804.0,1804.0,0.0,"Texas township, De Witt County, Illinois",039,74769,17
115.0,115.0,0.0,"Wilson township, De Witt County, Illinois",039,82140,17
425.0,425.0,0.0,"Barnett township, De Witt County, Illinois",039,03714,17
777.0,777.0,0.0,"Waynesville township, De Witt County, Illinois",039,79462,17
475.0,464.0,11.0,"De Witt township, De Witt County, Illinois",039,19785,17
420.0,420.0,0.0,"Creek township, De Witt County, Illinois",039,17302,17
85.0,85.0,0.0,"Rutledge township, De Witt County, Illinois",039,66469,17
775.0,773.0,2.0,"Wapella township, De Witt County, Illinois",039,78786,17
348.0,348.0,0.0,"Harp township, De Witt County, Illinois",039,33058,17
84.0,84.0,0.0,"Carson township, Fayette County, Illinois",051,11501,17
691.0,691.0,0.0,"Kaskaskia township, Fayette County, Illinois",051,39116,17
903.0,898.0,5.0,"La Clede township, Fayette County, Illinois",051,40533,17
665.0,665.0,0.0,"Shafter township, Fayette County, Illinois",051,68926,17
2562.0,2545.0,17.0,"Sharon township, Fayette County, Illinois",051,69017,17
409.0,400.0,9.0,"Bowling Green township, Fayette County, Illinois",051,07562,17
1109.0,1096.0,13.0,"Loudon township, Fayette County, Illinois",051,44901,17
833.0,827.0,6.0,"Lincoln precinct, Massac County, Illinois",127,91908,17
592.0,515.0,77.0,"Bear Grove township, Fayette County, Illinois",051,04377,17
741.0,736.0,5.0,"Lone Grove township, Fayette County, Illinois",051,44459,17
230.0,218.0,12.0,"Pope township, Fayette County, Illinois",051,61106,17
555.0,555.0,0.0,"Jackson precinct, Massac County, Illinois",127,91692,17
1821.0,1810.0,11.0,"Jefferson precinct, Massac County, Illinois",127,91740,17
894.0,894.0,0.0,"Washington precinct, Massac County, Illinois",127,93618,17
1102.0,1084.0,18.0,"Franklin precinct, Massac County, Illinois",127,91260,17
903.0,897.0,6.0,"Hillerman precinct, Massac County, Illinois",127,91638,17
329.0,326.0,3.0,"Winchester No. 1 precinct, Scott County, Illinois",171,93780,17
371.0,349.0,22.0,"Metropolis No. 1 precinct, Massac County, Illinois",127,92070,17
505.0,492.0,13.0,"Naples-Bluffs precinct, Scott County, Illinois",171,92250,17
687.0,687.0,0.0,"Exeter-Bluffs precinct, Scott County, Illinois",171,91224,17
510.0,506.0,4.0,"Alsey precinct, Scott County, Illinois",171,90072,17
290.0,288.0,2.0,"Glasgow precinct, Scott County, Illinois",171,91368,17
605.0,605.0,0.0,"Manchester precinct, Scott County, Illinois",171,92016,17
208.0,208.0,0.0,"Bloomfield precinct, Scott County, Illinois",171,90468,17
386.0,386.0,0.0,"Merritt precinct, Scott County, Illinois",171,92052,17
897.0,897.0,0.0,"Winchester No. 2 precinct, Scott County, Illinois",171,93798,17
692.0,690.0,2.0,"Winchester No. 3 precinct, Scott County, Illinois",171,93816,17
1962.0,1958.0,4.0,"Hopedale township, Tazewell County, Illinois",179,36139,17
1565.0,1565.0,0.0,"Sand Prairie township, Tazewell County, Illinois",179,67483,17
24632.0,23978.0,654.0,"Washington township, Tazewell County, Illinois",179,79046,17
