B05002_001E,B05002_002E,B05002_013E,name,county,county subdivision,state
2723.0,2707.0,16.0,"District 2, East Carroll Parish, Louisiana",035,94249,22
313.0,311.0,2.0,"District 3, East Carroll Parish, Louisiana",035,94429,22
540.0,540.0,0.0,"District 5, East Carroll Parish, Louisiana",035,94807,22
811.0,811.0,0.0,"District 8, East Carroll Parish, Louisiana",035,95269,22
676.0,676.0,0.0,"District 6, East Carroll Parish, Louisiana",035,94975,22
318.0,318.0,0.0,"District 7, East Carroll Parish, Louisiana",035,95128,22
12355.0,12000.0,355.0,"District 11, Ascension Parish, Louisiana",005,95544,22
8426.0,8284.0,142.0,"District 1, Ascension Parish, Louisiana",005,94006,22
10156.0,9842.0,314.0,"District 3, Ascension Parish, Louisiana",005,94387,22
12032.0,11840.0,192.0,"District 5, Ascension Parish, Louisiana",005,94765,22
14729.0,14277.0,452.0,"District 8, Ascension Parish, Louisiana",005,95244,22
11761.0,11468.0,293.0,"District 2, Ascension Parish, Louisiana",005,94206,22
13277.0,12479.0,798.0,"District 4, Ascension Parish, Louisiana",005,94572,22
9544.0,9397.0,147.0,"District 6, Ascension Parish, Louisiana",005,94938,22
8140.0,7494.0,646.0,"District 10, Ascension Parish, Louisiana",005,95466,22
11265.0,11164.0,101.0,"District 7, Ascension Parish, Louisiana",005,95097,22
7444.0,7357.0,87.0,"District 9, Ascension Parish, Louisiana",005,95361,22
33169.0,32031.0,1138.0,"District F, Lafayette Parish, Louisiana",055,95812,22
28462.0,27771.0,691.0,"District A, Lafayette Parish, Louisiana",055,95737,22
21933.0,20082.0,1851.0,"District E, Lafayette Parish, Louisiana",055,95797,22
63727.0,61008.0,2719.0,"District G, Lafayette Parish, Louisiana",055,95827,22
3158.0,3158.0,0.0,"District 4, Grant Parish, Louisiana",043,94618,22
1820.0,1816.0,4.0,"District 3, Grant Parish, Louisiana",043,94441,22
80971.0,74819.0,6152.0,"District 2, Jefferson Parish, Louisiana",051,94273,22
74177.0,68132.0,6045.0,"District 3, Jefferson Parish, Louisiana",051,94453,22
92447.0,76169.0,16278.0,"District 4, Jefferson Parish, Louisiana",051,94630,22
92893.0,79536.0,13357.0,"District 1, Jefferson Parish, Louisiana",051,94069,22
96550.0,81804.0,14746.0,"District 5, Jefferson Parish, Louisiana",051,94829,22
2624.0,2575.0,49.0,"District 1, Beauregard Parish, Louisiana",011,94015,22
2538.0,2493.0,45.0,"District 3A, Beauregard Parish, Louisiana",011,94552,22
2925.0,2894.0,31.0,"District 3B, Beauregard Parish, Louisiana",011,94555,22
2929.0,2750.0,179.0,"District 3D, Beauregard Parish, Louisiana",011,94561,22
3454.0,3336.0,118.0,"District 3E, Beauregard Parish, Louisiana",011,94564,22
5989.0,5975.0,14.0,"District 4A, Beauregard Parish, Louisiana",011,94732,22
3344.0,3236.0,108.0,"District 2, Beauregard Parish, Louisiana",011,94213,22
4732.0,4709.0,23.0,"District 5, Beauregard Parish, Louisiana",011,94774,22
4497.0,4329.0,168.0,"District 4B, Beauregard Parish, Louisiana",011,94744,22
3566.0,3201.0,365.0,"District 3C, Beauregard Parish, Louisiana",011,94558,22
1772.0,1760.0,12.0,"District 4, Bienville Parish, Louisiana",013,94579,22
2202.0,2176.0,26.0,"District 5, Bienville Parish, Louisiana",013,94777,22
2011.0,2011.0,0.0,"District 2, Bienville Parish, Louisiana",013,94216,22
2397.0,2394.0,3.0,"District 6, Bienville Parish, Louisiana",013,94945,22
