B05002_001E,B05002_002E,B05002_013E,name,county,county subdivision,state
6170.0,5583.0,587.0,"Bow CCD, Skagit County, Washington",057,90272,53
2917.0,2783.0,134.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
36771.0,30090.0,6681.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
13785.0,12102.0,1683.0,"Burlington CCD, Skagit County, Washington",057,90384,53
3422.0,3339.0,83.0,"Conway CCD, Skagit County, Washington",057,90768,53
3343.0,3123.0,220.0,"La Conner CCD, Skagit County, Washington",057,91536,53
2740.0,2706.0,34.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
14060.0,13466.0,594.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
1889.0,1782.0,107.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
20948.0,19612.0,1336.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
5442.0,5218.0,224.0,"Springdale CCD, Stevens County, Washington",065,93232,53
5769.0,5605.0,164.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
11203.0,10840.0,363.0,"Colville CCD, Stevens County, Washington",065,90688,53
2145.0,2130.0,15.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
10719.0,10369.0,350.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
6899.0,6744.0,155.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
366704.0,345671.0,21033.0,"Spokane CCD, Spokane County, Washington",063,93200,53
30885.0,29695.0,1190.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
2733.0,2679.0,54.0,"Rockford CCD, Spokane County, Washington",063,92816,53
3054.0,2934.0,120.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
14006.0,13124.0,882.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
10765.0,10507.0,258.0,"Colbert CCD, Spokane County, Washington",063,90640,53
17978.0,17267.0,711.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
6130.0,5804.0,326.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
3044.0,2989.0,55.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
2752.0,2691.0,61.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
4548.0,4485.0,63.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
40979.0,36394.0,4585.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
11574.0,10598.0,976.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
6604.0,6316.0,288.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
35.0,35.0,0.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
31266.0,30020.0,1246.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
6620.0,6180.0,440.0,"Forks CCD, Clallam County, Washington",009,91168,53
10486.0,9948.0,538.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
3549.0,3366.0,183.0,"Crescent CCD, Clallam County, Washington",009,90816,53
64181.0,60892.0,3289.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
6440.0,6322.0,118.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
5024.0,4947.0,77.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
10806.0,10322.0,484.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
15304.0,15024.0,280.0,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
1329.0,1286.0,43.0,"Curlew CCD, Ferry County, Washington",019,90832,53
1703.0,1679.0,24.0,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
3056.0,3033.0,23.0,"Republic CCD, Ferry County, Washington",019,92752,53
1980.0,1862.0,118.0,"Entiat CCD, Chelan County, Washington",007,91040,53
4684.0,4402.0,282.0,"Malaga CCD, Chelan County, Washington",007,91840,53
2997.0,2499.0,498.0,"Manson CCD, Chelan County, Washington",007,91904,53
6285.0,4991.0,1294.0,"Chelan CCD, Chelan County, Washington",007,90544,53
1014.0,983.0,31.0,"West End CCD, Jefferson County, Washington",031,93728,53
110501.0,101695.0,8806.0,"Bremerton CCD, Kitsap County, Washington",035,90288,53
13009.0,12613.0,396.0,"Kingston CCD, Kitsap County, Washington",035,91488,53
44588.0,42161.0,2427.0,"Poulsbo CCD, Kitsap County, Washington",035,92624,53
23689.0,21957.0,1732.0,"Bainbridge Island CCD, Kitsap County, Washington",035,90120,53
67116.0,63725.0,3391.0,"Port Orchard CCD, Kitsap County, Washington",035,92608,53
67062.0,60632.0,6430.0,"Enumclaw Plateau CCD, King County, Washington",033,91056,53
68498.0,60828.0,7670.0,"Tahoma-Maple Valley CCD, King County, Washington",033,93392,53
1067829.0,840112.0,227717.0,"Seattle CCD, King County, Washington",033,92928,53
9635.0,8996.0,639.0,"Vashon Island CCD, King County, Washington",033,93616,53
80647.0,61571.0,19076.0,"Issaquah Plateau CCD, King County, Washington",033,91392,53
52493.0,48343.0,4150.0,"Snoqualmie Valley CCD, King County, Washington",033,93078,53
2000.0,1863.0,137.0,"Naselle CCD, Pacific County, Washington",049,92128,53
1625.0,1617.0,8.0,"Willapa Valley CCD, Pacific County, Washington",049,93776,53
8036.0,7279.0,757.0,"Raymond CCD, Pacific County, Washington",049,92736,53
10861.0,10442.0,419.0,"Newport CCD, Pend Oreille County, Washington",051,92160,53
2205.0,2156.0,49.0,"Ione-Metaline Falls CCD, Pend Oreille County, Washington",051,91376,53
5481.0,5047.0,434.0,"Orcas CCD, San Juan County, Washington",055,92432,53
2930.0,2710.0,220.0,"Lopez CCD, San Juan County, Washington",055,91696,53
1864.0,1841.0,23.0,"Stevenson CCD, Skamania County, Washington",059,93312,53
1089.0,1082.0,7.0,"Rosalia CCD, Whitman County, Washington",075,92848,53
1181.0,1157.0,24.0,"Uniontown CCD, Whitman County, Washington",075,93536,53
5103.0,5031.0,72.0,"Colfax-Palouse CCD, Whitman County, Washington",075,90656,53
34625.0,29878.0,4747.0,"Pullman CCD, Whitman County, Washington",075,92656,53
1729.0,1711.0,18.0,"Rock Lake CCD, Whitman County, Washington",075,92832,53
1077.0,1059.0,18.0,"Tekoa CCD, Whitman County, Washington",075,93424,53
143735.0,122127.0,21608.0,"Yakima CCD, Yakima County, Washington",077,93904,53
2902.0,1923.0,979.0,"Mabton CCD, Yakima County, Washington",077,91808,53
54746.0,40415.0,14331.0,"Sunnyside CCD, Yakima County, Washington",077,93344,53
8996.0,7988.0,1008.0,"Northeast Yakima CCD, Yakima County, Washington",077,92192,53
3461.0,3167.0,294.0,"South Yakima CCD, Yakima County, Washington",077,93184,53
27105.0,20393.0,6712.0,"Toppenish-Wapato CCD, Yakima County, Washington",077,93472,53
7334.0,6961.0,373.0,"Northwest Yakima CCD, Yakima County, Washington",077,92240,53
2545.0,2501.0,44.0,"Clallam Bay-Neah Bay CCD, Clallam County, Washington",009,90576,53
18973.0,17577.0,1396.0,"Sequim CCD, Clallam County, Washington",009,92960,53
7902.0,6855.0,1047.0,"White Salmon CCD, Klickitat County, Washington",039,93744,53
7353.0,7159.0,194.0,"Goldendale CCD, Klickitat County, Washington",039,91264,53
2959.0,2886.0,73.0,"Ethel CCD, Lewis County, Washington",041,91088,53
4551.0,4505.0,46.0,"Mineral CCD, Lewis County, Washington",041,91984,53
4152.0,4042.0,110.0,"Logan Hill CCD, Lewis County, Washington",041,91648,53
4197.0,3895.0,302.0,"Mossyrock CCD, Lewis County, Washington",041,92048,53
2823.0,2754.0,69.0,"Morton CCD, Lewis County, Washington",041,92016,53
3492.0,3444.0,48.0,"Bunker CCD, Lewis County, Washington",041,90352,53
2388.0,2388.0,0.0,"Big Bottom CCD, Lewis County, Washington",041,90208,53
31805.0,29601.0,2204.0,"Centralia-Chehalis CCD, Lewis County, Washington",041,90512,53
