B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
1631.0,42.0,31.0,69.0,89.0,16.0,70.0,102.0,64.0,19.0,136.0,246.0,230.0,238.0,120.0,125.0,34.0,"South Wheatland township, Macon County, Illinois",115,71357,17
21083.0,2799.0,1678.0,1502.0,1581.0,1362.0,897.0,1147.0,1118.0,863.0,1523.0,2241.0,2018.0,993.0,499.0,418.0,444.0,"Decatur township, Macon County, Illinois",115,18836,17
530.0,40.0,27.0,4.0,43.0,56.0,14.0,29.0,30.0,23.0,60.0,31.0,73.0,36.0,36.0,13.0,15.0,"Pleasant View township, Macon County, Illinois",115,60677,17
4454.0,106.0,146.0,80.0,197.0,203.0,189.0,196.0,227.0,158.0,251.0,764.0,700.0,507.0,197.0,284.0,249.0,"Long Creek township, Macon County, Illinois",115,44511,17
2764.0,32.0,79.0,103.0,113.0,121.0,89.0,0.0,239.0,102.0,206.0,340.0,350.0,352.0,201.0,224.0,213.0,"Mount Zion township, Macon County, Illinois",115,51219,17
78.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.0,9.0,0.0,"Austin township, Macon County, Illinois",115,03051,17
642.0,14.0,15.0,33.0,14.0,26.0,65.0,24.0,49.0,11.0,65.0,52.0,175.0,38.0,44.0,11.0,6.0,"Illini township, Macon County, Illinois",115,37023,17
229.0,12.0,0.0,3.0,2.0,13.0,14.0,3.0,11.0,4.0,25.0,22.0,44.0,58.0,0.0,11.0,7.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
756.0,14.0,34.0,55.0,30.0,49.0,43.0,22.0,31.0,57.0,60.0,113.0,100.0,66.0,52.0,12.0,18.0,"Maroa township, Macon County, Illinois",115,47085,17
380.0,24.0,10.0,25.0,11.0,10.0,15.0,5.0,39.0,24.0,4.0,54.0,57.0,59.0,15.0,10.0,18.0,"Blue Mound township, Macon County, Illinois",115,06769,17
7706.0,512.0,470.0,496.0,362.0,468.0,278.0,379.0,407.0,435.0,491.0,733.0,1083.0,485.0,264.0,475.0,368.0,"Hickory Point township, Macon County, Illinois",115,34527,17
257.0,5.0,19.0,11.0,18.0,14.0,8.0,10.0,6.0,12.0,25.0,41.0,24.0,20.0,21.0,7.0,16.0,"Niantic township, Macon County, Illinois",115,52974,17
459.0,20.0,13.0,0.0,0.0,37.0,0.0,21.0,32.0,19.0,45.0,17.0,65.0,87.0,17.0,53.0,33.0,"Oakley township, Macon County, Illinois",115,54859,17
678.0,126.0,54.0,13.0,142.0,32.0,91.0,34.0,23.0,0.0,32.0,19.0,47.0,20.0,14.0,19.0,12.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
442.0,77.0,91.0,43.0,34.0,15.0,8.0,17.0,33.0,0.0,63.0,22.0,19.0,15.0,0.0,5.0,0.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
128.0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,4.0,0.0,14.0,20.0,24.0,3.0,14.0,0.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
289.0,0.0,0.0,7.0,19.0,24.0,34.0,0.0,43.0,16.0,42.0,18.0,15.0,49.0,8.0,9.0,5.0,"Markham precinct, Morgan County, Illinois",137,92034,17
271.0,18.0,7.0,10.0,7.0,13.0,26.0,11.0,8.0,35.0,18.0,77.0,21.0,20.0,0.0,0.0,0.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
542.0,5.0,11.0,38.0,17.0,33.0,28.0,35.0,7.0,45.0,99.0,26.0,79.0,0.0,73.0,26.0,20.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
197.0,11.0,4.0,5.0,10.0,15.0,32.0,9.0,9.0,35.0,16.0,20.0,4.0,9.0,4.0,9.0,5.0,"Appanoose township, Hancock County, Illinois",067,01621,17
163.0,0.0,0.0,7.0,0.0,2.0,25.0,1.0,8.0,0.0,51.0,28.0,9.0,4.0,10.0,9.0,9.0,"Harmony township, Hancock County, Illinois",067,32993,17
141.0,0.0,25.0,6.0,3.0,22.0,0.0,8.0,16.0,8.0,12.0,7.0,10.0,14.0,0.0,6.0,4.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
