B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
651.0,10.0,37.0,38.0,65.0,39.0,29.0,73.0,18.0,5.0,61.0,96.0,67.0,50.0,15.0,31.0,17.0,"Cunningham CCD, Carlisle County, Kentucky",039,90968,21
890.0,77.0,78.0,48.0,38.0,69.0,20.0,33.0,80.0,42.0,55.0,72.0,103.0,87.0,7.0,62.0,19.0,"Prestonville CCD, Carroll County, Kentucky",041,92840,21
596.0,40.0,46.0,59.0,41.0,77.0,24.0,42.0,15.0,39.0,26.0,73.0,44.0,36.0,0.0,16.0,18.0,"Arlington CCD, Carlisle County, Kentucky",039,90080,21
3072.0,223.0,451.0,161.0,242.0,107.0,118.0,131.0,197.0,187.0,195.0,276.0,289.0,182.0,45.0,204.0,64.0,"Carrollton CCD, Carroll County, Kentucky",041,90608,21
1045.0,69.0,70.0,80.0,62.0,104.0,97.0,50.0,53.0,66.0,65.0,157.0,87.0,40.0,18.0,15.0,12.0,"Kirkmansville CCD, Todd County, Kentucky",219,91928,21
741.0,70.0,68.0,75.0,54.0,76.0,15.0,47.0,40.0,27.0,40.0,50.0,80.0,40.0,50.0,0.0,9.0,"Bardwell CCD, Carlisle County, Kentucky",039,90160,21
539.0,39.0,24.0,26.0,44.0,68.0,29.0,38.0,51.0,54.0,64.0,52.0,25.0,19.0,0.0,0.0,6.0,"Ravenna CCD, Estill County, Kentucky",065,92888,21
2866.0,315.0,325.0,364.0,316.0,224.0,178.0,154.0,128.0,144.0,143.0,125.0,168.0,126.0,68.0,40.0,48.0,"Albany CCD, Clinton County, Kentucky",053,90032,21
1159.0,86.0,77.0,72.0,100.0,49.0,135.0,100.0,59.0,52.0,156.0,85.0,93.0,43.0,0.0,44.0,8.0,"Cumberland City CCD, Clinton County, Kentucky",053,90944,21
2401.0,314.0,336.0,233.0,246.0,123.0,150.0,98.0,81.0,89.0,100.0,276.0,242.0,50.0,24.0,16.0,23.0,"Irvine CCD, Estill County, Kentucky",065,91816,21
3007.0,228.0,133.0,140.0,193.0,161.0,200.0,111.0,162.0,162.0,386.0,269.0,376.0,273.0,124.0,76.0,13.0,"Warsaw CCD, Gallatin County, Kentucky",077,93616,21
1174.0,83.0,25.0,161.0,113.0,46.0,38.0,84.0,34.0,106.0,90.0,177.0,92.0,82.0,33.0,0.0,10.0,"Paint Lick CCD, Garrard County, Kentucky",079,92664,21
3130.0,414.0,195.0,263.0,173.0,166.0,203.0,161.0,154.0,64.0,254.0,380.0,334.0,192.0,88.0,23.0,66.0,"Lancaster CCD, Garrard County, Kentucky",079,91976,21
2621.0,80.0,122.0,93.0,157.0,111.0,127.0,179.0,85.0,152.0,219.0,279.0,455.0,226.0,80.0,174.0,82.0,"Bryantsville CCD, Garrard County, Kentucky",079,90400,21
1622.0,118.0,55.0,51.0,31.0,85.0,44.0,67.0,85.0,71.0,164.0,282.0,274.0,154.0,47.0,74.0,20.0,"Salvisa-McAfee CCD, Mercer County, Kentucky",167,93064,21
2311.0,110.0,49.0,103.0,62.0,99.0,191.0,103.0,29.0,103.0,246.0,388.0,292.0,252.0,139.0,99.0,46.0,"Butler CCD, Pendleton County, Kentucky",191,90472,21
1429.0,90.0,86.0,81.0,68.0,72.0,57.0,75.0,47.0,66.0,121.0,154.0,270.0,86.0,51.0,83.0,22.0,"Burgin CCD, Mercer County, Kentucky",167,90424,21
5594.0,519.0,313.0,462.0,413.0,344.0,487.0,204.0,244.0,300.0,290.0,559.0,595.0,400.0,231.0,132.0,101.0,"Harrodsburg CCD, Mercer County, Kentucky",167,91624,21
1950.0,130.0,163.0,207.0,153.0,141.0,151.0,132.0,99.0,59.0,131.0,154.0,253.0,153.0,0.0,10.0,14.0,"Falmouth CCD, Pendleton County, Kentucky",191,91200,21
938.0,157.0,72.0,58.0,75.0,97.0,50.0,24.0,18.0,19.0,108.0,87.0,62.0,50.0,27.0,11.0,23.0,"Mount Olivet CCD, Robertson County, Kentucky",201,92408,21
685.0,81.0,25.0,39.0,83.0,50.0,22.0,16.0,44.0,68.0,68.0,45.0,68.0,35.0,18.0,23.0,0.0,"Bryan CCD, Russell County, Kentucky",207,90384,21
1387.0,178.0,126.0,35.0,133.0,142.0,57.0,51.0,126.0,72.0,126.0,141.0,45.0,51.0,30.0,63.0,11.0,"Eli CCD, Russell County, Kentucky",207,91120,21
3335.0,210.0,268.0,243.0,193.0,113.0,191.0,233.0,92.0,189.0,310.0,461.0,306.0,288.0,159.0,19.0,60.0,"Springfield CCD, Washington County, Kentucky",229,93328,21
1656.0,270.0,191.0,115.0,115.0,77.0,72.0,74.0,71.0,46.0,163.0,171.0,130.0,45.0,62.0,21.0,33.0,"Jamestown CCD, Russell County, Kentucky",207,91864,21
3476.0,442.0,441.0,296.0,154.0,225.0,268.0,313.0,170.0,150.0,248.0,206.0,271.0,177.0,56.0,27.0,32.0,"Russell Springs CCD, Russell County, Kentucky",207,92984,21
2386.0,133.0,30.0,53.0,192.0,176.0,211.0,53.0,57.0,143.0,208.0,297.0,376.0,221.0,149.0,27.0,60.0,"Taylorsville CCD, Spencer County, Kentucky",215,93448,21
1172.0,92.0,79.0,15.0,140.0,94.0,77.0,32.0,51.0,83.0,85.0,139.0,149.0,16.0,45.0,55.0,20.0,"Willisburg CCD, Washington County, Kentucky",229,93728,21
751.0,141.0,35.0,95.0,68.0,21.0,25.0,12.0,29.0,35.0,71.0,110.0,37.0,41.0,16.0,15.0,0.0,"Sharpsburg CCD, Bath County, Kentucky",011,93144,21
1396.0,198.0,76.0,112.0,148.0,98.0,127.0,90.0,89.0,47.0,111.0,74.0,98.0,72.0,28.0,26.0,2.0,"Salt Lick CCD, Bath County, Kentucky",011,93056,21
2362.0,216.0,150.0,159.0,152.0,94.0,125.0,160.0,176.0,116.0,156.0,310.0,241.0,146.0,33.0,48.0,80.0,"Owingsville CCD, Bath County, Kentucky",011,92640,21
855.0,75.0,42.0,55.0,79.0,40.0,70.0,62.0,115.0,12.0,26.0,76.0,94.0,48.0,25.0,27.0,9.0,"Wickliffe CCD, Ballard County, Kentucky",007,93696,21
569.0,41.0,50.0,56.0,29.0,13.0,27.0,30.0,24.0,39.0,59.0,31.0,18.0,31.0,44.0,53.0,24.0,"Barlow CCD, Ballard County, Kentucky",007,90168,21
1801.0,117.0,121.0,104.0,98.0,113.0,120.0,117.0,95.0,80.0,145.0,171.0,194.0,148.0,106.0,51.0,21.0,"La Center CCD, Ballard County, Kentucky",007,91952,21
1279.0,78.0,116.0,83.0,94.0,104.0,19.0,96.0,70.0,90.0,96.0,154.0,130.0,95.0,31.0,17.0,6.0,"Rocky Hill CCD, Barren County, Kentucky",009,92944,21
8769.0,1050.0,754.0,617.0,632.0,582.0,505.0,827.0,403.0,467.0,758.0,675.0,693.0,496.0,172.0,73.0,65.0,"Glasgow CCD, Barren County, Kentucky",009,91408,21
1419.0,151.0,117.0,45.0,70.0,51.0,34.0,112.0,80.0,56.0,122.0,153.0,247.0,67.0,67.0,39.0,8.0,"Tracy CCD, Barren County, Kentucky",009,93496,21
2796.0,385.0,158.0,103.0,269.0,211.0,148.0,121.0,228.0,221.0,211.0,231.0,229.0,112.0,97.0,44.0,28.0,"Cave City CCD, Barren County, Kentucky",009,90640,21
1398.0,109.0,149.0,46.0,80.0,65.0,54.0,46.0,29.0,45.0,109.0,189.0,183.0,99.0,123.0,32.0,40.0,"Hiseville CCD, Barren County, Kentucky",009,91744,21
1266.0,62.0,60.0,87.0,52.0,83.0,135.0,13.0,117.0,78.0,190.0,118.0,122.0,45.0,55.0,31.0,18.0,"Temple Hill CCD, Barren County, Kentucky",009,93464,21
1884.0,151.0,158.0,220.0,66.0,118.0,116.0,82.0,30.0,129.0,191.0,211.0,157.0,137.0,64.0,25.0,29.0,"Junction City CCD, Boyle County, Kentucky",021,91896,21
7487.0,514.0,488.0,527.0,654.0,586.0,492.0,440.0,321.0,313.0,544.0,396.0,919.0,585.0,276.0,163.0,269.0,"Danville CCD, Boyle County, Kentucky",021,91000,21
1504.0,128.0,37.0,108.0,92.0,44.0,78.0,83.0,73.0,84.0,125.0,201.0,189.0,105.0,86.0,22.0,49.0,"Perryville CCD, Boyle County, Kentucky",021,92744,21
625.0,23.0,77.0,42.0,30.0,41.0,44.0,35.0,41.0,35.0,56.0,47.0,78.0,14.0,45.0,9.0,8.0,"Gresham CCD, Green County, Kentucky",087,91536,21
1766.0,214.0,173.0,114.0,224.0,185.0,61.0,75.0,73.0,93.0,101.0,173.0,166.0,49.0,28.0,23.0,14.0,"Greensburg CCD, Green County, Kentucky",087,91504,21
896.0,87.0,75.0,51.0,65.0,57.0,0.0,69.0,40.0,27.0,135.0,73.0,92.0,41.0,12.0,27.0,45.0,"Donansburg CCD, Green County, Kentucky",087,91064,21
1180.0,186.0,63.0,87.0,144.0,58.0,37.0,62.0,33.0,63.0,78.0,115.0,131.0,24.0,27.0,15.0,57.0,"Summersville CCD, Green County, Kentucky",087,93408,21
985.0,101.0,34.0,43.0,89.0,70.0,68.0,63.0,51.0,53.0,81.0,94.0,133.0,51.0,17.0,35.0,2.0,"Patesville CCD, Hancock County, Kentucky",091,92696,21
1379.0,102.0,115.0,29.0,71.0,59.0,63.0,81.0,65.0,68.0,145.0,122.0,205.0,110.0,87.0,55.0,2.0,"Lewisport CCD, Hancock County, Kentucky",091,92032,21
1011.0,43.0,53.0,28.0,19.0,25.0,88.0,79.0,55.0,104.0,76.0,168.0,151.0,59.0,32.0,29.0,2.0,"Hawesville CCD, Hancock County, Kentucky",091,91640,21
763.0,123.0,114.0,93.0,65.0,45.0,49.0,33.0,86.0,11.0,51.0,22.0,56.0,0.0,7.0,0.0,8.0,"Cawood CCD, Harlan County, Kentucky",095,90648,21
5465.0,1102.0,626.0,560.0,528.0,310.0,312.0,205.0,224.0,283.0,304.0,290.0,341.0,153.0,93.0,66.0,68.0,"Harlan CCD, Harlan County, Kentucky",095,91608,21
440.0,91.0,68.0,63.0,70.0,0.0,7.0,65.0,13.0,37.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,"Alva CCD, Harlan County, Kentucky",095,90056,21
1067.0,200.0,78.0,126.0,82.0,56.0,12.0,78.0,41.0,33.0,138.0,100.0,36.0,17.0,42.0,15.0,13.0,"Wallins Creek CCD, Harlan County, Kentucky",095,93584,21
467.0,92.0,45.0,41.0,28.0,24.0,31.0,17.0,12.0,18.0,28.0,57.0,51.0,12.0,11.0,0.0,0.0,"Poor Fork CCD, Harlan County, Kentucky",095,92824,21
509.0,155.0,14.0,59.0,54.0,27.0,10.0,44.0,19.0,41.0,10.0,30.0,31.0,15.0,0.0,0.0,0.0,"Pine Mountain CCD, Harlan County, Kentucky",095,92792,21
2037.0,460.0,173.0,188.0,193.0,114.0,113.0,83.0,68.0,82.0,182.0,100.0,96.0,124.0,44.0,14.0,3.0,"Cumberland CCD, Harlan County, Kentucky",095,90936,21
1465.0,168.0,120.0,189.0,216.0,98.0,60.0,113.0,66.0,61.0,80.0,98.0,104.0,26.0,25.0,41.0,0.0,"Warfield CCD, Martin County, Kentucky",159,93600,21
1353.0,68.0,62.0,88.0,172.0,104.0,85.0,88.0,103.0,30.0,87.0,135.0,202.0,39.0,23.0,56.0,11.0,"Sonora CCD, Hardin County, Kentucky",093,93264,21
349.0,22.0,58.0,30.0,9.0,13.0,31.0,31.0,20.0,6.0,25.0,27.0,42.0,20.0,9.0,2.0,4.0,"West Point CCD, Hardin County, Kentucky",093,93664,21
20541.0,1421.0,843.0,1101.0,991.0,1289.0,1217.0,1153.0,995.0,604.0,1432.0,2277.0,2478.0,1892.0,1189.0,1010.0,649.0,"Elizabethtown CCD, Hardin County, Kentucky",093,91128,21
14932.0,1176.0,456.0,1004.0,714.0,783.0,925.0,757.0,887.0,755.0,1410.0,1468.0,2073.0,1146.0,588.0,597.0,193.0,"Radcliff CCD, Hardin County, Kentucky",093,92880,21
1172.0,98.0,64.0,14.0,54.0,17.0,52.0,61.0,164.0,30.0,147.0,190.0,167.0,47.0,10.0,28.0,29.0,"Summit CCD, Hardin County, Kentucky",093,93416,21
1161.0,26.0,30.0,98.0,0.0,45.0,13.0,43.0,97.0,40.0,101.0,118.0,277.0,168.0,11.0,67.0,27.0,"Cecilia CCD, Hardin County, Kentucky",093,90656,21
2110.0,131.0,244.0,119.0,259.0,89.0,210.0,80.0,97.0,136.0,175.0,172.0,162.0,105.0,99.0,18.0,14.0,"Waynesburg CCD, Lincoln County, Kentucky",137,93632,21
1593.0,168.0,131.0,93.0,117.0,150.0,76.0,114.0,161.0,48.0,144.0,82.0,149.0,90.0,25.0,45.0,0.0,"Crab Orchard CCD, Lincoln County, Kentucky",137,90888,21
2414.0,164.0,154.0,160.0,216.0,129.0,111.0,221.0,23.0,166.0,315.0,265.0,331.0,74.0,65.0,6.0,14.0,"Hustonville CCD, Lincoln County, Kentucky",137,91792,21
3669.0,622.0,184.0,350.0,223.0,204.0,236.0,203.0,125.0,127.0,330.0,225.0,454.0,202.0,72.0,37.0,75.0,"Stanford CCD, Lincoln County, Kentucky",137,93344,21
1388.0,122.0,120.0,147.0,47.0,56.0,54.0,39.0,123.0,32.0,88.0,202.0,125.0,93.0,59.0,66.0,15.0,"Calhoun CCD, McLean County, Kentucky",149,90496,21
737.0,37.0,64.0,27.0,66.0,29.0,68.0,47.0,14.0,35.0,43.0,71.0,138.0,76.0,22.0,0.0,0.0,"Sacramento CCD, McLean County, Kentucky",149,93000,21
481.0,14.0,27.0,23.0,24.0,37.0,32.0,50.0,34.0,25.0,38.0,22.0,106.0,36.0,5.0,0.0,8.0,"Island CCD, McLean County, Kentucky",149,91832,21
1220.0,132.0,59.0,95.0,40.0,69.0,75.0,100.0,52.0,75.0,111.0,77.0,158.0,98.0,40.0,32.0,7.0,"Livermore CCD, McLean County, Kentucky",149,92056,21
812.0,76.0,65.0,92.0,46.0,66.0,51.0,26.0,39.0,45.0,80.0,52.0,72.0,28.0,36.0,8.0,30.0,"Fountain Run CCD, Monroe County, Kentucky",171,91312,21
2898.0,419.0,356.0,270.0,166.0,122.0,145.0,163.0,84.0,169.0,208.0,276.0,212.0,89.0,52.0,75.0,92.0,"Tompkinsville CCD, Monroe County, Kentucky",171,93488,21
3025.0,200.0,199.0,295.0,286.0,174.0,143.0,185.0,218.0,99.0,375.0,209.0,344.0,154.0,51.0,41.0,52.0,"Beaver Dam CCD, Ohio County, Kentucky",183,90200,21
1576.0,240.0,104.0,170.0,84.0,99.0,50.0,56.0,128.0,84.0,86.0,147.0,169.0,79.0,19.0,22.0,39.0,"Hartford CCD, Ohio County, Kentucky",183,91632,21
643.0,82.0,38.0,28.0,94.0,55.0,49.0,43.0,38.0,10.0,53.0,53.0,39.0,33.0,9.0,14.0,5.0,"Horse Branch CCD, Ohio County, Kentucky",183,91776,21
1183.0,102.0,103.0,69.0,71.0,91.0,46.0,59.0,86.0,21.0,172.0,87.0,147.0,73.0,15.0,28.0,13.0,"Fordsville CCD, Ohio County, Kentucky",183,91280,21
